#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR9608--MA0482.1.Gata4	chr9	61707989	61707999	+	0.000	0.000	Merged-chr9-61708026-57
NR1750--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR1746--MA0482.1.Gata4	chr11	104609418	104609428	-	0.000	0.000	Merged-chr11-104609685-47
NR3714--MA1104.1.GATA6	chr15	91578250	91578262	-	0.000	0.000	Merged-chr15-91578192-2
NR6251--MA0035.3.Gata1	chr3	89183058	89183068	+	0.000	0.000	Merged-chr3-89183015-64
NR8111--MA0766.1.GATA5	chr6	66252375	66252382	-	0.000	0.000	Merged-chr6-66252273-1
NR4480--MA0766.1.GATA5	chr17	64208603	64208610	+	0.000	0.000	Merged-chr17-64208497-3
NR3695--MA1104.1.GATA6	chr15	80590803	80590815	+	0.000	0.000	Merged-chr15-80590747-44
NR8363--MA0766.1.GATA5	chr6	129533346	129533353	+	0.000	0.000	Merged-chr6-129533355-94
NR5232--MA1104.1.GATA6	chr2	38321310	38321322	-	0.000	0.000	Merged-chr2-38321185-25
NR9412--MA0482.1.Gata4	chr8	124520720	124520730	+	0.000	0.000	Merged-chr8-124520851-52
NR4865--MA0482.1.Gata4	chr18	62072967	62072977	+	0.000	0.000	Merged-chr18-62072861-2
NR6540--MA0766.1.GATA5	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR4180--MA0482.1.Gata4	chr16	93918466	93918476	+	0.000	0.000	Merged-chr16-93918388-61
NR5043--MA0035.3.Gata1	chr19	27967751	27967761	+	0.000	0.000	Merged-chr19-27967760-35
NR6833--MA1104.1.GATA6	chr4	53384820	53384832	-	0.000	0.000	Merged-chr4-53384912-31
NR2423--MA0482.1.Gata4	chr13	8457034	8457044	+	0.000	0.000	Merged-chr13-8457184-81
NR7544--MA1104.1.GATA6	chr5	65867406	65867418	-	0.000	0.000	Merged-chr5-65867573-52
NR7145--MA0036.3.GATA2	chr4	135895435	135895445	+	0.000	0.000	Merged-chr4-135895375-12
NR7401--MA1104.1.GATA6	chr5	29200061	29200073	-	0.000	0.000	Merged-chr5-29200032-4
NR6052--MA0037.3.GATA3	chr3	52298748	52298755	-	0.000	0.000	Merged-chr3-52298855-38
NR6118--MA0037.3.GATA3	chr3	60954285	60954292	+	0.000	0.000	Merged-chr3-60954370-10
NR1138--MA0036.3.GATA2	chr10	69168673	69168683	+	0.000	0.000	Merged-chr10-69168741-15
NR6885--MA0140.2.GATA1::TAL1	chr4	63049721	63049738	-	0.000	0.000	Merged-chr4-63049665-7
NR6447--MA0036.3.GATA2	chr3	135515339	135515349	+	0.000	0.000	Merged-chr3-135515494-6
NR9396--MA0035.3.Gata1	chr8	117801964	117801974	-	0.000	0.000	Merged-chr8-117802067-74
NR5555--MA0482.1.Gata4	chr2	121457053	121457063	+	0.000	0.000	Merged-chr2-121457132-54
NR6657--MA0035.3.Gata1	chr4	9185020	9185030	-	0.000	0.000	Merged-chr4-9185047-5
NR2545--MA0482.1.Gata4	chr13	41097617	41097627	-	0.000	0.000	Merged-chr13-41097728-40
NR5207--MA0482.1.Gata4	chr2	22796696	22796706	-	0.000	0.000	Merged-chr2-22796662-28
NR7047--MA0140.2.GATA1::TAL1	chr4	101254799	101254816	-	0.000	0.000	Merged-chr4-101254668-139
NR5096--MA1104.1.GATA6	chr19	53424926	53424938	+	0.000	0.000	Merged-chr19-53424819-25
NR5221--MA0140.2.GATA1::TAL1	chr2	27730151	27730168	-	0.000	0.000	Merged-chr2-27730230-3
NR9157--MA0035.3.Gata1	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR3544--MA1104.1.GATA6	chr15	36440112	36440124	+	0.000	0.000	Merged-chr15-36440213-15
NR6774--MA0036.3.GATA2	chr4	33110181	33110191	+	0.000	0.000	Merged-chr4-33110299-20
NR5035--MA0035.3.Gata1	chr19	14668654	14668664	-	0.000	0.000	Merged-chr19-14668781-26
NR2272--MA0036.3.GATA2	chr12	99544690	99544700	-	0.000	0.000	Merged-chr12-99544732-47
NR2553--MA0766.1.GATA5	chr13	41948368	41948375	+	0.000	0.000	Merged-chr13-41948463-1
