#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR8146--MA0089.1.MAFG::NFE2L1	chr3	137287924	137287929	-	0.000	0.000	Merged-chr3-137287837-1
NR7102--MA0089.1.MAFG::NFE2L1	chr2	125456243	125456248	+	0.000	0.000	Merged-chr2-125456296-22
NR11773--MA0496.2.MAFK	chr8	70635681	70635699	+	0.000	0.000	Merged-chr8-70635559-11
NR11979--MA0496.2.MAFK	chr8	115618589	115618607	-	0.000	0.000	Merged-chr8-115618419-52
NR8031--MA0089.1.MAFG::NFE2L1	chr3	123444614	123444619	+	0.000	0.000	Merged-chr3-123444791-39
NR10811--MA0659.1.MAFG	chr7	16057370	16057390	+	0.000	0.000	Merged-chr7-16057177-61
NR92--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR8743--MA0117.2.Mafb	chr4	115984234	115984245	-	0.000	0.000	Merged-chr4-115984376-24
NR4368--MA0496.2.MAFK	chr15	8073388	8073406	+	0.000	0.000	Merged-chr15-8073323-37
NR5805--MA0659.1.MAFG	chr18	34202739	34202759	-	0.000	0.000	Merged-chr18-34202543-19
NR2994--MA0496.2.MAFK	chr12	107405030	107405048	-	0.000	0.000	Merged-chr12-107404973-19
NR2060--MA0591.1.Bach1::Mafk	chr11	55461093	55461107	+	0.000	0.000	Merged-chr11-55461087-74
NR10959--MA0089.1.MAFG::NFE2L1	chr7	45771381	45771386	+	0.000	0.000	Merged-chr7-45771241-24
NR9377--MA0089.1.MAFG::NFE2L1	chr5	75066916	75066921	-	0.000	0.000	Merged-chr5-75066831-3
