#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR2930--MA0684.1.RUNX3	chr13	111569229	111569238	+	0.000	0.000	Merged-chr13-111569188-35
NR9946--MA0002.2.RUNX1	chr9	109931844	109931854	+	0.000	0.000	Merged-chr9-109931864-77
NR2782--MA0002.2.RUNX1	chr13	85430186	85430196	-	0.000	0.000	Merged-chr13-85430211-51
NR1978--MA0511.2.RUNX2	chr11	116554672	116554680	+	0.000	0.000	Merged-chr11-116554635-8
NR5173--MA0002.2.RUNX1	chr19	34192734	34192744	+	0.000	0.000	Merged-chr19-34192635-86
NR9056--MA0002.2.RUNX1	chr7	139125701	139125711	+	0.000	0.000	Merged-chr7-139125728-10
NR2910--MA0002.2.RUNX1	chr13	109845030	109845040	+	0.000	0.000	Merged-chr13-109845162-65
NR5696--MA0002.2.RUNX1	chr2	103945604	103945614	-	0.000	0.000	Merged-chr2-103945791-52
NR780--MA0002.2.RUNX1	chr1	193181245	193181255	+	0.000	0.000	Merged-chr1-193181317-39
NR5923--MA0511.2.RUNX2	chr2	152825926	152825934	+	0.000	0.000	Merged-chr2-152825903-49
NR2119--MA0684.1.RUNX3	chr12	52830988	52830997	-	0.000	0.000	Merged-chr12-52830906-26
NR7899--MA0002.2.RUNX1	chr6	15163813	15163823	+	0.000	0.000	Merged-chr6-15163954-12
NR7855--MA0511.2.RUNX2	chr5	149016051	149016059	+	0.000	0.000	Merged-chr5-149015984-54
NR10194--MA0002.2.RUNX1	chrX	95711774	95711784	+	0.000	0.000	Merged-chrX-95711904-50
NR9165--MA0002.2.RUNX1	chr8	22706637	22706647	-	0.000	0.000	Merged-chr8-22706462-69
NR9436--MA0002.2.RUNX1	chr8	118830517	118830527	+	0.000	0.000	Merged-chr8-118830505-12
NR7428--MA0684.1.RUNX3	chr5	62711063	62711072	+	0.000	0.000	Merged-chr5-62711036-55
NR5748--MA0684.1.RUNX3	chr2	118700448	118700457	+	0.000	0.000	Merged-chr2-118700490-41
NR3049--MA0002.2.RUNX1	chr14	27268393	27268403	-	0.000	0.000	Merged-chr14-27268313-23
NR6360--MA0002.2.RUNX1	chr3	90587001	90587011	+	0.000	0.000	Merged-chr3-90587051-129
NR3210--MA0511.2.RUNX2	chr14	73105525	73105533	+	0.000	0.000	Merged-chr14-73105519-8
