#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR358--MA0463.1.Bcl6	chr11	57912017	57912030	+	0.000	0.000	Merged-chr11-57911963-18
NR1576--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR2022--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR1832--MA0463.1.Bcl6	chr6	70774131	70774144	+	0.000	0.000	Merged-chr6-70773985-19
NR2279--MA0731.1.BCL6B	chr9	96916793	96916809	-	0.000	0.000	Merged-chr9-96916836-41
NR1752--MA0463.1.Bcl6	chr5	134237003	134237016	+	0.000	0.000	Merged-chr5-134237023-52
NR1948--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR296--MA0463.1.Bcl6	chr10	95781360	95781373	-	0.000	0.000	Merged-chr10-95781275-17
NR1506--MA0463.1.Bcl6	chr4	63928366	63928379	-	0.000	0.000	Merged-chr4-63928441-11
NR990--MA0463.1.Bcl6	chr18	42589626	42589639	+	0.000	0.000	Merged-chr18-42589675-37
NR838--MA0463.1.Bcl6	chr16	23988611	23988624	-	0.000	0.000	Merged-chr16-23988801-56
NR744--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1656--MA0731.1.BCL6B	chr5	45675263	45675279	-	0.000	0.000	Merged-chr5-45675268-16
NR1560--MA0463.1.Bcl6	chr4	119339289	119339302	-	0.000	0.000	Merged-chr4-119339139-34
NR1080--MA0731.1.BCL6B	chr19	46014589	46014605	+	0.000	0.000	Merged-chr19-46014734-21
NR2077--MA0463.1.Bcl6	chr7	131540223	131540236	-	0.000	0.000	Merged-chr7-131540239-21
NR2128--MA0731.1.BCL6B	chr8	41417113	41417129	+	0.000	0.000	Merged-chr8-41416899-78
NR1672--MA0463.1.Bcl6	chr5	68012934	68012947	-	0.000	0.000	Merged-chr5-68012876-26
NR1778--MA0731.1.BCL6B	chr6	13838596	13838612	+	0.000	0.000	Merged-chr6-13838758-42
NR1547--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR854--MA0731.1.BCL6B	chr16	45234682	45234698	-	0.000	0.000	Merged-chr16-45234640-6
NR1350--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR963--MA0731.1.BCL6B	chr17	84314198	84314214	+	0.000	0.000	Merged-chr17-84313962-71
NR315--MA0463.1.Bcl6	chr10	117916353	117916366	+	0.000	0.000	Merged-chr10-117916524-16
NR1757--MA0731.1.BCL6B	chr5	138264029	138264045	-	0.000	0.000	Merged-chr5-138263904-55
NR1122--MA0463.1.Bcl6	chr2	32857719	32857732	+	0.000	0.000	Merged-chr2-32857854-19
NR548--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR566--MA0463.1.Bcl6	chr13	55018513	55018526	-	0.000	0.000	Merged-chr13-55018443-69
NR2230--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR1364--MA0463.1.Bcl6	chr3	100422753	100422766	-	0.000	0.000	Merged-chr3-100422621-27
