#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR64164--MA0741.1.KLF16	chr8	94703561	94703571	-	0.000	0.000	Merged-chr8-94703693-158
NR52455--MA0493.1.Klf1	chr5	139372352	139372362	-	0.000	0.000	Merged-chr5-139372178-54
NR8539--MA0599.1.KLF5	chr10	122047966	122047975	-	0.000	0.000	Merged-chr10-122047923-4
NR10708--MA0741.1.KLF16	chr11	74838635	74838645	-	0.000	0.000	Merged-chr11-74838839-1
NR23398--MA0740.1.KLF14	chr15	79927823	79927836	+	0.000	0.000	Merged-chr15-79927783-58
NR54210--MA0599.1.KLF5	chr6	53068638	53068647	-	0.000	0.000	Merged-chr6-53068337-93
NR62484--MA0741.1.KLF16	chr8	18846428	18846438	-	0.000	0.000	Merged-chr8-18846559-82
NR1174--MA0599.1.KLF5	chr1	74332604	74332613	+	0.000	0.000	Merged-chr1-74332540-53
NR31653--MA1107.1.KLF9	chr18	73745214	73745226	-	0.000	0.000	Merged-chr18-73745138-6
NR37288--MA1107.1.KLF9	chr2	118728630	118728642	+	0.000	0.000	Merged-chr2-118728493-40
NR33774--MA0742.1.Klf12	chr19	45998318	45998332	+	0.000	0.000	Merged-chr19-45998382-59
NR26141--MA0741.1.KLF16	chr16	78264698	78264708	-	0.000	0.000	Merged-chr16-78264728-2
NR11804--MA0599.1.KLF5	chr11	97999427	97999436	+	0.000	0.000	Merged-chr11-97999442-46
NR68142--MA1107.1.KLF9	chr9	102834907	102834919	+	0.000	0.000	Merged-chr9-102834749-1
NR26980--MA0740.1.KLF14	chr17	6961215	6961228	+	0.000	0.000	Merged-chr17-6961334-74
NR9408--MA0741.1.KLF16	chr11	29515045	29515055	-	0.000	0.000	Merged-chr11-29515062-56
NR9733--MA0657.1.KLF13	chr11	50440164	50440181	+	0.000	0.000	Merged-chr11-50440008-21
NR41214--MA0493.1.Klf1	chr3	88142222	88142232	-	0.000	0.000	Merged-chr3-88142158-111
NR54755--MA1107.1.KLF9	chr6	86127143	86127155	-	0.000	0.000	Merged-chr6-86127203-6
NR49949--MA0741.1.KLF16	chr5	77165863	77165873	+	0.000	0.000	Merged-chr5-77165715-4
NR54965--MA0742.1.Klf12	chr6	91515909	91515923	+	0.000	0.000	Merged-chr6-91515827-72
NR23838--MA0742.1.Klf12	chr15	88819427	88819441	-	0.000	0.000	Merged-chr15-88819448-54
NR42089--MA0493.1.Klf1	chr3	107577980	107577990	+	0.000	0.000	Merged-chr3-107578034-11
NR53648--MA0493.1.Klf1	chr6	29467751	29467761	-	0.000	0.000	Merged-chr6-29467922-63
NR35360--MA0599.1.KLF5	chr2	33371146	33371155	+	0.000	0.000	Merged-chr2-33371227-82
NR41134--MA0599.1.KLF5	chr3	84345600	84345609	+	0.000	0.000	Merged-chr3-84345416-77
NR55752--MA0599.1.KLF5	chr6	118593943	118593952	+	0.000	0.000	Merged-chr6-118593680-90
NR58250--MA0741.1.KLF16	chr7	25238266	25238276	+	0.000	0.000	Merged-chr7-25238227-126
NR49835--MA0599.1.KLF5	chr5	74704612	74704621	+	0.000	0.000	Merged-chr5-74704453-70
NR37591--MA0742.1.Klf12	chr2	127304896	127304910	+	0.000	0.000	Merged-chr2-127304764-20
NR12271--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR42470--MA0599.1.KLF5	chr3	122466445	122466454	-	0.000	0.000	Merged-chr3-122466256-42
NR64021--MA0599.1.KLF5	chr8	88771394	88771403	-	0.000	0.000	Merged-chr8-88771445-24
