#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR789--MA0766.1.GATA5	chr10	67637033	67637040	-	0.000	0.000	Merged-chr10-67637087-65
NR2499--MA0140.2.GATA1::TAL1	chr15	12588890	12588907	+	0.000	0.000	Merged-chr15-12588856-30
NR671--MA0035.3.Gata1	chr10	18009884	18009894	+	0.000	0.000	Merged-chr10-18009949-7
NR3036--MA0035.3.Gata1	chr17	34628038	34628048	+	0.000	0.000	Merged-chr17-34628097-3
NR1027--MA0140.2.GATA1::TAL1	chr10	128696396	128696413	+	0.000	0.000	Merged-chr10-128696320-57
NR1356--MA0035.3.Gata1	chr11	108101663	108101673	+	0.000	0.000	Merged-chr11-108101692-19
NR2486--MA0766.1.GATA5	chr15	8073376	8073383	+	0.000	0.000	Merged-chr15-8073323-37
NR694--MA0482.1.Gata4	chr10	26494573	26494583	-	0.000	0.000	Merged-chr10-26494616-56
NR1507--MA0482.1.Gata4	chr12	39920867	39920877	-	0.000	0.000	Merged-chr12-39920734-11
NR3172--MA0037.3.GATA3	chr17	79603740	79603747	-	0.000	0.000	Merged-chr17-79603742-19
NR3219--MA0036.3.GATA2	chr18	4349947	4349957	-	0.000	0.000	Merged-chr18-4350067-14
NR607--MA0035.3.Gata1	chr1	189841524	189841534	-	0.000	0.000	Merged-chr1-189841407-2
NR1478--MA0035.3.Gata1	chr12	25270022	25270032	-	0.000	0.000	Merged-chr12-25270049-10
NR3932--MA0037.3.GATA3	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR1776--MA0037.3.GATA3	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR4340--MA0036.3.GATA2	chr3	52878542	52878552	+	0.000	0.000	Merged-chr3-52878450-55
NR46--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR6712--MA0140.2.GATA1::TAL1	chr9	41118241	41118258	-	0.000	0.000	Merged-chr9-41118206-38
NR4735--MA0482.1.Gata4	chr3	159509172	159509182	+	0.000	0.000	Merged-chr3-159509158-33
NR724--MA0036.3.GATA2	chr10	39488318	39488328	-	0.000	0.000	Merged-chr10-39488240-32
NR5175--MA0482.1.Gata4	chr5	65795514	65795524	+	0.000	0.000	Merged-chr5-65795420-10
NR2936--MA0035.3.Gata1	chr17	5798686	5798696	-	0.000	0.000	Merged-chr17-5798527-14
NR2160--MA0766.1.GATA5	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR7158--MA0036.3.GATA2	chrX	167038165	167038175	-	0.000	0.000	Merged-chrX-167038027-22
NR1053--MA0482.1.Gata4	chr11	3387173	3387183	-	0.000	0.000	Merged-chr11-3387260-37
NR613--MA1104.1.GATA6	chr1	191391468	191391480	-	0.000	0.000	Merged-chr1-191391579-39
NR1324--MA0482.1.Gata4	chr11	103346388	103346398	+	0.000	0.000	Merged-chr11-103346367-17
NR4430--MA0482.1.Gata4	chr3	97076429	97076439	-	0.000	0.000	Merged-chr3-97076384-70
NR6556--MA0036.3.GATA2	chr8	117278453	117278463	+	0.000	0.000	Merged-chr8-117278352-17
NR7139--MA0482.1.Gata4	chrX	136616096	136616106	+	0.000	0.000	Merged-chrX-136616157-16
NR4528--MA0036.3.GATA2	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR4605--MA0482.1.Gata4	chr3	136611951	136611961	-	0.000	0.000	Merged-chr3-136611929-48
NR4738--MA0035.3.Gata1	chr3	159509171	159509181	+	0.000	0.000	Merged-chr3-159509158-33
NR1341--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR5500--MA0140.2.GATA1::TAL1	chr6	51073645	51073662	+	0.000	0.000	Merged-chr6-51073558-17
NR5087--MA0766.1.GATA5	chr5	17422756	17422763	-	0.000	0.000	Merged-chr5-17422615-4
NR4433--MA0035.3.Gata1	chr3	97076430	97076440	-	0.000	0.000	Merged-chr3-97076384-70
NR617--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR1830--MA0037.3.GATA3	chr13	32993666	32993673	-	0.000	0.000	Merged-chr13-32993550-50
NR6222--MA0035.3.Gata1	chr7	119836235	119836245	+	0.000	0.000	Merged-chr7-119836348-71
NR2285--MA0036.3.GATA2	chr14	54181415	54181425	+	0.000	0.000	Merged-chr14-54181464-26
NR4769--MA0766.1.GATA5	chr4	32615369	32615376	-	0.000	0.000	Merged-chr4-32615355-52
NR5276--MA0482.1.Gata4	chr5	105244863	105244873	-	0.000	0.000	Merged-chr5-105244982-37
NR1316--MA0482.1.Gata4	chr11	101661873	101661883	-	0.000	0.000	Merged-chr11-101661964-4
NR2349--MA0037.3.GATA3	chr14	66241477	66241484	-	0.000	0.000	Merged-chr14-66241484-22
NR6711--MA0035.3.Gata1	chr9	41118250	41118260	-	0.000	0.000	Merged-chr9-41118206-38
NR4284--MA0035.3.Gata1	chr3	14869855	14869865	-	0.000	0.000	Merged-chr3-14869878-60
NR2968--MA1104.1.GATA6	chr17	13654772	13654784	+	0.000	0.000	Merged-chr17-13654932-70
NR2732--MA0035.3.Gata1	chr16	23306051	23306061	-	0.000	0.000	Merged-chr16-23306128-31
NR4977--MA0036.3.GATA2	chr4	139293491	139293501	+	0.000	0.000	Merged-chr4-139293440-1
NR397--MA0035.3.Gata1	chr1	156956632	156956642	+	0.000	0.000	Merged-chr1-156956579-55
NR5564--MA0037.3.GATA3	chr6	91172603	91172610	+	0.000	0.000	Merged-chr6-91172590-9
NR2898--MA0482.1.Gata4	chr16	93918466	93918476	+	0.000	0.000	Merged-chr16-93918388-61
NR5397--MA0140.2.GATA1::TAL1	chr5	146860810	146860827	-	0.000	0.000	Merged-chr5-146860764-19
NR1438--MA0482.1.Gata4	chr11	119352714	119352724	-	0.000	0.000	Merged-chr11-119352857-1
NR2497--MA0482.1.Gata4	chr15	10981753	10981763	-	0.000	0.000	Merged-chr15-10981797-77
NR2819--MA0036.3.GATA2	chr16	64824833	64824843	+	0.000	0.000	Merged-chr16-64824762-36
NR4805--MA0140.2.GATA1::TAL1	chr4	53370874	53370891	-	0.000	0.000	Merged-chr4-53370792-1
NR4372--MA0035.3.Gata1	chr3	75696299	75696309	-	0.000	0.000	Merged-chr3-75696372-7
NR4736--MA1104.1.GATA6	chr3	159509170	159509182	-	0.000	0.000	Merged-chr3-159509158-33
NR4051--MA1104.1.GATA6	chr2	120026842	120026854	+	0.000	0.000	Merged-chr2-120026874-2
NR7061--MA0037.3.GATA3	chr9	120493245	120493252	-	0.000	0.000	Merged-chr9-120493281-1
NR4431--MA1104.1.GATA6	chr3	97076429	97076441	+	0.000	0.000	Merged-chr3-97076384-70
NR5304--MA0037.3.GATA3	chr5	122145603	122145610	-	0.000	0.000	Merged-chr5-122145635-51
NR6388--MA0766.1.GATA5	chr8	33898110	33898117	+	0.000	0.000	Merged-chr8-33898095-27
NR1468--MA0037.3.GATA3	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR2105--MA0035.3.Gata1	chr13	106836444	106836454	+	0.000	0.000	Merged-chr13-106836459-51
NR4836--MA0766.1.GATA5	chr4	83785597	83785604	-	0.000	0.000	Merged-chr4-83785408-9
NR2681--MA0482.1.Gata4	chr16	7419926	7419936	+	0.000	0.000	Merged-chr16-7419949-42
NR2333--MA0482.1.Gata4	chr14	62342731	62342741	-	0.000	0.000	Merged-chr14-62342844-35
NR939--MA0036.3.GATA2	chr10	111583205	111583215	-	0.000	0.000	Merged-chr10-111583294-13
NR2123--MA0766.1.GATA5	chr13	108854221	108854228	+	0.000	0.000	Merged-chr13-108854384-23
NR264--MA0766.1.GATA5	chr1	128057473	128057480	-	0.000	0.000	Merged-chr1-128057377-21
NR2195--MA0035.3.Gata1	chr14	25535444	25535454	-	0.000	0.000	Merged-chr14-25535305-16
NR1814--MA0037.3.GATA3	chr13	32411687	32411694	+	0.000	0.000	Merged-chr13-32411761-17
NR5700--MA0035.3.Gata1	chr6	127272915	127272925	-	0.000	0.000	Merged-chr6-127272790-27
NR5681--MA0035.3.Gata1	chr6	122274707	122274717	-	0.000	0.000	Merged-chr6-122274694-14
NR2467--MA0140.2.GATA1::TAL1	chr14	121829945	121829962	+	0.000	0.000	Merged-chr14-121830164-49
NR6577--MA0482.1.Gata4	chr8	122533227	122533237	-	0.000	0.000	Merged-chr8-122533289-14
NR2789--MA0140.2.GATA1::TAL1	chr16	49800303	49800320	-	0.000	0.000	Merged-chr16-49800187-31
NR1450--MA0035.3.Gata1	chr12	3427691	3427701	+	0.000	0.000	Merged-chr12-3427631-4
NR3310--MA0766.1.GATA5	chr18	55107111	55107118	-	0.000	0.000	Merged-chr18-55107186-34
NR2161--MA0035.3.Gata1	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR6562--MA0036.3.GATA2	chr8	117801964	117801974	-	0.000	0.000	Merged-chr8-117802067-74
NR2111--MA1104.1.GATA6	chr13	108045779	108045791	-	0.000	0.000	Merged-chr13-108045887-18
NR3510--MA0035.3.Gata1	chr19	9899582	9899592	+	0.000	0.000	Merged-chr19-9899505-60
NR6195--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR2336--MA0035.3.Gata1	chr14	62342732	62342742	-	0.000	0.000	Merged-chr14-62342844-35
NR6737--MA0036.3.GATA2	chr9	50924696	50924706	+	0.000	0.000	Merged-chr9-50924601-13
NR3661--MA0140.2.GATA1::TAL1	chr19	57610835	57610852	+	0.000	0.000	Merged-chr19-57611096-119
NR5277--MA1104.1.GATA6	chr5	105244863	105244875	+	0.000	0.000	Merged-chr5-105244982-37
NR6604--MA0766.1.GATA5	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR1317--MA1104.1.GATA6	chr11	101661873	101661885	+	0.000	0.000	Merged-chr11-101661964-4
NR2362--MA0140.2.GATA1::TAL1	chr14	75829226	75829243	+	0.000	0.000	Merged-chr14-75829249-72
NR6447--MA0482.1.Gata4	chr8	84813345	84813355	-	0.000	0.000	Merged-chr8-84813219-19
NR6262--MA0035.3.Gata1	chr7	127144581	127144591	+	0.000	0.000	Merged-chr7-127144596-50
NR2684--MA0140.2.GATA1::TAL1	chr16	7419927	7419944	+	0.000	0.000	Merged-chr16-7419949-42
NR5460--MA0766.1.GATA5	chr6	12080607	12080614	+	0.000	0.000	Merged-chr6-12080624-16
NR1320--MA0035.3.Gata1	chr11	101661874	101661884	-	0.000	0.000	Merged-chr11-101661964-4
NR2216--MA0482.1.Gata4	chr14	34549214	34549224	-	0.000	0.000	Merged-chr14-34549308-78
NR4082--MA0482.1.Gata4	chr2	138245648	138245658	-	0.000	0.000	Merged-chr2-138245729-1
NR389--MA0036.3.GATA2	chr1	155223926	155223936	-	0.000	0.000	Merged-chr1-155224072-96
NR3833--MA0140.2.GATA1::TAL1	chr2	58907066	58907083	+	0.000	0.000	Merged-chr2-58907164-60
NR2485--MA1104.1.GATA6	chr15	8073373	8073385	+	0.000	0.000	Merged-chr15-8073323-37
NR1008--MA0482.1.Gata4	chr10	122976185	122976195	-	0.000	0.000	Merged-chr10-122976254-31
NR1439--MA1104.1.GATA6	chr11	119352714	119352726	+	0.000	0.000	Merged-chr11-119352857-1
NR3921--MA0766.1.GATA5	chr2	84887896	84887903	-	0.000	0.000	Merged-chr2-84887926-27
