#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR2698--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR2125--MA0463.1.Bcl6	chr5	142909449	142909462	+	0.000	0.000	Merged-chr5-142909413-47
NR1935--MA0463.1.Bcl6	chr4	130931051	130931064	+	0.000	0.000	Merged-chr4-130930977-2
NR479--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR2255--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR282--MA0463.1.Bcl6	chr10	34127943	34127956	-	0.000	0.000	Merged-chr10-34127873-95
NR1707--MA0463.1.Bcl6	chr3	129308435	129308448	+	0.000	0.000	Merged-chr3-129308560-67
NR1922--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR2428--MA0731.1.BCL6B	chr7	125551776	125551792	+	0.000	0.000	Merged-chr7-125551601-1
NR1032--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR148--MA0463.1.Bcl6	chr1	136255787	136255800	-	0.000	0.000	Merged-chr1-136255836-2
NR1760--MA0731.1.BCL6B	chr3	152920442	152920458	-	0.000	0.000	Merged-chr3-152920565-52
NR1412--MA0731.1.BCL6B	chr2	52979409	52979425	-	0.000	0.000	Merged-chr2-52979573-5
NR721--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1837--MA0463.1.Bcl6	chr4	57656576	57656589	+	0.000	0.000	Merged-chr4-57656422-17
NR1949--MA0463.1.Bcl6	chr4	145312772	145312785	-	0.000	0.000	Merged-chr4-145312696-44
NR1568--MA0731.1.BCL6B	chr2	162931369	162931385	-	0.000	0.000	Merged-chr2-162931607-133
NR2399--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR1547--MA0731.1.BCL6B	chr2	145957574	145957590	-	0.000	0.000	Merged-chr2-145957643-25
NR1513--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR874--MA0463.1.Bcl6	chr14	79290614	79290627	+	0.000	0.000	Merged-chr14-79290638-34
NR2128--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR1672--MA0463.1.Bcl6	chr3	97297577	97297590	+	0.000	0.000	Merged-chr3-97297834-52
NR2095--MA0463.1.Bcl6	chr5	105718531	105718544	-	0.000	0.000	Merged-chr5-105718341-55
NR1906--MA0731.1.BCL6B	chr4	108460927	108460943	-	0.000	0.000	Merged-chr4-108460975-1
NR602--MA0731.1.BCL6B	chr12	117173460	117173476	-	0.000	0.000	Merged-chr12-117173433-4
NR1659--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR440--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR724--MA0731.1.BCL6B	chr13	93355319	93355335	+	0.000	0.000	Merged-chr13-93355176-15
NR1866--MA0731.1.BCL6B	chr4	86739316	86739332	+	0.000	0.000	Merged-chr4-86739424-15
NR351--MA0463.1.Bcl6	chr10	94552062	94552075	+	0.000	0.000	Merged-chr10-94552139-57
NR1356--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR2436--MA0463.1.Bcl6	chr7	139068522	139068535	+	0.000	0.000	Merged-chr7-139068338-42
NR1008--MA0731.1.BCL6B	chr15	102109295	102109311	+	0.000	0.000	Merged-chr15-102109338-20
NR105--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR1006--MA0463.1.Bcl6	chr15	100845568	100845581	-	0.000	0.000	Merged-chr15-100845371-50
NR1322--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR955--MA0731.1.BCL6B	chr15	36938043	36938059	-	0.000	0.000	Merged-chr15-36937970-1
NR2360--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR2208--MA0463.1.Bcl6	chr6	72401946	72401959	-	0.000	0.000	Merged-chr6-72402055-12
NR2472--MA0463.1.Bcl6	chr8	40961932	40961945	-	0.000	0.000	Merged-chr8-40961976-32
NR921--MA0731.1.BCL6B	chr15	5144593	5144609	+	0.000	0.000	Merged-chr15-5144505-4
NR1064--MA0731.1.BCL6B	chr16	31683791	31683807	+	0.000	0.000	Merged-chr16-31683796-20
NR1444--MA0731.1.BCL6B	chr2	72283051	72283067	+	0.000	0.000	Merged-chr2-72282934-17
NR1942--MA0463.1.Bcl6	chr4	134767951	134767964	-	0.000	0.000	Merged-chr4-134767796-55
NR62--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR2356--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR1499--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR1038--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR2016--MA0463.1.Bcl6	chr5	35713917	35713930	+	0.000	0.000	Merged-chr5-35713868-16
NR1177--MA0463.1.Bcl6	chr17	35997138	35997151	-	0.000	0.000	Merged-chr17-35997233-37
NR388--MA0463.1.Bcl6	chr10	122578750	122578763	+	0.000	0.000	Merged-chr10-122578660-68
NR173--MA0463.1.Bcl6	chr1	161713000	161713013	-	0.000	0.000	Merged-chr1-161713119-39
NR500--MA0463.1.Bcl6	chr12	16533510	16533523	-	0.000	0.000	Merged-chr12-16533665-29
NR2276--MA0463.1.Bcl6	chr6	131276621	131276634	-	0.000	0.000	Merged-chr6-131276753-31
NR1880--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR2190--MA0731.1.BCL6B	chr6	54703245	54703261	+	0.000	0.000	Merged-chr6-54703132-16
NR2636--MA0731.1.BCL6B	chr9	86393757	86393773	+	0.000	0.000	Merged-chr9-86393704-34
NR2169--MA0463.1.Bcl6	chr6	34346703	34346716	+	0.000	0.000	Merged-chr6-34346731-18
NR2474--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR809--MA0731.1.BCL6B	chr14	25481268	25481284	-	0.000	0.000	Merged-chr14-25481230-34
NR1518--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR27--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR729--MA0463.1.Bcl6	chr13	95685910	95685923	+	0.000	0.000	Merged-chr13-95685937-61
NR868--MA0463.1.Bcl6	chr14	74977128	74977141	-	0.000	0.000	Merged-chr14-74977138-7
NR2411--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR865--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR722--MA0731.1.BCL6B	chr13	92671666	92671682	+	0.000	0.000	Merged-chr13-92671922-24
NR1136--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR735--MA0731.1.BCL6B	chr13	102097597	102097613	-	0.000	0.000	Merged-chr13-102097534-1
NR2703--MA0731.1.BCL6B	chrX	100494214	100494230	-	0.000	0.000	Merged-chrX-100494288-61
NR2680--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR573--MA0731.1.BCL6B	chr12	86891613	86891629	+	0.000	0.000	Merged-chr12-86891663-3
NR368--MA0731.1.BCL6B	chr10	105292902	105292918	-	0.000	0.000	Merged-chr10-105293001-1
NR2528--MA0463.1.Bcl6	chr8	94330997	94331010	-	0.000	0.000	Merged-chr8-94330995-25
NR1529--MA0731.1.BCL6B	chr2	135737800	135737816	-	0.000	0.000	Merged-chr2-135737673-31
NR1367--MA0731.1.BCL6B	chr2	11118760	11118776	-	0.000	0.000	Merged-chr2-11118835-29
NR172--MA0731.1.BCL6B	chr1	161660902	161660918	+	0.000	0.000	Merged-chr1-161660991-11
NR439--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR2121--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1264--MA0463.1.Bcl6	chr18	39664129	39664142	+	0.000	0.000	Merged-chr18-39664266-42
NR1161--MA0463.1.Bcl6	chr17	17567233	17567246	+	0.000	0.000	Merged-chr17-17567389-12
NR2437--MA0731.1.BCL6B	chr7	139068519	139068535	-	0.000	0.000	Merged-chr7-139068338-42
NR359--MA0463.1.Bcl6	chr10	99199137	99199150	-	0.000	0.000	Merged-chr10-99199242-8
NR1936--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR382--MA0731.1.BCL6B	chr10	115406526	115406542	-	0.000	0.000	Merged-chr10-115406653-18
NR2397--MA0731.1.BCL6B	chr7	100607551	100607567	+	0.000	0.000	Merged-chr7-100607633-74
NR2429--MA0731.1.BCL6B	chr7	126230773	126230789	-	0.000	0.000	Merged-chr7-126230639-34
NR1838--MA0463.1.Bcl6	chr4	58081258	58081271	+	0.000	0.000	Merged-chr4-58081365-7
NR167--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR2601--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR1413--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR658--MA0731.1.BCL6B	chr13	33001651	33001667	-	0.000	0.000	Merged-chr13-33001523-50
NR244--MA0731.1.BCL6B	chr10	7681970	7681986	-	0.000	0.000	Merged-chr10-7681828-7
NR857--MA0463.1.Bcl6	chr14	57680133	57680146	+	0.000	0.000	Merged-chr14-57680165-28
NR2400--MA0463.1.Bcl6	chr7	104369993	104370006	-	0.000	0.000	Merged-chr7-104370069-34
NR660--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR1427--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR2605--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR2129--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR507--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR2647--MA0463.1.Bcl6	chr9	95072707	95072720	-	0.000	0.000	Merged-chr9-95072706-61
NR1745--MA0731.1.BCL6B	chr3	146783896	146783912	-	0.000	0.000	Merged-chr3-146783871-10
NR1217--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR358--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR2213--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
