#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR25977--MA0657.1.KLF13	chr16	16146889	16146906	+	0.000	0.000	Merged-chr16-16146725-61
NR31314--MA0599.1.KLF5	chr18	4296001	4296010	+	0.000	0.000	Merged-chr18-4296046-21
NR62484--MA0741.1.KLF16	chr8	22166303	22166313	-	0.000	0.000	Merged-chr8-22166326-62
NR1174--MA0599.1.KLF5	chr1	58973436	58973445	+	0.000	0.000	Merged-chr1-58973623-66
NR16903--MA1107.1.KLF9	chr13	45876477	45876489	+	0.000	0.000	Merged-chr13-45876609-5
NR11118--MA1107.1.KLF9	chr11	69409483	69409495	+	0.000	0.000	Merged-chr11-69409455-74
NR39010--MA0741.1.KLF16	chr2	136917805	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR49168--MA0599.1.KLF5	chr4	155050348	155050357	+	0.000	0.000	Merged-chr4-155050218-26
NR26190--MA1107.1.KLF9	chr16	23102918	23102930	-	0.000	0.000	Merged-chr16-23102925-22
NR68348--MA1107.1.KLF9	chr9	121314942	121314954	-	0.000	0.000	Merged-chr9-121314876-15
NR65146--MA0741.1.KLF16	chr8	120668183	120668193	+	0.000	0.000	Merged-chr8-120668120-83
NR24732--MA0741.1.KLF16	chr15	85654012	85654022	+	0.000	0.000	Merged-chr15-85653877-74
NR35360--MA0599.1.KLF5	chr2	11777728	11777737	+	0.000	0.000	Merged-chr2-11777973-128
NR7341--MA0493.1.Klf1	chr10	77606499	77606509	+	0.000	0.000	Merged-chr10-77606503-166
NR60204--MA0741.1.KLF16	chr7	80032535	80032545	+	0.000	0.000	Merged-chr7-80032517-2
NR29166--MA0740.1.KLF14	chr17	29394034	29394047	-	0.000	0.000	Merged-chr17-29393996-77
NR68523--MA0741.1.KLF16	chrX	8132735	8132745	+	0.000	0.000	Merged-chrX-8132839-1
NR7848--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
NR45923--MA0741.1.KLF16	chr4	43656491	43656501	-	0.000	0.000	Merged-chr4-43656546-52
NR63700--MA1107.1.KLF9	chr8	70797266	70797278	-	0.000	0.000	Merged-chr8-70797334-59
NR65678--MA0742.1.Klf12	chr9	15357834	15357848	+	0.000	0.000	Merged-chr9-15357727-65
NR13737--MA0493.1.Klf1	chr12	33036351	33036361	+	0.000	0.000	Merged-chr12-33036196-25
NR62942--MA0493.1.Klf1	chr8	39056373	39056383	-	0.000	0.000	Merged-chr8-39056272-4
NR29335--MA0742.1.Klf12	chr17	33998960	33998974	-	0.000	0.000	Merged-chr17-33999093-34
NR16437--MA0039.3.KLF4	chr13	23453845	23453855	+	0.000	0.000	Merged-chr13-23453663-42
NR12271--MA0740.1.KLF14	chr11	101226464	101226477	+	0.000	0.000	Merged-chr11-101226407-43
NR20230--MA0741.1.KLF16	chr14	32492708	32492718	+	0.000	0.000	Merged-chr14-32492758-31
NR12369--MA0741.1.KLF16	chr11	103175214	103175224	-	0.000	0.000	Merged-chr11-103175136-47
NR59049--MA0039.3.KLF4	chr7	30626220	30626230	+	0.000	0.000	Merged-chr7-30626131-41
NR20990--MA0493.1.Klf1	chr14	57769261	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR48011--MA0740.1.KLF14	chr4	128962502	128962515	+	0.000	0.000	Merged-chr4-128962566-44
NR43767--MA0741.1.KLF16	chr3	131272103	131272113	+	0.000	0.000	Merged-chr3-131271947-79
NR40256--MA0742.1.Klf12	chr2	173659684	173659698	+	0.000	0.000	Merged-chr2-173659827-104
NR69326--MA1107.1.KLF9	chrX	135601842	135601854	+	0.000	0.000	Merged-chrX-135601772-31
NR11113--MA0039.3.KLF4	chr11	69401436	69401446	+	0.000	0.000	Merged-chr11-69401473-44
NR59520--MA0493.1.Klf1	chr7	46639810	46639820	-	0.000	0.000	Merged-chr7-46639840-59
NR2482--MA1107.1.KLF9	chr1	119151861	119151873	-	0.000	0.000	Merged-chr1-119151846-1
NR33834--MA0599.1.KLF5	chr19	4928290	4928299	+	0.000	0.000	Merged-chr19-4928305-60
NR3694--MA0599.1.KLF5	chr1	156660676	156660685	+	0.000	0.000	Merged-chr1-156660698-35
NR34215--MA0039.3.KLF4	chr19	21747506	21747516	+	0.000	0.000	Merged-chr19-21747536-25
NR59440--MA0599.1.KLF5	chr7	45339645	45339654	+	0.000	0.000	Merged-chr7-45339768-30
NR24306--MA1107.1.KLF9	chr15	78581515	78581527	-	0.000	0.000	Merged-chr15-78581743-66
NR31009--MA0741.1.KLF16	chr17	86963020	86963030	+	0.000	0.000	Merged-chr17-86962989-104
NR31774--MA1107.1.KLF9	chr18	24309578	24309590	-	0.000	0.000	Merged-chr18-24309700-12
NR65398--MA0741.1.KLF16	chr8	125725408	125725418	-	0.000	0.000	Merged-chr8-125725496-61
NR40268--MA0599.1.KLF5	chr2	173679404	173679413	+	0.000	0.000	Merged-chr2-173679251-44
NR20891--MA1107.1.KLF9	chr14	54686690	54686702	+	0.000	0.000	Merged-chr14-54686537-116
NR52405--MA0741.1.KLF16	chr5	115119355	115119365	-	0.000	0.000	Merged-chr5-115119310-50
NR50183--MA0741.1.KLF16	chr5	33629645	33629655	+	0.000	0.000	Merged-chr5-33629620-114
NR65205--MA0599.1.KLF5	chr8	122432956	122432965	+	0.000	0.000	Merged-chr8-122432955-76
NR11639--MA0740.1.KLF14	chr11	84513563	84513576	-	0.000	0.000	Merged-chr11-84513596-65
NR60900--MA0740.1.KLF14	chr7	105452031	105452044	-	0.000	0.000	Merged-chr7-105452166-2
NR909--MA0599.1.KLF5	chr1	43500581	43500590	-	0.000	0.000	Merged-chr1-43500582-54
NR58663--MA0493.1.Klf1	chr7	24934917	24934927	+	0.000	0.000	Merged-chr7-24934785-2
NR53560--MA0741.1.KLF16	chr5	139826570	139826580	+	0.000	0.000	Merged-chr5-139826788-34
NR61512--MA0493.1.Klf1	chr7	127708351	127708361	-	0.000	0.000	Merged-chr7-127708553-93
NR32186--MA0742.1.Klf12	chr18	39031323	39031337	+	0.000	0.000	Merged-chr18-39031215-33
NR43082--MA0741.1.KLF16	chr3	104992828	104992838	+	0.000	0.000	Merged-chr3-104992904-39
NR65806--MA0742.1.Klf12	chr9	21320730	21320744	-	0.000	0.000	Merged-chr9-21320762-47
NR5895--MA0742.1.Klf12	chr10	25576338	25576352	-	0.000	0.000	Merged-chr10-25576456-2
NR12566--MA1107.1.KLF9	chr11	111792065	111792077	+	0.000	0.000	Merged-chr11-111792002-31
NR6855--MA0741.1.KLF16	chr10	63023947	63023957	+	0.000	0.000	Merged-chr10-63023888-111
NR49947--MA0599.1.KLF5	chr5	24577499	24577508	-	0.000	0.000	Merged-chr5-24577562-64
NR32743--MA1107.1.KLF9	chr18	60844149	60844161	-	0.000	0.000	Merged-chr18-60844209-77
NR26250--MA0741.1.KLF16	chr16	24450149	24450159	-	0.000	0.000	Merged-chr16-24450067-2
NR33279--MA0599.1.KLF5	chr18	75370567	75370576	+	0.000	0.000	Merged-chr18-75370606-43
NR23778--MA0740.1.KLF14	chr15	58823639	58823652	-	0.000	0.000	Merged-chr15-58823489-98
NR25862--MA0493.1.Klf1	chr16	10969311	10969321	-	0.000	0.000	Merged-chr16-10969472-37
NR4033--MA0741.1.KLF16	chr1	167339598	167339608	-	0.000	0.000	Merged-chr1-167339598-12
NR53250--MA0599.1.KLF5	chr5	135545383	135545392	+	0.000	0.000	Merged-chr5-135545364-67
NR21432--MA0740.1.KLF14	chr14	75754080	75754093	+	0.000	0.000	Merged-chr14-75754322-81
NR62659--MA0741.1.KLF16	chr8	27161537	27161547	-	0.000	0.000	Merged-chr8-27161535-3
NR54513--MA0039.3.KLF4	chr6	24310903	24310913	-	0.000	0.000	Merged-chr6-24310854-8
NR37234--MA0741.1.KLF16	chr2	72997221	72997231	-	0.000	0.000	Merged-chr2-72997142-44
NR45761--MA0741.1.KLF16	chr4	41348061	41348071	+	0.000	0.000	Merged-chr4-41348000-22
NR11155--MA0599.1.KLF5	chr11	69948287	69948296	+	0.000	0.000	Merged-chr11-69948307-18
NR64114--MA1107.1.KLF9	chr8	84128439	84128451	+	0.000	0.000	Merged-chr8-84128468-26
NR11494--MA1107.1.KLF9	chr11	78301518	78301530	-	0.000	0.000	Merged-chr11-78301552-46
NR25087--MA1107.1.KLF9	chr15	93275403	93275415	+	0.000	0.000	Merged-chr15-93275409-98
NR30070--MA0741.1.KLF16	chr17	56758320	56758330	-	0.000	0.000	Merged-chr17-56758329-12
NR63695--MA0657.1.KLF13	chr8	70797262	70797279	-	0.000	0.000	Merged-chr8-70797334-59
NR14429--MA0741.1.KLF16	chr12	69539531	69539541	-	0.000	0.000	Merged-chr12-69539558-45
NR15271--MA0039.3.KLF4	chr12	100856454	100856464	+	0.000	0.000	Merged-chr12-100856491-28
NR3064--MA0741.1.KLF16	chr1	138157153	138157163	-	0.000	0.000	Merged-chr1-138157317-43
NR23374--MA0599.1.KLF5	chr15	38301078	38301087	-	0.000	0.000	Merged-chr15-38301067-73
NR12478--MA0741.1.KLF16	chr11	106788648	106788658	+	0.000	0.000	Merged-chr11-106788603-141
NR14612--MA0493.1.Klf1	chr12	77060212	77060222	+	0.000	0.000	Merged-chr12-77060270-44
NR53488--MA0657.1.KLF13	chr5	138280291	138280308	-	0.000	0.000	Merged-chr5-138280109-50
NR35349--MA0741.1.KLF16	chr2	11777592	11777602	+	0.000	0.000	Merged-chr2-11777973-128
NR36637--MA1107.1.KLF9	chr2	51223806	51223818	+	0.000	0.000	Merged-chr2-51223946-1
NR30017--MA0657.1.KLF13	chr17	56357744	56357761	+	0.000	0.000	Merged-chr17-56357646-33
NR28125--MA0599.1.KLF5	chr16	97310087	97310096	-	0.000	0.000	Merged-chr16-97310397-57
NR25315--MA0740.1.KLF14	chr15	99702383	99702396	-	0.000	0.000	Merged-chr15-99702299-64
NR18873--MA0493.1.Klf1	chr13	106825808	106825818	-	0.000	0.000	Merged-chr13-106825787-11
NR17242--MA0599.1.KLF5	chr13	58402844	58402853	+	0.000	0.000	Merged-chr13-58402711-8
NR10495--MA0740.1.KLF14	chr11	49083338	49083351	+	0.000	0.000	Merged-chr11-49083360-4
NR26966--MA0599.1.KLF5	chr16	57434815	57434824	-	0.000	0.000	Merged-chr16-57434811-45
NR66868--MA0599.1.KLF5	chr9	65586972	65586981	+	0.000	0.000	Merged-chr9-65587090-27
NR20871--MA0742.1.Klf12	chr14	54464112	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR25879--MA0742.1.Klf12	chr16	11134650	11134664	+	0.000	0.000	Merged-chr16-11134662-66
NR34023--MA1107.1.KLF9	chr19	8695518	8695530	-	0.000	0.000	Merged-chr19-8695569-23
NR9535--MA0599.1.KLF5	chr10	128526136	128526145	+	0.000	0.000	Merged-chr10-128526022-11
NR62516--MA0741.1.KLF16	chr8	22227124	22227134	+	0.000	0.000	Merged-chr8-22227321-39
