#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR170--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR1060--MA0508.2.PRDM1	chr2	146606417	146606426	+	0.000	0.000	Merged-chr2-146606447-27
NR964--MA0508.2.PRDM1	chr2	34790478	34790487	-	0.000	0.000	Merged-chr2-34790571-52
NR1487--MA0508.2.PRDM1	chr6	85239210	85239219	-	0.000	0.000	Merged-chr6-85239239-25
NR311--MA0508.2.PRDM1	chr11	83942126	83942135	-	0.000	0.000	Merged-chr11-83942163-42
NR977--MA0508.2.PRDM1	chr2	57833151	57833160	+	0.000	0.000	Merged-chr2-57833187-31
NR1201--MA0508.2.PRDM1	chr3	148510614	148510623	+	0.000	0.000	Merged-chr3-148510691-67
NR28--MA0508.2.PRDM1	chr1	82879333	82879342	-	0.000	0.000	Merged-chr1-82879357-31
NR292--MA0508.2.PRDM1	chr11	66905954	66905963	-	0.000	0.000	Merged-chr11-66906049-23
NR1453--MA0508.2.PRDM1	chr6	40400235	40400244	-	0.000	0.000	Merged-chr6-40400287-7
NR1248--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR1519--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR1105--MA0508.2.PRDM1	chr3	51559774	51559783	-	0.000	0.000	Merged-chr3-51559853-4
NR943--MA0508.2.PRDM1	chr2	9574307	9574316	+	0.000	0.000	Merged-chr2-9574386-32
NR324--MA0508.2.PRDM1	chr11	100555826	100555835	+	0.000	0.000	Merged-chr11-100555804-21
NR1009--MA0508.2.PRDM1	chr2	105021926	105021935	-	0.000	0.000	Merged-chr2-105022109-54
NR847--MA0508.2.PRDM1	chr18	50053409	50053418	+	0.000	0.000	Merged-chr18-50053279-83
NR1323--MA0508.2.PRDM1	chr4	155694252	155694261	+	0.000	0.000	Merged-chr4-155694254-1
NR1118--MA0508.2.PRDM1	chr3	64205380	64205389	+	0.000	0.000	Merged-chr3-64205377-25
NR1575--MA0508.2.PRDM1	chr7	29908552	29908561	-	0.000	0.000	Merged-chr7-29908489-59
NR1479--MA0508.2.PRDM1	chr6	70103465	70103474	-	0.000	0.000	Merged-chr6-70103466-27
NR1065--MA0508.2.PRDM1	chr2	152332441	152332450	-	0.000	0.000	Merged-chr2-152332475-59
NR97--MA0508.2.PRDM1	chr1	161804526	161804535	+	0.000	0.000	Merged-chr1-161804729-61
NR303--MA0508.2.PRDM1	chr11	78887160	78887169	-	0.000	0.000	Merged-chr11-78887268-28
NR760--MA0508.2.PRDM1	chr17	26551377	26551386	+	0.000	0.000	Merged-chr17-26551311-33
NR555--MA0508.2.PRDM1	chr14	59297645	59297654	-	0.000	0.000	Merged-chr14-59297580-39
NR4--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR1315--MA0508.2.PRDM1	chr4	147808609	147808618	+	0.000	0.000	Merged-chr4-147808670-28
NR677--MA0508.2.PRDM1	chr16	30550527	30550536	-	0.000	0.000	Merged-chr16-30550510-54
NR1296--MA0508.2.PRDM1	chr4	139598954	139598963	+	0.000	0.000	Merged-chr4-139599159-54
NR643--MA0508.2.PRDM1	chr15	91651690	91651699	-	0.000	0.000	Merged-chr15-91651721-23
NR1328--MA0508.2.PRDM1	chr5	10245938	10245947	-	0.000	0.000	Merged-chr5-10245943-14
NR133--MA0508.2.PRDM1	chr1	193273460	193273469	+	0.000	0.000	Merged-chr1-193273386-37
NR1689--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR927--MA0508.2.PRDM1	chr19	53273668	53273677	-	0.000	0.000	Merged-chr19-53273545-52
NR1036--MA0508.2.PRDM1	chr2	129174625	129174634	+	0.000	0.000	Merged-chr2-129174665-20
NR731--MA0508.2.PRDM1	chr16	94414378	94414387	+	0.000	0.000	Merged-chr16-94414336-19
NR983--MA0508.2.PRDM1	chr2	65337991	65338000	+	0.000	0.000	Merged-chr2-65337948-45
NR112--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR221--MA0508.2.PRDM1	chr10	98786119	98786128	-	0.000	0.000	Merged-chr10-98786079-74
NR1429--MA0508.2.PRDM1	chr5	149427532	149427541	-	0.000	0.000	Merged-chr5-149427432-30
NR853--MA0508.2.PRDM1	chr18	61638217	61638226	+	0.000	0.000	Merged-chr18-61638222-61
NR234--MA0508.2.PRDM1	chr10	111582570	111582579	-	0.000	0.000	Merged-chr10-111582661-2
NR691--MA0508.2.PRDM1	chr16	49164721	49164730	+	0.000	0.000	Merged-chr16-49164589-42
NR595--MA0508.2.PRDM1	chr15	9574876	9574885	-	0.000	0.000	Merged-chr15-9575046-48
NR200--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR104--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR1389--MA0508.2.PRDM1	chr5	107289392	107289401	+	0.000	0.000	Merged-chr5-107289121-92
NR290--MA0508.2.PRDM1	chr11	60305833	60305842	+	0.000	0.000	Merged-chr11-60305750-27
NR627--MA0508.2.PRDM1	chr15	75704072	75704081	+	0.000	0.000	Merged-chr15-75704194-31
NR736--MA0508.2.PRDM1	chr16	95815986	95815995	-	0.000	0.000	Merged-chr16-95815923-73
NR1007--MA0508.2.PRDM1	chr2	104561576	104561585	-	0.000	0.000	Merged-chr2-104561694-40
NR160--MA0508.2.PRDM1	chr10	37335315	37335324	+	0.000	0.000	Merged-chr10-37335340-12
NR226--MA0508.2.PRDM1	chr10	107948235	107948244	+	0.000	0.000	Merged-chr10-107948089-22
NR478--MA0508.2.PRDM1	chr13	63634453	63634462	-	0.000	0.000	Merged-chr13-63634461-26
NR587--MA0508.2.PRDM1	chr14	122002460	122002469	-	0.000	0.000	Merged-chr14-122002332-19
NR858--MA0508.2.PRDM1	chr18	65481389	65481398	+	0.000	0.000	Merged-chr18-65481395-37
NR1701--MA0508.2.PRDM1	chr8	53630825	53630834	-	0.000	0.000	Merged-chr8-53630787-29
NR18--MA0508.2.PRDM1	chr1	58857112	58857121	-	0.000	0.000	Merged-chr1-58857046-16
NR348--MA0508.2.PRDM1	chr11	118739685	118739694	+	0.000	0.000	Merged-chr11-118739491-61
NR619--MA0508.2.PRDM1	chr15	61983452	61983461	+	0.000	0.000	Merged-chr15-61983458-31
NR1810--MA0508.2.PRDM1	chr9	80819276	80819285	-	0.000	0.000	Merged-chr9-80819214-23
NR186--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR457--MA0508.2.PRDM1	chr13	21579906	21579915	-	0.000	0.000	Merged-chr13-21579773-26
NR295--MA0508.2.PRDM1	chr11	69980689	69980698	+	0.000	0.000	Merged-chr11-69980688-100
NR566--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR152--MA0508.2.PRDM1	chr10	21077327	21077336	+	0.000	0.000	Merged-chr10-21077347-58
NR218--MA0508.2.PRDM1	chr10	96421703	96421712	+	0.000	0.000	Merged-chr10-96421885-30
NR946--MA0508.2.PRDM1	chr2	10343748	10343757	+	0.000	0.000	Merged-chr2-10343676-43
NR436--MA0508.2.PRDM1	chr12	117995044	117995053	-	0.000	0.000	Merged-chr12-117995119-48
NR1770--MA0508.2.PRDM1	chr9	32798512	32798521	-	0.000	0.000	Merged-chr9-32798447-27
NR688--MA0508.2.PRDM1	chr16	44763470	44763479	-	0.000	0.000	Merged-chr16-44763559-10
NR306--MA0508.2.PRDM1	chr11	79686862	79686871	-	0.000	0.000	Merged-chr11-79686905-20
NR558--MA0508.2.PRDM1	chr14	64434207	64434216	-	0.000	0.000	Merged-chr14-64434245-45
NR829--MA0508.2.PRDM1	chr17	88755676	88755685	+	0.000	0.000	Merged-chr17-88755707-11
NR144--MA0508.2.PRDM1	chr10	13438683	13438692	-	0.000	0.000	Merged-chr10-13438536-33
NR415--MA0508.2.PRDM1	chr12	113362632	113362641	+	0.000	0.000	Merged-chr12-113362654-28
NR938--MA0508.2.PRDM1	chr2	5642776	5642785	-	0.000	0.000	Merged-chr2-5642867-48
NR1762--MA0508.2.PRDM1	chr9	7509854	7509863	-	0.000	0.000	Merged-chr9-7510063-49
NR537--MA0508.2.PRDM1	chr14	27376162	27376171	-	0.000	0.000	Merged-chr14-27376322-41
NR136--MA0508.2.PRDM1	chr10	4334366	4334375	+	0.000	0.000	Merged-chr10-4334373-40
NR1741--MA0508.2.PRDM1	chr8	116617438	116617447	-	0.000	0.000	Merged-chr8-116617441-19
NR245--MA0508.2.PRDM1	chr10	122696403	122696412	-	0.000	0.000	Merged-chr10-122696439-5
NR1850--MA0508.2.PRDM1	chr9	118814784	118814793	-	0.000	0.000	Merged-chr9-118814710-13
NR149--MA0508.2.PRDM1	chr10	19068479	19068488	-	0.000	0.000	Merged-chr10-19068545-34
NR1754--MA0508.2.PRDM1	chr8	126979200	126979209	+	0.000	0.000	Merged-chr8-126979147-35
NR1863--MA0508.2.PRDM1	chrX	36989492	36989501	-	0.000	0.000	Merged-chrX-36989513-70
NR367--MA0508.2.PRDM1	chr12	54398191	54398200	-	0.000	0.000	Merged-chr12-54398333-42
NR1624--MA0508.2.PRDM1	chr7	96456731	96456740	+	0.000	0.000	Merged-chr7-96456783-25
NR128--MA0508.2.PRDM1	chr1	191780578	191780587	+	0.000	0.000	Merged-chr1-191780513-20
NR1191--MA0508.2.PRDM1	chr3	142243504	142243513	+	0.000	0.000	Merged-chr3-142243538-27
NR508--MA0508.2.PRDM1	chr13	107461261	107461270	+	0.000	0.000	Merged-chr13-107461269-28
NR346--MA0508.2.PRDM1	chr11	116869751	116869760	-	0.000	0.000	Merged-chr11-116869693-21
NR1680--MA0508.2.PRDM1	chr8	8334599	8334608	-	0.000	0.000	Merged-chr8-8334812-71
NR1746--MA0508.2.PRDM1	chr8	120888099	120888108	+	0.000	0.000	Merged-chr8-120888081-22
NR107--MA0508.2.PRDM1	chr1	173420451	173420460	+	0.000	0.000	Merged-chr1-173420566-40
NR1616--MA0508.2.PRDM1	chr7	82811644	82811653	-	0.000	0.000	Merged-chr7-82811676-2
NR1738--MA0508.2.PRDM1	chr8	115408466	115408475	-	0.000	0.000	Merged-chr8-115408581-14
NR1800--MA0508.2.PRDM1	chr9	63737732	63737741	+	0.000	0.000	Merged-chr9-63737759-14
NR1324--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR176--MA0508.2.PRDM1	chr10	60390940	60390949	+	0.000	0.000	Merged-chr10-60390878-57
NR1685--MA0508.2.PRDM1	chr8	14970947	14970956	+	0.000	0.000	Merged-chr8-14970919-21
NR208--MA0508.2.PRDM1	chr10	93453449	93453458	-	0.000	0.000	Merged-chr10-93453277-72
NR189--MA0508.2.PRDM1	chr10	77609845	77609854	-	0.000	0.000	Merged-chr10-77609801-14
NR1284--MA0508.2.PRDM1	chr4	133399680	133399689	-	0.000	0.000	Merged-chr4-133399741-14
NR1555--MA0508.2.PRDM1	chr6	145616540	145616549	-	0.000	0.000	Merged-chr6-145616643-48
NR1250--MA0508.2.PRDM1	chr4	87669637	87669646	-	0.000	0.000	Merged-chr4-87669731-33
NR168--MA0508.2.PRDM1	chr10	48433432	48433441	+	0.000	0.000	Merged-chr10-48433479-24
NR1773--MA0508.2.PRDM1	chr9	37552767	37552776	+	0.000	0.000	Merged-chr9-37552724-59
NR1839--MA0508.2.PRDM1	chr9	111047460	111047469	-	0.000	0.000	Merged-chr9-111047494-21
NR1805--MA0508.2.PRDM1	chr9	68966890	68966899	+	0.000	0.000	Merged-chr9-68966744-26
NR862--MA0508.2.PRDM1	chr18	68190173	68190182	-	0.000	0.000	Merged-chr18-68190088-51
NR1752--MA0508.2.PRDM1	chr8	124046022	124046031	+	0.000	0.000	Merged-chr8-124045987-6
