#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1809--MA0501.1.MAF::NFE2	chr11	88950906	88950920	-	0.000	0.000	Merged-chr11-88951020-7
NR10437--MA0496.2.MAFK	chrX	134757054	134757072	+	0.000	0.000	Merged-chrX-134756963-64
NR8293--MA0496.2.MAFK	chr6	113047639	113047657	-	0.000	0.000	Merged-chr6-113047446-32
NR9945--MA0659.1.MAFG	chr9	57831616	57831636	-	0.000	0.000	Merged-chr9-57831644-49
NR9961--MA0495.2.MAFF	chr9	63399102	63399122	-	0.000	0.000	Merged-chr9-63399253-65
NR1251--MA0495.2.MAFF	chr10	95923490	95923510	+	0.000	0.000	Merged-chr10-95923402-19
NR7136--MA0501.1.MAF::NFE2	chr4	129987951	129987965	-	0.000	0.000	Merged-chr4-129987965-32
NR7553--MA0495.2.MAFF	chr5	74523446	74523466	-	0.000	0.000	Merged-chr5-74523613-7
NR3639--MA0501.1.MAF::NFE2	chr15	25817412	25817426	-	0.000	0.000	Merged-chr15-25817272-36
NR3406--MA0659.1.MAFG	chr14	68048502	68048522	+	0.000	0.000	Merged-chr14-68048538-29
NR5534--MA0089.1.MAFG::NFE2L1	chr2	62664430	62664435	-	0.000	0.000	Merged-chr2-62664337-55
NR1415--MA0089.1.MAFG::NFE2L1	chr10	128536488	128536493	+	0.000	0.000	Merged-chr10-128536413-59
NR5043--MA0089.1.MAFG::NFE2L1	chr18	80554989	80554994	-	0.000	0.000	Merged-chr18-80555147-42
NR3401--MA0591.1.Bach1::Mafk	chr14	68044914	68044928	+	0.000	0.000	Merged-chr14-68044800-35
NR8714--MA0496.2.MAFK	chr7	28794629	28794647	+	0.000	0.000	Merged-chr7-28794657-13
NR3723--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
