#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR50056--MA0493.1.Klf1	chr7	113572968	113572978	-	0.000	0.000	Merged-chr7-113573033-33
NR49238--MA0039.3.KLF4	chr7	79729603	79729613	+	0.000	0.000	Merged-chr7-79729486-27
NR34024--MA0599.1.KLF5	chr3	88043049	88043058	-	0.000	0.000	Merged-chr3-88043136-39
NR54553--MA0657.1.KLF13	chr9	21927569	21927586	-	0.000	0.000	Merged-chr9-21927505-18
NR30321--MA0039.3.KLF4	chr2	85013859	85013869	-	0.000	0.000	Merged-chr2-85014071-48
NR36991--MA0493.1.Klf1	chr4	62408695	62408705	+	0.000	0.000	Merged-chr4-62408524-84
NR41473--MA1107.1.KLF9	chr5	98096618	98096630	+	0.000	0.000	Merged-chr5-98096818-9
NR7261--MA0599.1.KLF5	chr11	3289539	3289548	-	0.000	0.000	Merged-chr11-3289490-8
NR42937--MA0657.1.KLF13	chr5	134932357	134932374	+	0.000	0.000	Merged-chr5-134932473-29
NR47516--MA0493.1.Klf1	chr7	15948748	15948758	+	0.000	0.000	Merged-chr7-15948803-65
NR40710--MA0741.1.KLF16	chr5	45450331	45450341	+	0.000	0.000	Merged-chr5-45450240-63
NR8883--MA0741.1.KLF16	chr11	74897145	74897155	-	0.000	0.000	Merged-chr11-74897454-145
NR26038--MA1107.1.KLF9	chr18	61638021	61638033	-	0.000	0.000	Merged-chr18-61638222-61
NR17902--MA0741.1.KLF16	chr14	115092202	115092212	-	0.000	0.000	Merged-chr14-115092344-57
NR15155--MA1107.1.KLF9	chr13	95524970	95524982	-	0.000	0.000	Merged-chr13-95524749-120
NR38051--MA1107.1.KLF9	chr4	124704045	124704057	-	0.000	0.000	Merged-chr4-124703869-75
NR34583--MA0493.1.Klf1	chr3	101657352	101657362	-	0.000	0.000	Merged-chr3-101657438-15
NR58104--MA0599.1.KLF5	chrX	135601843	135601852	+	0.000	0.000	Merged-chrX-135601772-31
NR8949--MA0741.1.KLF16	chr11	75961922	75961932	+	0.000	0.000	Merged-chr11-75962033-17
NR35311--MA0742.1.Klf12	chr3	131272102	131272116	+	0.000	0.000	Merged-chr3-131271947-79
NR23678--MA0657.1.KLF13	chr17	35969878	35969895	-	0.000	0.000	Merged-chr17-35969818-62
NR4923--MA0741.1.KLF16	chr10	68040143	68040153	-	0.000	0.000	Merged-chr10-68039987-57
NR48978--MA0599.1.KLF5	chr7	65644880	65644889	+	0.000	0.000	Merged-chr7-65644925-69
NR41682--MA0742.1.Klf12	chr5	106574759	106574773	+	0.000	0.000	Merged-chr5-106574617-63
NR31009--MA0741.1.KLF16	chr2	125135989	125135999	-	0.000	0.000	Merged-chr2-125136116-38
NR11925--MA0599.1.KLF5	chr12	41040118	41040127	-	0.000	0.000	Merged-chr12-41040097-12
NR51827--MA0599.1.KLF5	chr8	35597272	35597281	+	0.000	0.000	Merged-chr8-35597143-68
NR52281--MA0599.1.KLF5	chr8	70477087	70477096	-	0.000	0.000	Merged-chr8-70476979-59
NR9996--MA0599.1.KLF5	chr11	98948047	98948056	+	0.000	0.000	Merged-chr11-98948156-24
NR14083--MA1107.1.KLF9	chr13	45694913	45694925	-	0.000	0.000	Merged-chr13-45695027-25
NR37821--MA0740.1.KLF14	chr4	118437531	118437544	-	0.000	0.000	Merged-chr4-118437424-66
NR14474--MA0740.1.KLF14	chr13	56522354	56522367	-	0.000	0.000	Merged-chr13-56522495-59
NR12370--MA0599.1.KLF5	chr12	76710144	76710153	-	0.000	0.000	Merged-chr12-76710295-113
NR23592--MA1107.1.KLF9	chr17	35301883	35301895	-	0.000	0.000	Merged-chr17-35301957-54
NR52209--MA0493.1.Klf1	chr8	69974383	69974393	-	0.000	0.000	Merged-chr8-69974320-59
NR44990--MA0599.1.KLF5	chr6	72190484	72190493	+	0.000	0.000	Merged-chr6-72190479-35
NR8535--MA0741.1.KLF16	chr11	68199634	68199644	-	0.000	0.000	Merged-chr11-68199450-69
NR54303--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR12566--MA1107.1.KLF9	chr12	85632519	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR30008--MA0740.1.KLF14	chr2	72997219	72997232	-	0.000	0.000	Merged-chr2-72997142-44
NR30363--MA0599.1.KLF5	chr2	90679336	90679345	+	0.000	0.000	Merged-chr2-90679344-61
NR41585--MA1107.1.KLF9	chr5	103692335	103692347	-	0.000	0.000	Merged-chr5-103692321-99
NR308--MA0741.1.KLF16	chr1	36471532	36471542	-	0.000	0.000	Merged-chr1-36471708-91
NR15276--MA1107.1.KLF9	chr13	98692031	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR16343--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR16353--MA0493.1.Klf1	chr14	25522583	25522593	+	0.000	0.000	Merged-chr14-25522595-18
NR3308--MA1107.1.KLF9	chr1	184182451	184182463	-	0.000	0.000	Merged-chr1-184182339-15
NR41468--MA0741.1.KLF16	chr5	98031153	98031163	-	0.000	0.000	Merged-chr5-98030932-136
NR36745--MA0493.1.Klf1	chr4	45972296	45972306	-	0.000	0.000	Merged-chr4-45972471-79
NR53250--MA0599.1.KLF5	chr8	105348160	105348169	-	0.000	0.000	Merged-chr8-105347957-72
