#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR4995--MA0482.1.Gata4	chr6	99801067	99801077	+	0.000	0.000	Merged-chr6-99800956-8
NR4600--MA0482.1.Gata4	chr5	71903472	71903482	+	0.000	0.000	Merged-chr5-71903621-28
NR764--MA1104.1.GATA6	chr10	89747975	89747987	-	0.000	0.000	Merged-chr10-89747839-80
NR195--MA0035.3.Gata1	chr1	91099024	91099034	+	0.000	0.000	Merged-chr1-91099031-34
NR1085--MA0035.3.Gata1	chr11	76807475	76807485	+	0.000	0.000	Merged-chr11-76807341-17
NR6041--MA0036.3.GATA2	chr9	96353969	96353979	-	0.000	0.000	Merged-chr9-96354104-1
NR5808--MA1104.1.GATA6	chr8	120752249	120752261	-	0.000	0.000	Merged-chr8-120752246-20
NR713--MA0482.1.Gata4	chr10	78399513	78399523	+	0.000	0.000	Merged-chr10-78399498-14
NR1061--MA0482.1.Gata4	chr11	70240049	70240059	+	0.000	0.000	Merged-chr11-70239985-43
NR1127--MA0482.1.Gata4	chr11	94129749	94129759	-	0.000	0.000	Merged-chr11-94129891-7
NR2062--MA0036.3.GATA2	chr14	71120687	71120697	+	0.000	0.000	Merged-chr14-71120653-22
NR6160--MA0766.1.GATA5	chrX	7421269	7421276	+	0.000	0.000	Merged-chrX-7421154-31
NR1236--MA0482.1.Gata4	chr11	119856901	119856911	-	0.000	0.000	Merged-chr11-119856710-37
NR1144--MA1104.1.GATA6	chr11	96441662	96441674	+	0.000	0.000	Merged-chr11-96441741-50
NR5580--MA0037.3.GATA3	chr7	140265070	140265077	-	0.000	0.000	Merged-chr7-140265035-12
NR4865--MA0482.1.Gata4	chr6	54368222	54368232	-	0.000	0.000	Merged-chr6-54368259-25
NR649--MA0036.3.GATA2	chr10	59958197	59958207	+	0.000	0.000	Merged-chr10-59958273-13
NR4374--MA0036.3.GATA2	chr4	132040443	132040453	-	0.000	0.000	Merged-chr4-132040319-80
NR4916--MA0036.3.GATA2	chr6	71831778	71831788	+	0.000	0.000	Merged-chr6-71831897-1
NR2561--MA0766.1.GATA5	chr16	76283991	76283998	-	0.000	0.000	Merged-chr16-76283887-58
NR4584--MA0035.3.Gata1	chr5	65535550	65535560	+	0.000	0.000	Merged-chr5-65535639-23
NR5593--MA1104.1.GATA6	chr8	4507729	4507741	+	0.000	0.000	Merged-chr8-4507701-32
NR4483--MA0036.3.GATA2	chr5	23350587	23350597	-	0.000	0.000	Merged-chr5-23350651-20
NR995--MA1104.1.GATA6	chr11	44469871	44469883	+	0.000	0.000	Merged-chr11-44469765-3
NR5218--MA0035.3.Gata1	chr7	19332940	19332950	+	0.000	0.000	Merged-chr7-19332998-44
NR4778--MA0140.2.GATA1::TAL1	chr5	146248864	146248881	-	0.000	0.000	Merged-chr5-146249004-18
NR2711--MA1104.1.GATA6	chr17	18558830	18558842	+	0.000	0.000	Merged-chr17-18558777-104
NR19--MA0035.3.Gata1	chr1	21896407	21896417	-	0.000	0.000	Merged-chr1-21896423-20
NR4863--MA0036.3.GATA2	chr6	53986423	53986433	-	0.000	0.000	Merged-chr6-53986314-10
NR5098--MA0036.3.GATA2	chr6	129917828	129917838	+	0.000	0.000	Merged-chr6-129917853-39
NR248--MA0036.3.GATA2	chr1	106375060	106375070	+	0.000	0.000	Merged-chr1-106375068-41
NR4244--MA0036.3.GATA2	chr4	75278973	75278983	-	0.000	0.000	Merged-chr4-75279089-1
NR6241--MA0140.2.GATA1::TAL1	chrX	136993116	136993133	-	0.000	0.000	Merged-chrX-136993018-95
NR4895--MA1104.1.GATA6	chr6	58832865	58832877	-	0.000	0.000	Merged-chr6-58832889-39
NR3436--MA0140.2.GATA1::TAL1	chr2	91835209	91835226	-	0.000	0.000	Merged-chr2-91835374-51
NR2774--MA0035.3.Gata1	chr17	50569052	50569062	-	0.000	0.000	Merged-chr17-50568946-10
NR1898--MA1104.1.GATA6	chr13	113639069	113639081	-	0.000	0.000	Merged-chr13-113639155-24
NR2750--MA0482.1.Gata4	chr17	43699274	43699284	+	0.000	0.000	Merged-chr17-43699457-36
NR5586--MA0140.2.GATA1::TAL1	chr7	143052807	143052824	-	0.000	0.000	Merged-chr7-143053012-41
NR412--MA0140.2.GATA1::TAL1	chr1	170845975	170845992	-	0.000	0.000	Merged-chr1-170845862-48
NR1576--MA0482.1.Gata4	chr12	116254800	116254810	-	0.000	0.000	Merged-chr12-116254823-28
NR1186--MA0035.3.Gata1	chr11	106723257	106723267	-	0.000	0.000	Merged-chr11-106723126-20
NR6134--MA0140.2.GATA1::TAL1	chr9	118686391	118686408	-	0.000	0.000	Merged-chr9-118686441-13
NR3958--MA1104.1.GATA6	chr3	131138506	131138518	+	0.000	0.000	Merged-chr3-131138399-6
