#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR3036--MA0002.2.RUNX1	chr16	57231581	57231591	-	0.000	0.000	Merged-chr16-57231478-49
NR1312--MA0511.2.RUNX2	chr11	79130083	79130091	+	0.000	0.000	Merged-chr11-79129992-68
NR3165--MA0684.1.RUNX3	chr16	95994778	95994787	-	0.000	0.000	Merged-chr16-95994791-31
NR5444--MA0002.2.RUNX1	chr4	136570187	136570197	+	0.000	0.000	Merged-chr4-136570246-39
NR5715--MA0002.2.RUNX1	chr5	73340417	73340427	+	0.000	0.000	Merged-chr5-73340408-13
NR7746--MA0511.2.RUNX2	chr9	114787861	114787869	-	0.000	0.000	Merged-chr9-114787935-34
NR6870--MA0002.2.RUNX1	chr7	117376066	117376076	-	0.000	0.000	Merged-chr7-117376059-38
NR3244--MA0511.2.RUNX2	chr17	29304535	29304543	+	0.000	0.000	Merged-chr17-29304449-24
NR5696--MA0002.2.RUNX1	chr5	64961154	64961164	-	0.000	0.000	Merged-chr5-64961143-27
NR5967--MA0002.2.RUNX1	chr5	136116712	136116722	+	0.000	0.000	Merged-chr5-136116698-58
NR1071--MA0684.1.RUNX3	chr10	120201986	120201995	+	0.000	0.000	Merged-chr10-120201986-109
NR1613--MA0684.1.RUNX3	chr12	81933737	81933746	-	0.000	0.000	Merged-chr12-81933629-26
NR3145--MA0002.2.RUNX1	chr16	92904141	92904151	-	0.000	0.000	Merged-chr16-92904166-16
NR3972--MA0511.2.RUNX2	chr19	57113350	57113358	+	0.000	0.000	Merged-chr19-57113185-31
NR2119--MA0684.1.RUNX3	chr13	101867007	101867016	-	0.000	0.000	Merged-chr13-101867000-14
NR3668--MA0002.2.RUNX1	chr18	67255612	67255622	+	0.000	0.000	Merged-chr18-67255745-40
NR3082--MA0511.2.RUNX2	chr16	78546726	78546734	+	0.000	0.000	Merged-chr16-78546881-68
NR7904--MA0684.1.RUNX3	chrX	73914917	73914926	-	0.000	0.000	Merged-chrX-73915089-47
NR5953--MA0684.1.RUNX3	chr5	132284859	132284868	+	0.000	0.000	Merged-chr5-132284790-1
NR6015--MA0511.2.RUNX2	chr5	147366680	147366688	-	0.000	0.000	Merged-chr5-147366476-45
NR2543--MA0002.2.RUNX1	chr14	121422875	121422885	+	0.000	0.000	Merged-chr14-121422910-45
NR2814--MA0002.2.RUNX1	chr15	94276565	94276575	+	0.000	0.000	Merged-chr15-94276800-21
