#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR11261--MA1107.1.KLF9	chr12	54398449	54398461	-	0.000	0.000	Merged-chr12-54398333-42
NR56129--MA1107.1.KLF9	chrX	99135988	99136000	+	0.000	0.000	Merged-chrX-99136067-62
NR34024--MA0599.1.KLF5	chr3	131156583	131156592	+	0.000	0.000	Merged-chr3-131156512-43
NR41492--MA0599.1.KLF5	chr5	129787253	129787262	-	0.000	0.000	Merged-chr5-129787253-58
NR10303--MA0742.1.Klf12	chr11	116138886	116138900	+	0.000	0.000	Merged-chr11-116138884-66
NR50938--MA0493.1.Klf1	chr8	76899696	76899706	-	0.000	0.000	Merged-chr8-76899430-75
NR32650--MA0599.1.KLF5	chr3	85887553	85887562	+	0.000	0.000	Merged-chr3-85887790-94
NR4766--MA0599.1.KLF5	chr10	67979439	67979448	+	0.000	0.000	Merged-chr10-67979614-53
NR41134--MA0599.1.KLF5	chr5	122264571	122264580	-	0.000	0.000	Merged-chr5-122264410-49
NR19604--MA1107.1.KLF9	chr15	103182416	103182428	+	0.000	0.000	Merged-chr15-103182450-32
NR23--MA0740.1.KLF14	chr1	7206452	7206465	+	0.000	0.000	Merged-chr1-7206621-34
NR21287--MA1107.1.KLF9	chr16	95769881	95769893	-	0.000	0.000	Merged-chr16-95769994-72
NR21624--MA0599.1.KLF5	chr17	12206001	12206010	+	0.000	0.000	Merged-chr17-12205812-57
NR56133--MA0039.3.KLF4	chrX	99136149	99136159	-	0.000	0.000	Merged-chrX-99136067-62
NR29782--MA1107.1.KLF9	chr2	119972539	119972551	-	0.000	0.000	Merged-chr2-119972481-49
NR55925--MA0741.1.KLF16	chrX	68678510	68678520	-	0.000	0.000	Merged-chrX-68678721-92
NR29708--MA0740.1.KLF14	chr2	119271263	119271276	+	0.000	0.000	Merged-chr2-119271057-44
NR53353--MA0599.1.KLF5	chr9	50856930	50856939	-	0.000	0.000	Merged-chr9-50856954-76
NR9302--MA0599.1.KLF5	chr11	96064545	96064554	-	0.000	0.000	Merged-chr11-96064642-6
NR17631--MA0741.1.KLF16	chr15	36283143	36283153	+	0.000	0.000	Merged-chr15-36282913-112
NR44726--MA0599.1.KLF5	chr6	119199116	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR30232--MA0741.1.KLF16	chr2	132511681	132511691	-	0.000	0.000	Merged-chr2-132511544-14
NR27514--MA0657.1.KLF13	chr2	13575061	13575078	+	0.000	0.000	Merged-chr2-13575035-10
NR2358--MA0599.1.KLF5	chr1	153740303	153740312	+	0.000	0.000	Merged-chr1-153740161-56
NR5914--MA0742.1.Klf12	chr10	94942957	94942971	+	0.000	0.000	Merged-chr10-94942923-6
NR38822--MA0741.1.KLF16	chr5	24451820	24451830	-	0.000	0.000	Merged-chr5-24452045-102
NR39469--MA0599.1.KLF5	chr5	65436007	65436016	-	0.000	0.000	Merged-chr5-65436020-62
NR46602--MA0740.1.KLF14	chr7	29211551	29211564	+	0.000	0.000	Merged-chr7-29211529-84
NR3758--MA0742.1.Klf12	chr10	4632524	4632538	-	0.000	0.000	Merged-chr10-4632472-72
NR31214--MA0741.1.KLF16	chr2	167349635	167349645	-	0.000	0.000	Merged-chr2-167349371-94
NR33014--MA0657.1.KLF13	chr3	96102367	96102384	-	0.000	0.000	Merged-chr3-96102380-20
NR43633--MA0742.1.Klf12	chr6	66535199	66535213	-	0.000	0.000	Merged-chr6-66535397-73
NR26393--MA0741.1.KLF16	chr19	12012382	12012392	+	0.000	0.000	Merged-chr19-12012380-1
NR36124--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR18408--MA0741.1.KLF16	chr15	78515887	78515897	+	0.000	0.000	Merged-chr15-78515914-15
NR20552--MA0599.1.KLF5	chr16	52031584	52031593	-	0.000	0.000	Merged-chr16-52031587-66
NR33426--MA0742.1.Klf12	chr3	105187594	105187608	+	0.000	0.000	Merged-chr3-105187650-1
NR16186--MA0741.1.KLF16	chr14	56886743	56886753	-	0.000	0.000	Merged-chr14-56886625-164
NR7043--MA0741.1.KLF16	chr11	4849467	4849477	+	0.000	0.000	Merged-chr11-4849390-69
NR29055--MA0741.1.KLF16	chr2	79255430	79255440	-	0.000	0.000	Merged-chr2-79255338-118
NR16630--MA0740.1.KLF14	chr14	74732307	74732320	-	0.000	0.000	Merged-chr14-74732316-54
NR9996--MA0599.1.KLF5	chr11	109671886	109671895	-	0.000	0.000	Merged-chr11-109672054-52
NR1286--MA0599.1.KLF5	chr1	87185105	87185114	-	0.000	0.000	Merged-chr1-87185093-29
NR28013--MA0599.1.KLF5	chr2	31470206	31470215	-	0.000	0.000	Merged-chr2-31470390-77
NR45872--MA0740.1.KLF14	chr7	6383317	6383330	-	0.000	0.000	Merged-chr7-6383352-66
NR27343--MA0740.1.KLF14	chr2	3475129	3475142	-	0.000	0.000	Merged-chr2-3474992-83
NR37522--MA0599.1.KLF5	chr4	137068593	137068602	+	0.000	0.000	Merged-chr4-137068730-15
NR17883--MA0741.1.KLF16	chr15	58141258	58141268	+	0.000	0.000	Merged-chr15-58141388-72
NR20482--MA0741.1.KLF16	chr16	45389924	45389934	+	0.000	0.000	Merged-chr16-45389886-49
NR5126--MA0740.1.KLF14	chr10	78574725	78574738	-	0.000	0.000	Merged-chr10-78574791-126
NR53479--MA0740.1.KLF14	chr9	57077105	57077118	+	0.000	0.000	Merged-chr9-57076991-9
NR10275--MA0741.1.KLF16	chr11	116012720	116012730	-	0.000	0.000	Merged-chr11-116012659-52
