#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1576--MA0731.1.BCL6B	chr8	126582671	126582687	+	0.000	0.000	Merged-chr8-126582785-35
NR1259--MA0463.1.Bcl6	chr5	122219005	122219018	+	0.000	0.000	Merged-chr5-122219045-36
NR1271--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR1398--MA0463.1.Bcl6	chr7	16201363	16201376	+	0.000	0.000	Merged-chr7-16201318-27
NR806--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR1284--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR936--MA0463.1.Bcl6	chr2	147013882	147013895	-	0.000	0.000	Merged-chr2-147013782-1
NR721--MA0463.1.Bcl6	chr17	78351777	78351790	-	0.000	0.000	Merged-chr17-78351969-128
NR1622--MA0463.1.Bcl6	chr9	63719960	63719973	+	0.000	0.000	Merged-chr9-63720041-13
NR1568--MA0731.1.BCL6B	chr8	117127788	117127804	-	0.000	0.000	Merged-chr8-117127644-20
NR1425--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
NR1643--MA0731.1.BCL6B	chr9	99560371	99560387	+	0.000	0.000	Merged-chr9-99560579-23
NR623--MA0463.1.Bcl6	chr16	21531031	21531044	+	0.000	0.000	Merged-chr16-21531039-7
NR1547--MA0731.1.BCL6B	chr8	104239505	104239521	+	0.000	0.000	Merged-chr8-104239709-64
NR1560--MA0463.1.Bcl6	chr8	115276586	115276599	+	0.000	0.000	Merged-chr8-115276533-28
NR1529--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR1426--MA0463.1.Bcl6	chr7	67355770	67355783	-	0.000	0.000	Merged-chr7-67355950-12
NR1462--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR14--MA0731.1.BCL6B	chr1	37478656	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR27--MA0731.1.BCL6B	chr1	54854494	54854510	-	0.000	0.000	Merged-chr1-54854501-39
