#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR40495--MA1107.1.KLF9	chr6	71048330	71048342	+	0.000	0.000	Merged-chr6-71048511-32
NR20439--MA0741.1.KLF16	chr17	23924869	23924879	+	0.000	0.000	Merged-chr17-23924911-57
NR38218--MA0740.1.KLF14	chr5	122422135	122422148	-	0.000	0.000	Merged-chr5-122422317-77
NR46528--MA0039.3.KLF4	chr8	25068386	25068396	+	0.000	0.000	Merged-chr8-25068323-61
NR8878--MA1107.1.KLF9	chr11	99132667	99132679	-	0.000	0.000	Merged-chr11-99132520-18
NR26066--MA0599.1.KLF5	chr2	30078181	30078190	+	0.000	0.000	Merged-chr2-30077913-94
NR20770--MA1107.1.KLF9	chr17	28375697	28375709	+	0.000	0.000	Merged-chr17-28375713-30
NR46026--MA0657.1.KLF13	chr7	141562091	141562108	+	0.000	0.000	Merged-chr7-141562329-80
NR36619--MA1107.1.KLF9	chr5	64371318	64371330	+	0.000	0.000	Merged-chr5-64371502-26
NR21052--MA0740.1.KLF14	chr17	34143297	34143310	+	0.000	0.000	Merged-chr17-34143212-26
NR46458--MA0599.1.KLF5	chr8	22185554	22185563	+	0.000	0.000	Merged-chr8-22185664-67
NR43533--MA0599.1.KLF5	chr7	38085139	38085148	-	0.000	0.000	Merged-chr7-38085350-130
NR14049--MA0741.1.KLF16	chr13	113013580	113013590	-	0.000	0.000	Merged-chr13-113013424-80
NR41679--MA1107.1.KLF9	chr6	125434029	125434041	-	0.000	0.000	Merged-chr6-125433874-28
NR5745--MA0740.1.KLF14	chr10	118141627	118141640	+	0.000	0.000	Merged-chr10-118141818-53
NR36623--MA0039.3.KLF4	chr5	64651650	64651660	-	0.000	0.000	Merged-chr5-64651532-36
NR43972--MA0741.1.KLF16	chr7	63985963	63985973	-	0.000	0.000	Merged-chr7-63985848-27
NR33494--MA0741.1.KLF16	chr4	97778007	97778017	-	0.000	0.000	Merged-chr4-97778075-74
NR17902--MA0741.1.KLF16	chr15	97849599	97849609	-	0.000	0.000	Merged-chr15-97849644-64
NR2358--MA0599.1.KLF5	chr1	165091740	165091749	+	0.000	0.000	Merged-chr1-165091937-36
NR43767--MA0741.1.KLF16	chr7	45814348	45814358	+	0.000	0.000	Merged-chr7-45814403-76
NR4532--MA1107.1.KLF9	chr10	78115170	78115182	-	0.000	0.000	Merged-chr10-78115092-14
NR28820--MA0741.1.KLF16	chr2	163750284	163750294	+	0.000	0.000	Merged-chr2-163750187-67
NR41421--MA0741.1.KLF16	chr6	116673858	116673868	+	0.000	0.000	Merged-chr6-116673934-58
