#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1378--MA0508.2.PRDM1	chr6	108535464	108535473	-	0.000	0.000	Merged-chr6-108535473-34
NR550--MA0508.2.PRDM1	chr14	100459456	100459465	-	0.000	0.000	Merged-chr14-100459597-88
NR1235--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR1506--MA0508.2.PRDM1	chr7	128611242	128611251	-	0.000	0.000	Merged-chr7-128611334-65
NR202--MA0508.2.PRDM1	chr10	95265216	95265225	-	0.000	0.000	Merged-chr10-95265143-50
NR1487--MA0508.2.PRDM1	chr7	116484473	116484482	-	0.000	0.000	Merged-chr7-116484434-42
NR1344--MA0508.2.PRDM1	chr6	65585172	65585181	+	0.000	0.000	Merged-chr6-65585243-27
NR1615--MA0508.2.PRDM1	chr9	32906679	32906688	-	0.000	0.000	Merged-chr9-32906573-43
NR311--MA0508.2.PRDM1	chr11	118129969	118129978	-	0.000	0.000	Merged-chr11-118130065-25
NR834--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR1453--MA0508.2.PRDM1	chr7	73531100	73531109	+	0.000	0.000	Merged-chr7-73531012-64
NR800--MA0508.2.PRDM1	chr18	74880281	74880290	-	0.000	0.000	Merged-chr18-74880525-86
NR324--MA0508.2.PRDM1	chr12	25430907	25430916	-	0.000	0.000	Merged-chr12-25431052-52
NR1214--MA0508.2.PRDM1	chr5	9101018	9101027	+	0.000	0.000	Merged-chr5-9101041-100
NR1009--MA0508.2.PRDM1	chr2	181581085	181581094	+	0.000	0.000	Merged-chr2-181581172-2
NR847--MA0508.2.PRDM1	chr19	37535316	37535325	-	0.000	0.000	Merged-chr19-37535192-30
NR1466--MA0508.2.PRDM1	chr7	96914217	96914226	+	0.000	0.000	Merged-chr7-96914274-42
NR271--MA0508.2.PRDM1	chr11	77372330	77372339	+	0.000	0.000	Merged-chr11-77372347-7
NR813--MA0508.2.PRDM1	chr18	89159545	89159554	+	0.000	0.000	Merged-chr18-89159613-61
NR794--MA0508.2.PRDM1	chr18	70504477	70504486	+	0.000	0.000	Merged-chr18-70504272-31
