#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1750--MA0037.3.GATA3	chr14	31496490	31496497	+	0.000	0.000	Merged-chr14-31496339-23
NR1816--MA0037.3.GATA3	chr14	61818661	61818668	-	0.000	0.000	Merged-chr14-61818597-46
NR3216--MA0766.1.GATA5	chr2	78961707	78961714	+	0.000	0.000	Merged-chr2-78961805-37
NR4755--MA0140.2.GATA1::TAL1	chr6	82909720	82909737	+	0.000	0.000	Merged-chr6-82909675-20
NR222--MA0036.3.GATA2	chr1	94048305	94048315	+	0.000	0.000	Merged-chr1-94048267-32
NR5215--MA0482.1.Gata4	chr7	110265934	110265944	-	0.000	0.000	Merged-chr7-110265938-33
NR1379--MA0482.1.Gata4	chr13	24416131	24416141	+	0.000	0.000	Merged-chr13-24416141-118
NR484--MA0766.1.GATA5	chr1	183052968	183052975	+	0.000	0.000	Merged-chr1-183052837-15
NR3857--MA0037.3.GATA3	chr4	33189443	33189450	-	0.000	0.000	Merged-chr4-33189254-36
NR4637--MA0035.3.Gata1	chr6	33929791	33929801	+	0.000	0.000	Merged-chr6-33929791-25
NR2020--MA0035.3.Gata1	chr15	58595044	58595054	-	0.000	0.000	Merged-chr15-58595150-15
NR5646--MA1104.1.GATA6	chr8	127589468	127589480	-	0.000	0.000	Merged-chr8-127589399-43
NR3121--MA0482.1.Gata4	chr2	31180408	31180418	-	0.000	0.000	Merged-chr2-31180309-64
NR3397--MA0035.3.Gata1	chr2	129385479	129385489	-	0.000	0.000	Merged-chr2-129385556-29
NR4613--MA0482.1.Gata4	chr6	29246562	29246572	-	0.000	0.000	Merged-chr6-29246458-94
NR3296--MA0036.3.GATA2	chr2	104763428	104763438	-	0.000	0.000	Merged-chr2-104763396-33
NR3347--MA1104.1.GATA6	chr2	119251031	119251043	-	0.000	0.000	Merged-chr2-119251076-33
NR1667--MA1104.1.GATA6	chr13	114896082	114896094	+	0.000	0.000	Merged-chr13-114896013-49
NR5917--MA0037.3.GATA3	chrX	9202158	9202165	-	0.000	0.000	Merged-chrX-9202139-21
NR4677--MA0037.3.GATA3	chr6	50160021	50160028	-	0.000	0.000	Merged-chr6-50160084-30
NR1114--MA0140.2.GATA1::TAL1	chr11	110919281	110919298	-	0.000	0.000	Merged-chr11-110919203-38
NR5503--MA0037.3.GATA3	chr8	94633742	94633749	-	0.000	0.000	Merged-chr8-94633712-19
