#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR350--MA0495.2.MAFF	chr1	106187586	106187606	-	0.000	0.000	Merged-chr1-106187715-26
NR11097--MA0496.2.MAFK	chr9	116283899	116283917	+	0.000	0.000	Merged-chr9-116283998-37
NR3184--MA0496.2.MAFK	chr13	96697953	96697971	-	0.000	0.000	Merged-chr13-96698036-39
NR10824--MA0501.1.MAF::NFE2	chr9	69023769	69023783	+	0.000	0.000	Merged-chr9-69023585-49
NR11144--MA0591.1.Bach1::Mafk	chr9	120057390	120057404	-	0.000	0.000	Merged-chr9-120057282-6
NR3173--MA0089.1.MAFG::NFE2L1	chr13	95813820	95813825	-	0.000	0.000	Merged-chr13-95813903-46
NR422--MA0501.1.MAF::NFE2	chr1	128767220	128767234	-	0.000	0.000	Merged-chr1-128767161-51
NR7317--MA0089.1.MAFG::NFE2L1	chr3	135212533	135212538	-	0.000	0.000	Merged-chr3-135212470-74
NR10553--MA0591.1.Bach1::Mafk	chr8	125741634	125741648	+	0.000	0.000	Merged-chr8-125741645-15
NR5227--MA0591.1.Bach1::Mafk	chr18	44812233	44812247	+	0.000	0.000	Merged-chr18-44812125-32
NR2459--MA0089.1.MAFG::NFE2L1	chr12	69510933	69510938	-	0.000	0.000	Merged-chr12-69510951-48
NR9851--MA0659.1.MAFG	chr7	104507798	104507818	+	0.000	0.000	Merged-chr7-104507900-57
NR4314--MA0591.1.Bach1::Mafk	chr16	4964367	4964381	+	0.000	0.000	Merged-chr16-4964383-52
NR3296--MA0496.2.MAFK	chr13	109822601	109822619	-	0.000	0.000	Merged-chr13-109822486-79
NR3764--MA0089.1.MAFG::NFE2L1	chr14	103469264	103469269	-	0.000	0.000	Merged-chr14-103469232-2
NR8994--MA0659.1.MAFG	chr6	54925857	54925877	-	0.000	0.000	Merged-chr6-54926058-40
NR1696--MA0117.2.Mafb	chr11	22814193	22814204	-	0.000	0.000	Merged-chr11-22814136-127
NR8333--MA0089.1.MAFG::NFE2L1	chr5	57868855	57868860	-	0.000	0.000	Merged-chr5-57869019-33
NR10456--MA0501.1.MAF::NFE2	chr8	115227466	115227480	+	0.000	0.000	Merged-chr8-115227272-68
NR1685--MA0501.1.MAF::NFE2	chr11	19926270	19926284	+	0.000	0.000	Merged-chr11-19926174-9
NR10510--MA0591.1.Bach1::Mafk	chr8	122343154	122343168	-	0.000	0.000	Merged-chr8-122343371-56
NR271--MA0591.1.Bach1::Mafk	chr1	87621602	87621616	+	0.000	0.000	Merged-chr1-87621669-41
NR4854--MA0659.1.MAFG	chr17	32891390	32891410	-	0.000	0.000	Merged-chr17-32891413-48
NR5873--MA0591.1.Bach1::Mafk	chr2	31172202	31172216	+	0.000	0.000	Merged-chr2-31172206-22
NR4503--MA0495.2.MAFF	chr16	52108048	52108068	+	0.000	0.000	Merged-chr16-52108040-37
NR10555--MA0089.1.MAFG::NFE2L1	chr8	125950507	125950512	+	0.000	0.000	Merged-chr8-125950444-55
NR1226--MA0089.1.MAFG::NFE2L1	chr10	75415088	75415093	-	0.000	0.000	Merged-chr10-75415162-28
NR7717--MA0501.1.MAF::NFE2	chr4	89163743	89163757	+	0.000	0.000	Merged-chr4-89163754-32
NR3623--MA0496.2.MAFK	chr14	64434221	64434239	-	0.000	0.000	Merged-chr14-64434245-45
NR6333--MA0496.2.MAFK	chr2	122681933	122681951	+	0.000	0.000	Merged-chr2-122681917-47
NR4516--MA0501.1.MAF::NFE2	chr16	52418699	52418713	+	0.000	0.000	Merged-chr16-52418568-49
NR3513--MA0501.1.MAF::NFE2	chr14	47533821	47533835	+	0.000	0.000	Merged-chr14-47533897-41
NR9178--MA0495.2.MAFF	chr6	106805086	106805106	+	0.000	0.000	Merged-chr6-106805157-19
NR1684--MA0591.1.Bach1::Mafk	chr11	19926267	19926281	+	0.000	0.000	Merged-chr11-19926174-9
NR7302--MA0089.1.MAFG::NFE2L1	chr3	132684128	132684133	-	0.000	0.000	Merged-chr3-132684136-80
NR1528--MA0089.1.MAFG::NFE2L1	chr10	121493847	121493852	+	0.000	0.000	Merged-chr10-121494014-41
NR8421--MA0117.2.Mafb	chr5	90595192	90595203	-	0.000	0.000	Merged-chr5-90595203-46
NR9630--MA0495.2.MAFF	chr7	51892630	51892650	+	0.000	0.000	Merged-chr7-51892724-31
NR5600--MA0501.1.MAF::NFE2	chr19	33160060	33160074	+	0.000	0.000	Merged-chr19-33160221-22
NR355--MA0495.2.MAFF	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR2554--MA0591.1.Bach1::Mafk	chr12	87411189	87411203	+	0.000	0.000	Merged-chr12-87411276-22
NR7497--MA0501.1.MAF::NFE2	chr4	3660106	3660120	-	0.000	0.000	Merged-chr4-3660095-25
NR1233--MA0496.2.MAFK	chr10	75424539	75424557	+	0.000	0.000	Merged-chr10-75424715-43
NR5401--MA0591.1.Bach1::Mafk	chr18	80640144	80640158	+	0.000	0.000	Merged-chr18-80640169-6
NR7535--MA0496.2.MAFK	chr4	11085009	11085027	-	0.000	0.000	Merged-chr4-11084883-37
NR8786--MA0591.1.Bach1::Mafk	chr5	147063450	147063464	-	0.000	0.000	Merged-chr5-147063758-85
NR5136--MA0501.1.MAF::NFE2	chr18	4303337	4303351	-	0.000	0.000	Merged-chr18-4303290-53
NR4616--MA0089.1.MAFG::NFE2L1	chr16	84800308	84800313	+	0.000	0.000	Merged-chr16-84800124-30
NR9753--MA0659.1.MAFG	chr7	84272415	84272435	-	0.000	0.000	Merged-chr7-84272583-40
NR9664--MA0089.1.MAFG::NFE2L1	chr7	64213171	64213176	-	0.000	0.000	Merged-chr7-64213076-17
NR4505--MA0117.2.Mafb	chr16	52108057	52108068	-	0.000	0.000	Merged-chr16-52108040-37
NR8322--MA0501.1.MAF::NFE2	chr5	52149305	52149319	+	0.000	0.000	Merged-chr5-52149380-37
NR5921--MA0089.1.MAFG::NFE2L1	chr2	48315504	48315509	-	0.000	0.000	Merged-chr2-48315490-45
NR478--MA0659.1.MAFG	chr1	136423389	136423409	-	0.000	0.000	Merged-chr1-136423367-9
NR10027--MA0501.1.MAF::NFE2	chr7	130476365	130476379	-	0.000	0.000	Merged-chr7-130476284-22
NR8980--MA0591.1.Bach1::Mafk	chr6	54116513	54116527	-	0.000	0.000	Merged-chr6-54116572-22
NR3182--MA0501.1.MAF::NFE2	chr13	96697952	96697966	-	0.000	0.000	Merged-chr13-96698036-39
NR1137--MA0089.1.MAFG::NFE2L1	chr10	57448140	57448145	+	0.000	0.000	Merged-chr10-57448269-42
NR5188--MA0591.1.Bach1::Mafk	chr18	32312019	32312033	+	0.000	0.000	Merged-chr18-32311918-36
NR10842--MA0089.1.MAFG::NFE2L1	chr9	75424479	75424484	-	0.000	0.000	Merged-chr9-75424594-10
NR9260--MA0089.1.MAFG::NFE2L1	chr6	120193300	120193305	-	0.000	0.000	Merged-chr6-120193432-39
NR7981--MA0089.1.MAFG::NFE2L1	chr4	141148487	141148492	-	0.000	0.000	Merged-chr4-141148544-3
NR4918--MA0089.1.MAFG::NFE2L1	chr17	50185721	50185726	-	0.000	0.000	Merged-chr17-50185897-34
NR3125--MA0591.1.Bach1::Mafk	chr13	85289248	85289262	+	0.000	0.000	Merged-chr13-85289179-92
NR9099--MA0089.1.MAFG::NFE2L1	chr6	88084528	88084533	-	0.000	0.000	Merged-chr6-88084679-72
NR1952--MA0659.1.MAFG	chr11	76945673	76945693	+	0.000	0.000	Merged-chr11-76945750-46
NR1224--MA0089.1.MAFG::NFE2L1	chr10	75137126	75137131	+	0.000	0.000	Merged-chr10-75137301-35
NR2688--MA0117.2.Mafb	chr12	108453596	108453607	-	0.000	0.000	Merged-chr12-108453818-55
NR3883--MA0496.2.MAFK	chr15	8073388	8073406	+	0.000	0.000	Merged-chr15-8073323-37
NR1813--MA0591.1.Bach1::Mafk	chr11	51688766	51688780	-	0.000	0.000	Merged-chr11-51688854-65
NR5707--MA0117.2.Mafb	chr19	55401846	55401857	+	0.000	0.000	Merged-chr19-55401887-30
NR3310--MA0496.2.MAFK	chr13	112133905	112133923	+	0.000	0.000	Merged-chr13-112133906-22
NR129--MA0659.1.MAFG	chr1	52066889	52066909	-	0.000	0.000	Merged-chr1-52066714-41
NR1815--MA0089.1.MAFG::NFE2L1	chr11	52076155	52076160	+	0.000	0.000	Merged-chr11-52076354-71
NR8314--MA0591.1.Bach1::Mafk	chr5	43837637	43837651	+	0.000	0.000	Merged-chr5-43837616-20
NR2240--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR7791--MA0501.1.MAF::NFE2	chr4	108826237	108826251	+	0.000	0.000	Merged-chr4-108826101-25
NR3309--MA0089.1.MAFG::NFE2L1	chr13	112074017	112074022	+	0.000	0.000	Merged-chr13-112074010-21
NR2921--MA0501.1.MAF::NFE2	chr13	35208412	35208426	-	0.000	0.000	Merged-chr13-35208466-19
NR788--MA0591.1.Bach1::Mafk	chr1	181227106	181227120	+	0.000	0.000	Merged-chr1-181227002-33
NR5951--MA0496.2.MAFK	chr2	52319425	52319443	+	0.000	0.000	Merged-chr2-52319482-58
NR8487--MA0591.1.Bach1::Mafk	chr5	104508569	104508583	+	0.000	0.000	Merged-chr5-104508558-72
NR10861--MA0659.1.MAFG	chr9	78039248	78039268	+	0.000	0.000	Merged-chr9-78039218-36
NR8793--MA0117.2.Mafb	chr5	148831841	148831852	+	0.000	0.000	Merged-chr5-148831759-44
NR9488--MA0089.1.MAFG::NFE2L1	chr6	146734402	146734407	-	0.000	0.000	Merged-chr6-146734350-25
NR8068--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR6789--MA0089.1.MAFG::NFE2L1	chr2	178135907	178135912	+	0.000	0.000	Merged-chr2-178136015-1
NR11277--MA0591.1.Bach1::Mafk	chrX	113075049	113075063	+	0.000	0.000	Merged-chrX-113075086-29
NR6102--MA0591.1.Bach1::Mafk	chr2	90890183	90890197	-	0.000	0.000	Merged-chr2-90890259-1
NR6027--MA0117.2.Mafb	chr2	69415269	69415280	-	0.000	0.000	Merged-chr2-69415236-25
NR3471--MA0089.1.MAFG::NFE2L1	chr14	31496336	31496341	-	0.000	0.000	Merged-chr14-31496339-23
NR4125--MA0591.1.Bach1::Mafk	chr15	76190366	76190380	+	0.000	0.000	Merged-chr15-76190238-30
NR11029--MA0089.1.MAFG::NFE2L1	chr9	106394745	106394750	-	0.000	0.000	Merged-chr9-106394684-34
NR6876--MA0089.1.MAFG::NFE2L1	chr3	27331126	27331131	+	0.000	0.000	Merged-chr3-27331014-40
NR7615--MA0089.1.MAFG::NFE2L1	chr4	45342165	45342170	-	0.000	0.000	Merged-chr4-45342285-81
NR8341--MA0117.2.Mafb	chr5	62711167	62711178	+	0.000	0.000	Merged-chr5-62711036-55
NR3581--MA0117.2.Mafb	chr14	59553434	59553445	-	0.000	0.000	Merged-chr14-59553394-22
NR5832--MA0089.1.MAFG::NFE2L1	chr2	25356354	25356359	-	0.000	0.000	Merged-chr2-25356445-26
NR10175--MA0089.1.MAFG::NFE2L1	chr8	46641511	46641516	+	0.000	0.000	Merged-chr8-46641508-48
NR2278--MA0591.1.Bach1::Mafk	chr11	119991486	119991500	+	0.000	0.000	Merged-chr11-119991452-27
NR7616--MA0591.1.Bach1::Mafk	chr4	45342627	45342641	+	0.000	0.000	Merged-chr4-45342662-1
NR2943--MA0591.1.Bach1::Mafk	chr13	41249758	41249772	-	0.000	0.000	Merged-chr13-41249879-71
NR4544--MA0501.1.MAF::NFE2	chr16	57500955	57500969	-	0.000	0.000	Merged-chr16-57500995-13
NR1961--MA0117.2.Mafb	chr11	78328346	78328357	-	0.000	0.000	Merged-chr11-78328473-53
NR3888--MA0496.2.MAFK	chr15	8625547	8625565	-	0.000	0.000	Merged-chr15-8625615-29
NR6715--MA0495.2.MAFF	chr2	169089214	169089234	-	0.000	0.000	Merged-chr2-169089199-37
NR8424--MA0496.2.MAFK	chr5	90595184	90595202	+	0.000	0.000	Merged-chr5-90595203-46
NR8382--MA0591.1.Bach1::Mafk	chr5	73199817	73199831	-	0.000	0.000	Merged-chr5-73199876-43
NR4929--MA0089.1.MAFG::NFE2L1	chr17	52062673	52062678	+	0.000	0.000	Merged-chr17-52062493-49
NR2507--MA0501.1.MAF::NFE2	chr12	81845112	81845126	-	0.000	0.000	Merged-chr12-81845150-28
NR7137--MA0089.1.MAFG::NFE2L1	chr3	107061592	107061597	+	0.000	0.000	Merged-chr3-107061699-25
NR2017--MA0117.2.Mafb	chr11	85491297	85491308	+	0.000	0.000	Merged-chr11-85491232-34
NR8677--MA0117.2.Mafb	chr5	134491942	134491953	+	0.000	0.000	Merged-chr5-134491981-46
NR6612--MA0495.2.MAFF	chr2	158613620	158613640	-	0.000	0.000	Merged-chr2-158613722-36
NR6833--MA0591.1.Bach1::Mafk	chr3	9974554	9974568	+	0.000	0.000	Merged-chr3-9974623-36
NR8243--MA0659.1.MAFG	chr5	28402908	28402928	+	0.000	0.000	Merged-chr5-28402904-51
NR2398--MA0501.1.MAF::NFE2	chr12	40009997	40010011	+	0.000	0.000	Merged-chr12-40010101-23
NR11102--MA0501.1.MAF::NFE2	chr9	116283968	116283982	-	0.000	0.000	Merged-chr9-116283998-37
NR9197--MA0089.1.MAFG::NFE2L1	chr6	108895321	108895326	+	0.000	0.000	Merged-chr6-108895381-27
NR6717--MA0659.1.MAFG	chr2	169089214	169089234	+	0.000	0.000	Merged-chr2-169089199-37
NR1537--MA0089.1.MAFG::NFE2L1	chr10	122758497	122758502	-	0.000	0.000	Merged-chr10-122758293-88
NR4517--MA0496.2.MAFK	chr16	52418694	52418712	+	0.000	0.000	Merged-chr16-52418568-49
NR8577--MA0495.2.MAFF	chr5	115635603	115635623	+	0.000	0.000	Merged-chr5-115635680-25
NR9660--MA0089.1.MAFG::NFE2L1	chr7	63855469	63855474	+	0.000	0.000	Merged-chr7-63855466-25
NR5541--MA0089.1.MAFG::NFE2L1	chr19	21865258	21865263	+	0.000	0.000	Merged-chr19-21865390-5
NR6328--MA0501.1.MAF::NFE2	chr2	122681868	122681882	+	0.000	0.000	Merged-chr2-122681917-47
NR898--MA0591.1.Bach1::Mafk	chr1	192540925	192540939	+	0.000	0.000	Merged-chr1-192540861-22
NR8004--MA0495.2.MAFF	chr4	145341974	145341994	-	0.000	0.000	Merged-chr4-145342099-62
NR7601--MA0659.1.MAFG	chr4	40785958	40785978	-	0.000	0.000	Merged-chr4-40785986-16
NR8079--MA0089.1.MAFG::NFE2L1	chr4	152362242	152362247	-	0.000	0.000	Merged-chr4-152362349-23
NR9257--MA0501.1.MAF::NFE2	chr6	120065948	120065962	+	0.000	0.000	Merged-chr6-120065938-28
NR8109--MA0659.1.MAFG	chr4	154936192	154936212	-	0.000	0.000	Merged-chr4-154936025-18
NR7411--MA0089.1.MAFG::NFE2L1	chr3	146682484	146682489	+	0.000	0.000	Merged-chr3-146682362-58
NR2015--MA0496.2.MAFK	chr11	85324147	85324165	+	0.000	0.000	Merged-chr11-85324179-42
NR1976--MA0501.1.MAF::NFE2	chr11	80505141	80505155	+	0.000	0.000	Merged-chr11-80505144-23
NR8460--MA0496.2.MAFK	chr5	100466828	100466846	-	0.000	0.000	Merged-chr5-100466890-43
NR8319--MA0501.1.MAF::NFE2	chr5	48372386	48372400	-	0.000	0.000	Merged-chr5-48372456-58
NR3684--MA0089.1.MAFG::NFE2L1	chr14	76152692	76152697	-	0.000	0.000	Merged-chr14-76152800-92
NR3003--MA0089.1.MAFG::NFE2L1	chr13	53390276	53390281	-	0.000	0.000	Merged-chr13-53390437-27
NR7171--MA0117.2.Mafb	chr3	110250667	110250678	+	0.000	0.000	Merged-chr3-110250588-142
NR6018--MA0591.1.Bach1::Mafk	chr2	66184985	66184999	-	0.000	0.000	Merged-chr2-66184903-51
NR3966--MA0591.1.Bach1::Mafk	chr15	38535536	38535550	-	0.000	0.000	Merged-chr15-38535554-39
NR3112--MA0501.1.MAF::NFE2	chr13	83566389	83566403	-	0.000	0.000	Merged-chr13-83566220-57
NR1926--MA0089.1.MAFG::NFE2L1	chr11	73048222	73048227	+	0.000	0.000	Merged-chr11-73047968-72
NR3967--MA0501.1.MAF::NFE2	chr15	38535533	38535547	-	0.000	0.000	Merged-chr15-38535554-39
NR2964--MA0501.1.MAF::NFE2	chr13	45623921	45623935	+	0.000	0.000	Merged-chr13-45624002-39
NR2479--MA0089.1.MAFG::NFE2L1	chr12	73755839	73755844	+	0.000	0.000	Merged-chr12-73755850-33
NR289--MA0495.2.MAFF	chr1	92119341	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR6733--MA0501.1.MAF::NFE2	chr2	170247792	170247806	+	0.000	0.000	Merged-chr2-170247949-28
NR11214--MA0089.1.MAFG::NFE2L1	chrX	47998780	47998785	-	0.000	0.000	Merged-chrX-47998612-33
NR6194--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR5706--MA0591.1.Bach1::Mafk	chr19	55401797	55401811	+	0.000	0.000	Merged-chr19-55401887-30
NR7771--MA0591.1.Bach1::Mafk	chr4	103096018	103096032	+	0.000	0.000	Merged-chr4-103096061-32
NR6500--MA0496.2.MAFK	chr2	147744139	147744157	-	0.000	0.000	Merged-chr2-147744071-13
NR5523--MA0501.1.MAF::NFE2	chr19	17256650	17256664	+	0.000	0.000	Merged-chr19-17256835-48
NR10085--MA0496.2.MAFK	chr7	144857373	144857391	+	0.000	0.000	Merged-chr7-144857340-18
NR3488--MA0501.1.MAF::NFE2	chr14	41000143	41000157	-	0.000	0.000	Merged-chr14-41000144-37
NR7813--MA0089.1.MAFG::NFE2L1	chr4	116807517	116807522	+	0.000	0.000	Merged-chr4-116807606-59
NR6770--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR2088--MA0089.1.MAFG::NFE2L1	chr11	98700052	98700057	+	0.000	0.000	Merged-chr11-98700105-10
NR6879--MA0591.1.Bach1::Mafk	chr3	28402383	28402397	+	0.000	0.000	Merged-chr3-28402386-46
NR3884--MA0089.1.MAFG::NFE2L1	chr15	8109317	8109322	+	0.000	0.000	Merged-chr15-8109261-61
NR3203--MA0089.1.MAFG::NFE2L1	chr13	99648028	99648033	+	0.000	0.000	Merged-chr13-99648016-28
NR1044--MA0089.1.MAFG::NFE2L1	chr10	24458867	24458872	+	0.000	0.000	Merged-chr10-24458966-47
NR8378--MA0659.1.MAFG	chr5	73199786	73199806	+	0.000	0.000	Merged-chr5-73199876-43
NR6865--MA0117.2.Mafb	chr3	21953185	21953196	-	0.000	0.000	Merged-chr3-21953185-77
NR6798--MA0089.1.MAFG::NFE2L1	chr2	180678763	180678768	+	0.000	0.000	Merged-chr2-180678860-52
NR10588--MA0089.1.MAFG::NFE2L1	chr8	127381452	127381457	-	0.000	0.000	Merged-chr8-127381511-17
NR361--MA0089.1.MAFG::NFE2L1	chr1	106515788	106515793	+	0.000	0.000	Merged-chr1-106515798-55
NR10097--MA0089.1.MAFG::NFE2L1	chr8	11452691	11452696	-	0.000	0.000	Merged-chr8-11452787-41
NR7702--MA0496.2.MAFK	chr4	88046383	88046401	+	0.000	0.000	Merged-chr4-88046485-60
NR8219--MA0496.2.MAFK	chr5	22360735	22360753	+	0.000	0.000	Merged-chr5-22360842-38
NR10109--MA0089.1.MAFG::NFE2L1	chr8	18936398	18936403	+	0.000	0.000	Merged-chr8-18936505-32
NR9668--MA0501.1.MAF::NFE2	chr7	65714527	65714541	+	0.000	0.000	Merged-chr7-65714407-39
NR11038--MA0089.1.MAFG::NFE2L1	chr9	108452876	108452881	+	0.000	0.000	Merged-chr9-108452722-45
NR7662--MA0501.1.MAF::NFE2	chr4	62685397	62685411	+	0.000	0.000	Merged-chr4-62685331-49
NR7133--MA0089.1.MAFG::NFE2L1	chr3	106485958	106485963	+	0.000	0.000	Merged-chr3-106485995-50
NR2211--MA0501.1.MAF::NFE2	chr11	113470178	113470192	-	0.000	0.000	Merged-chr11-113470175-37
NR6407--MA0495.2.MAFF	chr2	132874100	132874120	-	0.000	0.000	Merged-chr2-132874056-29
NR9409--MA0501.1.MAF::NFE2	chr6	140657742	140657756	+	0.000	0.000	Merged-chr6-140657459-39
NR2403--MA0659.1.MAFG	chr12	41044928	41044948	+	0.000	0.000	Merged-chr12-41044922-24
NR7711--MA0089.1.MAFG::NFE2L1	chr4	88544128	88544133	+	0.000	0.000	Merged-chr4-88544037-33
NR8380--MA0496.2.MAFK	chr5	73199787	73199805	-	0.000	0.000	Merged-chr5-73199876-43
NR10098--MA0501.1.MAF::NFE2	chr8	11452839	11452853	-	0.000	0.000	Merged-chr8-11452787-41
NR2263--MA0501.1.MAF::NFE2	chr11	119345110	119345124	+	0.000	0.000	Merged-chr11-119345028-19
NR4202--MA0501.1.MAF::NFE2	chr15	89592010	89592024	+	0.000	0.000	Merged-chr15-89591858-51
NR8904--MA0496.2.MAFK	chr6	29827424	29827442	-	0.000	0.000	Merged-chr6-29827502-39
NR4232--MA0089.1.MAFG::NFE2L1	chr15	93712891	93712896	-	0.000	0.000	Merged-chr15-93712745-43
NR9271--MA0659.1.MAFG	chr6	120955347	120955367	+	0.000	0.000	Merged-chr6-120955395-24
NR2188--MA0117.2.Mafb	chr11	109611822	109611833	+	0.000	0.000	Merged-chr11-109611660-96
NR645--MA0501.1.MAF::NFE2	chr1	159812892	159812906	+	0.000	0.000	Merged-chr1-159812982-41
NR3518--MA0089.1.MAFG::NFE2L1	chr14	49226072	49226077	-	0.000	0.000	Merged-chr14-49226087-9
NR902--MA0501.1.MAF::NFE2	chr1	192540928	192540942	+	0.000	0.000	Merged-chr1-192540861-22
NR7322--MA0591.1.Bach1::Mafk	chr3	135604828	135604842	+	0.000	0.000	Merged-chr3-135604723-37
NR8075--MA0089.1.MAFG::NFE2L1	chr4	151996271	151996276	-	0.000	0.000	Merged-chr4-151996356-68
NR4110--MA0591.1.Bach1::Mafk	chr15	73268472	73268486	-	0.000	0.000	Merged-chr15-73268336-36
NR2879--MA0089.1.MAFG::NFE2L1	chr13	21735093	21735098	-	0.000	0.000	Merged-chr13-21734996-112
NR8387--MA0117.2.Mafb	chr5	74404336	74404347	-	0.000	0.000	Merged-chr5-74404312-40
NR6519--MA0089.1.MAFG::NFE2L1	chr2	150910463	150910468	-	0.000	0.000	Merged-chr2-150910563-2
NR7850--MA0496.2.MAFK	chr4	120815812	120815830	+	0.000	0.000	Merged-chr4-120815867-58
NR7448--MA0089.1.MAFG::NFE2L1	chr3	152209744	152209749	+	0.000	0.000	Merged-chr3-152209810-2
NR11238--MA0089.1.MAFG::NFE2L1	chrX	85839374	85839379	-	0.000	0.000	Merged-chrX-85839388-40
NR4283--MA0591.1.Bach1::Mafk	chr15	100687228	100687242	+	0.000	0.000	Merged-chr15-100687236-65
NR5146--MA0501.1.MAF::NFE2	chr18	6281378	6281392	+	0.000	0.000	Merged-chr18-6281338-48
NR4046--MA0591.1.Bach1::Mafk	chr15	59650978	59650992	-	0.000	0.000	Merged-chr15-59650805-18
NR1325--MA0495.2.MAFF	chr10	93069517	93069537	-	0.000	0.000	Merged-chr10-93069523-27
NR3692--MA0591.1.Bach1::Mafk	chr14	79115185	79115199	-	0.000	0.000	Merged-chr14-79115074-10
NR8863--MA0501.1.MAF::NFE2	chr6	8648828	8648842	+	0.000	0.000	Merged-chr6-8648625-101
NR10599--MA0089.1.MAFG::NFE2L1	chr8	127447192	127447197	-	0.000	0.000	Merged-chr8-127447217-34
NR4491--MA0496.2.MAFK	chr16	48594652	48594670	+	0.000	0.000	Merged-chr16-48594719-53
NR4647--MA0591.1.Bach1::Mafk	chr16	90220958	90220972	+	0.000	0.000	Merged-chr16-90220998-103
NR4265--MA0117.2.Mafb	chr15	97578214	97578225	-	0.000	0.000	Merged-chr15-97578299-40
NR7642--MA0117.2.Mafb	chr4	57731337	57731348	+	0.000	0.000	Merged-chr4-57731162-88
NR8060--MA0089.1.MAFG::NFE2L1	chr4	148038929	148038934	+	0.000	0.000	Merged-chr4-148038906-70
NR5361--MA0089.1.MAFG::NFE2L1	chr18	77794717	77794722	+	0.000	0.000	Merged-chr18-77794764-36
NR7816--MA0591.1.Bach1::Mafk	chr4	117136467	117136481	+	0.000	0.000	Merged-chr4-117136328-17
NR10207--MA0089.1.MAFG::NFE2L1	chr8	64947304	64947309	-	0.000	0.000	Merged-chr8-64947122-116
