#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1244--MA0039.3.KLF4	chr1	87621485	87621495	-	0.000	0.000	Merged-chr1-87621669-41
NR40495--MA1107.1.KLF9	chr5	121385620	121385632	+	0.000	0.000	Merged-chr5-121385617-82
NR20612--MA0740.1.KLF14	chr16	56037814	56037827	+	0.000	0.000	Merged-chr16-56037763-63
NR51500--MA0599.1.KLF5	chr8	121898641	121898650	-	0.000	0.000	Merged-chr8-121898554-47
NR46231--MA0657.1.KLF13	chr7	30626217	30626234	+	0.000	0.000	Merged-chr7-30626131-41
NR31530--MA0740.1.KLF14	chr3	8510550	8510563	+	0.000	0.000	Merged-chr3-8510518-3
NR18182--MA0740.1.KLF14	chr15	73067609	73067622	+	0.000	0.000	Merged-chr15-73067607-62
NR41684--MA0657.1.KLF13	chr5	143817723	143817740	-	0.000	0.000	Merged-chr5-143817780-79
NR45922--MA1107.1.KLF9	chr7	25686952	25686964	-	0.000	0.000	Merged-chr7-25687157-78
NR10303--MA0742.1.Klf12	chr11	115367745	115367759	+	0.000	0.000	Merged-chr11-115367614-40
NR43533--MA0599.1.KLF5	chr6	90741018	90741027	+	0.000	0.000	Merged-chr6-90740921-51
NR49949--MA0741.1.KLF16	chr8	69887745	69887755	+	0.000	0.000	Merged-chr8-69887800-42
NR34906--MA0599.1.KLF5	chr4	48045218	48045227	+	0.000	0.000	Merged-chr4-48045107-76
NR18099--MA0599.1.KLF5	chr15	64312719	64312728	-	0.000	0.000	Merged-chr15-64312713-123
NR47603--MA0741.1.KLF16	chr7	105554335	105554345	+	0.000	0.000	Merged-chr7-105554530-56
NR31889--MA0742.1.Klf12	chr3	38484881	38484895	+	0.000	0.000	Merged-chr3-38484612-142
NR18775--MA0599.1.KLF5	chr15	83367339	83367348	+	0.000	0.000	Merged-chr15-83367311-32
NR15850--MA0599.1.KLF5	chr14	40967024	40967033	+	0.000	0.000	Merged-chr14-40966984-107
NR40292--MA0740.1.KLF14	chr5	115474655	115474668	+	0.000	0.000	Merged-chr5-115474524-35
NR29443--MA0599.1.KLF5	chr2	118926485	118926494	-	0.000	0.000	Merged-chr2-118926565-51
NR21624--MA0599.1.KLF5	chr17	13683652	13683661	-	0.000	0.000	Merged-chr17-13683851-19
NR30590--MA1107.1.KLF9	chr2	160731188	160731200	-	0.000	0.000	Merged-chr2-160731143-4
NR29782--MA1107.1.KLF9	chr2	129198618	129198630	-	0.000	0.000	Merged-chr2-129198566-84
NR45923--MA0741.1.KLF16	chr7	25687070	25687080	+	0.000	0.000	Merged-chr7-25687157-78
NR33913--MA0039.3.KLF4	chr3	145942165	145942175	-	0.000	0.000	Merged-chr3-145942154-31
NR35174--MA0741.1.KLF16	chr4	62806199	62806209	+	0.000	0.000	Merged-chr4-62806107-28
