#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR38965--MA0741.1.KLF16	chr5	64905946	64905956	+	0.000	0.000	Merged-chr5-64905944-90
NR26146--MA0493.1.Klf1	chr19	29067186	29067196	-	0.000	0.000	Merged-chr19-29067288-42
NR22144--MA1107.1.KLF9	chr17	28375697	28375709	+	0.000	0.000	Merged-chr17-28375713-30
NR55841--MA0493.1.Klf1	chrX	152327592	152327602	-	0.000	0.000	Merged-chrX-152327497-47
NR16227--MA1107.1.KLF9	chr14	59441711	59441723	+	0.000	0.000	Merged-chr14-59441586-1
NR12473--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR5604--MA1107.1.KLF9	chr10	86778895	86778907	+	0.000	0.000	Merged-chr10-86778945-85
NR2580--MA0039.3.KLF4	chr1	159812977	159812987	-	0.000	0.000	Merged-chr1-159812982-41
NR49678--MA0741.1.KLF16	chr8	47675157	47675167	+	0.000	0.000	Merged-chr8-47675197-158
NR9408--MA0741.1.KLF16	chr11	97146173	97146183	+	0.000	0.000	Merged-chr11-97146058-3
NR50928--MA0039.3.KLF4	chr8	107436979	107436989	+	0.000	0.000	Merged-chr8-107437181-10
NR52548--MA0741.1.KLF16	chr9	44043308	44043318	+	0.000	0.000	Merged-chr9-44043404-33
NR38285--MA0599.1.KLF5	chr5	21701515	21701524	-	0.000	0.000	Merged-chr5-21701542-81
NR16530--MA0657.1.KLF13	chr14	73112606	73112623	-	0.000	0.000	Merged-chr14-73112682-7
NR35360--MA0599.1.KLF5	chr4	88935479	88935488	-	0.000	0.000	Merged-chr4-88935517-14
NR44487--MA0742.1.Klf12	chr6	129049282	129049296	-	0.000	0.000	Merged-chr6-129049251-27
NR7476--MA0599.1.KLF5	chr11	33932170	33932179	-	0.000	0.000	Merged-chr11-33932389-100
NR30251--MA0599.1.KLF5	chr2	152904422	152904431	-	0.000	0.000	Merged-chr2-152904288-57
NR32846--MA1107.1.KLF9	chr3	100442836	100442848	-	0.000	0.000	Merged-chr3-100442814-47
NR7261--MA0599.1.KLF5	chr11	22001925	22001934	+	0.000	0.000	Merged-chr11-22001855-28
NR52141--MA1107.1.KLF9	chr9	21328058	21328070	-	0.000	0.000	Merged-chr9-21328115-58
NR22364--MA0493.1.Klf1	chr17	33629072	33629082	+	0.000	0.000	Merged-chr17-33629191-60
NR5372--MA0742.1.Klf12	chr10	81525252	81525266	-	0.000	0.000	Merged-chr10-81525209-7
NR50849--MA0599.1.KLF5	chr8	105966199	105966208	+	0.000	0.000	Merged-chr8-105965936-106
NR13657--MA0599.1.KLF5	chr13	49652813	49652822	-	0.000	0.000	Merged-chr13-49652936-64
NR32920--MA0742.1.Klf12	chr3	101748435	101748449	+	0.000	0.000	Merged-chr3-101748481-44
NR53559--MA0599.1.KLF5	chr9	79792912	79792921	-	0.000	0.000	Merged-chr9-79792846-1
NR18202--MA0599.1.KLF5	chr15	73182738	73182747	+	0.000	0.000	Merged-chr15-73182706-35
NR39549--MA0493.1.Klf1	chr5	96912046	96912056	-	0.000	0.000	Merged-chr5-96911874-52
NR13442--MA0599.1.KLF5	chr13	41220560	41220569	-	0.000	0.000	Merged-chr13-41220452-38
NR28666--MA0493.1.Klf1	chr2	69803239	69803249	+	0.000	0.000	Merged-chr2-69803068-39
NR39334--MA0493.1.Klf1	chr5	77130584	77130594	+	0.000	0.000	Merged-chr5-77130540-43
NR38933--MA1107.1.KLF9	chr5	64651645	64651657	-	0.000	0.000	Merged-chr5-64651532-36
NR28441--MA0039.3.KLF4	chr2	59513731	59513741	-	0.000	0.000	Merged-chr2-59513816-12
NR9291--MA0740.1.KLF14	chr11	95107020	95107033	-	0.000	0.000	Merged-chr11-95106934-17
NR4652--MA0741.1.KLF16	chr10	67943656	67943666	-	0.000	0.000	Merged-chr10-67943690-5
NR45028--MA0599.1.KLF5	chr6	145256893	145256902	+	0.000	0.000	Merged-chr6-145256997-16
NR18733--MA0657.1.KLF13	chr15	82259702	82259719	+	0.000	0.000	Merged-chr15-82259685-9
NR47584--MA0741.1.KLF16	chr7	104200044	104200054	-	0.000	0.000	Merged-chr7-104200085-28
NR16133--MA1107.1.KLF9	chr14	55884497	55884509	+	0.000	0.000	Merged-chr14-55884420-1
NR20758--MA0599.1.KLF5	chr16	76372295	76372304	+	0.000	0.000	Merged-chr16-76372284-4
NR14111--MA0741.1.KLF16	chr13	64161728	64161738	-	0.000	0.000	Merged-chr13-64161873-63
NR29644--MA0493.1.Klf1	chr2	125791558	125791568	+	0.000	0.000	Merged-chr2-125791694-59
NR3121--MA0599.1.KLF5	chr1	178336488	178336497	+	0.000	0.000	Merged-chr1-178336524-15
NR52487--MA0599.1.KLF5	chr9	41141381	41141390	-	0.000	0.000	Merged-chr9-41141262-26
NR3327--MA0599.1.KLF5	chr1	183345537	183345546	-	0.000	0.000	Merged-chr1-183345406-106
NR37616--MA0740.1.KLF14	chr4	149403249	149403262	+	0.000	0.000	Merged-chr4-149403248-29
NR42459--MA0742.1.Klf12	chr6	38345974	38345988	+	0.000	0.000	Merged-chr6-38346040-40
NR40034--MA1107.1.KLF9	chr5	112274119	112274131	-	0.000	0.000	Merged-chr5-112274120-60
NR33153--MA0493.1.Klf1	chr3	108788473	108788483	-	0.000	0.000	Merged-chr3-108788342-25
NR8535--MA0741.1.KLF16	chr11	75651953	75651963	+	0.000	0.000	Merged-chr11-75651867-67
NR42877--MA0493.1.Klf1	chr6	54162969	54162979	+	0.000	0.000	Merged-chr6-54162989-41
NR1953--MA0599.1.KLF5	chr1	134093249	134093258	+	0.000	0.000	Merged-chr1-134093457-135
NR41246--MA0599.1.KLF5	chr5	136149534	136149543	-	0.000	0.000	Merged-chr5-136149395-52
