#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR737--MA0002.2.RUNX1	chr10	77033274	77033284	-	0.000	0.000	Merged-chr10-77033384-72
NR1627--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR3387--MA0511.2.RUNX2	chr17	35997111	35997119	-	0.000	0.000	Merged-chr17-35997233-37
NR2782--MA0002.2.RUNX1	chr15	73154792	73154802	+	0.000	0.000	Merged-chr15-73154747-19
NR4098--MA0511.2.RUNX2	chr2	45139036	45139044	-	0.000	0.000	Merged-chr2-45139148-28
NR1485--MA0684.1.RUNX3	chr11	117872114	117872123	-	0.000	0.000	Merged-chr11-117872185-83
NR3559--MA0002.2.RUNX1	chr18	4971034	4971044	+	0.000	0.000	Merged-chr18-4971127-12
NR3022--MA0684.1.RUNX3	chr16	31210109	31210118	-	0.000	0.000	Merged-chr16-31210060-37
NR7332--MA0511.2.RUNX2	chr9	66883764	66883772	+	0.000	0.000	Merged-chr9-66883654-39
NR3416--MA0002.2.RUNX1	chr17	50525260	50525270	+	0.000	0.000	Merged-chr17-50525188-50
NR1408--MA0684.1.RUNX3	chr11	107668477	107668486	-	0.000	0.000	Merged-chr11-107668374-46
NR5447--MA0511.2.RUNX2	chr5	38566699	38566707	+	0.000	0.000	Merged-chr5-38566846-14
NR4842--MA0002.2.RUNX1	chr3	142282935	142282945	-	0.000	0.000	Merged-chr3-142282975-41
NR5282--MA0002.2.RUNX1	chr4	136570152	136570162	+	0.000	0.000	Merged-chr4-136570246-39
NR3545--MA0684.1.RUNX3	chr17	84758553	84758562	+	0.000	0.000	Merged-chr17-84758646-47
NR7428--MA0684.1.RUNX3	chr9	92384635	92384644	-	0.000	0.000	Merged-chr9-92384528-56
NR3402--MA0684.1.RUNX3	chr17	45384683	45384692	+	0.000	0.000	Merged-chr17-45384721-21
NR1180--MA0684.1.RUNX3	chr11	70594762	70594771	+	0.000	0.000	Merged-chr11-70594778-39
NR955--MA0002.2.RUNX1	chr10	121587571	121587581	-	0.000	0.000	Merged-chr10-121587592-1
NR5334--MA0684.1.RUNX3	chr4	150566267	150566276	+	0.000	0.000	Merged-chr4-150566221-49
NR5186--MA0002.2.RUNX1	chr4	119239198	119239208	-	0.000	0.000	Merged-chr4-119239271-44
NR1103--MA0684.1.RUNX3	chr11	50371494	50371503	+	0.000	0.000	Merged-chr11-50371605-32
NR3462--MA0511.2.RUNX2	chr17	65929515	65929523	+	0.000	0.000	Merged-chr17-65929405-47
NR7266--MA0684.1.RUNX3	chr9	57340002	57340011	-	0.000	0.000	Merged-chr9-57339944-60
NR7594--MA0002.2.RUNX1	chr9	123814394	123814404	-	0.000	0.000	Merged-chr9-123814525-64
NR5043--MA0002.2.RUNX1	chr4	83234294	83234304	-	0.000	0.000	Merged-chr4-83234214-31
NR7550--MA0511.2.RUNX2	chr9	119963508	119963516	+	0.000	0.000	Merged-chr9-119963439-34
NR793--MA0002.2.RUNX1	chr10	84678837	84678847	+	0.000	0.000	Merged-chr10-84678816-22
NR1355--MA0684.1.RUNX3	chr11	98568494	98568503	+	0.000	0.000	Merged-chr11-98568407-8
NR5394--MA0511.2.RUNX2	chr5	23719094	23719102	+	0.000	0.000	Merged-chr5-23719169-48
NR2781--MA0684.1.RUNX3	chr15	73150952	73150961	+	0.000	0.000	Merged-chr15-73151082-33
NR4855--MA0002.2.RUNX1	chr3	145538053	145538063	-	0.000	0.000	Merged-chr3-145538069-30
NR3287--MA0684.1.RUNX3	chr17	8190597	8190606	-	0.000	0.000	Merged-chr17-8190546-24
NR5566--MA0002.2.RUNX1	chr5	98016941	98016951	-	0.000	0.000	Merged-chr5-98016849-63
NR4811--MA0511.2.RUNX2	chr3	133332484	133332492	-	0.000	0.000	Merged-chr3-133332565-72
NR3829--MA0684.1.RUNX3	chr19	26646306	26646315	-	0.000	0.000	Merged-chr19-26646309-47
NR3015--MA0002.2.RUNX1	chr16	30181346	30181356	+	0.000	0.000	Merged-chr16-30181350-22
NR1335--MA0002.2.RUNX1	chr11	95666865	95666875	-	0.000	0.000	Merged-chr11-95666991-65
NR4170--MA0002.2.RUNX1	chr2	71041265	71041275	-	0.000	0.000	Merged-chr2-71041194-14
NR4441--MA0002.2.RUNX1	chr2	163103424	163103434	+	0.000	0.000	Merged-chr2-163103402-48
NR3637--MA0511.2.RUNX2	chr18	46381130	46381138	-	0.000	0.000	Merged-chr18-46381195-31
NR3908--MA0511.2.RUNX2	chr19	43689772	43689780	-	0.000	0.000	Merged-chr19-43689682-56
NR2761--MA0002.2.RUNX1	chr15	66507879	66507889	-	0.000	0.000	Merged-chr15-66508027-52
NR7103--MA0002.2.RUNX1	chr8	125067412	125067422	-	0.000	0.000	Merged-chr8-125067487-108
NR3538--MA0002.2.RUNX1	chr17	84333103	84333113	-	0.000	0.000	Merged-chr17-84333098-53
NR3809--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR4841--MA0684.1.RUNX3	chr3	142281331	142281340	+	0.000	0.000	Merged-chr3-142281213-32
NR6915--MA0002.2.RUNX1	chr8	36194357	36194367	+	0.000	0.000	Merged-chr8-36194183-57
NR3889--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR7355--MA0002.2.RUNX1	chr9	72390453	72390463	+	0.000	0.000	Merged-chr9-72390608-30
NR7626--MA0002.2.RUNX1	chrX	37191544	37191554	+	0.000	0.000	Merged-chrX-37191332-62
NR1338--MA0511.2.RUNX2	chr11	97309589	97309597	-	0.000	0.000	Merged-chr11-97309548-7
NR4920--MA0511.2.RUNX2	chr4	20033080	20033088	+	0.000	0.000	Merged-chr4-20033263-40
NR283--MA0002.2.RUNX1	chr1	135268209	135268219	-	0.000	0.000	Merged-chr1-135268339-27
NR1444--MA0002.2.RUNX1	chr11	113362859	113362869	+	0.000	0.000	Merged-chr11-113362898-34
NR7212--MA0002.2.RUNX1	chr9	40423740	40423750	-	0.000	0.000	Merged-chr9-40423772-79
NR5599--MA0684.1.RUNX3	chr5	105010567	105010576	+	0.000	0.000	Merged-chr5-105010527-49
NR954--MA0684.1.RUNX3	chr10	121382803	121382812	-	0.000	0.000	Merged-chr10-121382753-17
NR1844--MA0684.1.RUNX3	chr12	115003321	115003330	+	0.000	0.000	Merged-chr12-115003436-23
NR1696--MA0002.2.RUNX1	chr12	91766426	91766436	+	0.000	0.000	Merged-chr12-91766628-19
NR5390--MA0684.1.RUNX3	chr5	22360697	22360706	-	0.000	0.000	Merged-chr5-22360842-38
NR62--MA0002.2.RUNX1	chr1	40473882	40473892	+	0.000	0.000	Merged-chr1-40473860-44
NR3776--MA0684.1.RUNX3	chr19	5724635	5724644	+	0.000	0.000	Merged-chr19-5724698-18
NR392--MA0002.2.RUNX1	chr1	165075973	165075983	-	0.000	0.000	Merged-chr1-165075837-38
NR3428--MA0684.1.RUNX3	chr17	56911818	56911827	+	0.000	0.000	Merged-chr17-56911797-14
