#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR5272--MA0511.2.RUNX2	chr4	88115657	88115665	-	0.000	0.000	Merged-chr4-88115597-29
NR1978--MA0511.2.RUNX2	chr13	36814134	36814142	-	0.000	0.000	Merged-chr13-36814220-30
NR5173--MA0002.2.RUNX1	chr4	46618589	46618599	-	0.000	0.000	Merged-chr4-46618486-40
NR3493--MA0002.2.RUNX1	chr17	81045692	81045702	-	0.000	0.000	Merged-chr17-81045626-69
NR7524--MA0684.1.RUNX3	chr9	63737768	63737777	+	0.000	0.000	Merged-chr9-63737759-14
NR3244--MA0511.2.RUNX2	chr17	15499973	15499981	-	0.000	0.000	Merged-chr17-15499813-50
NR7376--MA0002.2.RUNX1	chr9	22366959	22366969	+	0.000	0.000	Merged-chr9-22366928-17
NR5967--MA0002.2.RUNX1	chr5	144126164	144126174	+	0.000	0.000	Merged-chr5-144126158-36
NR3145--MA0002.2.RUNX1	chr16	89872228	89872238	-	0.000	0.000	Merged-chr16-89872318-26
NR7603--MA0511.2.RUNX2	chr9	86625073	86625081	-	0.000	0.000	Merged-chr9-86625059-9
NR1194--MA0002.2.RUNX1	chr11	52046631	52046641	+	0.000	0.000	Merged-chr11-52046638-57
NR1408--MA0684.1.RUNX3	chr11	98568494	98568503	+	0.000	0.000	Merged-chr11-98568407-8
NR7233--MA0002.2.RUNX1	chr8	116636118	116636128	+	0.000	0.000	Merged-chr8-116636119-54
NR7899--MA0002.2.RUNX1	chrX	142792444	142792454	+	0.000	0.000	Merged-chrX-142792362-24
NR5225--MA0684.1.RUNX3	chr4	62757065	62757074	-	0.000	0.000	Merged-chr4-62756958-63
NR7504--MA0002.2.RUNX1	chr9	58280706	58280716	+	0.000	0.000	Merged-chr9-58280700-28
NR3002--MA0002.2.RUNX1	chr16	36588067	36588077	-	0.000	0.000	Merged-chr16-36588182-35
NR7904--MA0684.1.RUNX3	chrX	151344071	151344080	-	0.000	0.000	Merged-chrX-151344027-1
NR26--MA0684.1.RUNX3	chr1	16228097	16228106	-	0.000	0.000	Merged-chr1-16228179-38
NR1944--MA0511.2.RUNX2	chr13	28685042	28685050	-	0.000	0.000	Merged-chr13-28685106-11
NR684--MA0002.2.RUNX1	chr10	20855250	20855260	+	0.000	0.000	Merged-chr10-20855169-17
NR3210--MA0511.2.RUNX2	chr17	6008219	6008227	-	0.000	0.000	Merged-chr17-6008372-53
NR1530--MA0511.2.RUNX2	chr11	121475787	121475795	-	0.000	0.000	Merged-chr11-121475688-49
NR2795--MA0002.2.RUNX1	chr15	82111957	82111967	+	0.000	0.000	Merged-chr15-82112003-17
NR2400--MA0002.2.RUNX1	chr14	61339543	61339553	+	0.000	0.000	Merged-chr14-61339598-17
NR7137--MA0002.2.RUNX1	chr8	86797826	86797836	-	0.000	0.000	Merged-chr8-86797936-36
NR5728--MA0002.2.RUNX1	chr5	73237253	73237263	-	0.000	0.000	Merged-chr5-73237054-48
NR7759--MA0511.2.RUNX2	chr9	119744091	119744099	+	0.000	0.000	Merged-chr9-119744132-67
NR7266--MA0684.1.RUNX3	chr8	120889335	120889344	-	0.000	0.000	Merged-chr8-120889347-18
NR7808--MA0684.1.RUNX3	chrX	12069242	12069251	+	0.000	0.000	Merged-chrX-12069329-24
NR4239--MA0511.2.RUNX2	chr2	69415321	69415329	+	0.000	0.000	Merged-chr2-69415236-25
NR7616--MA0511.2.RUNX2	chr9	90259714	90259722	+	0.000	0.000	Merged-chr9-90259820-55
NR6740--MA0002.2.RUNX1	chr7	100932401	100932411	-	0.000	0.000	Merged-chr7-100932637-76
NR1163--MA0511.2.RUNX2	chr11	34064232	34064240	-	0.000	0.000	Merged-chr11-34064073-70
NR3287--MA0684.1.RUNX3	chr17	25248163	25248172	-	0.000	0.000	Merged-chr17-25248347-49
NR3829--MA0684.1.RUNX3	chr19	12479475	12479484	+	0.000	0.000	Merged-chr19-12479491-16
NR5251--MA0511.2.RUNX2	chr4	82365251	82365259	+	0.000	0.000	Merged-chr4-82365199-20
NR716--MA0002.2.RUNX1	chr10	24754262	24754272	+	0.000	0.000	Merged-chr10-24754197-117
NR1064--MA0002.2.RUNX1	chr11	3371444	3371454	+	0.000	0.000	Merged-chr11-3371528-30
NR5522--MA0511.2.RUNX2	chr4	152116071	152116079	+	0.000	0.000	Merged-chr4-152116111-49
NR4441--MA0002.2.RUNX1	chr2	128295228	128295238	+	0.000	0.000	Merged-chr2-128295119-53
NR7769--MA0002.2.RUNX1	chr9	120340154	120340164	+	0.000	0.000	Merged-chr9-120340117-48
NR302--MA0002.2.RUNX1	chr1	106515749	106515759	-	0.000	0.000	Merged-chr1-106515798-55
NR7725--MA0511.2.RUNX2	chr9	115611929	115611937	-	0.000	0.000	Merged-chr9-115612034-68
NR2413--MA0002.2.RUNX1	chr14	64734602	64734612	+	0.000	0.000	Merged-chr14-64734579-23
NR5618--MA0684.1.RUNX3	chr5	23387127	23387136	+	0.000	0.000	Merged-chr5-23387051-61
NR1609--MA0511.2.RUNX2	chr12	36019763	36019771	-	0.000	0.000	Merged-chr12-36019766-41
NR7040--MA0511.2.RUNX2	chr8	46639964	46639972	+	0.000	0.000	Merged-chr8-46640017-4
NR6329--MA0684.1.RUNX3	chr6	120466810	120466819	-	0.000	0.000	Merged-chr6-120466879-54
NR1173--MA0002.2.RUNX1	chr11	46076266	46076276	-	0.000	0.000	Merged-chr11-46076262-41
NR4550--MA0002.2.RUNX1	chr2	158133353	158133363	+	0.000	0.000	Merged-chr2-158133215-37
NR2870--MA0002.2.RUNX1	chr15	99644989	99644999	-	0.000	0.000	Merged-chr15-99645060-19
NR1400--MA0511.2.RUNX2	chr11	98457995	98458003	-	0.000	0.000	Merged-chr11-98457960-97
NR5599--MA0684.1.RUNX3	chr5	21002894	21002903	+	0.000	0.000	Merged-chr5-21002908-38
NR2936--MA0002.2.RUNX1	chr16	14088506	14088516	+	0.000	0.000	Merged-chr16-14088440-49
NR5327--MA0002.2.RUNX1	chr4	106939160	106939170	+	0.000	0.000	Merged-chr4-106939018-9
NR140--MA0002.2.RUNX1	chr1	60777109	60777119	+	0.000	0.000	Merged-chr1-60777260-88
NR5949--MA0511.2.RUNX2	chr5	139206777	139206785	-	0.000	0.000	Merged-chr5-139206711-28
NR1381--MA0511.2.RUNX2	chr11	92904205	92904213	-	0.000	0.000	Merged-chr11-92904387-18
NR1176--MA0511.2.RUNX2	chr11	46375251	46375259	-	0.000	0.000	Merged-chr11-46375177-31
NR5727--MA0684.1.RUNX3	chr5	72636228	72636237	-	0.000	0.000	Merged-chr5-72636293-57
NR392--MA0002.2.RUNX1	chr1	151894003	151894013	-	0.000	0.000	Merged-chr1-151894159-30
NR7420--MA0511.2.RUNX2	chr9	41153628	41153636	-	0.000	0.000	Merged-chr9-41153398-36
NR1225--MA0684.1.RUNX3	chr11	57911898	57911907	+	0.000	0.000	Merged-chr11-57911963-18
NR934--MA0002.2.RUNX1	chr10	96274204	96274214	+	0.000	0.000	Merged-chr10-96274144-52
NR1348--MA0002.2.RUNX1	chr11	84916302	84916312	-	0.000	0.000	Merged-chr11-84916345-39
NR5806--MA0511.2.RUNX2	chr5	103856510	103856518	+	0.000	0.000	Merged-chr5-103856392-25
NR3584--MA0511.2.RUNX2	chr18	19483617	19483625	+	0.000	0.000	Merged-chr18-19483716-13
NR3855--MA0511.2.RUNX2	chr19	20390561	20390569	-	0.000	0.000	Merged-chr19-20390603-26
NR1699--MA0511.2.RUNX2	chr12	84762820	84762828	-	0.000	0.000	Merged-chr12-84762785-51
NR3633--MA0684.1.RUNX3	chr18	39137637	39137646	-	0.000	0.000	Merged-chr18-39137711-66
NR3904--MA0684.1.RUNX3	chr19	32266644	32266653	+	0.000	0.000	Merged-chr19-32266743-101
NR3157--MA0684.1.RUNX3	chr16	91073783	91073792	-	0.000	0.000	Merged-chr16-91073588-44
NR7245--MA0684.1.RUNX3	chr8	117772809	117772818	+	0.000	0.000	Merged-chr8-117772652-68
NR1490--MA0511.2.RUNX2	chr11	115589156	115589164	+	0.000	0.000	Merged-chr11-115589146-15
NR7639--MA0002.2.RUNX1	chr9	96583331	96583341	+	0.000	0.000	Merged-chr9-96583315-51
NR920--MA0684.1.RUNX3	chr10	94211874	94211883	-	0.000	0.000	Merged-chr10-94211763-30
NR3014--MA0684.1.RUNX3	chr16	38653654	38653663	+	0.000	0.000	Merged-chr16-38653657-58
NR5959--MA0002.2.RUNX1	chr5	140872746	140872756	+	0.000	0.000	Merged-chr5-140872723-52
NR1063--MA0684.1.RUNX3	chr11	3336011	3336020	+	0.000	0.000	Merged-chr11-3336028-55
NR772--MA0002.2.RUNX1	chr10	43954170	43954180	-	0.000	0.000	Merged-chr10-43954194-45
NR7324--MA0511.2.RUNX2	chr8	128562901	128562909	-	0.000	0.000	Merged-chr8-128563020-29
NR838--MA0002.2.RUNX1	chr10	69536878	69536888	+	0.000	0.000	Merged-chr10-69536721-21
NR1457--MA0002.2.RUNX1	chr11	109149824	109149834	+	0.000	0.000	Merged-chr11-109149686-17
NR95--MA0684.1.RUNX3	chr1	51572574	51572583	-	0.000	0.000	Merged-chr1-51572755-47
NR7102--MA0684.1.RUNX3	chr8	77482106	77482115	+	0.000	0.000	Merged-chr8-77482121-16
NR4563--MA0002.2.RUNX1	chr2	163131035	163131045	-	0.000	0.000	Merged-chr2-163131105-39
NR7768--MA0684.1.RUNX3	chr9	120030616	120030625	-	0.000	0.000	Merged-chr9-120030518-100
NR3471--MA0684.1.RUNX3	chr17	73815028	73815037	-	0.000	0.000	Merged-chr17-73814943-62
NR6971--MA0002.2.RUNX1	chr8	14012787	14012797	+	0.000	0.000	Merged-chr8-14012674-53
NR4420--MA0002.2.RUNX1	chr2	127444501	127444511	-	0.000	0.000	Merged-chr2-127444520-53
NR7625--MA0684.1.RUNX3	chr9	92384628	92384637	-	0.000	0.000	Merged-chr9-92384528-56
NR18--MA0684.1.RUNX3	chr1	13294969	13294978	+	0.000	0.000	Merged-chr1-13295038-43
NR7477--MA0002.2.RUNX1	chr9	55102313	55102323	-	0.000	0.000	Merged-chr9-55102396-26
NR75--MA0002.2.RUNX1	chr1	40470134	40470144	+	0.000	0.000	Merged-chr1-40470075-45
NR7748--MA0002.2.RUNX1	chr9	118357570	118357580	+	0.000	0.000	Merged-chr9-118357562-26
NR3123--MA0684.1.RUNX3	chr16	78546726	78546735	+	0.000	0.000	Merged-chr16-78546881-68
NR4771--MA0511.2.RUNX2	chr3	86961165	86961173	-	0.000	0.000	Merged-chr3-86961231-31
NR1443--MA0684.1.RUNX3	chr11	106961728	106961737	+	0.000	0.000	Merged-chr11-106961822-47
NR6623--MA0002.2.RUNX1	chr7	65373500	65373510	-	0.000	0.000	Merged-chr7-65373607-20
NR3597--MA0511.2.RUNX2	chr18	32192321	32192329	-	0.000	0.000	Merged-chr18-32192400-28
NR3868--MA0511.2.RUNX2	chr19	21771765	21771773	+	0.000	0.000	Merged-chr19-21771815-24
NR7605--MA0002.2.RUNX1	chr9	87248326	87248336	+	0.000	0.000	Merged-chr9-87248306-23
NR410--MA0684.1.RUNX3	chr1	155476449	155476458	-	0.000	0.000	Merged-chr1-155476472-40
NR3103--MA0002.2.RUNX1	chr16	70365448	70365458	-	0.000	0.000	Merged-chr16-70365429-20
NR1218--MA0002.2.RUNX1	chr11	55031376	55031386	-	0.000	0.000	Merged-chr11-55031517-56
NR7734--MA0684.1.RUNX3	chr9	116190063	116190072	+	0.000	0.000	Merged-chr9-116190040-14
NR4880--MA0511.2.RUNX2	chr3	108887078	108887086	+	0.000	0.000	Merged-chr3-108887140-15
NR3503--MA0684.1.RUNX3	chr17	84064670	84064679	+	0.000	0.000	Merged-chr17-84064715-7
NR5035--MA0002.2.RUNX1	chr3	145538053	145538063	-	0.000	0.000	Merged-chr3-145538069-30
NR6289--MA0684.1.RUNX3	chr6	114660167	114660176	-	0.000	0.000	Merged-chr6-114660280-61
NR7066--MA0511.2.RUNX2	chr8	68674301	68674309	+	0.000	0.000	Merged-chr8-68674402-29
NR7337--MA0511.2.RUNX2	chr9	5298620	5298628	-	0.000	0.000	Merged-chr9-5298744-86
NR2773--MA0684.1.RUNX3	chr15	78614724	78614733	-	0.000	0.000	Merged-chr15-78614745-50
NR7115--MA0684.1.RUNX3	chr8	81702250	81702259	+	0.000	0.000	Merged-chr8-81702288-38
NR2230--MA0002.2.RUNX1	chr13	112474593	112474603	+	0.000	0.000	Merged-chr13-112474497-27
NR5435--MA0684.1.RUNX3	chr4	135098599	135098608	-	0.000	0.000	Merged-chr4-135098629-27
NR1426--MA0511.2.RUNX2	chr11	100905108	100905116	+	0.000	0.000	Merged-chr11-100905066-56
NR7509--MA0002.2.RUNX1	chr9	61187185	61187195	-	0.000	0.000	Merged-chr9-61187199-16
NR5558--MA0002.2.RUNX1	chr5	10866668	10866678	-	0.000	0.000	Merged-chr5-10866661-52
NR2852--MA0511.2.RUNX2	chr15	97836699	97836707	-	0.000	0.000	Merged-chr15-97837039-84
NR5243--MA0511.2.RUNX2	chr4	70307384	70307392	+	0.000	0.000	Merged-chr4-70307334-49
NR1056--MA0002.2.RUNX1	chr10	130439226	130439236	+	0.000	0.000	Merged-chr10-130439179-24
NR1327--MA0002.2.RUNX1	chr11	79962470	79962480	+	0.000	0.000	Merged-chr11-79962407-53
NR3193--MA0002.2.RUNX1	chr16	96273469	96273479	-	0.000	0.000	Merged-chr16-96273446-72
NR1456--MA0684.1.RUNX3	chr11	109149662	109149671	-	0.000	0.000	Merged-chr11-109149686-17
NR7717--MA0511.2.RUNX2	chr9	115299298	115299306	+	0.000	0.000	Merged-chr9-115299283-20
NR4890--MA0002.2.RUNX1	chr3	115692546	115692556	-	0.000	0.000	Merged-chr3-115692552-34
NR1535--MA0511.2.RUNX2	chr12	8208227	8208235	-	0.000	0.000	Merged-chr12-8208226-52
NR4641--MA0511.2.RUNX2	chr3	9755109	9755117	+	0.000	0.000	Merged-chr3-9755096-55
NR2961--MA0511.2.RUNX2	chr16	23844809	23844817	+	0.000	0.000	Merged-chr16-23844946-41
NR817--MA0002.2.RUNX1	chr10	61680237	61680247	-	0.000	0.000	Merged-chr10-61680390-61
NR74--MA0684.1.RUNX3	chr1	40470101	40470110	-	0.000	0.000	Merged-chr1-40470075-45
NR3245--MA0684.1.RUNX3	chr17	15499991	15500000	-	0.000	0.000	Merged-chr17-15499813-50
NR3516--MA0684.1.RUNX3	chr17	84758459	84758468	+	0.000	0.000	Merged-chr17-84758646-47
NR946--MA0684.1.RUNX3	chr10	98786239	98786248	+	0.000	0.000	Merged-chr10-98786079-74
NR5048--MA0002.2.RUNX1	chr3	146764991	146765001	+	0.000	0.000	Merged-chr3-146765113-32
NR1294--MA0684.1.RUNX3	chr11	76993059	76993068	+	0.000	0.000	Merged-chr11-76993098-31
NR7284--MA0511.2.RUNX2	chr8	124242430	124242438	-	0.000	0.000	Merged-chr8-124242348-54
NR5319--MA0002.2.RUNX1	chr4	102675167	102675177	+	0.000	0.000	Merged-chr4-102675232-10
NR1688--MA0002.2.RUNX1	chr12	76889716	76889726	+	0.000	0.000	Merged-chr12-76889803-12
NR6745--MA0002.2.RUNX1	chr7	101071225	101071235	+	0.000	0.000	Merged-chr7-101071323-36
NR7604--MA0684.1.RUNX3	chr9	86625072	86625081	-	0.000	0.000	Merged-chr9-86625059-9
NR5653--MA0684.1.RUNX3	chr5	36722554	36722563	-	0.000	0.000	Merged-chr5-36722614-37
NR1644--MA0511.2.RUNX2	chr12	59021533	59021541	+	0.000	0.000	Merged-chr12-59021522-35
NR5461--MA0511.2.RUNX2	chr4	139242158	139242166	-	0.000	0.000	Merged-chr4-139242159-17
NR926--MA0002.2.RUNX1	chr10	94942950	94942960	-	0.000	0.000	Merged-chr10-94942923-6
NR5256--MA0511.2.RUNX2	chr4	83380613	83380621	+	0.000	0.000	Merged-chr4-83380604-15
NR4380--MA0002.2.RUNX1	chr2	117447069	117447079	+	0.000	0.000	Merged-chr2-117447085-57
NR3847--MA0511.2.RUNX2	chr19	18619537	18619545	+	0.000	0.000	Merged-chr19-18619600-102
NR1230--MA0511.2.RUNX2	chr11	58978066	58978074	-	0.000	0.000	Merged-chr11-58978003-101
NR4717--MA0002.2.RUNX1	chr3	51353462	51353472	+	0.000	0.000	Merged-chr3-51353626-33
NR2495--MA0002.2.RUNX1	chr14	101480705	101480715	-	0.000	0.000	Merged-chr14-101480860-35
NR5157--MA0002.2.RUNX1	chr4	43267166	43267176	+	0.000	0.000	Merged-chr4-43267154-24
NR5428--MA0002.2.RUNX1	chr4	134787144	134787154	+	0.000	0.000	Merged-chr4-134787167-34
NR1674--MA0684.1.RUNX3	chr12	73593511	73593520	+	0.000	0.000	Merged-chr12-73593577-88
NR3748--MA0002.2.RUNX1	chr18	80629093	80629103	+	0.000	0.000	Merged-chr18-80629168-11
NR4780--MA0684.1.RUNX3	chr3	88510193	88510202	-	0.000	0.000	Merged-chr3-88510082-59
NR3162--MA0511.2.RUNX2	chr16	91789929	91789937	+	0.000	0.000	Merged-chr16-91789935-50
NR863--MA0511.2.RUNX2	chr10	80622478	80622486	-	0.000	0.000	Merged-chr10-80622471-84
NR2500--MA0684.1.RUNX3	chr14	101879179	101879188	+	0.000	0.000	Merged-chr14-101879110-69
NR7089--MA0002.2.RUNX1	chr8	72216026	72216036	-	0.000	0.000	Merged-chr8-72216019-31
NR2623--MA0002.2.RUNX1	chr15	27579106	27579116	-	0.000	0.000	Merged-chr15-27579137-17
