#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR761--MA0731.1.BCL6B	chr18	12585081	12585097	+	0.000	0.000	Merged-chr18-12585200-22
NR269--MA0463.1.Bcl6	chr11	45791854	45791867	-	0.000	0.000	Merged-chr11-45791953-26
NR1412--MA0731.1.BCL6B	chr6	113661633	113661649	-	0.000	0.000	Merged-chr6-113661383-125
NR631--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR1067--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR1734--MA0463.1.Bcl6	chr9	123749900	123749913	+	0.000	0.000	Merged-chr9-123749851-10
NR1425--MA0731.1.BCL6B	chr6	124902079	124902095	+	0.000	0.000	Merged-chr6-124902062-25
NR708--MA0463.1.Bcl6	chr17	33358764	33358777	+	0.000	0.000	Merged-chr17-33358776-57
NR1752--MA0463.1.Bcl6	chrX	101369227	101369240	-	0.000	0.000	Merged-chrX-101369155-35
NR1500--MA0731.1.BCL6B	chr7	92165372	92165388	-	0.000	0.000	Merged-chr7-92165181-43
NR591--MA0731.1.BCL6B	chr15	59541235	59541251	-	0.000	0.000	Merged-chr15-59541132-33
NR1099--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR780--MA0463.1.Bcl6	chr18	60375902	60375915	+	0.000	0.000	Merged-chr18-60375896-42
NR1547--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR664--MA0463.1.Bcl6	chr16	57398853	57398866	+	0.000	0.000	Merged-chr16-57398780-28
NR1330--MA0731.1.BCL6B	chr5	143567794	143567810	-	0.000	0.000	Merged-chr5-143567933-15
NR1449--MA0463.1.Bcl6	chr6	144670840	144670853	-	0.000	0.000	Merged-chr6-144670724-72
NR1346--MA0463.1.Bcl6	chr5	150840181	150840194	+	0.000	0.000	Merged-chr5-150840006-2
NR351--MA0463.1.Bcl6	chr12	28649539	28649552	-	0.000	0.000	Merged-chr12-28649710-52
NR1290--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
