#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR4594--MA0591.1.Bach1::Mafk	chr18	63692318	63692332	-	0.000	0.000	Merged-chr18-63692384-62
NR1459--MA0659.1.MAFG	chr11	54214885	54214905	+	0.000	0.000	Merged-chr11-54214861-56
NR5915--MA0495.2.MAFF	chr3	65922629	65922649	-	0.000	0.000	Merged-chr3-65922755-41
NR8515--MA0659.1.MAFG	chr7	116409582	116409602	-	0.000	0.000	Merged-chr7-116409560-37
NR3879--MA0089.1.MAFG::NFE2L1	chr16	75921130	75921135	-	0.000	0.000	Merged-chr16-75921068-56
NR2459--MA0089.1.MAFG::NFE2L1	chr13	32993429	32993434	-	0.000	0.000	Merged-chr13-32993550-50
NR5549--MA0591.1.Bach1::Mafk	chr2	147308158	147308172	+	0.000	0.000	Merged-chr2-147307973-47
NR4314--MA0591.1.Bach1::Mafk	chr17	73263285	73263299	-	0.000	0.000	Merged-chr17-73263273-50
NR4603--MA0117.2.Mafb	chr18	64991444	64991455	+	0.000	0.000	Merged-chr18-64991575-63
NR3413--MA0495.2.MAFF	chr15	61539209	61539229	-	0.000	0.000	Merged-chr15-61539170-27
NR5263--MA0117.2.Mafb	chr2	84222536	84222547	-	0.000	0.000	Merged-chr2-84222340-41
NR96--MA0495.2.MAFF	chr1	43168970	43168990	-	0.000	0.000	Merged-chr1-43168933-57
NR4958--MA0591.1.Bach1::Mafk	chr19	57131620	57131634	+	0.000	0.000	Merged-chr19-57131601-25
NR8824--MA0089.1.MAFG::NFE2L1	chr8	64947304	64947309	-	0.000	0.000	Merged-chr8-64947122-116
NR4627--MA0501.1.MAF::NFE2	chr18	67301729	67301743	+	0.000	0.000	Merged-chr18-67301646-31
NR271--MA0591.1.Bach1::Mafk	chr1	91413305	91413319	+	0.000	0.000	Merged-chr1-91413387-81
NR1509--MA0591.1.Bach1::Mafk	chr11	69098730	69098744	+	0.000	0.000	Merged-chr11-69098613-81
NR2431--MA0089.1.MAFG::NFE2L1	chr13	24487237	24487242	+	0.000	0.000	Merged-chr13-24487447-67
NR1676--MA0496.2.MAFK	chr11	95834502	95834520	-	0.000	0.000	Merged-chr11-95834511-50
NR1461--MA0496.2.MAFK	chr11	54214886	54214904	+	0.000	0.000	Merged-chr11-54214861-56
