#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR479--MA0463.1.Bcl6	chr14	75318823	75318836	+	0.000	0.000	Merged-chr14-75318936-27
NR1542--MA0731.1.BCL6B	chr9	41116375	41116391	+	0.000	0.000	Merged-chr9-41116264-54
NR1608--MA0731.1.BCL6B	chr9	108053128	108053144	-	0.000	0.000	Merged-chr9-108053056-38
NR497--MA0463.1.Bcl6	chr14	121422912	121422925	-	0.000	0.000	Merged-chr14-121422910-45
NR1183--MA0463.1.Bcl6	chr5	33657985	33657998	-	0.000	0.000	Merged-chr5-33658141-114
NR1303--MA0731.1.BCL6B	chr6	86396833	86396849	-	0.000	0.000	Merged-chr6-86397021-74
NR1412--MA0731.1.BCL6B	chr7	101600532	101600548	-	0.000	0.000	Merged-chr7-101600630-30
NR1622--MA0463.1.Bcl6	chr9	121671484	121671497	-	0.000	0.000	Merged-chr9-121671485-14
NR740--MA0731.1.BCL6B	chr19	26752838	26752854	-	0.000	0.000	Merged-chr19-26752841-15
NR184--MA0463.1.Bcl6	chr10	121310905	121310918	+	0.000	0.000	Merged-chr10-121310778-72
NR992--MA0731.1.BCL6B	chr3	100692282	100692298	-	0.000	0.000	Merged-chr3-100692410-68
NR972--MA0463.1.Bcl6	chr3	86248060	86248073	+	0.000	0.000	Merged-chr3-86247740-69
NR511--MA0463.1.Bcl6	chr15	36179639	36179652	+	0.000	0.000	Merged-chr15-36179511-67
NR1500--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1524--MA0463.1.Bcl6	chr8	128352945	128352958	-	0.000	0.000	Merged-chr8-128352989-24
NR56--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR1430--MA0463.1.Bcl6	chr7	113250661	113250674	-	0.000	0.000	Merged-chr7-113250807-31
NR189--MA0463.1.Bcl6	chr11	3133595	3133608	-	0.000	0.000	Merged-chr11-3133574-54
NR968--MA0463.1.Bcl6	chr3	84666222	84666235	+	0.000	0.000	Merged-chr3-84666223-45
NR874--MA0463.1.Bcl6	chr2	128073156	128073169	+	0.000	0.000	Merged-chr2-128073179-40
NR780--MA0463.1.Bcl6	chr2	3764205	3764218	+	0.000	0.000	Merged-chr2-3764311-29
NR1003--MA0731.1.BCL6B	chr3	108504073	108504089	-	0.000	0.000	Merged-chr3-108504114-26
NR1460--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR1426--MA0463.1.Bcl6	chr7	112042934	112042947	+	0.000	0.000	Merged-chr7-112042963-36
NR646--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR431--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR602--MA0731.1.BCL6B	chr16	75617786	75617802	-	0.000	0.000	Merged-chr16-75617911-31
NR1016--MA0731.1.BCL6B	chr3	130810033	130810049	-	0.000	0.000	Merged-chr3-130810133-82
NR664--MA0463.1.Bcl6	chr17	51762584	51762597	-	0.000	0.000	Merged-chr17-51762690-29
NR776--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR418--MA0463.1.Bcl6	chr13	104287242	104287255	-	0.000	0.000	Merged-chr13-104287389-4
NR888--MA0463.1.Bcl6	chr2	143903718	143903731	+	0.000	0.000	Merged-chr2-143903810-20
NR1216--MA0463.1.Bcl6	chr5	96164250	96164263	+	0.000	0.000	Merged-chr5-96164099-57
NR436--MA0463.1.Bcl6	chr14	25534393	25534406	-	0.000	0.000	Merged-chr14-25534315-15
NR1122--MA0463.1.Bcl6	chr4	126468071	126468084	-	0.000	0.000	Merged-chr4-126467953-5
NR1449--MA0463.1.Bcl6	chr7	139156838	139156851	+	0.000	0.000	Merged-chr7-139156945-61
NR472--MA0463.1.Bcl6	chr14	68044927	68044940	+	0.000	0.000	Merged-chr14-68044800-35
NR678--MA0463.1.Bcl6	chr17	73875427	73875440	-	0.000	0.000	Merged-chr17-73875557-33
NR584--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR703--MA0731.1.BCL6B	chr18	32147441	32147457	+	0.000	0.000	Merged-chr18-32147620-36
NR123--MA0463.1.Bcl6	chr10	19578296	19578309	-	0.000	0.000	Merged-chr10-19578163-111
NR825--MA0731.1.BCL6B	chr2	60037444	60037460	-	0.000	0.000	Merged-chr2-60037299-59
NR374--MA0463.1.Bcl6	chr13	28958405	28958418	+	0.000	0.000	Merged-chr13-28958355-72
NR1387--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR701--MA0463.1.Bcl6	chr18	25479557	25479570	+	0.000	0.000	Merged-chr18-25479728-10
NR1499--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR146--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR676--MA0731.1.BCL6B	chr17	71485916	71485932	+	0.000	0.000	Merged-chr17-71486096-96
NR1159--MA0463.1.Bcl6	chr4	152115981	152115994	-	0.000	0.000	Merged-chr4-152116111-49
NR276--MA0463.1.Bcl6	chr11	116949839	116949852	-	0.000	0.000	Merged-chr11-116950052-23
NR913--MA0731.1.BCL6B	chr2	164184484	164184500	-	0.000	0.000	Merged-chr2-164184609-17
NR173--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR1289--MA0463.1.Bcl6	chr6	53455595	53455608	+	0.000	0.000	Merged-chr6-53455637-20
NR1195--MA0463.1.Bcl6	chr5	67418853	67418866	+	0.000	0.000	Merged-chr5-67418777-17
NR403--MA0731.1.BCL6B	chr13	73740708	73740724	+	0.000	0.000	Merged-chr13-73740559-35
NR809--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR764--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR845--MA0463.1.Bcl6	chr2	79774538	79774551	-	0.000	0.000	Merged-chr2-79774648-24
NR730--MA0731.1.BCL6B	chr19	5273246	5273262	-	0.000	0.000	Merged-chr19-5273188-67
NR1531--MA0463.1.Bcl6	chr9	15004361	15004374	+	0.000	0.000	Merged-chr9-15004523-21
NR505--MA0463.1.Bcl6	chr15	11952274	11952287	-	0.000	0.000	Merged-chr15-11952376-20
NR995--MA0731.1.BCL6B	chr3	101598315	101598331	+	0.000	0.000	Merged-chr3-101598272-22
NR868--MA0463.1.Bcl6	chr2	122485968	122485981	-	0.000	0.000	Merged-chr2-122485879-27
NR613--MA0731.1.BCL6B	chr16	93816572	93816588	-	0.000	0.000	Merged-chr16-93816419-67
NR1136--MA0731.1.BCL6B	chr4	135292735	135292751	-	0.000	0.000	Merged-chr4-135292823-34
NR25--MA0731.1.BCL6B	chr1	64970800	64970816	+	0.000	0.000	Merged-chr1-64970885-50
NR783--MA0463.1.Bcl6	chr2	6322838	6322851	+	0.000	0.000	Merged-chr2-6322787-80
NR210--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR212--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR443--MA0463.1.Bcl6	chr14	47277008	47277021	+	0.000	0.000	Merged-chr14-47276879-81
NR1241--MA0463.1.Bcl6	chr5	124496988	124497001	-	0.000	0.000	Merged-chr5-124497096-41
NR477--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR573--MA0463.1.Bcl6	chr16	25426659	25426672	+	0.000	0.000	Merged-chr16-25426499-60
NR605--MA0731.1.BCL6B	chr16	76866285	76866301	-	0.000	0.000	Merged-chr16-76866196-31
NR1013--MA0463.1.Bcl6	chr3	126609862	126609875	-	0.000	0.000	Merged-chr3-126609975-57
NR945--MA0731.1.BCL6B	chr3	19240210	19240226	-	0.000	0.000	Merged-chr3-19240113-21
NR1282--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR260--MA0731.1.BCL6B	chr11	101008334	101008350	+	0.000	0.000	Merged-chr11-101008310-35
NR247--MA0463.1.Bcl6	chr11	78345897	78345910	+	0.000	0.000	Merged-chr11-78345997-37
NR265--MA0463.1.Bcl6	chr11	106329899	106329912	+	0.000	0.000	Merged-chr11-106329913-15
NR401--MA0731.1.BCL6B	chr13	69509822	69509838	+	0.000	0.000	Merged-chr13-69509794-33
NR1278--MA0463.1.Bcl6	chr6	30401863	30401876	+	0.000	0.000	Merged-chr6-30401803-70
NR283--MA0463.1.Bcl6	chr11	121475843	121475856	-	0.000	0.000	Merged-chr11-121475688-49
NR1184--MA0463.1.Bcl6	chr5	33658005	33658018	-	0.000	0.000	Merged-chr5-33658141-114
NR209--MA0731.1.BCL6B	chr11	50952517	50952533	+	0.000	0.000	Merged-chr11-50952542-18
NR1511--MA0463.1.Bcl6	chr8	110813182	110813195	-	0.000	0.000	Merged-chr8-110813191-16
NR937--MA0463.1.Bcl6	chr2	178286165	178286178	+	0.000	0.000	Merged-chr2-178286112-1
NR1641--MA0463.1.Bcl6	chrX	48424901	48424914	-	0.000	0.000	Merged-chrX-48424908-65
NR852--MA0463.1.Bcl6	chr2	93471206	93471219	+	0.000	0.000	Merged-chr2-93471266-47
NR1631--MA0731.1.BCL6B	chrX	7883944	7883960	+	0.000	0.000	Merged-chrX-7884188-53
NR512--MA0463.1.Bcl6	chr15	36708581	36708594	+	0.000	0.000	Merged-chr15-36708582-23
NR991--MA0463.1.Bcl6	chr3	100692319	100692332	+	0.000	0.000	Merged-chr3-100692410-68
NR101--MA0731.1.BCL6B	chr1	180888723	180888739	+	0.000	0.000	Merged-chr1-180888660-21
NR52--MA0463.1.Bcl6	chr1	127676878	127676891	-	0.000	0.000	Merged-chr1-127676852-3
NR302--MA0463.1.Bcl6	chr12	73162857	73162870	-	0.000	0.000	Merged-chr12-73162812-38
NR526--MA0463.1.Bcl6	chr15	66854859	66854872	-	0.000	0.000	Merged-chr15-66854970-48
NR432--MA0463.1.Bcl6	chr14	10453346	10453359	-	0.000	0.000	Merged-chr14-10453327-99
NR777--MA0463.1.Bcl6	chr19	57083088	57083101	+	0.000	0.000	Merged-chr19-57083093-37
