#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR6223--MA0117.2.Mafb	chr2	118479638	118479649	-	0.000	0.000	Merged-chr2-118479606-59
NR4388--MA0117.2.Mafb	chr16	75855587	75855598	-	0.000	0.000	Merged-chr16-75855662-51
NR655--MA0591.1.Bach1::Mafk	chr1	151613435	151613449	-	0.000	0.000	Merged-chr1-151613371-29
NR3198--MA0495.2.MAFF	chr14	8099810	8099830	-	0.000	0.000	Merged-chr14-8099733-53
NR6376--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR92--MA0089.1.MAFG::NFE2L1	chr1	38557862	38557867	+	0.000	0.000	Merged-chr1-38557840-50
NR4593--MA0089.1.MAFG::NFE2L1	chr17	6658959	6658964	-	0.000	0.000	Merged-chr17-6658937-44
NR6335--MA0117.2.Mafb	chr2	136713428	136713439	+	0.000	0.000	Merged-chr2-136713421-11
NR10549--MA0496.2.MAFK	chr8	124242444	124242462	+	0.000	0.000	Merged-chr8-124242348-54
NR2421--MA0496.2.MAFK	chr12	91604328	91604346	-	0.000	0.000	Merged-chr12-91604206-14,Merged-chr12-91604478-1
NR7883--MA0089.1.MAFG::NFE2L1	chr4	119947741	119947746	-	0.000	0.000	Merged-chr4-119947761-47
NR5043--MA0089.1.MAFG::NFE2L1	chr18	23913006	23913011	+	0.000	0.000	Merged-chr18-23913027-4
NR3628--MA0495.2.MAFF	chr14	99419087	99419107	-	0.000	0.000	Merged-chr14-99419131-33
NR6123--MA0495.2.MAFF	chr2	104561558	104561578	-	0.000	0.000	Merged-chr2-104561694-40
NR7720--MA0591.1.Bach1::Mafk	chr4	83315762	83315776	+	0.000	0.000	Merged-chr4-83315815-4
NR10596--MA0117.2.Mafb	chr8	127446917	127446928	+	0.000	0.000	Merged-chr8-127446843-1
NR2748--MA0496.2.MAFK	chr13	45623885	45623903	-	0.000	0.000	Merged-chr13-45624002-39
NR7970--MA0089.1.MAFG::NFE2L1	chr4	134124481	134124486	+	0.000	0.000	Merged-chr4-134124326-44
NR271--MA0591.1.Bach1::Mafk	chr1	72870502	72870516	-	0.000	0.000	Merged-chr1-72870469-25
NR10375--MA0495.2.MAFF	chr8	90961818	90961838	-	0.000	0.000	Merged-chr8-90961787-20
NR947--MA0089.1.MAFG::NFE2L1	chr10	4671392	4671397	-	0.000	0.000	Merged-chr10-4671393-20
NR11207--MA0117.2.Mafb	chr9	122865930	122865941	-	0.000	0.000	Merged-chr9-122865982-50
