#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR254--MA1107.1.KLF9	chr1	34479047	34479059	-	0.000	0.000	Merged-chr1-34479093-40
NR6283--MA0599.1.KLF5	chr11	30986395	30986404	-	0.000	0.000	Merged-chr11-30986417-66
NR31086--MA0741.1.KLF16	chr4	41503200	41503210	+	0.000	0.000	Merged-chr4-41503192-32
NR25530--MA1107.1.KLF9	chr2	65336783	65336795	+	0.000	0.000	Merged-chr2-65336789-19
NR28931--MA0740.1.KLF14	chr3	84345569	84345582	-	0.000	0.000	Merged-chr3-84345416-77
NR35645--MA0039.3.KLF4	chr5	91015265	91015275	+	0.000	0.000	Merged-chr5-91015407-22
NR31628--MA0741.1.KLF16	chr4	59805746	59805756	-	0.000	0.000	Merged-chr4-59805793-13
NR10032--MA0742.1.Klf12	chr12	65258704	65258718	-	0.000	0.000	Merged-chr12-65258774-28
NR34363--MA1107.1.KLF9	chr5	3509456	3509468	-	0.000	0.000	Merged-chr5-3509650-29
NR36619--MA1107.1.KLF9	chr5	120831203	120831215	+	0.000	0.000	Merged-chr5-120831228-43
NR2580--MA0039.3.KLF4	chr1	180215314	180215324	-	0.000	0.000	Merged-chr1-180215191-30
NR32865--MA0599.1.KLF5	chr4	129610180	129610189	-	0.000	0.000	Merged-chr4-129610276-24
NR35440--MA0493.1.Klf1	chr5	75066855	75066865	+	0.000	0.000	Merged-chr5-75066831-3
NR28107--MA0599.1.KLF5	chr2	181081018	181081027	-	0.000	0.000	Merged-chr2-181081085-14
NR921--MA1107.1.KLF9	chr1	75218314	75218326	-	0.000	0.000	Merged-chr1-75218362-9
NR43533--MA0599.1.KLF5	chr7	140857399	140857408	-	0.000	0.000	Merged-chr7-140857448-6
NR2097--MA0740.1.KLF14	chr1	156474387	156474400	+	0.000	0.000	Merged-chr1-156474258-59
NR34734--MA0741.1.KLF16	chr5	32192299	32192309	-	0.000	0.000	Merged-chr5-32192251-27
NR4766--MA0599.1.KLF5	chr10	84440711	84440720	+	0.000	0.000	Merged-chr10-84440807-71
NR16795--MA0039.3.KLF4	chr15	97908370	97908380	+	0.000	0.000	Merged-chr15-97908198-86
NR4661--MA0742.1.Klf12	chr10	81464645	81464659	-	0.000	0.000	Merged-chr10-81464665-32
NR10821--MA0493.1.Klf1	chr12	102469124	102469134	-	0.000	0.000	Merged-chr12-102469248-59
NR41134--MA0599.1.KLF5	chr7	28451880	28451889	-	0.000	0.000	Merged-chr7-28452002-19
NR38070--MA0599.1.KLF5	chr6	34955705	34955714	-	0.000	0.000	Merged-chr6-34955632-40
NR49292--MA1107.1.KLF9	chrX	51205210	51205222	+	0.000	0.000	Merged-chrX-51205365-94
NR15850--MA0599.1.KLF5	chr15	75969090	75969099	+	0.000	0.000	Merged-chr15-75969244-47
NR6807--MA0599.1.KLF5	chr11	59662475	59662484	+	0.000	0.000	Merged-chr11-59662530-59
NR37125--MA0741.1.KLF16	chr5	135780565	135780575	-	0.000	0.000	Merged-chr5-135780527-18
NR14525--MA0741.1.KLF16	chr14	76767500	76767510	-	0.000	0.000	Merged-chr14-76767447-8
NR40563--MA0740.1.KLF14	chr7	16052986	16052999	-	0.000	0.000	Merged-chr7-16052904-71
NR37591--MA0742.1.Klf12	chr5	144358274	144358288	-	0.000	0.000	Merged-chr5-144358177-56
NR41679--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR21072--MA1107.1.KLF9	chr17	88599089	88599101	-	0.000	0.000	Merged-chr17-88599180-35
NR42746--MA0039.3.KLF4	chr7	113250821	113250831	-	0.000	0.000	Merged-chr7-113250807-31
NR30796--MA1107.1.KLF9	chr4	11076339	11076351	+	0.000	0.000	Merged-chr4-11076222-62
NR1146--MA1107.1.KLF9	chr1	88248229	88248241	-	0.000	0.000	Merged-chr1-88248175-2
NR19147--MA0039.3.KLF4	chr17	24696095	24696105	-	0.000	0.000	Merged-chr17-24696255-66
NR20896--MA0741.1.KLF16	chr17	84119721	84119731	+	0.000	0.000	Merged-chr17-84119713-65
NR43101--MA0741.1.KLF16	chr7	127014366	127014376	+	0.000	0.000	Merged-chr7-127014477-45
NR20980--MA0039.3.KLF4	chr17	86507827	86507837	-	0.000	0.000	Merged-chr17-86507710-65
NR40629--MA0740.1.KLF14	chr7	16875088	16875101	-	0.000	0.000	Merged-chr7-16874886-101
NR19077--MA0599.1.KLF5	chr17	23924869	23924878	+	0.000	0.000	Merged-chr17-23924911-57
NR27035--MA0599.1.KLF5	chr2	146855812	146855821	+	0.000	0.000	Merged-chr2-146855966-67
NR2482--MA1107.1.KLF9	chr1	175602407	175602419	-	0.000	0.000	Merged-chr1-175602466-27
NR25358--MA0657.1.KLF13	chr2	52742513	52742530	-	0.000	0.000	Merged-chr2-52742375-90
NR6998--MA0741.1.KLF16	chr11	65807148	65807158	+	0.000	0.000	Merged-chr11-65807044-98
NR25876--MA0599.1.KLF5	chr2	78973826	78973835	-	0.000	0.000	Merged-chr2-78973866-41
NR48833--MA0039.3.KLF4	chr9	122951026	122951036	+	0.000	0.000	Merged-chr9-122950963-68
NR39593--MA1107.1.KLF9	chr6	125433842	125433854	+	0.000	0.000	Merged-chr6-125433874-28
NR20552--MA0599.1.KLF5	chr17	70990567	70990576	-	0.000	0.000	Merged-chr17-70990523-86
NR49806--MA0741.1.KLF16	chrX	142228221	142228231	-	0.000	0.000	Merged-chrX-142228241-107
NR11097--MA0740.1.KLF14	chr12	112629071	112629084	-	0.000	0.000	Merged-chr12-112629266-49
NR12655--MA0039.3.KLF4	chr13	92530771	92530781	+	0.000	0.000	Merged-chr13-92530781-75
NR16457--MA0741.1.KLF16	chr15	85036990	85037000	+	0.000	0.000	Merged-chr15-85036968-63
NR2496--MA0741.1.KLF16	chr1	177258128	177258138	-	0.000	0.000	Merged-chr1-177258183-180
NR9628--MA0740.1.KLF14	chr12	16895069	16895082	-	0.000	0.000	Merged-chr12-16894984-114
NR25857--MA1107.1.KLF9	chr2	77249873	77249885	+	0.000	0.000	Merged-chr2-77250040-39
NR9861--MA0493.1.Klf1	chr12	40037414	40037424	+	0.000	0.000	Merged-chr12-40037304-3
NR43654--MA0599.1.KLF5	chr7	143052721	143052730	-	0.000	0.000	Merged-chr7-143052544-1
NR18003--MA0742.1.Klf12	chr16	58465451	58465465	+	0.000	0.000	Merged-chr16-58465503-54
NR14777--MA0741.1.KLF16	chr14	115040849	115040859	-	0.000	0.000	Merged-chr14-115040895-2
NR35767--MA0493.1.Klf1	chr5	98167608	98167618	-	0.000	0.000	Merged-chr5-98167553-86
NR26178--MA0599.1.KLF5	chr2	103566153	103566162	+	0.000	0.000	Merged-chr2-103566209-140
NR21539--MA0742.1.Klf12	chr18	35939744	35939758	-	0.000	0.000	Merged-chr18-35939773-43
NR19725--MA1107.1.KLF9	chr17	34143075	34143087	-	0.000	0.000	Merged-chr17-34143212-26
NR1071--MA0599.1.KLF5	chr1	85703776	85703785	-	0.000	0.000	Merged-chr1-85703643-71
NR23592--MA1107.1.KLF9	chr19	41317864	41317876	-	0.000	0.000	Merged-chr19-41317870-18
NR5429--MA0741.1.KLF16	chr10	118141784	118141794	-	0.000	0.000	Merged-chr10-118141818-53
