#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR2920--MA0482.1.Gata4	chr2	3764478	3764488	+	0.000	0.000	Merged-chr2-3764311-29
NR1449--MA1104.1.GATA6	chr13	45693762	45693774	+	0.000	0.000	Merged-chr13-45693757-77
NR1356--MA0035.3.Gata1	chr12	118423353	118423363	-	0.000	0.000	Merged-chr12-118423452-8
NR1970--MA0036.3.GATA2	chr15	34050462	34050472	-	0.000	0.000	Merged-chr15-34050417-28
NR4371--MA0766.1.GATA5	chr5	118069585	118069592	+	0.000	0.000	Merged-chr5-118069472-39
NR965--MA0482.1.Gata4	chr11	99105269	99105279	+	0.000	0.000	Merged-chr11-99105109-62
NR4894--MA0766.1.GATA5	chr7	19332941	19332948	-	0.000	0.000	Merged-chr7-19332998-44
NR3509--MA1104.1.GATA6	chr3	84630761	84630773	+	0.000	0.000	Merged-chr3-84630888-13
NR1829--MA1104.1.GATA6	chr14	78687788	78687800	-	0.000	0.000	Merged-chr14-78687892-42
NR1240--MA0037.3.GATA3	chr12	92976672	92976679	-	0.000	0.000	Merged-chr12-92976529-13
NR5947--MA0140.2.GATA1::TAL1	chrX	164318731	164318748	+	0.000	0.000	Merged-chrX-164318746-35
NR4751--MA0766.1.GATA5	chr6	124901074	124901081	-	0.000	0.000	Merged-chr6-124900946-82
NR4536--MA0036.3.GATA2	chr6	41118793	41118803	-	0.000	0.000	Merged-chr6-41118606-52
NR79--MA0140.2.GATA1::TAL1	chr1	82836491	82836508	-	0.000	0.000	Merged-chr1-82836652-59
NR4521--MA1104.1.GATA6	chr6	33051808	33051820	+	0.000	0.000	Merged-chr6-33051908-11
NR341--MA0766.1.GATA5	chr1	170977453	170977460	-	0.000	0.000	Merged-chr1-170977420-4
NR2272--MA0035.3.Gata1	chr16	46107593	46107603	+	0.000	0.000	Merged-chr16-46107609-30
NR5324--MA0482.1.Gata4	chr8	36130497	36130507	-	0.000	0.000	Merged-chr8-36130475-35
NR3281--MA1104.1.GATA6	chr2	156882816	156882828	-	0.000	0.000	Merged-chr2-156882642-42
NR5027--MA1104.1.GATA6	chr7	84421409	84421421	-	0.000	0.000	Merged-chr7-84421555-9
NR955--MA0035.3.Gata1	chr11	98497544	98497554	+	0.000	0.000	Merged-chr11-98497586-22
NR2723--MA0766.1.GATA5	chr18	67249036	67249043	+	0.000	0.000	Merged-chr18-67248991-53
NR5847--MA0482.1.Gata4	chr9	118059237	118059247	+	0.000	0.000	Merged-chr9-118059304-13
NR4374--MA0036.3.GATA2	chr5	120779076	120779086	-	0.000	0.000	Merged-chr5-120779287-23
