#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR28963--MA0741.1.KLF16	chr3	31145843	31145853	+	0.000	0.000	Merged-chr3-31145985-42
NR43981--MA0742.1.Klf12	chr7	139388769	139388783	-	0.000	0.000	Merged-chr7-139388959-78
NR17582--MA0599.1.KLF5	chr16	17804775	17804784	+	0.000	0.000	Merged-chr16-17804658-22
NR41835--MA0741.1.KLF16	chr7	30422273	30422283	+	0.000	0.000	Merged-chr7-30422339-160
NR25106--MA0657.1.KLF13	chr2	30178511	30178528	-	0.000	0.000	Merged-chr2-30178500-45
NR41803--MA0740.1.KLF14	chr7	30072659	30072672	+	0.000	0.000	Merged-chr7-30072642-62
NR41955--MA0657.1.KLF13	chr7	35056699	35056716	-	0.000	0.000	Merged-chr7-35056859-1
NR9408--MA0741.1.KLF16	chr11	120633395	120633405	-	0.000	0.000	Merged-chr11-120633342-92
NR39947--MA0741.1.KLF16	chr6	115134918	115134928	+	0.000	0.000	Merged-chr6-115134991-29
NR29469--MA0741.1.KLF16	chr3	84228739	84228749	+	0.000	0.000	Merged-chr3-84228654-57
NR44487--MA0742.1.Klf12	chr8	14888957	14888971	-	0.000	0.000	Merged-chr8-14888762-80
NR50202--MA0741.1.KLF16	chrX	85776723	85776733	-	0.000	0.000	Merged-chrX-85776712-109
NR26803--MA0657.1.KLF13	chr2	119338028	119338045	+	0.000	0.000	Merged-chr2-119337945-63
NR15850--MA0599.1.KLF5	chr15	58141291	58141300	+	0.000	0.000	Merged-chr15-58141388-72
NR32846--MA1107.1.KLF9	chr4	117251982	117251994	-	0.000	0.000	Merged-chr4-117251889-52
