#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR3036--MA0035.3.Gata1	chr18	65795609	65795619	+	0.000	0.000	Merged-chr18-65795530-14
NR1449--MA1104.1.GATA6	chr12	82187422	82187434	-	0.000	0.000	Merged-chr12-82187311-20
NR6312--MA0036.3.GATA2	chr9	87025899	87025909	+	0.000	0.000	Merged-chr9-87025935-38
NR3949--MA0482.1.Gata4	chr3	81531229	81531239	+	0.000	0.000	Merged-chr3-81531232-1
NR2952--MA0036.3.GATA2	chr18	34783578	34783588	+	0.000	0.000	Merged-chr18-34783714-45
NR989--MA0035.3.Gata1	chr11	21220874	21220884	+	0.000	0.000	Merged-chr11-21220663-98
NR1035--MA1104.1.GATA6	chr11	32489303	32489315	+	0.000	0.000	Merged-chr11-32489418-40
NR1306--MA1104.1.GATA6	chr11	115481802	115481814	-	0.000	0.000	Merged-chr11-115481768-12
NR3458--MA0036.3.GATA2	chr2	80324387	80324397	+	0.000	0.000	Merged-chr2-80324472-29
NR3264--MA0482.1.Gata4	chr19	57430289	57430299	-	0.000	0.000	Merged-chr19-57430178-33
NR1925--MA0037.3.GATA3	chr14	27268429	27268436	+	0.000	0.000	Merged-chr14-27268313-23
NR3966--MA1104.1.GATA6	chr3	84654323	84654335	+	0.000	0.000	Merged-chr3-84654205-56
NR432--MA0035.3.Gata1	chr1	161693531	161693541	-	0.000	0.000	Merged-chr1-161693596-37
NR1236--MA0482.1.Gata4	chr11	100545861	100545871	+	0.000	0.000	Merged-chr11-100545700-39
NR5324--MA0482.1.Gata4	chr6	146072075	146072085	+	0.000	0.000	Merged-chr6-146072064-12
NR1026--MA0766.1.GATA5	chr11	30166380	30166387	+	0.000	0.000	Merged-chr11-30166468-16
NR196--MA0140.2.GATA1::TAL1	chr1	86532670	86532687	+	0.000	0.000	Merged-chr1-86532525-44
NR3229--MA0766.1.GATA5	chr19	41366809	41366816	-	0.000	0.000	Merged-chr19-41366765-21
NR6086--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR4916--MA0036.3.GATA2	chr5	149246271	149246281	-	0.000	0.000	Merged-chr5-149246178-51
NR336--MA0035.3.Gata1	chr1	136254738	136254748	-	0.000	0.000	Merged-chr1-136254796-4
NR6109--MA0140.2.GATA1::TAL1	chr9	15029154	15029171	-	0.000	0.000	Merged-chr9-15029277-27
NR4603--MA0035.3.Gata1	chr5	20792370	20792380	-	0.000	0.000	Merged-chr5-20792282-29
NR235--MA0036.3.GATA2	chr1	95375655	95375665	+	0.000	0.000	Merged-chr1-95375799-8
NR5136--MA1104.1.GATA6	chr6	94637302	94637314	-	0.000	0.000	Merged-chr6-94637218-13
NR5407--MA1104.1.GATA6	chr7	30280499	30280511	+	0.000	0.000	Merged-chr7-30280528-94
NR3338--MA0766.1.GATA5	chr2	26753538	26753545	+	0.000	0.000	Merged-chr2-26753671-30
NR1776--MA0037.3.GATA3	chr13	94381980	94381987	+	0.000	0.000	Merged-chr13-94381981-20
