#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1085--MA0002.2.RUNX1	chr10	118633474	118633484	-	0.000	0.000	Merged-chr10-118633664-46
NR3592--MA0511.2.RUNX2	chr17	65541199	65541207	+	0.000	0.000	Merged-chr17-65540988-64
NR5321--MA0684.1.RUNX3	chr3	144411166	144411175	-	0.000	0.000	Merged-chr3-144411311-32
NR4098--MA0511.2.RUNX2	chr19	36083079	36083087	-	0.000	0.000	Merged-chr19-36083098-3
NR5715--MA0002.2.RUNX1	chr4	127095481	127095491	-	0.000	0.000	Merged-chr4-127095353-15
NR5718--MA0511.2.RUNX2	chr4	128811607	128811615	+	0.000	0.000	Merged-chr4-128811652-46
NR4571--MA0002.2.RUNX1	chr2	116894059	116894069	-	0.000	0.000	Merged-chr2-116894094-31
NR7504--MA0002.2.RUNX1	chr8	4588368	4588378	-	0.000	0.000	Merged-chr8-4588532-21
NR1216--MA0511.2.RUNX2	chr11	34048974	34048982	+	0.000	0.000	Merged-chr11-34049016-54
NR3545--MA0684.1.RUNX3	chr17	51906664	51906673	-	0.000	0.000	Merged-chr17-51906510-37
NR1865--MA0684.1.RUNX3	chr12	115371966	115371975	-	0.000	0.000	Merged-chr12-115372046-26
NR1988--MA0002.2.RUNX1	chr13	32899274	32899284	-	0.000	0.000	Merged-chr13-32899314-35
NR6774--MA0002.2.RUNX1	chr6	120957517	120957527	+	0.000	0.000	Merged-chr6-120957473-22
NR7485--MA0002.2.RUNX1	chr7	144074936	144074946	+	0.000	0.000	Merged-chr7-144074974-28
NR1468--MA0511.2.RUNX2	chr11	102739354	102739362	+	0.000	0.000	Merged-chr11-102739455-28
NR6459--MA0684.1.RUNX3	chr6	30671900	30671909	+	0.000	0.000	Merged-chr6-30671721-27
NR955--MA0002.2.RUNX1	chr10	84632203	84632213	+	0.000	0.000	Merged-chr10-84632170-33
NR2943--MA0684.1.RUNX3	chr15	84388982	84388991	-	0.000	0.000	Merged-chr15-84388969-27
NR7342--MA0002.2.RUNX1	chr7	117559092	117559102	+	0.000	0.000	Merged-chr7-117559166-31
NR5186--MA0002.2.RUNX1	chr3	115972450	115972460	-	0.000	0.000	Merged-chr3-115972355-68
NR270--MA0002.2.RUNX1	chr1	88720729	88720739	-	0.000	0.000	Merged-chr1-88720923-30
NR3111--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR541--MA0002.2.RUNX1	chr1	172312074	172312084	-	0.000	0.000	Merged-chr1-172312178-79
NR1498--MA0684.1.RUNX3	chr11	109445751	109445760	-	0.000	0.000	Merged-chr11-109445792-26
NR7759--MA0511.2.RUNX2	chr8	94826991	94826999	+	0.000	0.000	Merged-chr8-94826813-30
NR1226--MA0002.2.RUNX1	chr11	43358959	43358969	+	0.000	0.000	Merged-chr11-43358857-56
NR4603--MA0002.2.RUNX1	chr2	126920546	126920556	+	0.000	0.000	Merged-chr2-126920604-39
NR2381--MA0002.2.RUNX1	chr14	25481373	25481383	-	0.000	0.000	Merged-chr14-25481230-34
NR8420--MA0002.2.RUNX1	chrX	48137041	48137051	+	0.000	0.000	Merged-chrX-48136995-26
NR1626--MA0684.1.RUNX3	chr12	34562746	34562755	-	0.000	0.000	Merged-chr12-34562596-10
NR5394--MA0511.2.RUNX2	chr4	6682090	6682098	-	0.000	0.000	Merged-chr4-6682175-50
NR1478--MA0002.2.RUNX1	chr11	104609515	104609525	+	0.000	0.000	Merged-chr11-104609685-47
NR650--MA0002.2.RUNX1	chr1	192770816	192770826	-	0.000	0.000	Merged-chr1-192770762-94
NR1212--MA0684.1.RUNX3	chr11	32715224	32715233	-	0.000	0.000	Merged-chr11-32715413-66
NR4077--MA0511.2.RUNX2	chr19	29717994	29718002	-	0.000	0.000	Merged-chr19-29718058-25
NR3144--MA0684.1.RUNX3	chr16	29579519	29579528	-	0.000	0.000	Merged-chr16-29579520-66
NR52--MA0511.2.RUNX2	chr1	37310095	37310103	-	0.000	0.000	Merged-chr1-37310125-13
NR4841--MA0684.1.RUNX3	chr3	7503282	7503291	-	0.000	0.000	Merged-chr3-7503455-65
NR4964--MA0002.2.RUNX1	chr3	59203993	59204003	+	0.000	0.000	Merged-chr3-59204061-45
NR431--MA0684.1.RUNX3	chr1	151096213	151096222	+	0.000	0.000	Merged-chr1-151096153-39
NR2049--MA0511.2.RUNX2	chr13	46984010	46984018	-	0.000	0.000	Merged-chr13-46984100-22
NR5360--MA0511.2.RUNX2	chr3	153764809	153764817	+	0.000	0.000	Merged-chr3-153764846-117
NR825--MA0002.2.RUNX1	chr10	58282404	58282414	+	0.000	0.000	Merged-chr10-58282409-26
NR6230--MA0002.2.RUNX1	chr5	115693470	115693480	-	0.000	0.000	Merged-chr5-115693567-32
