#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR5050--MA0684.1.RUNX3	chr2	155553338	155553347	+	0.000	0.000	Merged-chr2-155553198-41
NR3641--MA0684.1.RUNX3	chr17	8283731	8283740	-	0.000	0.000	Merged-chr17-8283621-125
NR5173--MA0002.2.RUNX1	chr2	180741550	180741560	-	0.000	0.000	Merged-chr2-180741561-6
NR4369--MA0511.2.RUNX2	chr19	32255149	32255157	-	0.000	0.000	Merged-chr19-32255197-53
NR3707--MA0684.1.RUNX3	chr17	26532893	26532902	+	0.000	0.000	Merged-chr17-26532798-20
NR3288--MA0002.2.RUNX1	chr15	102665776	102665786	+	0.000	0.000	Merged-chr15-102665724-27
NR6870--MA0002.2.RUNX1	chr6	54685171	54685181	-	0.000	0.000	Merged-chr6-54685260-34
NR5400--MA0511.2.RUNX2	chr3	101800520	101800528	+	0.000	0.000	Merged-chr3-101800601-48
NR8186--MA0511.2.RUNX2	chr8	127968207	127968215	-	0.000	0.000	Merged-chr8-127968270-33
NR5573--MA0684.1.RUNX3	chr3	144411166	144411175	-	0.000	0.000	Merged-chr3-144411311-32
NR2910--MA0002.2.RUNX1	chr14	121830259	121830269	-	0.000	0.000	Merged-chr14-121830164-49
NR846--MA0002.2.RUNX1	chr10	44029765	44029775	+	0.000	0.000	Merged-chr10-44029776-28
NR5923--MA0511.2.RUNX2	chr4	116701031	116701039	-	0.000	0.000	Merged-chr4-116701085-12
NR1736--MA0002.2.RUNX1	chr11	119385142	119385152	-	0.000	0.000	Merged-chr11-119385060-32
NR6522--MA0002.2.RUNX1	chr5	107399202	107399212	+	0.000	0.000	Merged-chr5-107399265-5
NR5430--MA0684.1.RUNX3	chr3	108591377	108591386	+	0.000	0.000	Merged-chr3-108591488-55
NR5225--MA0684.1.RUNX3	chr3	36854118	36854127	+	0.000	0.000	Merged-chr3-36854131-63
NR3274--MA0684.1.RUNX3	chr15	100750453	100750462	+	0.000	0.000	Merged-chr15-100750259-57
NR5553--MA0002.2.RUNX1	chr3	138877038	138877048	-	0.000	0.000	Merged-chr3-138877299-79
NR1594--MA0684.1.RUNX3	chr11	100804662	100804671	+	0.000	0.000	Merged-chr11-100804708-41
NR161--MA0002.2.RUNX1	chr1	69703754	69703764	-	0.000	0.000	Merged-chr1-69703794-17
NR3002--MA0002.2.RUNX1	chr15	27579097	27579107	+	0.000	0.000	Merged-chr15-27579137-17
NR1051--MA0002.2.RUNX1	chr10	94116388	94116398	+	0.000	0.000	Merged-chr10-94116374-33
NR3939--MA0002.2.RUNX1	chr17	80441972	80441982	+	0.000	0.000	Merged-chr17-80441791-30
NR6774--MA0002.2.RUNX1	chr6	32779623	32779633	+	0.000	0.000	Merged-chr6-32779774-10
NR3082--MA0511.2.RUNX2	chr15	51843860	51843868	+	0.000	0.000	Merged-chr15-51844000-32
NR1117--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR26--MA0684.1.RUNX3	chr1	21333807	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR3525--MA0002.2.RUNX1	chr16	84800041	84800051	-	0.000	0.000	Merged-chr16-84800124-30
NR4680--MA0002.2.RUNX1	chr2	44166932	44166942	-	0.000	0.000	Merged-chr2-44166880-20
NR5186--MA0002.2.RUNX1	chr3	19240124	19240134	-	0.000	0.000	Merged-chr3-19240113-21
NR5457--MA0002.2.RUNX1	chr3	116380635	116380645	-	0.000	0.000	Merged-chr3-116380638-41
NR5728--MA0002.2.RUNX1	chr4	46568356	46568366	+	0.000	0.000	Merged-chr4-46568404-15
NR3111--MA0002.2.RUNX1	chr15	61411948	61411958	+	0.000	0.000	Merged-chr15-61411943-13
NR1226--MA0002.2.RUNX1	chr10	127471458	127471468	-	0.000	0.000	Merged-chr10-127471535-20
NR2923--MA0002.2.RUNX1	chr14	122063831	122063841	+	0.000	0.000	Merged-chr14-122063804-67
NR3363--MA0002.2.RUNX1	chr16	31035467	31035477	-	0.000	0.000	Merged-chr16-31035448-26
NR793--MA0002.2.RUNX1	chr10	25118816	25118826	-	0.000	0.000	Merged-chr10-25119051-73
NR2288--MA0511.2.RUNX2	chr13	37783871	37783879	+	0.000	0.000	Merged-chr13-37783892-22
NR7994--MA0684.1.RUNX3	chr8	91082103	91082112	-	0.000	0.000	Merged-chr8-91082333-75
NR2781--MA0684.1.RUNX3	chr14	67887047	67887056	+	0.000	0.000	Merged-chr14-67887091-21
NR5443--MA0684.1.RUNX3	chr3	114889907	114889916	+	0.000	0.000	Merged-chr3-114889987-14
NR3287--MA0684.1.RUNX3	chr15	102376956	102376965	+	0.000	0.000	Merged-chr15-102377119-58
NR1064--MA0002.2.RUNX1	chr10	96118312	96118322	+	0.000	0.000	Merged-chr10-96118246-10
NR3095--MA0511.2.RUNX2	chr15	55896429	55896437	+	0.000	0.000	Merged-chr15-55896395-5
NR4441--MA0002.2.RUNX1	chr19	45577328	45577338	-	0.000	0.000	Merged-chr19-45577468-39
NR7917--MA0684.1.RUNX3	chr8	65443519	65443528	+	0.000	0.000	Merged-chr8-65443536-30
NR2490--MA0002.2.RUNX1	chr13	101632895	101632905	-	0.000	0.000	Merged-chr13-101632965-14
NR3908--MA0511.2.RUNX2	chr17	74073497	74073505	-	0.000	0.000	Merged-chr17-74073546-8
NR2761--MA0002.2.RUNX1	chr14	65113811	65113821	+	0.000	0.000	Merged-chr14-65113927-33
NR5423--MA0002.2.RUNX1	chr3	107274013	107274023	+	0.000	0.000	Merged-chr3-107274021-28
NR7725--MA0511.2.RUNX2	chr7	132686646	132686654	+	0.000	0.000	Merged-chr7-132686748-28
NR1814--MA0511.2.RUNX2	chr12	32292954	32292962	+	0.000	0.000	Merged-chr12-32292976-7
NR825--MA0002.2.RUNX1	chr10	39023754	39023764	+	0.000	0.000	Merged-chr10-39023842-41
NR6501--MA0002.2.RUNX1	chr5	105637083	105637093	-	0.000	0.000	Merged-chr5-105636927-69
NR7484--MA0684.1.RUNX3	chr7	75891661	75891670	-	0.000	0.000	Merged-chr7-75891656-12
NR140--MA0002.2.RUNX1	chr1	64986260	64986270	+	0.000	0.000	Merged-chr1-64986300-23
NR6482--MA0002.2.RUNX1	chr5	103975957	103975967	+	0.000	0.000	Merged-chr5-103975926-24
NR5185--MA0684.1.RUNX3	chr3	9863248	9863257	-	0.000	0.000	Merged-chr3-9863342-50
NR1447--MA0511.2.RUNX2	chr11	69581308	69581316	-	0.000	0.000	Merged-chr11-69581385-45
NR5579--MA0002.2.RUNX1	chr3	146152623	146152633	+	0.000	0.000	Merged-chr3-146152558-21
NR663--MA0002.2.RUNX1	chr1	185352128	185352138	+	0.000	0.000	Merged-chr1-185352332-25
NR7864--MA0684.1.RUNX3	chr8	34216033	34216042	+	0.000	0.000	Merged-chr8-34216280-115
NR3091--MA0684.1.RUNX3	chr15	53157257	53157266	-	0.000	0.000	Merged-chr15-53157363-59
NR7196--MA0511.2.RUNX2	chr6	135216761	135216769	+	0.000	0.000	Merged-chr6-135216770-8
NR1748--MA0684.1.RUNX3	chr12	3791818	3791827	+	0.000	0.000	Merged-chr12-3791945-40
NR7738--MA0511.2.RUNX2	chr7	136255794	136255802	-	0.000	0.000	Merged-chr7-136255803-24
NR2360--MA0002.2.RUNX1	chr13	52828328	52828338	-	0.000	0.000	Merged-chr13-52828332-16
NR7097--MA0002.2.RUNX1	chr6	120264458	120264468	+	0.000	0.000	Merged-chr6-120264409-18
NR2631--MA0002.2.RUNX1	chr14	25534297	25534307	+	0.000	0.000	Merged-chr14-25534315-15
NR5836--MA0684.1.RUNX3	chr4	88003302	88003311	+	0.000	0.000	Merged-chr4-88003423-46
NR1063--MA0684.1.RUNX3	chr10	96015964	96015973	-	0.000	0.000	Merged-chr10-96015913-48
NR7053--MA0511.2.RUNX2	chr6	114883676	114883684	+	0.000	0.000	Merged-chr6-114883519-32
NR3137--MA0002.2.RUNX1	chr15	67158769	67158779	+	0.000	0.000	Merged-chr15-67158847-15
NR7497--MA0684.1.RUNX3	chr7	80643398	80643407	+	0.000	0.000	Merged-chr7-80643369-34
NR900--MA0002.2.RUNX1	chr10	62507951	62507961	+	0.000	0.000	Merged-chr10-62507815-50,Merged-chr10-62508148-1
NR1857--MA0684.1.RUNX3	chr12	55399639	55399648	-	0.000	0.000	Merged-chr12-55399672-17
NR1936--MA0511.2.RUNX2	chr12	84361962	84361970	+	0.000	0.000	Merged-chr12-84361872-57
NR6500--MA0684.1.RUNX3	chr5	105556220	105556229	-	0.000	0.000	Merged-chr5-105556395-18
NR7704--MA0511.2.RUNX2	chr7	128158951	128158959	-	0.000	0.000	Merged-chr7-128158931-27
NR7063--MA0002.2.RUNX1	chr6	115594677	115594687	-	0.000	0.000	Merged-chr6-115594731-47
NR7129--MA0002.2.RUNX1	chr6	125603348	125603358	+	0.000	0.000	Merged-chr6-125603497-15
NR3646--MA0684.1.RUNX3	chr17	12174594	12174603	+	0.000	0.000	Merged-chr17-12174414-2
NR3103--MA0002.2.RUNX1	chr15	59374269	59374279	-	0.000	0.000	Merged-chr15-59374324-92
NR2373--MA0002.2.RUNX1	chr13	55369699	55369709	+	0.000	0.000	Merged-chr13-55369750-54
NR5849--MA0684.1.RUNX3	chr4	89008715	89008724	+	0.000	0.000	Merged-chr4-89008819-38
NR4880--MA0511.2.RUNX2	chr2	114145119	114145127	+	0.000	0.000	Merged-chr2-114145226-70
NR933--MA0684.1.RUNX3	chr10	70040002	70040011	+	0.000	0.000	Merged-chr10-70040122-43
NR3027--MA0684.1.RUNX3	chr15	35529529	35529538	-	0.000	0.000	Merged-chr15-35529547-26
NR1076--MA0684.1.RUNX3	chr10	96481315	96481324	+	0.000	0.000	Merged-chr10-96481360-10
NR1347--MA0684.1.RUNX3	chr11	46421456	46421465	-	0.000	0.000	Merged-chr11-46421538-60
NR1199--MA0002.2.RUNX1	chr10	122200005	122200015	+	0.000	0.000	Merged-chr10-122200080-48
NR5706--MA0684.1.RUNX3	chr4	41327100	41327109	-	0.000	0.000	Merged-chr4-41327094-33
NR5558--MA0002.2.RUNX1	chr3	142863419	142863429	-	0.000	0.000	Merged-chr3-142863489-16
NR371--MA0002.2.RUNX1	chr1	138157215	138157225	+	0.000	0.000	Merged-chr1-138157317-43
NR1599--MA0684.1.RUNX3	chr11	101008252	101008261	-	0.000	0.000	Merged-chr11-101008310-35
NR1327--MA0002.2.RUNX1	chr11	34064230	34064240	+	0.000	0.000	Merged-chr11-34064073-70
NR1012--MA0511.2.RUNX2	chr10	85030153	85030161	-	0.000	0.000	Merged-chr10-85030062-18
NR2753--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR3193--MA0002.2.RUNX1	chr15	82224472	82224482	+	0.000	0.000	Merged-chr15-82224462-30
NR894--MA0002.2.RUNX1	chr10	61465229	61465239	-	0.000	0.000	Merged-chr10-61465182-15
NR1727--MA0684.1.RUNX3	chr11	118609362	118609371	-	0.000	0.000	Merged-chr11-118609481-11
NR6841--MA0002.2.RUNX1	chr6	50417019	50417029	-	0.000	0.000	Merged-chr6-50417055-62
NR7224--MA0684.1.RUNX3	chr6	140543458	140543467	-	0.000	0.000	Merged-chr6-140543343-8
NR5273--MA0684.1.RUNX3	chr3	59101876	59101885	-	0.000	0.000	Merged-chr3-59101725-81
NR7076--MA0002.2.RUNX1	chr6	118350513	118350523	-	0.000	0.000	Merged-chr6-118350408-25
NR480--MA0002.2.RUNX1	chr1	161909222	161909232	-	0.000	0.000	Merged-chr1-161909340-8
NR3116--MA0002.2.RUNX1	chr15	63969325	63969335	+	0.000	0.000	Merged-chr15-63969330-24
NR1165--MA0002.2.RUNX1	chr10	118469299	118469309	+	0.000	0.000	Merged-chr10-118469177-44
NR5418--MA0511.2.RUNX2	chr3	104511766	104511774	+	0.000	0.000	Merged-chr3-104511895-67
NR4813--MA0002.2.RUNX1	chr2	90667330	90667340	-	0.000	0.000	Merged-chr2-90667222-1
NR2591--MA0002.2.RUNX1	chr13	119653361	119653371	-	0.000	0.000	Merged-chr13-119653292-20
NR5253--MA0002.2.RUNX1	chr3	51353462	51353472	+	0.000	0.000	Merged-chr3-51353626-33
NR6745--MA0002.2.RUNX1	chr6	8495619	8495629	+	0.000	0.000	Merged-chr6-8495644-33
NR7333--MA0684.1.RUNX3	chr7	28444854	28444863	-	0.000	0.000	Merged-chr7-28444818-43
NR7185--MA0002.2.RUNX1	chr6	131382708	131382718	-	0.000	0.000	Merged-chr6-131382548-2,Merged-chr6-131382883-4
NR6701--MA0511.2.RUNX2	chr5	144878168	144878176	+	0.000	0.000	Merged-chr5-144878229-13
NR1069--MA0002.2.RUNX1	chr10	96274204	96274214	+	0.000	0.000	Merged-chr10-96274144-52
NR4922--MA0002.2.RUNX1	chr2	127086416	127086426	+	0.000	0.000	Merged-chr2-127086449-24
NR3625--MA0684.1.RUNX3	chr17	6835225	6835234	-	0.000	0.000	Merged-chr17-6835385-15
NR5157--MA0002.2.RUNX1	chr2	174069772	174069782	+	0.000	0.000	Merged-chr2-174069813-20
NR241--MA0002.2.RUNX1	chr1	91380683	91380693	+	0.000	0.000	Merged-chr1-91380709-23
NR3433--MA0511.2.RUNX2	chr16	52445816	52445824	+	0.000	0.000	Merged-chr16-52445784-15
NR2081--MA0002.2.RUNX1	chr12	111966937	111966947	-	0.000	0.000	Merged-chr12-111966900-57
NR7089--MA0002.2.RUNX1	chr6	120135102	120135112	+	0.000	0.000	Merged-chr6-120135007-7
NR5365--MA0511.2.RUNX2	chr3	95101040	95101048	-	0.000	0.000	Merged-chr3-95101078-19
NR720--MA0511.2.RUNX2	chr10	6904164	6904172	-	0.000	0.000	Merged-chr10-6904105-6
NR5414--MA0684.1.RUNX3	chr3	103844404	103844413	-	0.000	0.000	Merged-chr3-103844386-3
NR2875--MA0002.2.RUNX1	chr14	105272269	105272279	-	0.000	0.000	Merged-chr14-105272291-16
NR1386--MA0511.2.RUNX2	chr11	53795093	53795101	+	0.000	0.000	Merged-chr11-53795155-60
NR67--MA0002.2.RUNX1	chr1	43138594	43138604	-	0.000	0.000	Merged-chr1-43138618-9
NR1928--MA0511.2.RUNX2	chr12	82394383	82394391	+	0.000	0.000	Merged-chr12-82394298-69
NR7598--MA0684.1.RUNX3	chr7	106551481	106551490	+	0.000	0.000	Merged-chr7-106551313-76
NR8--MA0002.2.RUNX1	chr1	13559517	13559527	-	0.000	0.000	Merged-chr1-13559747-54
NR5318--MA0684.1.RUNX3	chr3	84679038	84679047	+	0.000	0.000	Merged-chr3-84679070-45
NR5375--MA0002.2.RUNX1	chr3	97076510	97076520	-	0.000	0.000	Merged-chr3-97076384-70
NR8481--MA0002.2.RUNX1	chr9	98973483	98973493	-	0.000	0.000	Merged-chr9-98973397-16
NR5997--MA0511.2.RUNX2	chr4	133873112	133873120	-	0.000	0.000	Merged-chr4-133873054-46
NR3175--MA0511.2.RUNX2	chr15	78923726	78923734	-	0.000	0.000	Merged-chr15-78923681-44
NR2570--MA0002.2.RUNX1	chr13	113104951	113104961	+	0.000	0.000	Merged-chr13-113104978-22
NR2841--MA0002.2.RUNX1	chr14	87452281	87452291	+	0.000	0.000	Merged-chr14-87452152-30
NR1766--MA0511.2.RUNX2	chr12	12937241	12937249	-	0.000	0.000	Merged-chr12-12937442-17
