#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1126--MA0508.2.PRDM1	chr6	120056377	120056386	+	0.000	0.000	Merged-chr6-120056156-40
NR1235--MA0508.2.PRDM1	chr8	3631199	3631208	-	0.000	0.000	Merged-chr8-3631064-68
NR930--MA0508.2.PRDM1	chr4	16102206	16102215	+	0.000	0.000	Merged-chr4-16102324-55
NR725--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR1139--MA0508.2.PRDM1	chr6	130288428	130288437	+	0.000	0.000	Merged-chr6-130288327-19
NR1182--MA0508.2.PRDM1	chr7	58475299	58475308	-	0.000	0.000	Merged-chr7-58475361-44
NR1248--MA0508.2.PRDM1	chr8	46941504	46941513	+	0.000	0.000	Merged-chr8-46941577-53
NR1086--MA0508.2.PRDM1	chr6	38360194	38360203	-	0.000	0.000	Merged-chr6-38360325-47
NR800--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR162--MA0508.2.PRDM1	chr10	67620233	67620242	+	0.000	0.000	Merged-chr10-67620150-41
NR433--MA0508.2.PRDM1	chr13	113396610	113396619	+	0.000	0.000	Merged-chr13-113396474-7
NR704--MA0508.2.PRDM1	chr19	7217751	7217760	+	0.000	0.000	Merged-chr19-7217648-56
NR685--MA0508.2.PRDM1	chr18	62092663	62092672	+	0.000	0.000	Merged-chr18-62092853-21
NR271--MA0508.2.PRDM1	chr11	97703273	97703282	+	0.000	0.000	Merged-chr11-97703111-88
NR760--MA0508.2.PRDM1	chr2	23006230	23006239	-	0.000	0.000	Merged-chr2-23006422-36
NR284--MA0508.2.PRDM1	chr11	108224762	108224771	+	0.000	0.000	Merged-chr11-108224834-18
NR555--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR1174--MA0508.2.PRDM1	chr7	31161098	31161107	-	0.000	0.000	Merged-chr7-31161172-57
NR141--MA0508.2.PRDM1	chr10	40070370	40070379	+	0.000	0.000	Merged-chr10-40070357-6
NR412--MA0508.2.PRDM1	chr13	93764835	93764844	+	0.000	0.000	Merged-chr13-93764810-22
NR63--MA0508.2.PRDM1	chr1	138559977	138559986	+	0.000	0.000	Merged-chr1-138559796-44
NR393--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR935--MA0508.2.PRDM1	chr4	46641382	46641391	-	0.000	0.000	Merged-chr4-46641506-27
NR4--MA0508.2.PRDM1	chr1	13521856	13521865	-	0.000	0.000	Merged-chr1-13521841-29
NR250--MA0508.2.PRDM1	chr11	74572679	74572688	-	0.000	0.000	Merged-chr11-74572687-46
NR521--MA0508.2.PRDM1	chr15	66778835	66778844	-	0.000	0.000	Merged-chr15-66778898-35
NR1187--MA0508.2.PRDM1	chr7	72275540	72275549	-	0.000	0.000	Merged-chr7-72275636-59
NR630--MA0508.2.PRDM1	chr17	36836988	36836997	+	0.000	0.000	Merged-chr17-36836894-102
NR154--MA0508.2.PRDM1	chr10	59589903	59589912	+	0.000	0.000	Merged-chr10-59589732-75
NR1315--MA0508.2.PRDM1	chr9	66142400	66142409	-	0.000	0.000	Merged-chr9-66142492-15
NR882--MA0508.2.PRDM1	chr3	103857576	103857585	+	0.000	0.000	Merged-chr3-103857591-40
NR677--MA0508.2.PRDM1	chr18	47154267	47154276	-	0.000	0.000	Merged-chr18-47154331-12
NR1057--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR500--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR547--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR133--MA0508.2.PRDM1	chr10	19209958	19209967	-	0.000	0.000	Merged-chr10-19209945-33
NR1023--MA0508.2.PRDM1	chr5	65832406	65832415	-	0.000	0.000	Merged-chr5-65832305-23
NR861--MA0508.2.PRDM1	chr3	68056599	68056608	-	0.000	0.000	Merged-chr3-68056784-48
NR385--MA0508.2.PRDM1	chr13	37801784	37801793	+	0.000	0.000	Merged-chr13-37801685-58
NR656--MA0508.2.PRDM1	chr17	83307020	83307029	+	0.000	0.000	Merged-chr17-83307130-30
NR494--MA0508.2.PRDM1	chr15	5250328	5250337	+	0.000	0.000	Merged-chr15-5250378-18
NR1179--MA0508.2.PRDM1	chr7	49462669	49462678	+	0.000	0.000	Merged-chr7-49462687-57
NR351--MA0508.2.PRDM1	chr12	115171922	115171931	-	0.000	0.000	Merged-chr12-115171864-49
NR622--MA0508.2.PRDM1	chr17	34296201	34296210	+	0.000	0.000	Merged-chr17-34296219-24
NR1307--MA0508.2.PRDM1	chr9	45954228	45954237	+	0.000	0.000	Merged-chr9-45954380-16
NR68--MA0508.2.PRDM1	chr1	151011218	151011227	+	0.000	0.000	Merged-chr1-151011231-27
NR874--MA0508.2.PRDM1	chr3	96764775	96764784	+	0.000	0.000	Merged-chr3-96764776-19
NR1288--MA0508.2.PRDM1	chr8	122987330	122987339	+	0.000	0.000	Merged-chr8-122987167-32
NR9--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR731--MA0508.2.PRDM1	chr19	40684278	40684287	+	0.000	0.000	Merged-chr19-40684349-18
NR526--MA0508.2.PRDM1	chr15	79690497	79690506	-	0.000	0.000	Merged-chr15-79690621-57
NR364--MA0508.2.PRDM1	chr13	5890289	5890298	+	0.000	0.000	Merged-chr13-5890173-33
NR1049--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR539--MA0508.2.PRDM1	chr15	100188985	100188994	-	0.000	0.000	Merged-chr15-100189073-42
