#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1053--MA0463.1.Bcl6	chr5	15463477	15463490	-	0.000	0.000	Merged-chr5-15463395-183
NR264--MA0463.1.Bcl6	chr11	94210127	94210140	-	0.000	0.000	Merged-chr11-94210319-4
NR51--MA0731.1.BCL6B	chr1	128772682	128772698	+	0.000	0.000	Merged-chr1-128772538-19
NR208--MA0731.1.BCL6B	chr11	6198833	6198849	+	0.000	0.000	Merged-chr11-6198654-4
NR1183--MA0463.1.Bcl6	chr6	59417831	59417844	+	0.000	0.000	Merged-chr6-59417759-25
NR703--MA0463.1.Bcl6	chr19	10948767	10948780	-	0.000	0.000	Merged-chr19-10948684-1
NR148--MA0463.1.Bcl6	chr10	68054438	68054451	+	0.000	0.000	Merged-chr10-68054504-48
NR1284--MA0731.1.BCL6B	chr7	103735642	103735658	+	0.000	0.000	Merged-chr7-103735694-1
NR269--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR166--MA0463.1.Bcl6	chr10	97712894	97712907	-	0.000	0.000	Merged-chr10-97712811-31
NR631--MA0731.1.BCL6B	chr17	71334349	71334365	+	0.000	0.000	Merged-chr17-71334455-18
NR902--MA0731.1.BCL6B	chr3	104818059	104818075	+	0.000	0.000	Merged-chr3-104818098-119
NR1250--MA0731.1.BCL6B	chr7	12949585	12949601	-	0.000	0.000	Merged-chr7-12949725-56
NR1316--MA0731.1.BCL6B	chr7	139068519	139068535	-	0.000	0.000	Merged-chr7-139068338-42
NR287--MA0463.1.Bcl6	chr11	113165385	113165398	+	0.000	0.000	Merged-chr11-113165385-7
NR1179--MA0463.1.Bcl6	chr6	51545480	51545493	-	0.000	0.000	Merged-chr6-51545421-58
NR860--MA0463.1.Bcl6	chr2	170349184	170349197	-	0.000	0.000	Merged-chr2-170349169-25
NR992--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR296--MA0463.1.Bcl6	chr11	116377272	116377285	-	0.000	0.000	Merged-chr11-116377399-54
NR972--MA0463.1.Bcl6	chr4	46635574	46635587	+	0.000	0.000	Merged-chr4-46635507-41
NR1438--MA0731.1.BCL6B	chr9	94668747	94668763	+	0.000	0.000	Merged-chr9-94668774-42
NR990--MA0463.1.Bcl6	chr4	106281644	106281657	-	0.000	0.000	Merged-chr4-106281606-32
NR42--MA0463.1.Bcl6	chr1	118399003	118399016	-	0.000	0.000	Merged-chr1-118398960-17
NR862--MA0731.1.BCL6B	chr2	173000108	173000124	+	0.000	0.000	Merged-chr2-173000238-62
NR744--MA0463.1.Bcl6	chr2	34957044	34957057	-	0.000	0.000	Merged-chr2-34957169-1
NR1133--MA0731.1.BCL6B	chr5	134272836	134272852	+	0.000	0.000	Merged-chr5-134273002-21
NR641--MA0463.1.Bcl6	chr17	80772954	80772967	+	0.000	0.000	Merged-chr17-80772766-52
NR60--MA0463.1.Bcl6	chr1	144215530	144215543	+	0.000	0.000	Merged-chr1-144215493-29
NR1202--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR1408--MA0463.1.Bcl6	chr9	50527997	50528010	-	0.000	0.000	Merged-chr9-50528064-1
NR628--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR413--MA0463.1.Bcl6	chr13	99781060	99781073	-	0.000	0.000	Merged-chr13-99781144-21
NR331--MA0731.1.BCL6B	chr12	91298889	91298905	+	0.000	0.000	Merged-chr12-91299013-27
NR1473--MA0731.1.BCL6B	chrX	11753469	11753485	-	0.000	0.000	Merged-chrX-11753307-53
NR1268--MA0731.1.BCL6B	chr7	47007514	47007530	-	0.000	0.000	Merged-chr7-47007414-5
NR74--MA0463.1.Bcl6	chr1	154646415	154646428	-	0.000	0.000	Merged-chr1-154646472-26
NR1125--MA0731.1.BCL6B	chr5	125106445	125106461	+	0.000	0.000	Merged-chr5-125106359-47
NR203--MA0463.1.Bcl6	chr11	3193514	3193527	-	0.000	0.000	Merged-chr11-3193402-56
NR888--MA0463.1.Bcl6	chr3	87960863	87960876	-	0.000	0.000	Merged-chr3-87960988-36
NR315--MA0463.1.Bcl6	chr12	72085618	72085631	+	0.000	0.000	Merged-chr12-72085712-110
