#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR9618--MA0684.1.RUNX3	chr9	46015124	46015133	-	0.000	0.000	Merged-chr9-46015200-37
NR10085--MA0002.2.RUNX1	chr9	124146417	124146427	-	0.000	0.000	Merged-chr9-124146419-55
NR5030--MA0002.2.RUNX1	chr19	32138397	32138407	-	0.000	0.000	Merged-chr19-32138517-38
NR3416--MA0002.2.RUNX1	chr15	63969325	63969335	+	0.000	0.000	Merged-chr15-63969330-24
NR5652--MA0511.2.RUNX2	chr2	114145119	114145127	+	0.000	0.000	Merged-chr2-114145226-70
NR4571--MA0002.2.RUNX1	chr18	11954687	11954697	-	0.000	0.000	Merged-chr18-11954741-24
NR3274--MA0684.1.RUNX3	chr15	27596892	27596901	-	0.000	0.000	Merged-chr15-27596992-56
NR10194--MA0002.2.RUNX1	chrX	139798081	139798091	-	0.000	0.000	Merged-chrX-139798042-22
NR7756--MA0002.2.RUNX1	chr5	149368243	149368253	+	0.000	0.000	Merged-chr5-149368318-30
NR3131--MA0684.1.RUNX3	chr14	86714382	86714391	+	0.000	0.000	Merged-chr14-86714298-42
NR1180--MA0684.1.RUNX3	chr10	111996007	111996016	+	0.000	0.000	Merged-chr10-111995849-2
NR1451--MA0684.1.RUNX3	chr11	50433121	50433130	-	0.000	0.000	Merged-chr11-50433184-24
NR1098--MA0002.2.RUNX1	chr10	93167521	93167531	+	0.000	0.000	Merged-chr10-93167407-10
NR3005--MA0511.2.RUNX2	chr14	58968229	58968237	-	0.000	0.000	Merged-chr14-58968106-10
NR541--MA0002.2.RUNX1	chr1	161976646	161976656	+	0.000	0.000	Merged-chr1-161976505-45
NR3777--MA0002.2.RUNX1	chr16	31035531	31035541	-	0.000	0.000	Merged-chr16-31035448-26
NR9545--MA0002.2.RUNX1	chr9	21411818	21411828	+	0.000	0.000	Merged-chr9-21411941-54
NR2652--MA0002.2.RUNX1	chr13	84236725	84236735	+	0.000	0.000	Merged-chr13-84236811-14
NR3558--MA0684.1.RUNX3	chr15	93298365	93298374	-	0.000	0.000	Merged-chr15-93298411-30
NR7202--MA0511.2.RUNX2	chr5	22360809	22360817	-	0.000	0.000	Merged-chr5-22360842-38
NR7375--MA0684.1.RUNX3	chr5	90452958	90452967	+	0.000	0.000	Merged-chr5-90452927-18
NR8579--MA0511.2.RUNX2	chr7	68282906	68282914	-	0.000	0.000	Merged-chr7-68282817-37
NR2761--MA0002.2.RUNX1	chr13	108100837	108100847	+	0.000	0.000	Merged-chr13-108100820-31
NR7769--MA0002.2.RUNX1	chr5	151247314	151247324	+	0.000	0.000	Merged-chr5-151247420-66
NR2413--MA0002.2.RUNX1	chr13	16340952	16340962	-	0.000	0.000	Merged-chr13-16341023-40
NR5199--MA0002.2.RUNX1	chr19	58850826	58850836	-	0.000	0.000	Merged-chr19-58850860-26
NR283--MA0002.2.RUNX1	chr1	88720729	88720739	-	0.000	0.000	Merged-chr1-88720923-30
NR3124--MA0002.2.RUNX1	chr14	79236612	79236622	-	0.000	0.000	Merged-chr14-79236608-48
NR9706--MA0684.1.RUNX3	chr9	66492529	66492538	-	0.000	0.000	Merged-chr9-66492510-30
NR82--MA0684.1.RUNX3	chr1	39896693	39896702	-	0.000	0.000	Merged-chr1-39896761-43
NR1368--MA0684.1.RUNX3	chr11	21690733	21690742	-	0.000	0.000	Merged-chr11-21690668-23
NR10173--MA0002.2.RUNX1	chrX	103621985	103621995	+	0.000	0.000	Merged-chrX-103621915-2
NR5949--MA0511.2.RUNX2	chr2	172977498	172977506	+	0.000	0.000	Merged-chr2-172977593-131
NR7193--MA0002.2.RUNX1	chr5	20087275	20087285	-	0.000	0.000	Merged-chr5-20087381-40
NR5185--MA0684.1.RUNX3	chr19	57411968	57411977	-	0.000	0.000	Merged-chr19-57412064-43
NR9495--MA0511.2.RUNX2	chr8	128223321	128223329	-	0.000	0.000	Merged-chr8-128223372-20
NR5579--MA0002.2.RUNX1	chr2	90496533	90496543	-	0.000	0.000	Merged-chr2-90496701-53
NR663--MA0002.2.RUNX1	chr1	182101702	182101712	+	0.000	0.000	Merged-chr1-182101708-11
NR1348--MA0002.2.RUNX1	chr11	19823813	19823823	+	0.000	0.000	Merged-chr11-19823630-23
NR9667--MA0002.2.RUNX1	chr9	58131879	58131889	+	0.000	0.000	Merged-chr9-58131900-14
NR3428--MA0684.1.RUNX3	chr15	66034099	66034108	+	0.000	0.000	Merged-chr15-66034131-37
NR5787--MA0511.2.RUNX2	chr2	139841530	139841538	-	0.000	0.000	Merged-chr2-139841440-80
NR9048--MA0002.2.RUNX1	chr8	25132775	25132785	+	0.000	0.000	Merged-chr8-25132757-32
NR9319--MA0002.2.RUNX1	chr8	110929262	110929272	+	0.000	0.000	Merged-chr8-110929357-31
NR5022--MA0002.2.RUNX1	chr19	29467350	29467360	-	0.000	0.000	Merged-chr19-29467148-39
NR1334--MA0684.1.RUNX3	chr11	11657343	11657352	+	0.000	0.000	Merged-chr11-11657249-55
NR1043--MA0002.2.RUNX1	chr10	84632203	84632213	+	0.000	0.000	Merged-chr10-84632170-33
NR4420--MA0002.2.RUNX1	chr17	73263237	73263247	+	0.000	0.000	Merged-chr17-73263273-50
NR1394--MA0511.2.RUNX2	chr11	32715225	32715233	-	0.000	0.000	Merged-chr11-32715413-66
NR10142--MA0511.2.RUNX2	chrX	71468801	71468809	-	0.000	0.000	Merged-chrX-71468864-48
NR2535--MA0002.2.RUNX1	chr13	42244936	42244946	+	0.000	0.000	Merged-chr13-42244635-60
NR2806--MA0002.2.RUNX1	chr13	112388364	112388374	+	0.000	0.000	Merged-chr13-112388467-40
NR31--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR8826--MA0002.2.RUNX1	chr7	117559092	117559102	+	0.000	0.000	Merged-chr7-117559166-31
NR7192--MA0684.1.RUNX3	chr5	20062162	20062171	+	0.000	0.000	Merged-chr5-20062093-32
NR785--MA0002.2.RUNX1	chr10	19167847	19167857	+	0.000	0.000	Merged-chr10-19167953-53
NR9666--MA0684.1.RUNX3	chr9	57998048	57998057	-	0.000	0.000	Merged-chr9-57998251-45
NR2501--MA0002.2.RUNX1	chr13	34994065	34994075	+	0.000	0.000	Merged-chr13-34994132-82
NR6861--MA0684.1.RUNX3	chr4	109505045	109505054	-	0.000	0.000	Merged-chr4-109505092-26
NR9060--MA0511.2.RUNX2	chr8	25578414	25578422	+	0.000	0.000	Merged-chr8-25578502-39
NR1949--MA0511.2.RUNX2	chr12	31874178	31874186	+	0.000	0.000	Merged-chr12-31874248-14
NR7717--MA0511.2.RUNX2	chr5	143077514	143077522	+	0.000	0.000	Merged-chr5-143077525-16
NR9898--MA0002.2.RUNX1	chr9	100540358	100540368	+	0.000	0.000	Merged-chr9-100540480-23
NR4685--MA0002.2.RUNX1	chr18	41861231	41861241	-	0.000	0.000	Merged-chr18-41861355-68
NR5544--MA0684.1.RUNX3	chr2	80057173	80057182	-	0.000	0.000	Merged-chr2-80057234-1
NR3659--MA0684.1.RUNX3	chr16	8455365	8455374	+	0.000	0.000	Merged-chr16-8455328-28
NR751--MA0002.2.RUNX1	chr10	9856012	9856022	-	0.000	0.000	Merged-chr10-9856019-18
NR9484--MA0002.2.RUNX1	chr8	126828153	126828163	+	0.000	0.000	Merged-chr8-126828287-16
NR3738--MA0511.2.RUNX2	chr16	22526578	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR3097--MA0002.2.RUNX1	chr14	75284404	75284414	+	0.000	0.000	Merged-chr14-75284367-55
NR8630--MA0002.2.RUNX1	chr7	78583932	78583942	-	0.000	0.000	Merged-chr7-78583930-15
NR1915--MA0511.2.RUNX2	chr12	16532566	16532574	+	0.000	0.000	Merged-chr12-16532570-85
NR10--MA0511.2.RUNX2	chr1	9883279	9883287	-	0.000	0.000	Merged-chr1-9883358-36
NR655--MA0002.2.RUNX1	chr1	180987910	180987920	+	0.000	0.000	Merged-chr1-180987901-35
NR5428--MA0002.2.RUNX1	chr2	59716626	59716636	+	0.000	0.000	Merged-chr2-59716624-17
NR1198--MA0684.1.RUNX3	chr10	117494384	117494393	-	0.000	0.000	Merged-chr10-117494286-56
NR3162--MA0511.2.RUNX2	chr14	103349633	103349641	-	0.000	0.000	Merged-chr14-103349911-85
NR863--MA0511.2.RUNX2	chr10	39600324	39600332	+	0.000	0.000	Merged-chr10-39600436-54
NR9516--MA0002.2.RUNX1	chr9	11513963	11513973	+	0.000	0.000	Merged-chr9-11513974-36
NR641--MA0684.1.RUNX3	chr1	179578841	179578850	+	0.000	0.000	Merged-chr1-179578897-31
NR3877--MA0684.1.RUNX3	chr16	52107988	52107997	-	0.000	0.000	Merged-chr16-52108040-37
NR493--MA0002.2.RUNX1	chr1	153058380	153058390	-	0.000	0.000	Merged-chr1-153058312-17
NR1449--MA0002.2.RUNX1	chr11	50280317	50280327	-	0.000	0.000	Merged-chr11-50280206-7
NR9102--MA0002.2.RUNX1	chr8	45817246	45817256	-	0.000	0.000	Merged-chr8-45817273-17
NR9354--MA0002.2.RUNX1	chr8	115137019	115137029	+	0.000	0.000	Merged-chr8-115136921-34
NR4412--MA0002.2.RUNX1	chr17	72925171	72925181	-	0.000	0.000	Merged-chr17-72925262-16
NR2732--MA0002.2.RUNX1	chr13	101589124	101589134	+	0.000	0.000	Merged-chr13-101589097-28
NR816--MA0684.1.RUNX3	chr10	22714805	22714814	+	0.000	0.000	Merged-chr10-22714818-39
NR873--MA0002.2.RUNX1	chr10	40212617	40212627	+	0.000	0.000	Merged-chr10-40212600-39
NR5269--MA0511.2.RUNX2	chr2	18026563	18026571	-	0.000	0.000	Merged-chr2-18026594-8
NR4393--MA0002.2.RUNX1	chr17	65940022	65940032	+	0.000	0.000	Merged-chr17-65939992-62
NR8--MA0002.2.RUNX1	chr1	6454075	6454085	+	0.000	0.000	Merged-chr1-6454252-50
NR1021--MA0684.1.RUNX3	chr10	80569999	80570008	-	0.000	0.000	Merged-chr10-80569916-4
NR9192--MA0002.2.RUNX1	chr8	75071765	75071775	-	0.000	0.000	Merged-chr8-75071889-52
NR6201--MA0002.2.RUNX1	chr3	86196699	86196709	-	0.000	0.000	Merged-chr3-86196613-32
NR5299--MA0684.1.RUNX3	chr2	26389341	26389350	+	0.000	0.000	Merged-chr2-26389230-66
NR5027--MA0002.2.RUNX1	chr19	32121042	32121052	+	0.000	0.000	Merged-chr19-32120972-21
NR9592--MA0684.1.RUNX3	chr9	44113583	44113592	-	0.000	0.000	Merged-chr9-44113548-48
NR8960--MA0511.2.RUNX2	chr7	140908948	140908956	-	0.000	0.000	Merged-chr7-140908830-38
NR462--MA0511.2.RUNX2	chr1	144283483	144283491	+	0.000	0.000	Merged-chr1-144283563-68
NR733--MA0511.2.RUNX2	chr10	4357606	4357614	-	0.000	0.000	Merged-chr10-4357640-28
NR1147--MA0511.2.RUNX2	chr10	98728782	98728790	+	0.000	0.000	Merged-chr10-98728864-24
