#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR441--MA0508.2.PRDM1	chr13	113013531	113013540	-	0.000	0.000	Merged-chr13-113013424-80
NR712--MA0508.2.PRDM1	chr17	88038451	88038460	+	0.000	0.000	Merged-chr17-88038382-13
NR693--MA0508.2.PRDM1	chr17	50070401	50070410	+	0.000	0.000	Merged-chr17-50070273-24
NR964--MA0508.2.PRDM1	chr3	93607911	93607920	+	0.000	0.000	Merged-chr3-93607971-30
NR550--MA0508.2.PRDM1	chr15	73629824	73629833	-	0.000	0.000	Merged-chr15-73629813-13
NR930--MA0508.2.PRDM1	chr3	21988007	21988016	-	0.000	0.000	Merged-chr3-21988078-85
NR454--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR725--MA0508.2.PRDM1	chr18	19511633	19511642	-	0.000	0.000	Merged-chr18-19511551-17
NR977--MA0508.2.PRDM1	chr3	116434944	116434953	-	0.000	0.000	Merged-chr3-116434903-21
NR1201--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR1182--MA0508.2.PRDM1	chr5	137025178	137025187	+	0.000	0.000	Merged-chr5-137025344-26
NR1453--MA0508.2.PRDM1	chr9	31130434	31130443	+	0.000	0.000	Merged-chr9-31130629-119
NR71--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR1214--MA0508.2.PRDM1	chr6	41113527	41113536	+	0.000	0.000	Merged-chr6-41113305-59
NR781--MA0508.2.PRDM1	chr19	33123069	33123078	+	0.000	0.000	Merged-chr19-33122917-8
NR847--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR1195--MA0508.2.PRDM1	chr5	149647746	149647755	-	0.000	0.000	Merged-chr5-149647772-15
NR1466--MA0508.2.PRDM1	chr9	44772236	44772245	+	0.000	0.000	Merged-chr9-44772185-16
NR433--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR704--MA0508.2.PRDM1	chr17	71190727	71190736	-	0.000	0.000	Merged-chr17-71190756-15
NR84--MA0508.2.PRDM1	chr1	172306395	172306404	+	0.000	0.000	Merged-chr1-172306276-26
NR685--MA0508.2.PRDM1	chr17	36836988	36836997	+	0.000	0.000	Merged-chr17-36836894-102
NR956--MA0508.2.PRDM1	chr3	84715287	84715296	+	0.000	0.000	Merged-chr3-84715324-47
NR542--MA0508.2.PRDM1	chr15	64022454	64022463	-	0.000	0.000	Merged-chr15-64022394-57
NR1479--MA0508.2.PRDM1	chr9	63711960	63711969	+	0.000	0.000	Merged-chr9-63712041-20
NR97--MA0508.2.PRDM1	chr1	191115202	191115211	-	0.000	0.000	Merged-chr1-191115212-7
NR284--MA0508.2.PRDM1	chr11	119476111	119476120	+	0.000	0.000	Merged-chr11-119476184-7
NR1445--MA0508.2.PRDM1	chr9	15060194	15060203	-	0.000	0.000	Merged-chr9-15060271-40
NR412--MA0508.2.PRDM1	chr13	91484447	91484456	-	0.000	0.000	Merged-chr13-91484361-55
NR393--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR1078--MA0508.2.PRDM1	chr4	139616926	139616935	+	0.000	0.000	Merged-chr4-139616773-45
NR250--MA0508.2.PRDM1	chr11	83118250	83118259	-	0.000	0.000	Merged-chr11-83118266-24
NR1206--MA0508.2.PRDM1	chr6	30592156	30592165	+	0.000	0.000	Merged-chr6-30592201-27
NR839--MA0508.2.PRDM1	chr2	34904947	34904956	+	0.000	0.000	Merged-chr2-34905139-61
NR1187--MA0508.2.PRDM1	chr5	141000631	141000640	-	0.000	0.000	Merged-chr5-141000440-52
NR630--MA0508.2.PRDM1	chr16	77038033	77038042	+	0.000	0.000	Merged-chr16-77038211-5
NR882--MA0508.2.PRDM1	chr2	114659100	114659109	+	0.000	0.000	Merged-chr2-114659130-7
NR677--MA0508.2.PRDM1	chr17	32053949	32053958	-	0.000	0.000	Merged-chr17-32053926-45
NR263--MA0508.2.PRDM1	chr11	94979207	94979216	-	0.000	0.000	Merged-chr11-94979123-28
NR1219--MA0508.2.PRDM1	chr6	54991382	54991391	+	0.000	0.000	Merged-chr6-54991459-9
NR786--MA0508.2.PRDM1	chr19	40268953	40268962	+	0.000	0.000	Merged-chr19-40268923-9
NR643--MA0508.2.PRDM1	chr16	93777808	93777817	-	0.000	0.000	Merged-chr16-93777980-103
NR914--MA0508.2.PRDM1	chr2	158160064	158160073	+	0.000	0.000	Merged-chr2-158160127-37
NR1328--MA0508.2.PRDM1	chr7	58701546	58701555	+	0.000	0.000	Merged-chr7-58701532-33
NR481--MA0508.2.PRDM1	chr14	64884950	64884959	+	0.000	0.000	Merged-chr14-64885056-34
NR547--MA0508.2.PRDM1	chr15	67481891	67481900	+	0.000	0.000	Merged-chr15-67481868-6
NR404--MA0508.2.PRDM1	chr13	73425984	73425993	-	0.000	0.000	Merged-chr13-73426029-27
NR1023--MA0508.2.PRDM1	chr4	11095667	11095676	-	0.000	0.000	Merged-chr4-11095738-16
NR590--MA0508.2.PRDM1	chr16	20144819	20144828	-	0.000	0.000	Merged-chr16-20144854-9
NR861--MA0508.2.PRDM1	chr2	73070696	73070705	-	0.000	0.000	Merged-chr2-73070867-8
NR927--MA0508.2.PRDM1	chr3	9466009	9466018	-	0.000	0.000	Merged-chr3-9466321-50
NR242--MA0508.2.PRDM1	chr11	74973468	74973477	-	0.000	0.000	Merged-chr11-74973432-13
NR513--MA0508.2.PRDM1	chr14	122053259	122053268	+	0.000	0.000	Merged-chr14-122053231-58
NR494--MA0508.2.PRDM1	chr14	75516412	75516421	-	0.000	0.000	Merged-chr14-75516404-45
NR622--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR417--MA0508.2.PRDM1	chr13	95891033	95891042	+	0.000	0.000	Merged-chr13-95891213-14
NR1307--MA0508.2.PRDM1	chr7	31037210	31037219	-	0.000	0.000	Merged-chr7-31037177-5
NR460--MA0508.2.PRDM1	chr14	29947062	29947071	-	0.000	0.000	Merged-chr14-29947080-38
NR526--MA0508.2.PRDM1	chr15	39905283	39905292	-	0.000	0.000	Merged-chr15-39905299-27
NR1145--MA0508.2.PRDM1	chr5	89197103	89197112	-	0.000	0.000	Merged-chr5-89197180-6
NR778--MA0508.2.PRDM1	chr19	32258222	32258231	-	0.000	0.000	Merged-chr19-32258357-19
NR906--MA0508.2.PRDM1	chr2	150667384	150667393	+	0.000	0.000	Merged-chr2-150667676-130
NR221--MA0508.2.PRDM1	chr11	46229281	46229290	+	0.000	0.000	Merged-chr11-46229299-6
NR887--MA0508.2.PRDM1	chr2	119477616	119477625	+	0.000	0.000	Merged-chr2-119477609-138
NR744--MA0508.2.PRDM1	chr18	65481389	65481398	+	0.000	0.000	Merged-chr18-65481395-37
NR539--MA0508.2.PRDM1	chr15	61983452	61983461	+	0.000	0.000	Merged-chr15-61983458-31
NR1429--MA0508.2.PRDM1	chr8	122285081	122285090	-	0.000	0.000	Merged-chr8-122285200-46
NR47--MA0508.2.PRDM1	chr1	127637937	127637946	+	0.000	0.000	Merged-chr1-127638103-34
NR853--MA0508.2.PRDM1	chr2	60080213	60080222	+	0.000	0.000	Merged-chr2-60080152-7
NR377--MA0508.2.PRDM1	chr13	32833408	32833417	-	0.000	0.000	Merged-chr13-32833384-31
NR648--MA0508.2.PRDM1	chr16	96061193	96061202	-	0.000	0.000	Merged-chr16-96061094-16
NR1267--MA0508.2.PRDM1	chr6	129049201	129049210	+	0.000	0.000	Merged-chr6-129049251-27
NR234--MA0508.2.PRDM1	chr11	64115395	64115404	-	0.000	0.000	Merged-chr11-64115310-23
NR691--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR614--MA0508.2.PRDM1	chr16	44999804	44999813	+	0.000	0.000	Merged-chr16-44999747-49
NR866--MA0508.2.PRDM1	chr2	79698303	79698312	+	0.000	0.000	Merged-chr2-79698404-21
NR452--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR247--MA0508.2.PRDM1	chr11	79207920	79207929	+	0.000	0.000	Merged-chr11-79207824-18
NR1137--MA0508.2.PRDM1	chr5	67394221	67394230	+	0.000	0.000	Merged-chr5-67394180-31
NR1389--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR561--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR879--MA0508.2.PRDM1	chr2	112216099	112216108	-	0.000	0.000	Merged-chr2-112216174-31
NR369--MA0508.2.PRDM1	chr13	21200190	21200199	+	0.000	0.000	Merged-chr13-21200386-81
NR431--MA0508.2.PRDM1	chr13	108044469	108044478	+	0.000	0.000	Merged-chr13-108044472-63
NR478--MA0508.2.PRDM1	chr14	62761108	62761117	+	0.000	0.000	Merged-chr14-62761015-141
NR1097--MA0508.2.PRDM1	chr4	155571463	155571472	-	0.000	0.000	Merged-chr4-155571656-17
NR858--MA0508.2.PRDM1	chr2	68979066	68979075	-	0.000	0.000	Merged-chr2-68978956-54
NR967--MA0508.2.PRDM1	chr3	96764769	96764778	+	0.000	0.000	Merged-chr3-96764776-19
NR553--MA0508.2.PRDM1	chr15	79900073	79900082	-	0.000	0.000	Merged-chr15-79900284-5
NR619--MA0508.2.PRDM1	chr16	51705264	51705273	+	0.000	0.000	Merged-chr16-51705241-52
NR205--MA0508.2.PRDM1	chr11	4268656	4268665	-	0.000	0.000	Merged-chr11-4268626-42
NR391--MA0508.2.PRDM1	chr13	51848938	51848947	+	0.000	0.000	Merged-chr13-51849013-24
NR109--MA0508.2.PRDM1	chr10	12851013	12851022	+	0.000	0.000	Merged-chr10-12851139-23
NR295--MA0508.2.PRDM1	chr12	17507439	17507448	-	0.000	0.000	Merged-chr12-17507357-35
NR566--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR218--MA0508.2.PRDM1	chr11	26601861	26601870	+	0.000	0.000	Merged-chr11-26601843-16
NR675--MA0508.2.PRDM1	chr17	31136504	31136513	-	0.000	0.000	Merged-chr17-31136628-21
NR199--MA0508.2.PRDM1	chr10	128232264	128232273	+	0.000	0.000	Merged-chr10-128232191-128
NR707--MA0508.2.PRDM1	chr17	79093513	79093522	-	0.000	0.000	Merged-chr17-79093476-55
NR959--MA0508.2.PRDM1	chr3	86841650	86841659	+	0.000	0.000	Merged-chr3-86841762-14
NR545--MA0508.2.PRDM1	chr15	66561049	66561058	+	0.000	0.000	Merged-chr15-66561010-60
NR797--MA0508.2.PRDM1	chr19	53807729	53807738	+	0.000	0.000	Merged-chr19-53807900-1
NR178--MA0508.2.PRDM1	chr10	99459789	99459798	+	0.000	0.000	Merged-chr10-99459996-60
NR558--MA0508.2.PRDM1	chr15	86007864	86007873	+	0.000	0.000	Merged-chr15-86007897-35
NR144--MA0508.2.PRDM1	chr10	67189185	67189194	+	0.000	0.000	Merged-chr10-67189227-25
NR415--MA0508.2.PRDM1	chr13	93764835	93764844	+	0.000	0.000	Merged-chr13-93764810-22
NR157--MA0508.2.PRDM1	chr10	80684387	80684396	+	0.000	0.000	Merged-chr10-80684383-19
NR428--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR266--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR537--MA0508.2.PRDM1	chr15	60101702	60101711	+	0.000	0.000	Merged-chr15-60101772-22
NR808--MA0508.2.PRDM1	chr2	5642776	5642785	-	0.000	0.000	Merged-chr2-5642867-48
NR375--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR898--MA0508.2.PRDM1	chr2	131448203	131448212	+	0.000	0.000	Merged-chr2-131448367-26
NR1361--MA0508.2.PRDM1	chr7	101504820	101504829	-	0.000	0.000	Merged-chr7-101504709-13
NR279--MA0508.2.PRDM1	chr11	111795841	111795850	-	0.000	0.000	Merged-chr11-111795733-12
NR1470--MA0508.2.PRDM1	chr9	53773766	53773775	+	0.000	0.000	Merged-chr9-53773717-9
NR659--MA0508.2.PRDM1	chr17	12364273	12364282	+	0.000	0.000	Merged-chr17-12364189-75
NR516--MA0508.2.PRDM1	chr15	6549062	6549071	-	0.000	0.000	Merged-chr15-6549135-35
NR768--MA0508.2.PRDM1	chr19	14305900	14305909	+	0.000	0.000	Merged-chr19-14305924-12
NR258--MA0508.2.PRDM1	chr11	90258456	90258465	-	0.000	0.000	Merged-chr11-90258330-4
NR529--MA0508.2.PRDM1	chr15	50751280	50751289	-	0.000	0.000	Merged-chr15-50751217-20
NR476--MA0508.2.PRDM1	chr14	59553439	59553448	+	0.000	0.000	Merged-chr14-59553394-22
NR1210--MA0508.2.PRDM1	chr6	38342440	38342449	+	0.000	0.000	Merged-chr6-38342518-71
NR237--MA0508.2.PRDM1	chr11	68545973	68545982	-	0.000	0.000	Merged-chr11-68546136-23
NR489--MA0508.2.PRDM1	chr14	73445396	73445405	+	0.000	0.000	Merged-chr14-73445360-10
NR598--MA0508.2.PRDM1	chr16	24836748	24836757	-	0.000	0.000	Merged-chr16-24836747-26
NR1061--MA0508.2.PRDM1	chr4	121074469	121074478	+	0.000	0.000	Merged-chr4-121074413-23
NR107--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR1170--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR1040--MA0508.2.PRDM1	chr4	63899186	63899195	+	0.000	0.000	Merged-chr4-63899190-80
NR229--MA0508.2.PRDM1	chr11	51636452	51636461	-	0.000	0.000	Merged-chr11-51636554-3
NR1292--MA0508.2.PRDM1	chr7	4614141	4614150	+	0.000	0.000	Merged-chr7-4614138-46
NR910--MA0508.2.PRDM1	chr2	152788895	152788904	-	0.000	0.000	Merged-chr2-152788714-7,Merged-chr2-152789002-1
NR189--MA0508.2.PRDM1	chr10	117571672	117571681	+	0.000	0.000	Merged-chr10-117571495-58
NR298--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR1303--MA0508.2.PRDM1	chr7	30219732	30219741	-	0.000	0.000	Merged-chr7-30219688-54
NR1284--MA0508.2.PRDM1	chr6	145616546	145616555	-	0.000	0.000	Merged-chr6-145616643-48
NR1412--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR1154--MA0508.2.PRDM1	chr5	103412565	103412574	-	0.000	0.000	Merged-chr5-103412550-11
NR43--MA0508.2.PRDM1	chr1	106707311	106707320	+	0.000	0.000	Merged-chr1-106707367-8
NR1263--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR1120--MA0508.2.PRDM1	chr5	38566708	38566717	+	0.000	0.000	Merged-chr5-38566846-14
NR1481--MA0508.2.PRDM1	chr9	63802219	63802228	+	0.000	0.000	Merged-chr9-63802306-15
NR1242--MA0508.2.PRDM1	chr6	100841712	100841721	+	0.000	0.000	Merged-chr6-100841733-15
NR1513--MA0508.2.PRDM1	chr9	113917083	113917092	+	0.000	0.000	Merged-chr9-113917131-18
NR1417--MA0508.2.PRDM1	chr8	86779595	86779604	+	0.000	0.000	Merged-chr8-86779479-38
