#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1504--MA0684.1.RUNX3	chr11	51763606	51763615	+	0.000	0.000	Merged-chr11-51763720-35
NR8964--MA0002.2.RUNX1	chr8	22859176	22859186	+	0.000	0.000	Merged-chr8-22859146-16
NR5814--MA0511.2.RUNX2	chr2	167363581	167363589	+	0.000	0.000	Merged-chr2-167363421-42
NR7872--MA0684.1.RUNX3	chr6	49930427	49930436	-	0.000	0.000	Merged-chr6-49930273-14
NR3387--MA0511.2.RUNX2	chr15	36650167	36650175	-	0.000	0.000	Merged-chr15-36650116-39
NR4733--MA0002.2.RUNX1	chr18	65691625	65691635	-	0.000	0.000	Merged-chr18-65691617-34
NR3493--MA0002.2.RUNX1	chr15	66778902	66778912	+	0.000	0.000	Merged-chr15-66778898-35
NR3707--MA0684.1.RUNX3	chr16	11455904	11455913	-	0.000	0.000	Merged-chr16-11455887-1
NR3288--MA0002.2.RUNX1	chr14	122878241	122878251	+	0.000	0.000	Merged-chr14-122878138-13
NR6870--MA0002.2.RUNX1	chr4	118162239	118162249	-	0.000	0.000	Merged-chr4-118162293-29
NR7253--MA0684.1.RUNX3	chr5	34538613	34538622	-	0.000	0.000	Merged-chr5-34538812-69
NR780--MA0002.2.RUNX1	chr10	13967574	13967584	-	0.000	0.000	Merged-chr10-13967586-131
NR2990--MA0511.2.RUNX2	chr14	36316927	36316935	+	0.000	0.000	Merged-chr14-36316941-55
NR6079--MA0684.1.RUNX3	chr3	84046444	84046453	+	0.000	0.000	Merged-chr3-84046424-40
NR3145--MA0002.2.RUNX1	chr14	75318930	75318940	+	0.000	0.000	Merged-chr14-75318936-27
NR9661--MA0684.1.RUNX3	chr9	85680203	85680212	-	0.000	0.000	Merged-chr9-85680180-31
NR846--MA0002.2.RUNX1	chr10	26364400	26364410	+	0.000	0.000	Merged-chr10-26364475-53
NR1194--MA0002.2.RUNX1	chr10	96238482	96238492	-	0.000	0.000	Merged-chr10-96238427-11
NR5652--MA0511.2.RUNX2	chr2	140101223	140101231	-	0.000	0.000	Merged-chr2-140101246-37
NR9185--MA0684.1.RUNX3	chr8	107503103	107503112	-	0.000	0.000	Merged-chr8-107503239-42
NR5923--MA0511.2.RUNX2	chr3	9924874	9924882	-	0.000	0.000	Merged-chr3-9924809-24
NR1736--MA0002.2.RUNX1	chr11	96294924	96294934	-	0.000	0.000	Merged-chr11-96294741-16
NR6522--MA0002.2.RUNX1	chr4	6472963	6472973	-	0.000	0.000	Merged-chr4-6472958-17
NR9727--MA0684.1.RUNX3	chr9	97069007	97069016	+	0.000	0.000	Merged-chr9-97068935-38
NR7776--MA0684.1.RUNX3	chr6	12038491	12038500	-	0.000	0.000	Merged-chr6-12038478-25
NR1150--MA0511.2.RUNX2	chr10	93830105	93830113	+	0.000	0.000	Merged-chr10-93830099-23
NR5282--MA0002.2.RUNX1	chr2	29769207	29769217	+	0.000	0.000	Merged-chr2-29769115-16
NR5553--MA0002.2.RUNX1	chr2	114566980	114566990	-	0.000	0.000	Merged-chr2-114567021-7
NR3545--MA0684.1.RUNX3	chr15	80572423	80572432	+	0.000	0.000	Merged-chr15-80572443-63
