#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1147--MA0463.1.Bcl6	chr4	83315152	83315165	-	0.000	0.000	Merged-chr4-83315362-155
NR1259--MA0463.1.Bcl6	chr5	34637166	34637179	+	0.000	0.000	Merged-chr5-34637135-1
NR170--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR376--MA0463.1.Bcl6	chr12	77309292	77309305	-	0.000	0.000	Merged-chr12-77309425-13
NR189--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR806--MA0463.1.Bcl6	chr18	84355411	84355424	-	0.000	0.000	Merged-chr18-84355361-12
NR1707--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR1380--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR1651--MA0731.1.BCL6B	chr9	43743183	43743199	+	0.000	0.000	Merged-chr9-43743133-2
NR860--MA0463.1.Bcl6	chr2	6322838	6322851	+	0.000	0.000	Merged-chr2-6322787-80
NR1506--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR726--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR990--MA0463.1.Bcl6	chr2	160397643	160397656	+	0.000	0.000	Merged-chr2-160397546-3
NR56--MA0731.1.BCL6B	chr1	130548084	130548100	+	0.000	0.000	Merged-chr1-130548205-41
NR22--MA0731.1.BCL6B	chr1	75142361	75142377	+	0.000	0.000	Merged-chr1-75142250-107
NR301--MA0463.1.Bcl6	chr11	83065058	83065071	+	0.000	0.000	Merged-chr11-83065248-62
NR1202--MA0463.1.Bcl6	chr4	133073286	133073299	-	0.000	0.000	Merged-chr4-133073490-32
NR1417--MA0731.1.BCL6B	chr6	116267159	116267175	-	0.000	0.000	Merged-chr6-116266930-40
NR413--MA0463.1.Bcl6	chr12	111897083	111897096	+	0.000	0.000	Merged-chr12-111897164-28
NR1003--MA0731.1.BCL6B	chr2	170400877	170400893	-	0.000	0.000	Merged-chr2-170400933-1
NR1659--MA0463.1.Bcl6	chr9	50924708	50924721	-	0.000	0.000	Merged-chr9-50924601-13
NR1473--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR1565--MA0463.1.Bcl6	chr8	18936413	18936426	-	0.000	0.000	Merged-chr8-18936505-32
NR1462--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR1104--MA0463.1.Bcl6	chr3	142443491	142443504	+	0.000	0.000	Merged-chr3-142443450-35
NR888--MA0463.1.Bcl6	chr2	54375677	54375690	-	0.000	0.000	Merged-chr2-54375719-2
NR1010--MA0463.1.Bcl6	chr3	10682195	10682208	+	0.000	0.000	Merged-chr3-10682149-13
NR436--MA0463.1.Bcl6	chr13	12473909	12473922	+	0.000	0.000	Merged-chr13-12473940-30
NR1695--MA0463.1.Bcl6	chr9	88273565	88273578	-	0.000	0.000	Merged-chr9-88273504-34
NR1122--MA0463.1.Bcl6	chr4	32160903	32160916	-	0.000	0.000	Merged-chr4-32160945-10
NR291--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR562--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR942--MA0731.1.BCL6B	chr2	122356308	122356324	+	0.000	0.000	Merged-chr2-122356412-11
NR678--MA0463.1.Bcl6	chr16	75920952	75920965	-	0.000	0.000	Merged-chr16-75921068-56
NR584--MA0463.1.Bcl6	chr15	38518287	38518300	-	0.000	0.000	Merged-chr15-38518309-9
NR1118--MA0463.1.Bcl6	chr4	6817584	6817597	+	0.000	0.000	Merged-chr4-6817535-45
NR481--MA0463.1.Bcl6	chr13	91093828	91093841	+	0.000	0.000	Merged-chr13-91094050-92
NR1597--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1173--MA0731.1.BCL6B	chr4	102517522	102517538	+	0.000	0.000	Merged-chr4-102517403-41
NR411--MA0731.1.BCL6B	chr12	111182140	111182156	+	0.000	0.000	Merged-chr12-111182112-59
NR271--MA0463.1.Bcl6	chr11	46393592	46393605	+	0.000	0.000	Merged-chr11-46393520-11
NR598--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR701--MA0463.1.Bcl6	chr17	24414487	24414500	-	0.000	0.000	Merged-chr17-24414569-93
NR1038--MA0463.1.Bcl6	chr3	86248060	86248073	+	0.000	0.000	Merged-chr3-86247740-69
NR1056--MA0463.1.Bcl6	chr3	96905379	96905392	+	0.000	0.000	Merged-chr3-96905193-62
NR276--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR751--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR294--MA0463.1.Bcl6	chr11	76399039	76399052	-	0.000	0.000	Merged-chr11-76399136-77
NR54--MA0731.1.BCL6B	chr1	128615523	128615539	+	0.000	0.000	Merged-chr1-128615599-2
NR13--MA0463.1.Bcl6	chr1	58956329	58956342	+	0.000	0.000	Merged-chr1-58956255-56
NR621--MA0731.1.BCL6B	chr15	96598894	96598910	-	0.000	0.000	Merged-chr15-96599090-44
NR1746--MA0463.1.Bcl6	chrX	77801689	77801702	-	0.000	0.000	Merged-chrX-77801758-16
NR881--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR635--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR541--MA0463.1.Bcl6	chr14	60634739	60634752	+	0.000	0.000	Merged-chr14-60634625-83
NR408--MA0731.1.BCL6B	chr12	108634253	108634269	+	0.000	0.000	Merged-chr12-108634224-17
NR1554--MA0463.1.Bcl6	chr7	143707007	143707020	-	0.000	0.000	Merged-chr7-143706917-33
NR765--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR1666--MA0463.1.Bcl6	chr9	62344858	62344871	-	0.000	0.000	Merged-chr9-62344675-54
NR498--MA0731.1.BCL6B	chr13	109440339	109440355	-	0.000	0.000	Merged-chr13-109440485-3
NR519--MA0463.1.Bcl6	chr14	27229731	27229744	+	0.000	0.000	Merged-chr14-27229706-56
NR560--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR626--MA0731.1.BCL6B	chr15	100443703	100443719	-	0.000	0.000	Merged-chr15-100443625-43
NR430--MA0731.1.BCL6B	chr12	119157077	119157093	-	0.000	0.000	Merged-chr12-119157162-44
NR667--MA0463.1.Bcl6	chr16	59451820	59451833	-	0.000	0.000	Merged-chr16-59451982-14
NR1362--MA0463.1.Bcl6	chr6	47813386	47813399	-	0.000	0.000	Merged-chr6-47813457-59
NR112--MA0463.1.Bcl6	chr1	173451217	173451230	+	0.000	0.000	Merged-chr1-173451146-1
NR695--MA0731.1.BCL6B	chr17	15431227	15431243	+	0.000	0.000	Merged-chr17-15431042-28
NR345--MA0463.1.Bcl6	chr12	8521518	8521531	+	0.000	0.000	Merged-chr12-8521654-50
NR599--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR457--MA0463.1.Bcl6	chr13	48929716	48929729	+	0.000	0.000	Merged-chr13-48929819-47
NR727--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1376--MA0463.1.Bcl6	chr6	65615679	65615692	-	0.000	0.000	Merged-chr6-65615520-1
NR229--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR1359--MA0731.1.BCL6B	chr6	41202568	41202584	+	0.000	0.000	Merged-chr6-41202610-2
NR1282--MA0463.1.Bcl6	chr5	92398482	92398495	+	0.000	0.000	Merged-chr5-92398390-31
NR247--MA0463.1.Bcl6	chr10	120646235	120646248	+	0.000	0.000	Merged-chr10-120646351-10
NR265--MA0463.1.Bcl6	chr11	21549839	21549852	+	0.000	0.000	Merged-chr11-21549629-38
NR950--MA0463.1.Bcl6	chr2	126676037	126676050	+	0.000	0.000	Merged-chr2-126676063-4
NR1184--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR414--MA0731.1.BCL6B	chr12	111897080	111897096	+	0.000	0.000	Merged-chr12-111897164-28
NR937--MA0463.1.Bcl6	chr2	116942586	116942599	+	0.000	0.000	Merged-chr2-116942591-14
NR167--MA0463.1.Bcl6	chr10	21077157	21077170	+	0.000	0.000	Merged-chr10-21077347-58
NR955--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR1086--MA0463.1.Bcl6	chr3	130691304	130691317	+	0.000	0.000	Merged-chr3-130691489-97
NR624--MA0463.1.Bcl6	chr15	99474090	99474103	-	0.000	0.000	Merged-chr15-99474072-2
NR642--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR1758--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR1501--MA0731.1.BCL6B	chr7	92180950	92180966	-	0.000	0.000	Merged-chr7-92180899-29
NR875--MA0463.1.Bcl6	chr2	29346721	29346734	+	0.000	0.000	Merged-chr2-29346860-41
NR1409--MA0463.1.Bcl6	chr6	108296160	108296173	-	0.000	0.000	Merged-chr6-108296153-11
NR70--MA0463.1.Bcl6	chr1	138175123	138175136	+	0.000	0.000	Merged-chr1-138175302-90
NR320--MA0463.1.Bcl6	chr11	108101668	108101681	-	0.000	0.000	Merged-chr11-108101692-19
NR790--MA0463.1.Bcl6	chr18	70530647	70530660	-	0.000	0.000	Merged-chr18-70530766-126
NR1732--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR597--MA0731.1.BCL6B	chr15	75116729	75116745	+	0.000	0.000	Merged-chr15-75116670-38
NR437--MA0463.1.Bcl6	chr13	12507721	12507734	+	0.000	0.000	Merged-chr13-12507577-43
NR1696--MA0463.1.Bcl6	chr9	96515933	96515946	-	0.000	0.000	Merged-chr9-96515884-18
NR1329--MA0463.1.Bcl6	chr5	143547815	143547828	-	0.000	0.000	Merged-chr5-143547616-29
NR1593--MA0463.1.Bcl6	chr8	84127547	84127560	+	0.000	0.000	Merged-chr8-84127420-70
NR1235--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR1020--MA0463.1.Bcl6	chr3	37747939	37747952	-	0.000	0.000	Merged-chr3-37748093-56
NR1201--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR464--MA0463.1.Bcl6	chr13	59675431	59675444	+	0.000	0.000	Merged-chr13-59675579-56
NR1365--MA0463.1.Bcl6	chr6	54127518	54127531	+	0.000	0.000	Merged-chr6-54127507-32
NR1007--MA0463.1.Bcl6	chr2	179975347	179975360	+	0.000	0.000	Merged-chr2-179975451-14
NR1310--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR1271--MA0463.1.Bcl6	chr5	73199884	73199897	+	0.000	0.000	Merged-chr5-73199876-43
NR142--MA0463.1.Bcl6	chr1	189799170	189799183	+	0.000	0.000	Merged-chr1-189799097-29
NR1541--MA0731.1.BCL6B	chr7	133637820	133637836	-	0.000	0.000	Merged-chr7-133637648-127
NR1267--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR1039--MA0463.1.Bcl6	chr3	87266741	87266754	-	0.000	0.000	Merged-chr3-87266700-20
NR1612--MA0463.1.Bcl6	chr8	107056890	107056903	-	0.000	0.000	Merged-chr8-107056733-66
NR156--MA0463.1.Bcl6	chr10	5603692	5603705	-	0.000	0.000	Merged-chr10-5603707-32
NR1153--MA0731.1.BCL6B	chr4	88119075	88119091	+	0.000	0.000	Merged-chr4-88119063-23
NR1075--MA0463.1.Bcl6	chr3	115888037	115888050	+	0.000	0.000	Merged-chr3-115888038-82
NR1751--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR295--MA0463.1.Bcl6	chr11	77606955	77606968	+	0.000	0.000	Merged-chr11-77606995-6
NR962--MA0463.1.Bcl6	chr2	132577759	132577772	-	0.000	0.000	Merged-chr2-132577568-2
NR14--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR1371--MA0731.1.BCL6B	chr6	59363347	59363363	-	0.000	0.000	Merged-chr6-59363496-31
NR1420--MA0463.1.Bcl6	chr6	120483384	120483397	+	0.000	0.000	Merged-chr6-120483394-54
NR506--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR1550--MA0463.1.Bcl6	chr7	141539881	141539894	+	0.000	0.000	Merged-chr7-141539808-64
NR34--MA0731.1.BCL6B	chr1	88450668	88450684	+	0.000	0.000	Merged-chr1-88450830-24
NR421--MA0463.1.Bcl6	chr12	114512938	114512951	+	0.000	0.000	Merged-chr12-114513005-1
NR1537--MA0463.1.Bcl6	chr7	132805245	132805258	+	0.000	0.000	Merged-chr7-132805097-15
NR1322--MA0463.1.Bcl6	chr5	134704330	134704343	+	0.000	0.000	Merged-chr5-134704311-24
NR46--MA0463.1.Bcl6	chr1	119087772	119087785	+	0.000	0.000	Merged-chr1-119087737-35
NR601--MA0731.1.BCL6B	chr15	80318088	80318104	+	0.000	0.000	Merged-chr15-80318050-7
NR1555--MA0463.1.Bcl6	chr7	143822837	143822850	+	0.000	0.000	Merged-chr7-143822961-65
NR766--MA0463.1.Bcl6	chr18	35873953	35873966	+	0.000	0.000	Merged-chr18-35874168-47
NR1206--MA0463.1.Bcl6	chr4	135963648	135963661	-	0.000	0.000	Merged-chr4-135963723-59
NR1594--MA0731.1.BCL6B	chr8	84127544	84127560	-	0.000	0.000	Merged-chr8-84127420-70
NR832--MA0731.1.BCL6B	chr19	34193311	34193327	+	0.000	0.000	Merged-chr19-34193421-11
NR444--MA0463.1.Bcl6	chr13	23551448	23551461	-	0.000	0.000	Merged-chr13-23551555-61
NR1103--MA0731.1.BCL6B	chr3	139033354	139033370	-	0.000	0.000	Merged-chr3-139033383-15
NR1212--MA0731.1.BCL6B	chr4	138407834	138407850	+	0.000	0.000	Merged-chr4-138408066-23
NR574--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR540--MA0731.1.BCL6B	chr14	56262285	56262301	+	0.000	0.000	Merged-chr14-56262328-32
NR1390--MA0463.1.Bcl6	chr6	86570935	86570948	+	0.000	0.000	Merged-chr6-86570900-55
NR1238--MA0731.1.BCL6B	chr5	9107212	9107228	+	0.000	0.000	Merged-chr5-9107352-33
NR391--MA0731.1.BCL6B	chr12	98445743	98445759	-	0.000	0.000	Merged-chr12-98445818-15
NR933--MA0731.1.BCL6B	chr2	104574416	104574432	-	0.000	0.000	Merged-chr2-104574319-21
NR1552--MA0731.1.BCL6B	chr7	142040895	142040911	-	0.000	0.000	Merged-chr7-142041068-7
NR588--MA0463.1.Bcl6	chr15	55854765	55854778	+	0.000	0.000	Merged-chr15-55854766-48
NR1313--MA0731.1.BCL6B	chr5	122264605	122264621	+	0.000	0.000	Merged-chr5-122264410-49
NR1108--MA0731.1.BCL6B	chr3	142744060	142744076	-	0.000	0.000	Merged-chr3-142744255-26
NR370--MA0731.1.BCL6B	chr12	73162857	73162873	-	0.000	0.000	Merged-chr12-73162812-38
NR641--MA0731.1.BCL6B	chr16	20804580	20804596	-	0.000	0.000	Merged-chr16-20804779-46
NR1578--MA0731.1.BCL6B	chr8	41417113	41417129	+	0.000	0.000	Merged-chr8-41416899-78
NR284--MA0463.1.Bcl6	chr11	62185090	62185103	+	0.000	0.000	Merged-chr11-62185170-13
NR1606--MA0463.1.Bcl6	chr8	92355967	92355980	+	0.000	0.000	Merged-chr8-92356096-76
NR938--MA0731.1.BCL6B	chr2	116942583	116942599	+	0.000	0.000	Merged-chr2-116942591-14
NR835--MA0463.1.Bcl6	chr19	34548172	34548185	+	0.000	0.000	Merged-chr19-34548178-11
NR1069--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR981--MA0731.1.BCL6B	chr2	150831251	150831267	+	0.000	0.000	Merged-chr2-150831170-42
NR1642--MA0463.1.Bcl6	chr9	35117633	35117646	+	0.000	0.000	Merged-chr9-35117725-13
NR186--MA0463.1.Bcl6	chr10	67623465	67623478	-	0.000	0.000	Merged-chr10-67623487-11
NR742--MA0731.1.BCL6B	chr17	79599513	79599529	-	0.000	0.000	Merged-chr17-79599396-20
NR625--MA0463.1.Bcl6	chr15	100424731	100424744	-	0.000	0.000	Merged-chr15-100424546-20
NR1311--MA0463.1.Bcl6	chr5	121449392	121449405	-	0.000	0.000	Merged-chr5-121449404-2
NR1374--MA0731.1.BCL6B	chr6	65578768	65578784	-	0.000	0.000	Merged-chr6-65578768-17
NR11--MA0731.1.BCL6B	chr1	40515344	40515360	-	0.000	0.000	Merged-chr1-40515347-62
NR53--MA0463.1.Bcl6	chr1	128615523	128615536	-	0.000	0.000	Merged-chr1-128615599-2
NR1278--MA0731.1.BCL6B	chr5	77170705	77170721	-	0.000	0.000	Merged-chr5-77170742-14
NR516--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR303--MA0463.1.Bcl6	chr11	86624492	86624505	+	0.000	0.000	Merged-chr11-86624418-56
NR1658--MA0731.1.BCL6B	chr9	50905492	50905508	+	0.000	0.000	Merged-chr9-50905501-48
NR1148--MA0731.1.BCL6B	chr4	83315152	83315168	+	0.000	0.000	Merged-chr4-83315362-155
NR58--MA0463.1.Bcl6	chr1	131089895	131089908	+	0.000	0.000	Merged-chr1-131089879-35
NR545--MA0463.1.Bcl6	chr14	68044927	68044940	+	0.000	0.000	Merged-chr14-68044800-35
NR952--MA0731.1.BCL6B	chr2	128325595	128325611	-	0.000	0.000	Merged-chr2-128325647-45
NR1366--MA0731.1.BCL6B	chr6	54127515	54127531	-	0.000	0.000	Merged-chr6-54127507-32
NR1018--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR1106--MA0463.1.Bcl6	chr3	142744063	142744076	+	0.000	0.000	Merged-chr3-142744255-26
NR1370--MA0463.1.Bcl6	chr6	59363350	59363363	+	0.000	0.000	Merged-chr6-59363496-31
NR508--MA0731.1.BCL6B	chr14	7989485	7989501	+	0.000	0.000	Merged-chr14-7989613-33
NR429--MA0463.1.Bcl6	chr12	118376797	118376810	+	0.000	0.000	Merged-chr12-118376782-123
NR280--MA0731.1.BCL6B	chr11	57673382	57673398	-	0.000	0.000	Merged-chr11-57673266-26
NR1021--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR184--MA0731.1.BCL6B	chr10	60760468	60760484	+	0.000	0.000	Merged-chr10-60760629-44
NR1348--MA0463.1.Bcl6	chr5	151263549	151263562	-	0.000	0.000	Merged-chr5-151263593-10
NR568--MA0463.1.Bcl6	chr14	120278328	120278341	+	0.000	0.000	Merged-chr14-120278358-14
NR1249--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR1087--MA0731.1.BCL6B	chr3	130810033	130810049	-	0.000	0.000	Merged-chr3-130810133-82
NR1272--MA0463.1.Bcl6	chr5	73199882	73199895	-	0.000	0.000	Merged-chr5-73199876-43
