#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR46332--MA0493.1.Klf1	chr7	92165085	92165095	-	0.000	0.000	Merged-chr7-92165181-43
NR28963--MA0741.1.KLF16	chr2	117335590	117335600	-	0.000	0.000	Merged-chr2-117335736-33
NR41562--MA0039.3.KLF4	chr6	38360276	38360286	-	0.000	0.000	Merged-chr6-38360325-47
NR31868--MA1107.1.KLF9	chr3	88022958	88022970	+	0.000	0.000	Merged-chr3-88023115-51
NR34239--MA0599.1.KLF5	chr4	43000524	43000533	+	0.000	0.000	Merged-chr4-43000576-6
NR31653--MA1107.1.KLF9	chr3	79239049	79239061	-	0.000	0.000	Merged-chr3-79239225-51
NR33909--MA1107.1.KLF9	chr4	24898774	24898786	-	0.000	0.000	Merged-chr4-24898967-6
NR13543--MA0741.1.KLF16	chr13	63431379	63431389	+	0.000	0.000	Merged-chr13-63431477-108
NR31801--MA0740.1.KLF14	chr3	85573973	85573986	+	0.000	0.000	Merged-chr3-85574094-56
NR17778--MA1107.1.KLF9	chr15	77071699	77071711	-	0.000	0.000	Merged-chr15-77071598-27
NR11592--MA0741.1.KLF16	chr12	83951562	83951572	+	0.000	0.000	Merged-chr12-83951738-3
NR52277--MA0741.1.KLF16	chr9	69125636	69125646	-	0.000	0.000	Merged-chr9-69125560-59
NR39373--MA0740.1.KLF14	chr5	114826374	114826387	+	0.000	0.000	Merged-chr5-114826460-42
NR43872--MA1107.1.KLF9	chr6	142964871	142964883	+	0.000	0.000	Merged-chr6-142964683-116
NR7331--MA0039.3.KLF4	chr11	32087582	32087592	-	0.000	0.000	Merged-chr11-32087638-14
NR1841--MA0599.1.KLF5	chr1	132341980	132341989	+	0.000	0.000	Merged-chr1-132341932-46
NR47794--MA0599.1.KLF5	chr7	139388867	139388876	+	0.000	0.000	Merged-chr7-139388959-78
NR32507--MA0599.1.KLF5	chr3	104961776	104961785	-	0.000	0.000	Merged-chr3-104961785-36
NR24527--MA0741.1.KLF16	chr18	70644619	70644629	-	0.000	0.000	Merged-chr18-70644482-115
NR45652--MA0741.1.KLF16	chr7	55890161	55890171	+	0.000	0.000	Merged-chr7-55890160-26
NR23122--MA1107.1.KLF9	chr17	84181287	84181299	+	0.000	0.000	Merged-chr17-84181390-116
NR25289--MA0493.1.Klf1	chr19	5875398	5875408	+	0.000	0.000	Merged-chr19-5875305-34
NR590--MA0741.1.KLF16	chr1	52597992	52598002	-	0.000	0.000	Merged-chr1-52598024-25
NR5474--MA0740.1.KLF14	chr10	83534141	83534154	+	0.000	0.000	Merged-chr10-83533900-47
NR9856--MA1107.1.KLF9	chr11	114636317	114636329	+	0.000	0.000	Merged-chr11-114636185-1
NR7323--MA0742.1.Klf12	chr11	31870783	31870797	-	0.000	0.000	Merged-chr11-31870754-70
NR30796--MA1107.1.KLF9	chr2	180353575	180353587	-	0.000	0.000	Merged-chr2-180353523-20
NR30356--MA0740.1.KLF14	chr2	167349476	167349489	-	0.000	0.000	Merged-chr2-167349371-94
NR20896--MA0741.1.KLF16	chr17	12992262	12992272	+	0.000	0.000	Merged-chr17-12992302-122
NR36829--MA0039.3.KLF4	chr4	148742741	148742751	-	0.000	0.000	Merged-chr4-148742861-33
NR2358--MA0599.1.KLF5	chr1	156939029	156939038	-	0.000	0.000	Merged-chr1-156938918-4
NR24325--MA0599.1.KLF5	chr18	65430790	65430799	+	0.000	0.000	Merged-chr18-65430843-87
NR6061--MA0741.1.KLF16	chr10	111619930	111619940	-	0.000	0.000	Merged-chr10-111620030-35
NR10928--MA1107.1.KLF9	chr12	36406145	36406157	+	0.000	0.000	Merged-chr12-36406215-5
NR19824--MA0493.1.Klf1	chr16	46010417	46010427	+	0.000	0.000	Merged-chr16-46010604-102
NR18976--MA0740.1.KLF14	chr16	5233523	5233536	+	0.000	0.000	Merged-chr16-5233691-54
NR55071--MA0493.1.Klf1	chrX	164427561	164427571	-	0.000	0.000	Merged-chrX-164427497-25
NR23538--MA0039.3.KLF4	chr18	12947646	12947656	+	0.000	0.000	Merged-chr18-12947466-4
NR34484--MA1107.1.KLF9	chr4	53012129	53012141	-	0.000	0.000	Merged-chr4-53012213-75
NR46444--MA0493.1.Klf1	chr7	98489938	98489948	-	0.000	0.000	Merged-chr7-98489839-41
NR26258--MA0493.1.Klf1	chr19	46148529	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR16728--MA0741.1.KLF16	chr14	122181663	122181673	-	0.000	0.000	Merged-chr14-122181700-59
NR42393--MA0742.1.Klf12	chr6	85075160	85075174	+	0.000	0.000	Merged-chr6-85075148-16
NR35767--MA0493.1.Klf1	chr4	126609943	126609953	+	0.000	0.000	Merged-chr4-126609902-25
NR15295--MA0599.1.KLF5	chr14	47418257	47418266	+	0.000	0.000	Merged-chr14-47418232-53
NR27072--MA0740.1.KLF14	chr2	25095285	25095298	+	0.000	0.000	Merged-chr2-25095278-14
NR34812--MA0599.1.KLF5	chr4	72201030	72201039	+	0.000	0.000	Merged-chr4-72200861-128
NR6170--MA1107.1.KLF9	chr10	117209552	117209564	+	0.000	0.000	Merged-chr10-117209655-32
NR23592--MA1107.1.KLF9	chr18	20946547	20946559	+	0.000	0.000	Merged-chr18-20946448-65
NR52209--MA0493.1.Klf1	chr9	66795792	66795802	-	0.000	0.000	Merged-chr9-66795647-70
NR20739--MA1107.1.KLF9	chr17	6743912	6743924	-	0.000	0.000	Merged-chr17-6743810-66
