#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1997--MA0508.2.PRDM1	chrY	1116291	1116300	-	0.000	0.000	Merged-chrY-1116441-17
NR1126--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR92--MA0508.2.PRDM1	chr1	133763290	133763299	+	0.000	0.000	Merged-chr1-133763303-37
NR964--MA0508.2.PRDM1	chr19	54015198	54015207	+	0.000	0.000	Merged-chr19-54015154-21
NR1649--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR550--MA0508.2.PRDM1	chr13	91484447	91484456	-	0.000	0.000	Merged-chr13-91484361-55
NR1344--MA0508.2.PRDM1	chr4	88641336	88641345	-	0.000	0.000	Merged-chr4-88641244-84
NR1201--MA0508.2.PRDM1	chr3	93607911	93607920	+	0.000	0.000	Merged-chr3-93607971-30
NR292--MA0508.2.PRDM1	chr11	6267807	6267816	+	0.000	0.000	Merged-chr11-6267788-45
NR563--MA0508.2.PRDM1	chr13	107568585	107568594	-	0.000	0.000	Merged-chr13-107568405-110
NR1628--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR1214--MA0508.2.PRDM1	chr3	101033706	101033715	-	0.000	0.000	Merged-chr3-101033836-38
NR1195--MA0508.2.PRDM1	chr3	89338091	89338100	+	0.000	0.000	Merged-chr3-89337908-44
NR1466--MA0508.2.PRDM1	chr5	74132500	74132509	-	0.000	0.000	Merged-chr5-74132335-1
NR1323--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR1118--MA0508.2.PRDM1	chr2	152332435	152332444	-	0.000	0.000	Merged-chr2-152332475-59
NR890--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR685--MA0508.2.PRDM1	chr15	28159183	28159192	-	0.000	0.000	Merged-chr15-28159214-52
NR956--MA0508.2.PRDM1	chr19	43571342	43571351	+	0.000	0.000	Merged-chr19-43571259-40
NR1479--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR380--MA0508.2.PRDM1	chr12	28834288	28834297	-	0.000	0.000	Merged-chr12-28834463-43
NR1607--MA0508.2.PRDM1	chr6	127219584	127219593	-	0.000	0.000	Merged-chr6-127219541-27
NR969--MA0508.2.PRDM1	chr19	58455557	58455566	+	0.000	0.000	Merged-chr19-58455667-24
NR760--MA0508.2.PRDM1	chr16	23844821	23844830	-	0.000	0.000	Merged-chr16-23844946-41
NR393--MA0508.2.PRDM1	chr12	52830983	52830992	-	0.000	0.000	Merged-chr12-52830906-26
NR521--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR839--MA0508.2.PRDM1	chr17	29429065	29429074	+	0.000	0.000	Merged-chr17-29429080-41
NR1458--MA0508.2.PRDM1	chr5	67930922	67930931	-	0.000	0.000	Merged-chr5-67930859-12
NR677--MA0508.2.PRDM1	chr15	9574876	9574885	-	0.000	0.000	Merged-chr15-9575046-48
NR1567--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1153--MA0508.2.PRDM1	chr3	30952379	30952388	-	0.000	0.000	Merged-chr3-30952502-53
NR1219--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR1057--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR861--MA0508.2.PRDM1	chr17	69422886	69422895	-	0.000	0.000	Merged-chr17-69422874-19
NR513--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
