#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1814--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR891--MA0731.1.BCL6B	chr17	85888672	85888688	+	0.000	0.000	Merged-chr17-85888819-19
NR1433--MA0731.1.BCL6B	chr4	115102016	115102032	-	0.000	0.000	Merged-chr4-115101833-38
NR282--MA0463.1.Bcl6	chr10	99194505	99194518	-	0.000	0.000	Merged-chr10-99194642-78
NR1175--MA0731.1.BCL6B	chr2	155514877	155514893	-	0.000	0.000	Merged-chr2-155514842-20
NR1819--MA0463.1.Bcl6	chr7	80299688	80299701	-	0.000	0.000	Merged-chr7-80299755-32
NR1604--MA0463.1.Bcl6	chr5	125408980	125408993	+	0.000	0.000	Merged-chr5-125409067-24
NR2027--MA0463.1.Bcl6	chr9	55110637	55110650	+	0.000	0.000	Merged-chr9-55110680-29
NR1141--MA0731.1.BCL6B	chr2	128325595	128325611	-	0.000	0.000	Merged-chr2-128325647-45
NR1622--MA0463.1.Bcl6	chr5	139303891	139303904	+	0.000	0.000	Merged-chr5-139303910-62
NR842--MA0463.1.Bcl6	chr17	31831308	31831321	+	0.000	0.000	Merged-chr17-31831136-47
NR1882--MA0731.1.BCL6B	chr7	133637820	133637836	-	0.000	0.000	Merged-chr7-133637648-127
NR1752--MA0463.1.Bcl6	chr6	144265690	144265703	+	0.000	0.000	Merged-chr6-144265830-63
NR60--MA0463.1.Bcl6	chr1	91062562	91062575	+	0.000	0.000	Merged-chr1-91062639-48
NR22--MA0731.1.BCL6B	chr1	53313745	53313761	+	0.000	0.000	Merged-chr1-53313672-58
NR1202--MA0463.1.Bcl6	chr2	180081045	180081058	-	0.000	0.000	Merged-chr2-180080885-21
NR892--MA0463.1.Bcl6	chr17	86185023	86185036	+	0.000	0.000	Merged-chr17-86185009-23
NR534--MA0463.1.Bcl6	chr13	49247952	49247965	+	0.000	0.000	Merged-chr13-49248043-74
NR2095--MA0463.1.Bcl6	chr9	123936671	123936684	-	0.000	0.000	Merged-chr9-123936830-62
NR431--MA0463.1.Bcl6	chr12	26057653	26057666	-	0.000	0.000	Merged-chr12-26057851-43
NR1744--MA0731.1.BCL6B	chr6	140508044	140508060	-	0.000	0.000	Merged-chr6-140507900-3
NR776--MA0463.1.Bcl6	chr16	32430855	32430868	-	0.000	0.000	Merged-chr16-32431022-65
NR1582--MA0731.1.BCL6B	chr5	107013610	107013626	+	0.000	0.000	Merged-chr5-107013528-15
NR1583--MA0463.1.Bcl6	chr5	107648917	107648930	+	0.000	0.000	Merged-chr5-107649073-49
NR1010--MA0463.1.Bcl6	chr19	44283179	44283192	+	0.000	0.000	Merged-chr19-44283330-35
NR1216--MA0463.1.Bcl6	chr3	30592527	30592540	-	0.000	0.000	Merged-chr3-30592585-30
NR333--MA0463.1.Bcl6	chr11	48874724	48874737	+	0.000	0.000	Merged-chr11-48874732-31
NR833--MA0731.1.BCL6B	chr17	17845562	17845578	+	0.000	0.000	Merged-chr17-17845619-46
NR1140--MA0463.1.Bcl6	chr2	127143236	127143249	+	0.000	0.000	Merged-chr2-127143269-68
NR1485--MA0463.1.Bcl6	chr4	156008435	156008448	-	0.000	0.000	Merged-chr4-156008555-53
NR696--MA0463.1.Bcl6	chr15	36708581	36708594	+	0.000	0.000	Merged-chr15-36708582-23
NR481--MA0463.1.Bcl6	chr12	108635767	108635780	-	0.000	0.000	Merged-chr12-108635835-63
NR1574--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR1042--MA0463.1.Bcl6	chr2	25241268	25241281	-	0.000	0.000	Merged-chr2-25241119-44
NR302--MA0731.1.BCL6B	chr11	3138527	3138543	-	0.000	0.000	Merged-chr11-3138562-20
NR1858--MA0731.1.BCL6B	chr7	113377923	113377939	-	0.000	0.000	Merged-chr7-113378054-39
NR1173--MA0731.1.BCL6B	chr2	154658147	154658163	+	0.000	0.000	Merged-chr2-154658001-38
NR411--MA0731.1.BCL6B	chr11	116669950	116669966	-	0.000	0.000	Merged-chr11-116669972-23
NR486--MA0463.1.Bcl6	chr12	108903011	108903024	-	0.000	0.000	Merged-chr12-108903153-23
NR1172--MA0463.1.Bcl6	chr2	154658147	154658160	-	0.000	0.000	Merged-chr2-154658001-38
NR424--MA0731.1.BCL6B	chr12	16170327	16170343	+	0.000	0.000	Merged-chr12-16170449-47
NR1038--MA0463.1.Bcl6	chr2	18765846	18765859	+	0.000	0.000	Merged-chr2-18765910-35
NR155--MA0463.1.Bcl6	chr1	178874022	178874035	+	0.000	0.000	Merged-chr1-178874128-3
NR2034--MA0463.1.Bcl6	chr9	61681177	61681190	-	0.000	0.000	Merged-chr9-61681164-50
NR1177--MA0463.1.Bcl6	chr2	158175265	158175278	+	0.000	0.000	Merged-chr2-158175276-28
NR88--MA0731.1.BCL6B	chr1	132316104	132316120	+	0.000	0.000	Merged-chr1-132316198-37
NR480--MA0731.1.BCL6B	chr12	108634253	108634269	+	0.000	0.000	Merged-chr12-108634224-17
NR546--MA0731.1.BCL6B	chr13	67173079	67173095	+	0.000	0.000	Merged-chr13-67173285-60
NR13--MA0463.1.Bcl6	chr1	38777882	38777895	+	0.000	0.000	Merged-chr1-38777708-41
NR2070--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR827--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR1178--MA0731.1.BCL6B	chr2	158175262	158175278	-	0.000	0.000	Merged-chr2-158175276-28
NR845--MA0463.1.Bcl6	chr17	35997138	35997151	-	0.000	0.000	Merged-chr17-35997233-37
NR1079--MA0463.1.Bcl6	chr2	65331317	65331330	+	0.000	0.000	Merged-chr2-65331508-29
NR1876--MA0463.1.Bcl6	chr7	128392783	128392796	-	0.000	0.000	Merged-chr7-128392760-60
NR1518--MA0463.1.Bcl6	chr5	32714042	32714055	+	0.000	0.000	Merged-chr5-32713886-83
NR1266--MA0731.1.BCL6B	chr3	102724385	102724401	+	0.000	0.000	Merged-chr3-102724263-19
NR868--MA0463.1.Bcl6	chr17	71485897	71485910	+	0.000	0.000	Merged-chr17-71486096-96
NR342--MA0731.1.BCL6B	chr11	54492681	54492697	+	0.000	0.000	Merged-chr11-54492562-47
NR886--MA0463.1.Bcl6	chr17	83457346	83457359	+	0.000	0.000	Merged-chr17-83457442-35
NR671--MA0463.1.Bcl6	chr14	103033738	103033751	-	0.000	0.000	Merged-chr14-103033598-47
NR313--MA0463.1.Bcl6	chr11	21371022	21371035	+	0.000	0.000	Merged-chr11-21370964-119
NR212--MA0731.1.BCL6B	chr10	42897742	42897758	+	0.000	0.000	Merged-chr10-42897771-65
NR331--MA0463.1.Bcl6	chr11	46127033	46127046	-	0.000	0.000	Merged-chr11-46127089-49
NR735--MA0731.1.BCL6B	chr15	91587764	91587780	-	0.000	0.000	Merged-chr15-91587669-21
NR1438--MA0463.1.Bcl6	chr4	119223882	119223895	+	0.000	0.000	Merged-chr4-119223905-18
NR1258--MA0731.1.BCL6B	chr3	95909392	95909408	+	0.000	0.000	Merged-chr3-95909537-31
NR430--MA0731.1.BCL6B	chr12	25240252	25240268	+	0.000	0.000	Merged-chr12-25240283-42
NR2031--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR1128--MA0731.1.BCL6B	chr2	114175318	114175334	-	0.000	0.000	Merged-chr2-114175184-57
NR281--MA0731.1.BCL6B	chr10	99191007	99191023	+	0.000	0.000	Merged-chr10-99190980-7
NR345--MA0463.1.Bcl6	chr11	58183763	58183776	+	0.000	0.000	Merged-chr11-58183866-40
NR1143--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR1018--MA0463.1.Bcl6	chr19	53421529	53421542	+	0.000	0.000	Merged-chr19-53421333-52
NR469--MA0731.1.BCL6B	chr12	84451209	84451225	-	0.000	0.000	Merged-chr12-84451236-79
NR706--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR153--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR273--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR1721--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR544--MA0731.1.BCL6B	chr13	66905343	66905359	-	0.000	0.000	Merged-chr13-66905214-64
NR171--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR704--MA0463.1.Bcl6	chr15	51865185	51865198	-	0.000	0.000	Merged-chr15-51865405-64
NR1923--MA0731.1.BCL6B	chr8	69149405	69149421	+	0.000	0.000	Merged-chr8-69149326-14
NR722--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR740--MA0463.1.Bcl6	chr15	96285881	96285894	+	0.000	0.000	Merged-chr15-96285638-75
NR374--MA0731.1.BCL6B	chr11	87967898	87967914	+	0.000	0.000	Merged-chr11-87968039-56
NR763--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR148--MA0731.1.BCL6B	chr1	173534018	173534034	-	0.000	0.000	Merged-chr1-173534011-13
NR528--MA0731.1.BCL6B	chr13	42095825	42095841	+	0.000	0.000	Merged-chr13-42095999-70
NR1409--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR987--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR790--MA0463.1.Bcl6	chr16	55822246	55822259	-	0.000	0.000	Merged-chr16-55822144-53
NR1997--MA0731.1.BCL6B	chr9	14498660	14498676	+	0.000	0.000	Merged-chr9-14498849-2
NR249--MA0731.1.BCL6B	chr10	81633786	81633802	-	0.000	0.000	Merged-chr10-81633689-43
NR1440--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1253--MA0463.1.Bcl6	chr3	86547050	86547063	+	0.000	0.000	Merged-chr3-86547154-101
NR1007--MA0463.1.Bcl6	chr19	43523519	43523532	-	0.000	0.000	Merged-chr19-43523434-47
NR1310--MA0731.1.BCL6B	chr3	135665917	135665933	+	0.000	0.000	Merged-chr3-135665884-70
NR482--MA0463.1.Bcl6	chr12	108765939	108765952	+	0.000	0.000	Merged-chr12-108765872-68
NR1598--MA0463.1.Bcl6	chr5	122219005	122219018	+	0.000	0.000	Merged-chr5-122219045-36
NR236--MA0463.1.Bcl6	chr10	74823592	74823605	-	0.000	0.000	Merged-chr10-74823662-27
NR1137--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR357--MA0463.1.Bcl6	chr11	69332127	69332140	-	0.000	0.000	Merged-chr11-69332186-23
NR1043--MA0463.1.Bcl6	chr2	26647171	26647184	+	0.000	0.000	Merged-chr2-26647037-34
NR487--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR1285--MA0463.1.Bcl6	chr3	115888037	115888050	+	0.000	0.000	Merged-chr3-115888038-82
NR1031--MA0731.1.BCL6B	chr2	13718738	13718754	-	0.000	0.000	Merged-chr2-13718816-55
NR832--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR1939--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR2026--MA0731.1.BCL6B	chr9	53818731	53818747	+	0.000	0.000	Merged-chr9-53818897-24
NR277--MA0463.1.Bcl6	chr10	97160662	97160675	+	0.000	0.000	Merged-chr10-97160540-38
NR850--MA0463.1.Bcl6	chr17	46835284	46835297	-	0.000	0.000	Merged-chr17-46835491-42
NR1957--MA0463.1.Bcl6	chr8	107056890	107056903	-	0.000	0.000	Merged-chr8-107056733-66
NR716--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR1760--MA0463.1.Bcl6	chr6	149193847	149193860	+	0.000	0.000	Merged-chr6-149193776-50
NR1617--MA0463.1.Bcl6	chr5	135013162	135013175	-	0.000	0.000	Merged-chr5-135013144-4
NR1402--MA0463.1.Bcl6	chr4	83315152	83315165	-	0.000	0.000	Merged-chr4-83315362-155
NR1642--MA0731.1.BCL6B	chr6	15793395	15793411	-	0.000	0.000	Merged-chr6-15793359-107
NR980--MA0463.1.Bcl6	chr19	14668773	14668786	-	0.000	0.000	Merged-chr19-14668781-26
NR828--MA0463.1.Bcl6	chr17	12205951	12205964	+	0.000	0.000	Merged-chr17-12205812-57
