#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1324--MA0731.1.BCL6B	chr3	146127687	146127703	+	0.000	0.000	Merged-chr3-146127552-12,Merged-chr3-146127848-1
NR1433--MA0731.1.BCL6B	chr4	115102016	115102032	-	0.000	0.000	Merged-chr4-115101833-38
NR282--MA0463.1.Bcl6	chr10	99194505	99194518	-	0.000	0.000	Merged-chr10-99194642-78
NR1295--MA0463.1.Bcl6	chr3	126403102	126403115	-	0.000	0.000	Merged-chr3-126402941-43
NR1971--MA0463.1.Bcl6	chr8	119843552	119843565	-	0.000	0.000	Merged-chr8-119843625-6
NR1819--MA0463.1.Bcl6	chr7	80299688	80299701	-	0.000	0.000	Merged-chr7-80299755-32
NR1141--MA0731.1.BCL6B	chr2	128325595	128325611	-	0.000	0.000	Merged-chr2-128325647-45
NR936--MA0463.1.Bcl6	chr18	61489723	61489736	+	0.000	0.000	Merged-chr18-61489584-71
NR954--MA0463.1.Bcl6	chr18	75740775	75740788	-	0.000	0.000	Merged-chr18-75740758-31
NR184--MA0463.1.Bcl6	chr10	4389125	4389138	+	0.000	0.000	Merged-chr10-4389195-7
NR1752--MA0463.1.Bcl6	chr6	144265690	144265703	+	0.000	0.000	Merged-chr6-144265830-63
NR1609--MA0463.1.Bcl6	chr5	130088207	130088220	+	0.000	0.000	Merged-chr5-130088239-22
NR972--MA0463.1.Bcl6	chr19	4191763	4191776	-	0.000	0.000	Merged-chr19-4191798-90
NR1627--MA0463.1.Bcl6	chr5	147697206	147697219	+	0.000	0.000	Merged-chr5-147697335-17
NR838--MA0463.1.Bcl6	chr17	26243768	26243781	-	0.000	0.000	Merged-chr17-26243681-1
NR1739--MA0463.1.Bcl6	chr6	134189915	134189928	-	0.000	0.000	Merged-chr6-134189868-22
NR1276--MA0731.1.BCL6B	chr3	108504073	108504089	-	0.000	0.000	Merged-chr3-108504114-26
NR189--MA0463.1.Bcl6	chr10	9856248	9856261	-	0.000	0.000	Merged-chr10-9856341-1
NR1542--MA0463.1.Bcl6	chr5	67260766	67260779	+	0.000	0.000	Merged-chr5-67260794-69
NR60--MA0463.1.Bcl6	chr1	91062562	91062575	+	0.000	0.000	Merged-chr1-91062639-48
NR968--MA0463.1.Bcl6	chr18	84026445	84026458	+	0.000	0.000	Merged-chr18-84026622-26
NR516--MA0463.1.Bcl6	chr13	21531118	21531131	-	0.000	0.000	Merged-chr13-21531056-50
NR1775--MA0463.1.Bcl6	chr7	24593650	24593663	+	0.000	0.000	Merged-chr7-24593848-34
NR461--MA0731.1.BCL6B	chr12	80114298	80114314	+	0.000	0.000	Merged-chr12-80114436-28
NR1202--MA0463.1.Bcl6	chr2	180081045	180081058	-	0.000	0.000	Merged-chr2-180080885-21
NR1887--MA0463.1.Bcl6	chr7	136176642	136176655	-	0.000	0.000	Merged-chr7-136176593-10
NR431--MA0463.1.Bcl6	chr12	26057653	26057666	-	0.000	0.000	Merged-chr12-26057851-43
NR1744--MA0731.1.BCL6B	chr6	140508044	140508060	-	0.000	0.000	Merged-chr6-140507900-3
NR1125--MA0731.1.BCL6B	chr2	112676831	112676847	+	0.000	0.000	Merged-chr2-112676754-32
NR1648--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR14--MA0731.1.BCL6B	chr1	39941814	39941830	+	0.000	0.000	Merged-chr1-39941675-40
NR548--MA0463.1.Bcl6	chr13	70600333	70600346	-	0.000	0.000	Merged-chr13-70600282-8
NR1452--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR942--MA0731.1.BCL6B	chr18	64936183	64936199	+	0.000	0.000	Merged-chr18-64936230-29
NR1136--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR2011--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR1587--MA0731.1.BCL6B	chr5	112286794	112286810	+	0.000	0.000	Merged-chr5-112286717-1
NR1369--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1173--MA0731.1.BCL6B	chr2	154658147	154658163	+	0.000	0.000	Merged-chr2-154658001-38
NR1967--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR1172--MA0463.1.Bcl6	chr2	154658147	154658160	-	0.000	0.000	Merged-chr2-154658001-38
NR146--MA0463.1.Bcl6	chr1	172312126	172312139	+	0.000	0.000	Merged-chr1-172312178-79
NR1218--MA0731.1.BCL6B	chr3	32409048	32409064	+	0.000	0.000	Merged-chr3-32409159-38
NR2034--MA0463.1.Bcl6	chr9	61681177	61681190	-	0.000	0.000	Merged-chr9-61681164-50
NR1750--MA0463.1.Bcl6	chr6	143868291	143868304	+	0.000	0.000	Merged-chr6-143868417-58
NR546--MA0731.1.BCL6B	chr13	67173079	67173095	+	0.000	0.000	Merged-chr13-67173285-60
NR294--MA0463.1.Bcl6	chr10	121310905	121310918	+	0.000	0.000	Merged-chr10-121310778-72
NR603--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR2070--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR621--MA0463.1.Bcl6	chr14	34674449	34674462	-	0.000	0.000	Merged-chr14-34674583-4
NR31--MA0463.1.Bcl6	chr1	63953647	63953660	-	0.000	0.000	Merged-chr1-63953679-17
NR1035--MA0731.1.BCL6B	chr2	15049399	15049415	+	0.000	0.000	Merged-chr2-15049301-58
NR1079--MA0463.1.Bcl6	chr2	65331317	65331330	+	0.000	0.000	Merged-chr2-65331508-29
NR1746--MA0463.1.Bcl6	chr6	142519243	142519256	+	0.000	0.000	Merged-chr6-142519262-28
NR1048--MA0731.1.BCL6B	chr2	29110922	29110938	-	0.000	0.000	Merged-chr2-29111159-4
NR617--MA0463.1.Bcl6	chr14	30152999	30153012	+	0.000	0.000	Merged-chr14-30153038-10
NR538--MA0731.1.BCL6B	chr13	54590129	54590145	-	0.000	0.000	Merged-chr13-54590326-80
NR918--MA0731.1.BCL6B	chr18	46176055	46176071	+	0.000	0.000	Merged-chr18-46176178-68
NR868--MA0463.1.Bcl6	chr17	71485897	71485910	+	0.000	0.000	Merged-chr17-71486096-96
NR886--MA0463.1.Bcl6	chr17	83457346	83457359	+	0.000	0.000	Merged-chr17-83457442-35
NR313--MA0463.1.Bcl6	chr11	21371022	21371035	+	0.000	0.000	Merged-chr11-21370964-119
NR519--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR425--MA0463.1.Bcl6	chr12	16509619	16509632	+	0.000	0.000	Merged-chr12-16509548-40
NR1684--MA0463.1.Bcl6	chr6	86472382	86472395	+	0.000	0.000	Merged-chr6-86472482-99
NR212--MA0731.1.BCL6B	chr10	42897742	42897758	+	0.000	0.000	Merged-chr10-42897771-65
NR331--MA0463.1.Bcl6	chr11	46127033	46127046	-	0.000	0.000	Merged-chr11-46127089-49
NR2031--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR695--MA0731.1.BCL6B	chr15	31601902	31601918	+	0.000	0.000	Merged-chr15-31601857-105
NR345--MA0463.1.Bcl6	chr11	58183763	58183776	+	0.000	0.000	Merged-chr11-58183866-40
NR1036--MA0463.1.Bcl6	chr2	15055493	15055506	-	0.000	0.000	Merged-chr2-15055346-111
NR706--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR687--MA0731.1.BCL6B	chr15	12895527	12895543	+	0.000	0.000	Merged-chr15-12895648-51
NR820--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR1054--MA0463.1.Bcl6	chr2	38644043	38644056	+	0.000	0.000	Merged-chr2-38643899-59
NR2132--MA0731.1.BCL6B	chrX	166718102	166718118	+	0.000	0.000	Merged-chrX-166718260-20
NR1936--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1721--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR2036--MA0731.1.BCL6B	chr9	61985864	61985880	+	0.000	0.000	Merged-chr9-61985861-64
NR377--MA0463.1.Bcl6	chr11	94236370	94236383	+	0.000	0.000	Merged-chr11-94236284-28
NR1067--MA0731.1.BCL6B	chr2	50814078	50814094	-	0.000	0.000	Merged-chr2-50813926-46
NR1910--MA0731.1.BCL6B	chr8	31097077	31097093	+	0.000	0.000	Merged-chr8-31097238-35
NR414--MA0731.1.BCL6B	chr12	3322115	3322131	+	0.000	0.000	Merged-chr12-3322326-39
NR919--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1296--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR149--MA0463.1.Bcl6	chr1	174469859	174469872	+	0.000	0.000	Merged-chr1-174469932-39
NR825--MA0463.1.Bcl6	chr17	8228690	8228703	+	0.000	0.000	Merged-chr17-8228766-12
NR1717--MA0463.1.Bcl6	chr6	119502188	119502201	-	0.000	0.000	Merged-chr6-119502216-31
NR1623--MA0463.1.Bcl6	chr5	140663619	140663632	+	0.000	0.000	Merged-chr5-140663494-2
NR1761--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR536--MA0731.1.BCL6B	chr13	49449501	49449517	+	0.000	0.000	Merged-chr13-49449603-25
NR807--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR185--MA0463.1.Bcl6	chr10	8953204	8953217	+	0.000	0.000	Merged-chr10-8953091-38
NR1086--MA0463.1.Bcl6	chr2	69712420	69712433	-	0.000	0.000	Merged-chr2-69712301-22
NR512--MA0463.1.Bcl6	chr13	17432457	17432470	-	0.000	0.000	Merged-chr13-17432552-25
NR1628--MA0463.1.Bcl6	chr5	150840181	150840194	+	0.000	0.000	Merged-chr5-150840006-2
NR745--MA0463.1.Bcl6	chr15	102296158	102296171	-	0.000	0.000	Merged-chr15-102296189-42
NR1915--MA0731.1.BCL6B	chr8	41417113	41417129	+	0.000	0.000	Merged-chr8-41416899-78
NR1543--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR763--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR419--MA0731.1.BCL6B	chr12	12420963	12420979	+	0.000	0.000	Merged-chr12-12421054-45
NR1888--MA0463.1.Bcl6	chr7	136248474	136248487	-	0.000	0.000	Merged-chr7-136248443-25
NR223--MA0731.1.BCL6B	chr10	61276009	61276025	+	0.000	0.000	Merged-chr10-61275935-46
NR2096--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
