#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR2801--MA0035.3.Gata1	chr19	8518519	8518529	+	0.000	0.000	Merged-chr19-8518636-102
NR2301--MA0482.1.Gata4	chr16	94236909	94236919	+	0.000	0.000	Merged-chr16-94237010-44
NR2072--MA0766.1.GATA5	chr15	96543516	96543523	+	0.000	0.000	Merged-chr15-96543525-72
NR3054--MA0766.1.GATA5	chr2	58107053	58107060	+	0.000	0.000	Merged-chr2-58107175-53
NR5467--MA0482.1.Gata4	chr9	13466581	13466591	-	0.000	0.000	Merged-chr9-13466686-68
NR2662--MA0482.1.Gata4	chr18	50014636	50014646	-	0.000	0.000	Merged-chr18-50014584-52
NR4403--MA0766.1.GATA5	chr5	143133104	143133111	-	0.000	0.000	Merged-chr5-143133108-49
NR2713--MA0036.3.GATA2	chr18	70599054	70599064	+	0.000	0.000	Merged-chr18-70598988-36
NR4865--MA0482.1.Gata4	chr7	27933591	27933601	-	0.000	0.000	Merged-chr7-27933719-74
NR4332--MA0035.3.Gata1	chr5	115755587	115755597	+	0.000	0.000	Merged-chr5-115755640-4
NR2356--MA0766.1.GATA5	chr17	7927890	7927897	-	0.000	0.000	Merged-chr17-7928003-98
NR3067--MA0766.1.GATA5	chr2	60328750	60328757	-	0.000	0.000	Merged-chr2-60328757-33
NR2304--MA0035.3.Gata1	chr16	94236908	94236918	+	0.000	0.000	Merged-chr16-94237010-44
NR472--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR5612--MA0037.3.GATA3	chr9	69298080	69298087	-	0.000	0.000	Merged-chr9-69298140-58
NR2880--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR4170--MA0035.3.Gata1	chr5	28315805	28315815	-	0.000	0.000	Merged-chr5-28315754-44
NR3657--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR839--MA0140.2.GATA1::TAL1	chr11	50377762	50377779	+	0.000	0.000	Merged-chr11-50377790-188
NR3543--MA0140.2.GATA1::TAL1	chr3	89187839	89187856	-	0.000	0.000	Merged-chr3-89188181-94
NR2803--MA0482.1.Gata4	chr19	9899583	9899593	+	0.000	0.000	Merged-chr19-9899505-60
NR1537--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR529--MA0766.1.GATA5	chr10	60305449	60305456	+	0.000	0.000	Merged-chr10-60305430-32
NR5625--MA1104.1.GATA6	chr9	72465981	72465993	+	0.000	0.000	Merged-chr9-72465991-47
NR2293--MA0036.3.GATA2	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR3822--MA0140.2.GATA1::TAL1	chr4	32425219	32425236	-	0.000	0.000	Merged-chr4-32425258-22
NR4868--MA0035.3.Gata1	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR4111--MA0766.1.GATA5	chr4	156022069	156022076	-	0.000	0.000	Merged-chr4-156022073-120
NR2248--MA0037.3.GATA3	chr16	76679372	76679379	-	0.000	0.000	Merged-chr16-76679194-37
NR4349--MA0140.2.GATA1::TAL1	chr5	124954989	124955006	-	0.000	0.000	Merged-chr5-124955042-61
NR4844--MA0482.1.Gata4	chr7	19940424	19940434	-	0.000	0.000	Merged-chr7-19940222-74
NR1348--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR5284--MA0482.1.Gata4	chr8	69206539	69206549	-	0.000	0.000	Merged-chr8-69206595-20
NR5463--MA1104.1.GATA6	chr9	13195296	13195308	+	0.000	0.000	Merged-chr9-13195404-8
NR2683--MA0766.1.GATA5	chr18	61479926	61479933	-	0.000	0.000	Merged-chr18-61480035-15
NR1232--MA1104.1.GATA6	chr12	65061130	65061142	-	0.000	0.000	Merged-chr12-65061172-1
NR5586--MA0140.2.GATA1::TAL1	chr9	61666292	61666309	+	0.000	0.000	Merged-chr9-61666327-39
NR4563--MA0035.3.Gata1	chr6	71980504	71980514	-	0.000	0.000	Merged-chr6-71980569-75
NR2012--MA0035.3.Gata1	chr15	62779102	62779112	+	0.000	0.000	Merged-chr15-62779143-25
NR2802--MA0140.2.GATA1::TAL1	chr19	8518521	8518538	+	0.000	0.000	Merged-chr19-8518636-102
