#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR3307--MA0002.2.RUNX1	chr16	91781433	91781443	+	0.000	0.000	Merged-chr16-91781524-1
NR4733--MA0002.2.RUNX1	chr2	156877905	156877915	+	0.000	0.000	Merged-chr2-156878033-50
NR7938--MA0684.1.RUNX3	chr9	32394804	32394813	-	0.000	0.000	Merged-chr9-32394945-22
NR3436--MA0684.1.RUNX3	chr17	21733926	21733935	+	0.000	0.000	Merged-chr17-21733799-41
NR5715--MA0002.2.RUNX1	chr4	128609991	128610001	-	0.000	0.000	Merged-chr4-128610042-53
NR1008--MA0002.2.RUNX1	chr10	98494497	98494507	-	0.000	0.000	Merged-chr10-98494547-28
NR7647--MA0002.2.RUNX1	chr8	72169509	72169519	-	0.000	0.000	Merged-chr8-72169499-55
NR5030--MA0002.2.RUNX1	chr3	84126137	84126147	-	0.000	0.000	Merged-chr3-84126096-28
NR575--MA0002.2.RUNX1	chr1	179728425	179728435	+	0.000	0.000	Merged-chr1-179728437-5
NR846--MA0002.2.RUNX1	chr10	63174536	63174546	+	0.000	0.000	Merged-chr10-63174505-8
NR5447--MA0511.2.RUNX2	chr4	41241127	41241135	+	0.000	0.000	Merged-chr4-41241074-39
NR8109--MA0511.2.RUNX2	chr9	79810696	79810704	+	0.000	0.000	Merged-chr9-79810670-36
NR7233--MA0002.2.RUNX1	chr7	105554416	105554426	-	0.000	0.000	Merged-chr7-105554530-56
NR1865--MA0684.1.RUNX3	chr12	115003321	115003330	+	0.000	0.000	Merged-chr12-115003436-23
NR7855--MA0511.2.RUNX2	chr8	127381459	127381467	+	0.000	0.000	Merged-chr8-127381511-17
NR3668--MA0002.2.RUNX1	chr17	83990855	83990865	+	0.000	0.000	Merged-chr17-83990876-14
NR703--MA0002.2.RUNX1	chr10	14034341	14034351	+	0.000	0.000	Merged-chr10-14034534-75
NR3624--MA0511.2.RUNX2	chr17	73815029	73815037	-	0.000	0.000	Merged-chr17-73814943-62
NR7485--MA0002.2.RUNX1	chr8	14965725	14965735	-	0.000	0.000	Merged-chr8-14965734-19
NR3131--MA0684.1.RUNX3	chr16	35485045	35485054	+	0.000	0.000	Merged-chr16-35485007-20
NR2814--MA0002.2.RUNX1	chr15	36562936	36562946	-	0.000	0.000	Merged-chr15-36562926-39
NR3402--MA0684.1.RUNX3	chr17	12205920	12205929	-	0.000	0.000	Merged-chr17-12205812-57
NR7441--MA0511.2.RUNX2	chr7	144074938	144074946	-	0.000	0.000	Merged-chr7-144074974-28
NR3254--MA0002.2.RUNX1	chr16	75983972	75983982	+	0.000	0.000	Merged-chr16-75984013-36
NR3525--MA0002.2.RUNX1	chr17	47171225	47171235	-	0.000	0.000	Merged-chr17-47171280-54
NR5285--MA0511.2.RUNX2	chr3	144411167	144411175	-	0.000	0.000	Merged-chr3-144411311-32
NR1098--MA0002.2.RUNX1	chr10	122200138	122200148	+	0.000	0.000	Merged-chr10-122200080-48
NR6631--MA0002.2.RUNX1	chr6	85355933	85355943	-	0.000	0.000	Merged-chr6-85356104-12
NR911--MA0511.2.RUNX2	chr10	80763645	80763653	+	0.000	0.000	Merged-chr10-80763655-40
NR5457--MA0002.2.RUNX1	chr4	43010283	43010293	+	0.000	0.000	Merged-chr4-43010376-54
NR1974--MA0684.1.RUNX3	chr13	22041261	22041270	-	0.000	0.000	Merged-chr13-22041216-55
NR3111--MA0002.2.RUNX1	chr16	24861252	24861262	+	0.000	0.000	Merged-chr16-24861472-7
NR541--MA0002.2.RUNX1	chr1	175631929	175631939	-	0.000	0.000	Merged-chr1-175631822-65
NR7964--MA0511.2.RUNX2	chr9	44094197	44094205	-	0.000	0.000	Merged-chr9-44094242-12
NR4603--MA0002.2.RUNX1	chr2	127270270	127270280	+	0.000	0.000	Merged-chr2-127270330-100
NR7389--MA0002.2.RUNX1	chr7	132749006	132749016	-	0.000	0.000	Merged-chr7-132748920-16
NR2923--MA0002.2.RUNX1	chr15	78594879	78594889	+	0.000	0.000	Merged-chr15-78594936-43
NR3511--MA0684.1.RUNX3	chr17	44121820	44121829	+	0.000	0.000	Merged-chr17-44121634-62
NR5043--MA0002.2.RUNX1	chr3	89714738	89714748	+	0.000	0.000	Merged-chr3-89714938-79
NR7074--MA0511.2.RUNX2	chr7	51879573	51879581	-	0.000	0.000	Merged-chr7-51879410-58
NR7180--MA0002.2.RUNX1	chr7	89712919	89712929	-	0.000	0.000	Merged-chr7-89712844-48
NR7597--MA0511.2.RUNX2	chr8	56476308	56476316	-	0.000	0.000	Merged-chr8-56476391-12
NR7868--MA0511.2.RUNX2	chr8	128504224	128504232	-	0.000	0.000	Merged-chr8-128504350-30
NR1606--MA0002.2.RUNX1	chr12	41331183	41331193	+	0.000	0.000	Merged-chr12-41331287-30
