#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR984--MA0036.3.GATA2	chr11	72550343	72550353	+	0.000	0.000	Merged-chr11-72550348-34
NR3155--MA0482.1.Gata4	chr2	31082841	31082851	-	0.000	0.000	Merged-chr2-31082849-41
NR671--MA0035.3.Gata1	chr10	82666661	82666671	+	0.000	0.000	Merged-chr10-82666640-30
NR1475--MA0482.1.Gata4	chr13	10019409	10019419	-	0.000	0.000	Merged-chr13-10019536-22
NR466--MA0035.3.Gata1	chr10	12614725	12614735	-	0.000	0.000	Merged-chr10-12614708-18
NR646--MA0766.1.GATA5	chr10	79417359	79417366	-	0.000	0.000	Merged-chr10-79417442-89
NR917--MA0766.1.GATA5	chr11	58948727	58948734	+	0.000	0.000	Merged-chr11-58948790-70
NR1131--MA0037.3.GATA3	chr11	105946775	105946782	-	0.000	0.000	Merged-chr11-105946795-5
NR5358--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR4188--MA0037.3.GATA3	chr5	36722519	36722526	+	0.000	0.000	Merged-chr5-36722614-37
NR2779--MA0037.3.GATA3	chr18	4292241	4292248	-	0.000	0.000	Merged-chr18-4292169-11
NR93--MA0482.1.Gata4	chr1	61402630	61402640	+	0.000	0.000	Merged-chr1-61402618-25
NR1008--MA0035.3.Gata1	chr11	82417271	82417281	+	0.000	0.000	Merged-chr11-82417240-10
NR5409--MA0036.3.GATA2	chr8	111644471	111644481	+	0.000	0.000	Merged-chr8-111644525-27
NR4985--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR4894--MA0766.1.GATA5	chr7	25848144	25848151	+	0.000	0.000	Merged-chr7-25848293-34
NR3443--MA1104.1.GATA6	chr2	148709026	148709038	+	0.000	0.000	Merged-chr2-148708928-1
NR873--MA1104.1.GATA6	chr11	30166377	30166389	+	0.000	0.000	Merged-chr11-30166468-16
NR4316--MA0037.3.GATA3	chr5	118069585	118069592	+	0.000	0.000	Merged-chr5-118069472-39
NR1543--MA0140.2.GATA1::TAL1	chr13	32692678	32692695	-	0.000	0.000	Merged-chr13-32692698-24
NR1829--MA1104.1.GATA6	chr13	117230484	117230496	-	0.000	0.000	Merged-chr13-117230467-15
NR5625--MA0140.2.GATA1::TAL1	chr9	61187265	61187282	+	0.000	0.000	Merged-chr9-61187199-16
NR5646--MA1104.1.GATA6	chr9	63785708	63785720	-	0.000	0.000	Merged-chr9-63785726-16
NR5077--MA0035.3.Gata1	chr7	109951589	109951599	-	0.000	0.000	Merged-chr7-109951636-55
NR161--MA0035.3.Gata1	chr1	91086545	91086555	-	0.000	0.000	Merged-chr1-91086368-53
NR1507--MA0482.1.Gata4	chr13	13559206	13559216	+	0.000	0.000	Merged-chr13-13559096-31
NR2585--MA0036.3.GATA2	chr17	29193400	29193410	-	0.000	0.000	Merged-chr17-29193494-23
NR331--MA0036.3.GATA2	chr1	161693531	161693541	-	0.000	0.000	Merged-chr1-161693596-37
NR1488--MA0482.1.Gata4	chr13	12412199	12412209	-	0.000	0.000	Merged-chr13-12412239-11
NR4004--MA0140.2.GATA1::TAL1	chr4	119232759	119232776	-	0.000	0.000	Merged-chr4-119232903-70
NR3229--MA0766.1.GATA5	chr2	60867101	60867108	+	0.000	0.000	Merged-chr2-60866977-3
NR3219--MA0036.3.GATA2	chr2	60328749	60328759	+	0.000	0.000	Merged-chr2-60328757-33
NR5847--MA0482.1.Gata4	chrX	37110341	37110351	-	0.000	0.000	Merged-chrX-37110282-56
NR36--MA0140.2.GATA1::TAL1	chr1	36065091	36065108	-	0.000	0.000	Merged-chr1-36065053-38
NR1524--MA1104.1.GATA6	chr13	24416129	24416141	-	0.000	0.000	Merged-chr13-24416141-118
NR4630--MA1104.1.GATA6	chr6	82872533	82872545	+	0.000	0.000	Merged-chr6-82872396-48
NR1872--MA0037.3.GATA3	chr14	20938526	20938533	+	0.000	0.000	Merged-chr14-20938430-1
NR4897--MA0036.3.GATA2	chr7	27357772	27357782	-	0.000	0.000	Merged-chr7-27357694-29
NR4974--MA0482.1.Gata4	chr7	75686562	75686572	+	0.000	0.000	Merged-chr7-75686478-55
NR1478--MA0035.3.Gata1	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR835--MA0482.1.Gata4	chr11	8524117	8524127	+	0.000	0.000	Merged-chr11-8524008-23
NR2675--MA0482.1.Gata4	chr17	56291310	56291320	+	0.000	0.000	Merged-chr17-56291357-21
NR354--MA0766.1.GATA5	chr1	165985897	165985904	+	0.000	0.000	Merged-chr1-165985990-54
NR615--MA0036.3.GATA2	chr10	62665830	62665840	-	0.000	0.000	Merged-chr10-62665963-7
NR1029--MA0036.3.GATA2	chr11	85454136	85454146	-	0.000	0.000	Merged-chr11-85454065-23
NR2440--MA1104.1.GATA6	chr16	89849286	89849298	+	0.000	0.000	Merged-chr16-89849155-62
NR5199--MA0035.3.Gata1	chr7	140947105	140947115	+	0.000	0.000	Merged-chr7-140947277-49
NR3394--MA0140.2.GATA1::TAL1	chr2	128366007	128366024	-	0.000	0.000	Merged-chr2-128365920-27
NR519--MA0036.3.GATA2	chr10	26879262	26879272	-	0.000	0.000	Merged-chr10-26879299-36
NR325--MA0482.1.Gata4	chr1	161309589	161309599	+	0.000	0.000	Merged-chr1-161309457-43
NR4525--MA0766.1.GATA5	chr6	37455686	37455693	-	0.000	0.000	Merged-chr6-37455816-24
NR2835--MA0036.3.GATA2	chr18	50014637	50014647	-	0.000	0.000	Merged-chr18-50014584-52
NR577--MA0482.1.Gata4	chr10	58354731	58354741	+	0.000	0.000	Merged-chr10-58354769-20
NR4844--MA0482.1.Gata4	chr6	143954595	143954605	-	0.000	0.000	Merged-chr6-143954525-20
NR5192--MA1104.1.GATA6	chr7	139861751	139861763	+	0.000	0.000	Merged-chr7-139861613-5
NR5079--MA0482.1.Gata4	chr7	110265934	110265944	-	0.000	0.000	Merged-chr7-110265938-33
NR434--MA0482.1.Gata4	chr1	191102864	191102874	+	0.000	0.000	Merged-chr1-191102990-43
NR2944--MA0036.3.GATA2	chr18	89206488	89206498	-	0.000	0.000	Merged-chr18-89206335-76
NR2749--MA0766.1.GATA5	chr17	86038433	86038440	+	0.000	0.000	Merged-chr17-86038391-20
NR4977--MA0035.3.Gata1	chr7	75686561	75686571	+	0.000	0.000	Merged-chr7-75686478-55
NR1375--MA0037.3.GATA3	chr12	106658548	106658555	-	0.000	0.000	Merged-chr12-106658505-23
NR2155--MA0035.3.Gata1	chr15	37932657	37932667	-	0.000	0.000	Merged-chr15-37932559-17
NR2628--MA0037.3.GATA3	chr17	36020628	36020635	+	0.000	0.000	Merged-chr17-36020745-74
NR838--MA0035.3.Gata1	chr11	8524116	8524126	+	0.000	0.000	Merged-chr11-8524008-23
NR4682--MA0482.1.Gata4	chr6	106981370	106981380	-	0.000	0.000	Merged-chr6-106981432-3
NR5188--MA0482.1.Gata4	chr7	138840712	138840722	-	0.000	0.000	Merged-chr7-138840776-14
NR3849--MA0037.3.GATA3	chr4	43835053	43835060	+	0.000	0.000	Merged-chr4-43834935-30
NR2696--MA0140.2.GATA1::TAL1	chr17	71192188	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR4191--MA0036.3.GATA2	chr5	36722517	36722527	-	0.000	0.000	Merged-chr5-36722614-37
NR2782--MA0036.3.GATA2	chr18	4292240	4292250	+	0.000	0.000	Merged-chr18-4292169-11
NR4810--MA0482.1.Gata4	chr6	136491384	136491394	-	0.000	0.000	Merged-chr6-136491563-93
NR128--MA0766.1.GATA5	chr1	79752490	79752497	+	0.000	0.000	Merged-chr1-79752241-78
NR5316--MA0482.1.Gata4	chr8	69920185	69920195	+	0.000	0.000	Merged-chr8-69920362-48
NR2806--MA0035.3.Gata1	chr18	34783578	34783588	+	0.000	0.000	Merged-chr18-34783714-45
NR5909--MA0037.3.GATA3	chrX	159693281	159693288	+	0.000	0.000	Merged-chrX-159693250-17
NR718--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
