#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR3036--MA0002.2.RUNX1	chr16	17695009	17695019	+	0.000	0.000	Merged-chr16-17695007-34
NR3307--MA0002.2.RUNX1	chr16	95999472	95999482	-	0.000	0.000	Merged-chr16-95999409-48
NR3592--MA0511.2.RUNX2	chr17	57183081	57183089	-	0.000	0.000	Merged-chr17-57183114-28
NR1627--MA0002.2.RUNX1	chr12	35563052	35563062	-	0.000	0.000	Merged-chr12-35563051-22
NR7475--MA0511.2.RUNX2	chr8	111964452	111964460	-	0.000	0.000	Merged-chr8-111964548-16
NR5030--MA0002.2.RUNX1	chr3	123174373	123174383	-	0.000	0.000	Merged-chr3-123174284-65
NR7918--MA0002.2.RUNX1	chr9	101249834	101249844	+	0.000	0.000	Merged-chr9-101249791-43
NR1071--MA0684.1.RUNX3	chr10	128991150	128991159	-	0.000	0.000	Merged-chr10-128991197-23
NR5652--MA0511.2.RUNX2	chr4	150808645	150808653	-	0.000	0.000	Merged-chr4-150808794-106
NR1736--MA0002.2.RUNX1	chr12	84361962	84361972	-	0.000	0.000	Merged-chr12-84361872-57
NR7110--MA0684.1.RUNX3	chr7	132686646	132686655	+	0.000	0.000	Merged-chr7-132686748-28
NR8109--MA0511.2.RUNX2	chrX	50490666	50490674	+	0.000	0.000	Merged-chrX-50490696-9
NR2891--MA0002.2.RUNX1	chr15	79062909	79062919	-	0.000	0.000	Merged-chr15-79062914-54
NR7899--MA0002.2.RUNX1	chr9	96714465	96714475	+	0.000	0.000	Merged-chr9-96714307-38
NR7028--MA0002.2.RUNX1	chr7	114356567	114356577	+	0.000	0.000	Merged-chr7-114356592-29
NR7855--MA0511.2.RUNX2	chr9	88273496	88273504	+	0.000	0.000	Merged-chr9-88273504-34
NR5033--MA0511.2.RUNX2	chr3	123192399	123192407	+	0.000	0.000	Merged-chr3-123192207-28
NR7362--MA0684.1.RUNX3	chr8	78975205	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR3624--MA0511.2.RUNX2	chr17	65885039	65885047	+	0.000	0.000	Merged-chr17-65885183-87
NR2814--MA0002.2.RUNX1	chr15	55520851	55520861	+	0.000	0.000	Merged-chr15-55520889-48
NR8139--MA0684.1.RUNX3	chrX	71378634	71378643	-	0.000	0.000	Merged-chrX-71378738-26
NR6188--MA0684.1.RUNX3	chr5	143077514	143077523	+	0.000	0.000	Merged-chr5-143077525-16
NR1517--MA0684.1.RUNX3	chr11	115231721	115231730	+	0.000	0.000	Merged-chr11-115231746-46
NR6360--MA0002.2.RUNX1	chr6	65141050	65141060	+	0.000	0.000	Merged-chr6-65140933-63
NR5556--MA0511.2.RUNX2	chr4	136106913	136106921	+	0.000	0.000	Merged-chr4-136106995-34
NR6902--MA0002.2.RUNX1	chr7	78693141	78693151	-	0.000	0.000	Merged-chr7-78693122-18
NR4951--MA0002.2.RUNX1	chr3	99141345	99141355	-	0.000	0.000	Merged-chr3-99141311-74
NR7137--MA0002.2.RUNX1	chr7	139197238	139197248	-	0.000	0.000	Merged-chr7-139197222-17
NR270--MA0002.2.RUNX1	chr1	98022055	98022065	-	0.000	0.000	Merged-chr1-98022036-10
