#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR170--MA0508.2.PRDM1	chr10	57755410	57755419	-	0.000	0.000	Merged-chr10-57755498-21
NR441--MA0508.2.PRDM1	chr13	75797742	75797751	-	0.000	0.000	Merged-chr13-75797907-63
NR712--MA0508.2.PRDM1	chr17	22817919	22817928	+	0.000	0.000	Merged-chr17-22817720-41
NR1649--MA0508.2.PRDM1	chr9	90114240	90114249	+	0.000	0.000	Merged-chr9-90114273-148
NR821--MA0508.2.PRDM1	chr19	4332933	4332942	+	0.000	0.000	Merged-chr19-4332907-33
NR930--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR454--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR725--MA0508.2.PRDM1	chr17	32551255	32551264	+	0.000	0.000	Merged-chr17-32551219-34
NR1139--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR977--MA0508.2.PRDM1	chr2	144646519	144646528	-	0.000	0.000	Merged-chr2-144646502-21
NR1596--MA0508.2.PRDM1	chr8	122533265	122533274	+	0.000	0.000	Merged-chr8-122533289-14
NR28--MA0508.2.PRDM1	chr1	75533541	75533550	+	0.000	0.000	Merged-chr1-75533497-24
NR292--MA0508.2.PRDM1	chr11	100574826	100574835	+	0.000	0.000	Merged-chr11-100574858-115
NR1182--MA0508.2.PRDM1	chr4	124766701	124766710	-	0.000	0.000	Merged-chr4-124766881-14
NR1357--MA0508.2.PRDM1	chr6	87590836	87590845	+	0.000	0.000	Merged-chr6-87590737-28
NR1195--MA0508.2.PRDM1	chr4	138222591	138222600	-	0.000	0.000	Merged-chr4-138222577-29
NR162--MA0508.2.PRDM1	chr10	44381545	44381554	-	0.000	0.000	Merged-chr10-44381463-1
NR890--MA0508.2.PRDM1	chr2	31108417	31108426	-	0.000	0.000	Merged-chr2-31108373-37
NR685--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR956--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR1227--MA0508.2.PRDM1	chr5	30155984	30155993	-	0.000	0.000	Merged-chr5-30156013-4
NR651--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR717--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR1065--MA0508.2.PRDM1	chr3	102719850	102719859	+	0.000	0.000	Merged-chr3-102719732-28
NR1336--MA0508.2.PRDM1	chr6	50416936	50416945	+	0.000	0.000	Merged-chr6-50417055-62
NR1588--MA0508.2.PRDM1	chr8	115410307	115410316	-	0.000	0.000	Merged-chr8-115410237-10
NR760--MA0508.2.PRDM1	chr18	6411126	6411135	+	0.000	0.000	Merged-chr18-6411189-24
NR826--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR141--MA0508.2.PRDM1	chr10	18064724	18064733	-	0.000	0.000	Merged-chr10-18064784-37
NR412--MA0508.2.PRDM1	chr13	21579906	21579915	-	0.000	0.000	Merged-chr13-21579773-26
NR250--MA0508.2.PRDM1	chr11	32324609	32324618	-	0.000	0.000	Merged-chr11-32324772-27
NR1458--MA0508.2.PRDM1	chr7	80576044	80576053	-	0.000	0.000	Merged-chr7-80576009-57
NR425--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
NR1315--MA0508.2.PRDM1	chr5	149599472	149599481	-	0.000	0.000	Merged-chr5-149599468-27
NR1296--MA0508.2.PRDM1	chr5	124497027	124497036	+	0.000	0.000	Merged-chr5-124497096-41
NR1567--MA0508.2.PRDM1	chr8	84601590	84601599	-	0.000	0.000	Merged-chr8-84601669-24
NR263--MA0508.2.PRDM1	chr11	69980689	69980698	+	0.000	0.000	Merged-chr11-69980688-100
NR914--MA0508.2.PRDM1	chr2	69043581	69043590	-	0.000	0.000	Merged-chr2-69043604-35
NR500--MA0508.2.PRDM1	chr14	33303609	33303618	-	0.000	0.000	Merged-chr14-33303599-44
NR513--MA0508.2.PRDM1	chr14	47476898	47476907	+	0.000	0.000	Merged-chr14-47476839-9
NR351--MA0508.2.PRDM1	chr12	84451301	84451310	-	0.000	0.000	Merged-chr12-84451236-79
NR1036--MA0508.2.PRDM1	chr3	59260876	59260885	-	0.000	0.000	Merged-chr3-59260932-51
NR68--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR1288--MA0508.2.PRDM1	chr5	120116547	120116556	-	0.000	0.000	Merged-chr5-120116585-62
NR731--MA0508.2.PRDM1	chr17	36836988	36836997	+	0.000	0.000	Merged-chr17-36836894-102
NR526--MA0508.2.PRDM1	chr14	62873031	62873040	+	0.000	0.000	Merged-chr14-62873140-26
NR887--MA0508.2.PRDM1	chr2	26235387	26235396	+	0.000	0.000	Merged-chr2-26235322-12
NR330--MA0508.2.PRDM1	chr12	32017854	32017863	+	0.000	0.000	Merged-chr12-32017895-23
NR648--MA0508.2.PRDM1	chr16	23269677	23269686	-	0.000	0.000	Merged-chr16-23269515-23
NR1028--MA0508.2.PRDM1	chr3	32438008	32438017	-	0.000	0.000	Merged-chr3-32438051-51
NR595--MA0508.2.PRDM1	chr15	61983452	61983461	+	0.000	0.000	Merged-chr15-61983458-31
NR181--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR499--MA0508.2.PRDM1	chr14	31640865	31640874	+	0.000	0.000	Merged-chr14-31640983-59
NR104--MA0508.2.PRDM1	chr1	171995425	171995434	-	0.000	0.000	Merged-chr1-171995343-37
NR194--MA0508.2.PRDM1	chr10	88826719	88826728	-	0.000	0.000	Merged-chr10-88826786-54
NR988--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR369--MA0508.2.PRDM1	chr12	102725355	102725364	+	0.000	0.000	Merged-chr12-102725313-9
NR335--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR858--MA0508.2.PRDM1	chr19	55253871	55253880	+	0.000	0.000	Merged-chr19-55253983-137
NR967--MA0508.2.PRDM1	chr2	131903230	131903239	-	0.000	0.000	Merged-chr2-131903153-34
NR282--MA0508.2.PRDM1	chr11	88993620	88993629	-	0.000	0.000	Merged-chr11-88993773-46
NR391--MA0508.2.PRDM1	chr12	115848086	115848095	-	0.000	0.000	Merged-chr12-115847969-36
NR728--MA0508.2.PRDM1	chr17	35068708	35068717	+	0.000	0.000	Merged-chr17-35068738-10
NR295--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR707--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR131--MA0508.2.PRDM1	chr1	193273460	193273469	+	0.000	0.000	Merged-chr1-193273386-37
NR383--MA0508.2.PRDM1	chr12	114292882	114292891	+	0.000	0.000	Merged-chr12-114293066-2
NR178--MA0508.2.PRDM1	chr10	68199556	68199565	-	0.000	0.000	Merged-chr10-68199721-19
NR287--MA0508.2.PRDM1	chr11	96867278	96867287	-	0.000	0.000	Merged-chr11-96867396-4
NR144--MA0508.2.PRDM1	chr10	19530182	19530191	-	0.000	0.000	Merged-chr10-19530154-52
NR415--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR667--MA0508.2.PRDM1	chr16	55551064	55551073	-	0.000	0.000	Merged-chr16-55551053-37
NR157--MA0508.2.PRDM1	chr10	40212569	40212578	+	0.000	0.000	Merged-chr10-40212600-39
NR266--MA0508.2.PRDM1	chr11	70789449	70789458	-	0.000	0.000	Merged-chr11-70789509-26
NR789--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR279--MA0508.2.PRDM1	chr11	86544930	86544939	-	0.000	0.000	Merged-chr11-86544801-80
NR136--MA0508.2.PRDM1	chr10	8056067	8056076	+	0.000	0.000	Merged-chr10-8056065-1
NR407--MA0508.2.PRDM1	chr13	19219698	19219707	+	0.000	0.000	Merged-chr13-19219739-41
NR245--MA0508.2.PRDM1	chr11	20477808	20477817	+	0.000	0.000	Merged-chr11-20477652-51
NR258--MA0508.2.PRDM1	chr11	60305833	60305842	+	0.000	0.000	Merged-chr11-60305750-27
NR529--MA0508.2.PRDM1	chr14	65806100	65806109	+	0.000	0.000	Merged-chr14-65806099-56
NR128--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR489--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR346--MA0508.2.PRDM1	chr12	80014479	80014488	+	0.000	0.000	Merged-chr12-80014569-41
NR1680--MA0508.2.PRDM1	chrX	36989492	36989501	-	0.000	0.000	Merged-chrX-36989513-70
NR1693--MA0508.2.PRDM1	chrX	100476535	100476544	-	0.000	0.000	Merged-chrX-100476611-55
NR1454--MA0508.2.PRDM1	chr7	75821666	75821675	+	0.000	0.000	Merged-chr7-75821795-19
NR1311--MA0508.2.PRDM1	chr5	148419286	148419295	+	0.000	0.000	Merged-chr5-148419241-23
NR910--MA0508.2.PRDM1	chr2	62623231	62623240	-	0.000	0.000	Merged-chr2-62623156-23
NR1271--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR1542--MA0508.2.PRDM1	chr8	34686660	34686669	-	0.000	0.000	Merged-chr8-34686570-26
NR189--MA0508.2.PRDM1	chr10	82778359	82778368	+	0.000	0.000	Merged-chr10-82778212-17
NR1032--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR1698--MA0508.2.PRDM1	chrX	106602809	106602818	-	0.000	0.000	Merged-chrX-106602991-38
NR30--MA0508.2.PRDM1	chr1	80637467	80637476	+	0.000	0.000	Merged-chr1-80637446-57
