#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1832--MA0463.1.Bcl6	chr9	53341278	53341291	+	0.000	0.000	Merged-chr9-53341165-33
NR1542--MA0731.1.BCL6B	chr6	117917773	117917789	-	0.000	0.000	Merged-chr6-117917768-1
NR1794--MA0731.1.BCL6B	chr8	123287619	123287635	+	0.000	0.000	Merged-chr8-123287508-25
NR1398--MA0463.1.Bcl6	chr5	34637166	34637179	+	0.000	0.000	Merged-chr5-34637135-1
NR1725--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR936--MA0463.1.Bcl6	chr19	4099381	4099394	+	0.000	0.000	Merged-chr19-4099401-31
NR30--MA0731.1.BCL6B	chr1	52012640	52012656	+	0.000	0.000	Merged-chr1-52012625-13
NR166--MA0463.1.Bcl6	chr1	193576010	193576023	-	0.000	0.000	Merged-chr1-193576113-28
NR902--MA0731.1.BCL6B	chr18	55692610	55692626	+	0.000	0.000	Merged-chr18-55692856-31
NR1521--MA0731.1.BCL6B	chr6	87997936	87997952	-	0.000	0.000	Merged-chr6-87998120-21
NR708--MA0463.1.Bcl6	chr15	93519406	93519419	+	0.000	0.000	Merged-chr15-93519280-70
NR1197--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR1412--MA0463.1.Bcl6	chr5	76183673	76183686	-	0.000	0.000	Merged-chr5-76183772-3
NR838--MA0463.1.Bcl6	chr17	52150082	52150095	+	0.000	0.000	Merged-chr17-52149947-112
NR623--MA0463.1.Bcl6	chr14	72887683	72887696	-	0.000	0.000	Merged-chr14-72887877-24
NR610--MA0731.1.BCL6B	chr14	62879606	62879622	-	0.000	0.000	Merged-chr14-62879632-33
NR1524--MA0463.1.Bcl6	chr6	91576203	91576216	+	0.000	0.000	Merged-chr6-91576137-19
NR744--MA0463.1.Bcl6	chr16	33704395	33704408	-	0.000	0.000	Merged-chr16-33704472-6
NR1799--MA0731.1.BCL6B	chr8	125725704	125725720	-	0.000	0.000	Merged-chr8-125725496-61
NR856--MA0463.1.Bcl6	chr17	66065199	66065212	+	0.000	0.000	Merged-chr17-66065343-15
NR516--MA0463.1.Bcl6	chr13	63223659	63223672	-	0.000	0.000	Merged-chr13-63223423-77
NR1146--MA0731.1.BCL6B	chr3	68494049	68494065	-	0.000	0.000	Merged-chr3-68493991-26
NR1314--MA0463.1.Bcl6	chr4	119223828	119223841	-	0.000	0.000	Merged-chr4-119223905-18
NR570--MA0731.1.BCL6B	chr14	7989485	7989501	+	0.000	0.000	Merged-chr14-7989613-33
NR1364--MA0731.1.BCL6B	chr4	156008434	156008450	-	0.000	0.000	Merged-chr4-156008555-53
NR1332--MA0463.1.Bcl6	chr4	133620639	133620652	-	0.000	0.000	Merged-chr4-133620771-57
NR1744--MA0731.1.BCL6B	chr8	46210877	46210893	+	0.000	0.000	Merged-chr8-46210944-80
NR1539--MA0731.1.BCL6B	chr6	115677874	115677890	-	0.000	0.000	Merged-chr6-115677836-38
NR1565--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR1125--MA0731.1.BCL6B	chr3	21809898	21809914	-	0.000	0.000	Merged-chr3-21809864-17
NR776--MA0463.1.Bcl6	chr16	76310959	76310972	+	0.000	0.000	Merged-chr16-76310830-49
NR692--MA0731.1.BCL6B	chr15	78448054	78448070	+	0.000	0.000	Merged-chr15-78448224-47
NR1216--MA0463.1.Bcl6	chr3	137611265	137611278	+	0.000	0.000	Merged-chr3-137611144-106
NR1480--MA0463.1.Bcl6	chr6	30401863	30401876	+	0.000	0.000	Merged-chr6-30401803-70
NR548--MA0463.1.Bcl6	chr13	104287242	104287255	-	0.000	0.000	Merged-chr13-104287389-4
NR976--MA0731.1.BCL6B	chr19	58358260	58358276	-	0.000	0.000	Merged-chr19-58358384-21
NR1181--MA0731.1.BCL6B	chr3	109747806	109747822	-	0.000	0.000	Merged-chr3-109747952-27
NR454--MA0463.1.Bcl6	chr12	108635767	108635780	-	0.000	0.000	Merged-chr12-108635835-63
NR1252--MA0463.1.Bcl6	chr4	35130578	35130591	+	0.000	0.000	Merged-chr4-35130648-17
NR1627--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR88--MA0463.1.Bcl6	chr1	136608638	136608651	-	0.000	0.000	Merged-chr1-136608717-56
NR161--MA0731.1.BCL6B	chr1	191499846	191499862	+	0.000	0.000	Merged-chr1-191499977-31
NR684--MA0731.1.BCL6B	chr15	64031801	64031817	-	0.000	0.000	Merged-chr15-64031961-34
NR812--MA0731.1.BCL6B	chr17	25894184	25894200	-	0.000	0.000	Merged-chr17-25894203-16
NR1160--MA0731.1.BCL6B	chr3	95434408	95434424	-	0.000	0.000	Merged-chr3-95434415-68
NR468--MA0463.1.Bcl6	chr13	5757343	5757356	+	0.000	0.000	Merged-chr13-5757363-53
NR253--MA0463.1.Bcl6	chr10	117640118	117640131	+	0.000	0.000	Merged-chr10-117640177-35
NR1444--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR374--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR520--MA0731.1.BCL6B	chr13	67399854	67399870	-	0.000	0.000	Merged-chr13-67399691-60
NR1499--MA0463.1.Bcl6	chr6	54069114	54069127	+	0.000	0.000	Merged-chr6-54069236-28
NR146--MA0463.1.Bcl6	chr1	180888723	180888736	-	0.000	0.000	Merged-chr1-180888660-21
NR881--MA0731.1.BCL6B	chr18	15321111	15321127	+	0.000	0.000	Merged-chr18-15321000-14
NR676--MA0731.1.BCL6B	chr15	55106667	55106683	-	0.000	0.000	Merged-chr15-55106704-24
NR1566--MA0731.1.BCL6B	chr6	127617401	127617417	-	0.000	0.000	Merged-chr6-127617353-34
NR1837--MA0731.1.BCL6B	chr9	61664154	61664170	+	0.000	0.000	Merged-chr9-61664278-40
NR533--MA0731.1.BCL6B	chr13	85498889	85498905	+	0.000	0.000	Merged-chr13-85498931-37
NR804--MA0731.1.BCL6B	chr17	12205948	12205964	-	0.000	0.000	Merged-chr17-12205812-57
NR831--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR1056--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR1938--MA0463.1.Bcl6	chrX	159697395	159697408	-	0.000	0.000	Merged-chrX-159697100-67
NR371--MA0731.1.BCL6B	chr11	106958393	106958409	-	0.000	0.000	Merged-chr11-106958567-20
NR1289--MA0463.1.Bcl6	chr4	88550469	88550482	+	0.000	0.000	Merged-chr4-88550447-50
NR132--MA0731.1.BCL6B	chr1	171114077	171114093	+	0.000	0.000	Merged-chr1-171114011-38
NR1522--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR733--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR67--MA0731.1.BCL6B	chr1	91080498	91080514	+	0.000	0.000	Merged-chr1-91080419-21
NR1558--MA0731.1.BCL6B	chr6	124415243	124415259	-	0.000	0.000	Merged-chr6-124415241-151
NR1144--MA0731.1.BCL6B	chr3	67573297	67573313	+	0.000	0.000	Merged-chr3-67573176-41
NR33--MA0731.1.BCL6B	chr1	52650321	52650337	-	0.000	0.000	Merged-chr1-52650227-37
NR1319--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR975--MA0463.1.Bcl6	chr19	58358263	58358276	+	0.000	0.000	Merged-chr19-58358384-21
NR27--MA0463.1.Bcl6	chr1	43899091	43899104	+	0.000	0.000	Merged-chr1-43899142-19
NR1424--MA0463.1.Bcl6	chr5	96919191	96919204	-	0.000	0.000	Merged-chr5-96919308-24
NR647--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR635--MA0463.1.Bcl6	chr14	78612141	78612154	-	0.000	0.000	Merged-chr14-78612334-35
NR1894--MA0463.1.Bcl6	chr9	115387588	115387601	+	0.000	0.000	Merged-chr9-115387656-46
NR1536--MA0463.1.Bcl6	chr6	108875994	108876007	+	0.000	0.000	Merged-chr6-108876104-51
NR1789--MA0731.1.BCL6B	chr8	115727094	115727110	+	0.000	0.000	Merged-chr8-115726918-55
NR541--MA0463.1.Bcl6	chr13	99781060	99781073	-	0.000	0.000	Merged-chr13-99781144-21
NR747--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR1648--MA0463.1.Bcl6	chr7	66197354	66197367	-	0.000	0.000	Merged-chr7-66197224-72
NR342--MA0731.1.BCL6B	chr11	82870883	82870899	-	0.000	0.000	Merged-chr11-82870965-86
NR1279--MA0731.1.BCL6B	chr4	63668514	63668530	+	0.000	0.000	Merged-chr4-63668506-36
NR1460--MA0463.1.Bcl6	chr5	135134247	135134260	+	0.000	0.000	Merged-chr5-135134293-53
NR1666--MA0463.1.Bcl6	chr7	89499881	89499894	-	0.000	0.000	Merged-chr7-89500080-22
NR517--MA0731.1.BCL6B	chr13	63340074	63340090	-	0.000	0.000	Merged-chr13-63340215-26
NR313--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR1572--MA0463.1.Bcl6	chr6	134035717	134035730	-	0.000	0.000	Merged-chr6-134035696-155
NR331--MA0463.1.Bcl6	chr11	80499937	80499950	+	0.000	0.000	Merged-chr11-80499798-1
NR68--MA0463.1.Bcl6	chr1	93668795	93668808	+	0.000	0.000	Merged-chr1-93668667-3
NR1241--MA0463.1.Bcl6	chr4	9066621	9066634	+	0.000	0.000	Merged-chr4-9066622-31
NR1362--MA0463.1.Bcl6	chr4	155761221	155761234	-	0.000	0.000	Merged-chr4-155761063-52
NR714--MA0731.1.BCL6B	chr15	103307213	103307229	+	0.000	0.000	Merged-chr15-103307357-25
NR1128--MA0731.1.BCL6B	chr3	30602087	30602103	+	0.000	0.000	Merged-chr3-30601989-42
NR439--MA0463.1.Bcl6	chr12	86687071	86687084	-	0.000	0.000	Merged-chr12-86687051-28
NR1801--MA0463.1.Bcl6	chr8	128506209	128506222	+	0.000	0.000	Merged-chr8-128506100-25
NR1489--MA0731.1.BCL6B	chr6	38346148	38346164	+	0.000	0.000	Merged-chr6-38346040-40
NR1931--MA0463.1.Bcl6	chrX	136245331	136245344	-	0.000	0.000	Merged-chrX-136245250-86
NR217--MA0731.1.BCL6B	chr10	77984605	77984621	-	0.000	0.000	Merged-chr10-77984793-34
NR381--MA0463.1.Bcl6	chr11	117081681	117081694	-	0.000	0.000	Merged-chr11-117081831-19
NR1488--MA0463.1.Bcl6	chr6	38346151	38346164	+	0.000	0.000	Merged-chr6-38346040-40
NR1394--MA0463.1.Bcl6	chr5	32714042	32714055	+	0.000	0.000	Merged-chr5-32713886-83
NR802--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR706--MA0731.1.BCL6B	chr15	91587764	91587780	-	0.000	0.000	Merged-chr15-91587669-21
NR1148--MA0463.1.Bcl6	chr3	71564110	71564123	-	0.000	0.000	Merged-chr3-71564100-40
NR153--MA0463.1.Bcl6	chr1	184277294	184277307	+	0.000	0.000	Merged-chr1-184277240-19
NR273--MA0731.1.BCL6B	chr11	4373194	4373210	-	0.000	0.000	Merged-chr11-4373215-8
NR382--MA0731.1.BCL6B	chr11	117952347	117952363	+	0.000	0.000	Merged-chr11-117952385-45
NR283--MA0463.1.Bcl6	chr11	16844558	16844571	+	0.000	0.000	Merged-chr11-16844385-25
NR950--MA0463.1.Bcl6	chr19	18591399	18591412	-	0.000	0.000	Merged-chr19-18591291-34
