#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR7396--MA0684.1.RUNX3	chr6	89272954	89272963	+	0.000	0.000	Merged-chr6-89272769-1
NR3707--MA0684.1.RUNX3	chr16	55770519	55770528	-	0.000	0.000	Merged-chr16-55770435-39
NR8550--MA0002.2.RUNX1	chr8	110813252	110813262	-	0.000	0.000	Merged-chr8-110813191-16
NR1879--MA0002.2.RUNX1	chr12	32006765	32006775	+	0.000	0.000	Merged-chr12-32006631-21
NR5967--MA0002.2.RUNX1	chr3	138877038	138877048	-	0.000	0.000	Merged-chr3-138877299-79
NR723--MA0684.1.RUNX3	chr10	19209818	19209827	-	0.000	0.000	Merged-chr10-19209945-33
NR1194--MA0002.2.RUNX1	chr10	122748709	122748719	+	0.000	0.000	Merged-chr10-122748643-28
NR802--MA0511.2.RUNX2	chr10	39600324	39600332	+	0.000	0.000	Merged-chr10-39600436-54
NR3274--MA0684.1.RUNX3	chr15	74935318	74935327	+	0.000	0.000	Merged-chr15-74935411-23
NR5077--MA0002.2.RUNX1	chr2	59053554	59053564	-	0.000	0.000	Merged-chr2-59053724-29
NR1865--MA0684.1.RUNX3	chr12	25270161	25270170	+	0.000	0.000	Merged-chr12-25270049-10
NR432--MA0002.2.RUNX1	chr1	153058246	153058256	+	0.000	0.000	Merged-chr1-153058312-17
NR1117--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR7904--MA0684.1.RUNX3	chr7	67911936	67911945	+	0.000	0.000	Merged-chr7-67912081-16
NR26--MA0684.1.RUNX3	chr1	21870693	21870702	-	0.000	0.000	Merged-chr1-21870806-15
NR3131--MA0684.1.RUNX3	chr15	36214900	36214909	-	0.000	0.000	Merged-chr15-36214970-54
NR1246--MA0684.1.RUNX3	chr11	4506625	4506634	+	0.000	0.000	Merged-chr11-4506645-22
NR5827--MA0511.2.RUNX2	chr3	106996465	106996473	+	0.000	0.000	Merged-chr3-106996369-21
NR5334--MA0684.1.RUNX3	chr2	128400509	128400518	+	0.000	0.000	Merged-chr2-128400561-8
NR5043--MA0002.2.RUNX1	chr2	44166932	44166942	-	0.000	0.000	Merged-chr2-44166880-20
NR5314--MA0002.2.RUNX1	chr2	127587255	127587265	+	0.000	0.000	Merged-chr2-127587331-50
NR5109--MA0002.2.RUNX1	chr2	61492144	61492154	+	0.000	0.000	Merged-chr2-61492330-26
NR5566--MA0002.2.RUNX1	chr3	14887326	14887336	+	0.000	0.000	Merged-chr3-14887466-3
NR650--MA0002.2.RUNX1	chr1	192090993	192091003	-	0.000	0.000	Merged-chr1-192091164-6
NR7202--MA0511.2.RUNX2	chr6	28480199	28480207	+	0.000	0.000	Merged-chr6-28480250-52
NR7580--MA0684.1.RUNX3	chr6	129598205	129598214	+	0.000	0.000	Merged-chr6-129598126-11
NR4441--MA0002.2.RUNX1	chr18	61571011	61571021	-	0.000	0.000	Merged-chr18-61571068-18
NR2490--MA0002.2.RUNX1	chr13	67637932	67637942	-	0.000	0.000	Merged-chr13-67637650-70
NR5695--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR8086--MA0684.1.RUNX3	chr7	114082291	114082300	-	0.000	0.000	Merged-chr7-114082253-23
NR7769--MA0002.2.RUNX1	chr7	19871221	19871231	-	0.000	0.000	Merged-chr7-19871294-33
NR5423--MA0002.2.RUNX1	chr2	155553338	155553348	-	0.000	0.000	Merged-chr2-155553198-41
NR697--MA0002.2.RUNX1	chr10	13967574	13967584	-	0.000	0.000	Merged-chr10-13967586-131
NR7725--MA0511.2.RUNX2	chr6	146776792	146776800	-	0.000	0.000	Merged-chr6-146776808-33
NR5774--MA0511.2.RUNX2	chr3	96570750	96570758	+	0.000	0.000	Merged-chr3-96570858-20
NR5823--MA0684.1.RUNX3	chr3	105900027	105900036	+	0.000	0.000	Merged-chr3-105899940-9
NR6058--MA0684.1.RUNX3	chr4	3062539	3062548	+	0.000	0.000	Merged-chr4-3062648-2
NR5579--MA0002.2.RUNX1	chr3	21838261	21838271	-	0.000	0.000	Merged-chr3-21838264-19
NR934--MA0002.2.RUNX1	chr10	75536367	75536377	+	0.000	0.000	Merged-chr10-75536310-39
NR9273--MA0684.1.RUNX3	chr9	123754698	123754707	-	0.000	0.000	Merged-chr9-123754572-46
NR3028--MA0002.2.RUNX1	chr14	118937865	118937875	+	0.000	0.000	Merged-chr14-118937889-60
NR1619--MA0002.2.RUNX1	chr11	97718555	97718565	-	0.000	0.000	Merged-chr11-97718519-10
NR3--MA0002.2.RUNX1	chr1	6467286	6467296	+	0.000	0.000	Merged-chr1-6467226-38
NR5436--MA0002.2.RUNX1	chr2	157190868	157190878	-	0.000	0.000	Merged-chr2-157190874-9
NR3485--MA0002.2.RUNX1	chr16	14088426	14088436	+	0.000	0.000	Merged-chr16-14088440-49
NR520--MA0002.2.RUNX1	chr1	165788716	165788726	-	0.000	0.000	Merged-chr1-165788733-30
NR65--MA0511.2.RUNX2	chr1	38884035	38884043	+	0.000	0.000	Merged-chr1-38884000-31
NR9253--MA0002.2.RUNX1	chr9	121881063	121881073	+	0.000	0.000	Merged-chr9-121881048-26
NR4040--MA0002.2.RUNX1	chr17	29769242	29769252	+	0.000	0.000	Merged-chr17-29769470-62
NR1490--MA0511.2.RUNX2	chr11	78698073	78698081	-	0.000	0.000	Merged-chr11-78698045-1
NR5836--MA0684.1.RUNX3	chr3	107819324	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR5022--MA0002.2.RUNX1	chr2	32496489	32496499	-	0.000	0.000	Merged-chr2-32496495-8
NR4711--MA0684.1.RUNX3	chr19	32964065	32964074	-	0.000	0.000	Merged-chr19-32964123-34
NR7768--MA0684.1.RUNX3	chr7	19344998	19345007	+	0.000	0.000	Merged-chr7-19345108-73
NR6100--MA0002.2.RUNX1	chr4	11888122	11888132	+	0.000	0.000	Merged-chr4-11887917-34
NR9305--MA0684.1.RUNX3	chrX	48143640	48143649	-	0.000	0.000	Merged-chrX-48143682-22
NR7625--MA0684.1.RUNX3	chr6	136493829	136493838	+	0.000	0.000	Merged-chr6-136493676-34
NR3345--MA0511.2.RUNX2	chr15	86051395	86051403	-	0.000	0.000	Merged-chr15-86051383-21
NR5277--MA0511.2.RUNX2	chr2	117447071	117447079	-	0.000	0.000	Merged-chr2-117447085-57
NR3597--MA0511.2.RUNX2	chr16	33769727	33769735	-	0.000	0.000	Merged-chr16-33769896-51
NR1522--MA0511.2.RUNX2	chr11	83016302	83016310	-	0.000	0.000	Merged-chr11-83016354-21
NR533--MA0002.2.RUNX1	chr1	171222657	171222667	+	0.000	0.000	Merged-chr1-171222616-56
NR7956--MA0511.2.RUNX2	chr7	81319870	81319878	+	0.000	0.000	Merged-chr7-81320014-23
NR7463--MA0684.1.RUNX3	chr6	115594629	115594638	+	0.000	0.000	Merged-chr6-115594731-47
NR2644--MA0002.2.RUNX1	chr13	108390773	108390783	-	0.000	0.000	Merged-chr13-108390764-33
NR3232--MA0684.1.RUNX3	chr15	62189977	62189986	-	0.000	0.000	Merged-chr15-62190035-69
NR3898--MA0684.1.RUNX3	chr17	5107994	5108003	-	0.000	0.000	Merged-chr17-5107865-36
NR7271--MA0511.2.RUNX2	chr6	48733041	48733049	-	0.000	0.000	Merged-chr6-48733072-56
NR5591--MA0511.2.RUNX2	chr3	28244428	28244436	-	0.000	0.000	Merged-chr3-28244555-21
NR4009--MA0684.1.RUNX3	chr17	26503464	26503473	+	0.000	0.000	Merged-chr17-26503617-1
NR4847--MA0002.2.RUNX1	chr19	60874623	60874633	+	0.000	0.000	Merged-chr19-60874475-51
NR8812--MA0684.1.RUNX3	chr9	44193023	44193032	-	0.000	0.000	Merged-chr9-44193029-8
NR7589--MA0511.2.RUNX2	chr6	129917745	129917753	+	0.000	0.000	Merged-chr6-129917853-39
NR7843--MA0684.1.RUNX3	chr7	46839005	46839014	-	0.000	0.000	Merged-chr7-46838931-53
NR3136--MA0684.1.RUNX3	chr15	36650102	36650111	-	0.000	0.000	Merged-chr15-36650116-39
