#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1085--MA0002.2.RUNX1	chr10	118633474	118633484	-	0.000	0.000	Merged-chr10-118633664-46
NR1356--MA0002.2.RUNX1	chr11	74908052	74908062	+	0.000	0.000	Merged-chr11-74908000-16
NR3592--MA0511.2.RUNX2	chr17	65541199	65541207	+	0.000	0.000	Merged-chr17-65540988-64
NR5321--MA0684.1.RUNX3	chr3	144411166	144411175	-	0.000	0.000	Merged-chr3-144411311-32
NR6049--MA0511.2.RUNX2	chr5	72941144	72941152	-	0.000	0.000	Merged-chr5-72941102-35
NR1978--MA0511.2.RUNX2	chr13	29756208	29756216	+	0.000	0.000	Merged-chr13-29756237-14
NR4098--MA0511.2.RUNX2	chr19	36083079	36083087	-	0.000	0.000	Merged-chr19-36083098-3
NR1879--MA0002.2.RUNX1	chr12	116620054	116620064	+	0.000	0.000	Merged-chr12-116620074-47
NR7253--MA0684.1.RUNX3	chr7	99536408	99536417	+	0.000	0.000	Merged-chr7-99536356-6
NR5030--MA0002.2.RUNX1	chr3	84022995	84023005	-	0.000	0.000	Merged-chr3-84022944-34
NR3959--MA0684.1.RUNX3	chr18	75541214	75541223	+	0.000	0.000	Merged-chr18-75541168-25
NR1465--MA0002.2.RUNX1	chr11	102317762	102317772	+	0.000	0.000	Merged-chr11-102317551-136
NR4571--MA0002.2.RUNX1	chr2	116894059	116894069	-	0.000	0.000	Merged-chr2-116894094-31
NR1865--MA0684.1.RUNX3	chr12	115371966	115371975	-	0.000	0.000	Merged-chr12-115372046-26
NR1988--MA0002.2.RUNX1	chr13	32899274	32899284	-	0.000	0.000	Merged-chr13-32899314-35
NR6774--MA0002.2.RUNX1	chr6	120957517	120957527	+	0.000	0.000	Merged-chr6-120957473-22
NR7485--MA0002.2.RUNX1	chr7	144074936	144074946	+	0.000	0.000	Merged-chr7-144074974-28
NR7756--MA0002.2.RUNX1	chr8	94240484	94240494	-	0.000	0.000	Merged-chr8-94240399-13
NR1468--MA0511.2.RUNX2	chr11	102739354	102739362	+	0.000	0.000	Merged-chr11-102739455-28
NR684--MA0002.2.RUNX1	chr10	10224779	10224789	-	0.000	0.000	Merged-chr10-10224805-34
NR7712--MA0511.2.RUNX2	chr8	83594296	83594304	-	0.000	0.000	Merged-chr8-83594488-70
NR1246--MA0684.1.RUNX3	chr11	51760387	51760396	+	0.000	0.000	Merged-chr11-51760433-27
NR955--MA0002.2.RUNX1	chr10	84632203	84632213	+	0.000	0.000	Merged-chr10-84632170-33
NR7342--MA0002.2.RUNX1	chr7	117559092	117559102	+	0.000	0.000	Merged-chr7-117559166-31
NR2795--MA0002.2.RUNX1	chr15	41846724	41846734	+	0.000	0.000	Merged-chr15-41846585-48
NR5186--MA0002.2.RUNX1	chr3	115972450	115972460	-	0.000	0.000	Merged-chr3-115972355-68
NR5457--MA0002.2.RUNX1	chr4	41503063	41503073	-	0.000	0.000	Merged-chr4-41503192-32
NR3449--MA0684.1.RUNX3	chr17	29304535	29304544	+	0.000	0.000	Merged-chr17-29304449-24
NR892--MA0511.2.RUNX2	chr10	75146224	75146232	-	0.000	0.000	Merged-chr10-75146347-53
NR2381--MA0002.2.RUNX1	chr14	25481373	25481383	-	0.000	0.000	Merged-chr14-25481230-34
NR5394--MA0511.2.RUNX2	chr4	6682090	6682098	-	0.000	0.000	Merged-chr4-6682175-50
NR1749--MA0002.2.RUNX1	chr12	87470305	87470315	+	0.000	0.000	Merged-chr12-87470490-42
NR1163--MA0511.2.RUNX2	chr11	10276429	10276437	-	0.000	0.000	Merged-chr11-10276392-45
NR1878--MA0684.1.RUNX3	chr12	116000042	116000051	+	0.000	0.000	Merged-chr12-116000112-33
NR7202--MA0511.2.RUNX2	chr7	83660503	83660511	-	0.000	0.000	Merged-chr7-83660655-125
NR7646--MA0684.1.RUNX3	chr8	68212467	68212476	-	0.000	0.000	Merged-chr8-68212337-24
NR2761--MA0002.2.RUNX1	chr15	36562967	36562977	-	0.000	0.000	Merged-chr15-36562926-39
NR8086--MA0684.1.RUNX3	chr9	61225167	61225176	+	0.000	0.000	Merged-chr9-61225287-14
NR4077--MA0511.2.RUNX2	chr19	29717994	29718002	-	0.000	0.000	Merged-chr19-29718058-25
NR4841--MA0684.1.RUNX3	chr3	7503282	7503291	-	0.000	0.000	Merged-chr3-7503455-65
