#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR5609--MA0511.2.RUNX2	chr3	35749753	35749761	+	0.000	0.000	Merged-chr3-35749701-7
NR5987--MA0684.1.RUNX3	chr3	145538076	145538085	+	0.000	0.000	Merged-chr3-145538069-30
NR7746--MA0511.2.RUNX2	chr7	4501006	4501014	+	0.000	0.000	Merged-chr7-4501103-9
NR9056--MA0002.2.RUNX1	chr9	88718284	88718294	-	0.000	0.000	Merged-chr9-88718244-37
NR7376--MA0002.2.RUNX1	chr6	86754842	86754852	-	0.000	0.000	Merged-chr6-86754818-10
NR780--MA0002.2.RUNX1	chr10	26322495	26322505	-	0.000	0.000	Merged-chr10-26322631-48
NR7332--MA0511.2.RUNX2	chr6	71595949	71595957	+	0.000	0.000	Merged-chr6-71596014-5
NR9390--MA0684.1.RUNX3	chrX	159828383	159828392	+	0.000	0.000	Merged-chrX-159828290-35
NR1465--MA0002.2.RUNX1	chr11	75154489	75154499	+	0.000	0.000	Merged-chr11-75154404-32
NR6522--MA0002.2.RUNX1	chr4	144908970	144908980	+	0.000	0.000	Merged-chr4-144908993-28
NR5718--MA0511.2.RUNX2	chr3	86961165	86961173	-	0.000	0.000	Merged-chr3-86961231-31
NR3496--MA0511.2.RUNX2	chr16	17695011	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR4842--MA0002.2.RUNX1	chr19	60681736	60681746	-	0.000	0.000	Merged-chr19-60681647-27
NR1216--MA0511.2.RUNX2	chr10	128637208	128637216	-	0.000	0.000	Merged-chr10-128637070-78
NR3397--MA0002.2.RUNX1	chr15	97455693	97455703	+	0.000	0.000	Merged-chr15-97455795-23
NR7855--MA0511.2.RUNX2	chr7	49335378	49335386	-	0.000	0.000	Merged-chr7-49335315-27
NR3668--MA0002.2.RUNX1	chr16	49951991	49952001	-	0.000	0.000	Merged-chr16-49952137-20
NR4971--MA0684.1.RUNX3	chr2	23540191	23540200	+	0.000	0.000	Merged-chr2-23540156-12
NR7756--MA0002.2.RUNX1	chr7	16201293	16201303	+	0.000	0.000	Merged-chr7-16201318-27
NR2543--MA0002.2.RUNX1	chr13	89521771	89521781	-	0.000	0.000	Merged-chr13-89521757-30
NR2814--MA0002.2.RUNX1	chr14	47740831	47740841	-	0.000	0.000	Merged-chr14-47740703-52
NR1180--MA0684.1.RUNX3	chr10	121189373	121189382	-	0.000	0.000	Merged-chr10-121189304-59
NR955--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR7885--MA0684.1.RUNX3	chr7	64090213	64090222	-	0.000	0.000	Merged-chr7-64090173-26
NR640--MA0511.2.RUNX2	chr1	190896288	190896296	-	0.000	0.000	Merged-chr1-190896359-15
NR2795--MA0002.2.RUNX1	chr14	45102340	45102350	-	0.000	0.000	Merged-chr14-45102324-46
NR1325--MA0511.2.RUNX2	chr11	45943843	45943851	+	0.000	0.000	Merged-chr11-45944042-9
NR3654--MA0684.1.RUNX3	chr16	45224157	45224166	+	0.000	0.000	Merged-chr16-45224130-153
NR5186--MA0002.2.RUNX1	chr2	84838061	84838071	+	0.000	0.000	Merged-chr2-84838147-43
NR541--MA0002.2.RUNX1	chr1	171604897	171604907	+	0.000	0.000	Merged-chr1-171604872-7
NR7742--MA0684.1.RUNX3	chr6	149307984	149307993	-	0.000	0.000	Merged-chr6-149307945-23
NR9274--MA0002.2.RUNX1	chr9	123814394	123814404	-	0.000	0.000	Merged-chr9-123814525-64
NR3733--MA0511.2.RUNX2	chr16	59517585	59517593	-	0.000	0.000	Merged-chr16-59517652-60
NR5586--MA0684.1.RUNX3	chr3	21996141	21996150	-	0.000	0.000	Merged-chr3-21996009-51
NR2652--MA0002.2.RUNX1	chr13	108860299	108860309	+	0.000	0.000	Merged-chr13-108860435-34
NR5857--MA0684.1.RUNX3	chr3	115793772	115793781	-	0.000	0.000	Merged-chr3-115793653-57
NR793--MA0002.2.RUNX1	chr10	30716172	30716182	+	0.000	0.000	Merged-chr10-30716378-49
NR1478--MA0002.2.RUNX1	chr11	76588842	76588852	-	0.000	0.000	Merged-chr11-76588861-14
NR5443--MA0684.1.RUNX3	chr2	158450879	158450888	+	0.000	0.000	Merged-chr2-158450944-19
NR7517--MA0002.2.RUNX1	chr6	124375733	124375743	-	0.000	0.000	Merged-chr6-124375670-49
NR8820--MA0684.1.RUNX3	chr9	44526489	44526498	-	0.000	0.000	Merged-chr9-44526635-59
NR3829--MA0684.1.RUNX3	chr16	93552876	93552885	-	0.000	0.000	Merged-chr16-93552984-42
NR716--MA0002.2.RUNX1	chr10	19104783	19104793	-	0.000	0.000	Merged-chr10-19104955-55
NR9055--MA0684.1.RUNX3	chr9	88516842	88516851	-	0.000	0.000	Merged-chr9-88516697-31
NR1335--MA0002.2.RUNX1	chr11	46127729	46127739	-	0.000	0.000	Merged-chr11-46127766-5
NR5300--MA0684.1.RUNX3	chr2	125948469	125948478	+	0.000	0.000	Merged-chr2-125948432-8
NR3415--MA0684.1.RUNX3	chr15	100060981	100060990	-	0.000	0.000	Merged-chr15-100060928-68
NR5569--MA0511.2.RUNX2	chr3	16227503	16227511	-	0.000	0.000	Merged-chr3-16227487-10
NR8880--MA0511.2.RUNX2	chr9	58280708	58280716	-	0.000	0.000	Merged-chr9-58280700-28
NR3223--MA0511.2.RUNX2	chr15	59619972	59619980	+	0.000	0.000	Merged-chr15-59620120-63
NR5675--MA0002.2.RUNX1	chr3	65929644	65929654	-	0.000	0.000	Merged-chr3-65929899-83
NR702--MA0684.1.RUNX3	chr10	14207847	14207856	-	0.000	0.000	Merged-chr10-14207893-35
NR8009--MA0684.1.RUNX3	chr7	99003412	99003421	+	0.000	0.000	Merged-chr7-99003498-20
NR8781--MA0002.2.RUNX1	chr9	41969240	41969250	-	0.000	0.000	Merged-chr9-41969136-22
NR2870--MA0002.2.RUNX1	chr14	62733872	62733882	-	0.000	0.000	Merged-chr14-62733787-20
NR2665--MA0002.2.RUNX1	chr13	111286975	111286985	+	0.000	0.000	Merged-chr13-111286910-46
NR140--MA0002.2.RUNX1	chr1	60990334	60990344	+	0.000	0.000	Merged-chr1-60990456-63
NR5883--MA0511.2.RUNX2	chr3	123192399	123192407	+	0.000	0.000	Merged-chr3-123192207-28
NR5012--MA0511.2.RUNX2	chr2	30897091	30897099	+	0.000	0.000	Merged-chr2-30897276-26
NR6753--MA0002.2.RUNX1	chr5	43915498	43915508	-	0.000	0.000	Merged-chr5-43915438-14
NR2079--MA0684.1.RUNX3	chr12	99406443	99406452	+	0.000	0.000	Merged-chr12-99406415-11
NR3332--MA0511.2.RUNX2	chr15	84192109	84192117	+	0.000	0.000	Merged-chr15-84192302-58
NR7193--MA0002.2.RUNX1	chr6	22378821	22378831	+	0.000	0.000	Merged-chr6-22378780-50
NR7407--MA0684.1.RUNX3	chr6	94683886	94683895	+	0.000	0.000	Merged-chr6-94683964-26
NR1652--MA0511.2.RUNX2	chr11	102209021	102209029	-	0.000	0.000	Merged-chr11-102208952-14
NR5185--MA0684.1.RUNX3	chr2	84779437	84779446	+	0.000	0.000	Merged-chr2-84779489-49
NR62--MA0002.2.RUNX1	chr1	38777641	38777651	-	0.000	0.000	Merged-chr1-38777708-41
NR6389--MA0511.2.RUNX2	chr4	122873257	122873265	+	0.000	0.000	Merged-chr4-122873226-42
