#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR4594--MA0591.1.Bach1::Mafk	chr16	11285926	11285940	+	0.000	0.000	Merged-chr16-11286053-13
NR8862--MA0501.1.MAF::NFE2	chr5	31576819	31576833	+	0.000	0.000	Merged-chr5-31576784-60
NR4679--MA0591.1.Bach1::Mafk	chr16	25563643	25563657	-	0.000	0.000	Merged-chr16-25563601-5
NR8676--MA0591.1.Bach1::Mafk	chr4	148940777	148940791	+	0.000	0.000	Merged-chr4-148940822-21
NR4403--MA0089.1.MAFG::NFE2L1	chr15	76904185	76904190	-	0.000	0.000	Merged-chr15-76904298-59
NR757--MA0496.2.MAFK	chr1	165593256	165593274	+	0.000	0.000	Merged-chr1-165593131-11
NR5225--MA0496.2.MAFK	chr17	35219832	35219850	-	0.000	0.000	Merged-chr17-35219724-57
NR4738--MA0501.1.MAF::NFE2	chr16	38476342	38476356	+	0.000	0.000	Merged-chr16-38476219-1
NR8882--MA0659.1.MAFG	chr5	36004213	36004233	+	0.000	0.000	Merged-chr5-36004091-12
NR6185--MA0591.1.Bach1::Mafk	chr19	56756580	56756594	+	0.000	0.000	Merged-chr19-56756635-43
NR11471--MA0659.1.MAFG	chr9	7501375	7501395	+	0.000	0.000	Merged-chr9-7501482-49
NR11107--MA0089.1.MAFG::NFE2L1	chr8	69920453	69920458	-	0.000	0.000	Merged-chr8-69920362-48
NR9927--MA0117.2.Mafb	chr6	115945809	115945820	+	0.000	0.000	Merged-chr6-115945918-28
NR1415--MA0089.1.MAFG::NFE2L1	chr10	93442398	93442403	+	0.000	0.000	Merged-chr10-93442339-20
NR7883--MA0089.1.MAFG::NFE2L1	chr3	129588849	129588854	-	0.000	0.000	Merged-chr3-129588899-30
NR663--MA0496.2.MAFK	chr1	151613433	151613451	+	0.000	0.000	Merged-chr1-151613371-29
NR10923--MA0659.1.MAFG	chr7	143154196	143154216	-	0.000	0.000	Merged-chr7-143154031-30
NR4288--MA0495.2.MAFF	chr15	55884392	55884412	-	0.000	0.000	Merged-chr15-55884580-27
NR1490--MA0089.1.MAFG::NFE2L1	chr10	99592301	99592306	-	0.000	0.000	Merged-chr10-99592304-27
NR7699--MA0591.1.Bach1::Mafk	chr3	96181232	96181246	-	0.000	0.000	Merged-chr3-96181202-20
