#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR5029--MA0036.3.GATA2	chr7	90068041	90068051	-	0.000	0.000	Merged-chr7-90068033-46
NR2530--MA0035.3.Gata1	chr17	18597363	18597373	+	0.000	0.000	Merged-chr17-18597509-40
NR856--MA0482.1.Gata4	chr11	34737287	34737297	-	0.000	0.000	Merged-chr11-34737425-35
NR2499--MA0140.2.GATA1::TAL1	chr17	12037254	12037271	-	0.000	0.000	Merged-chr17-12037293-8
NR671--MA0035.3.Gata1	chr10	89747976	89747986	+	0.000	0.000	Merged-chr10-89747839-80
NR2710--MA0766.1.GATA5	chr17	86880653	86880660	-	0.000	0.000	Merged-chr17-86880662-37
NR737--MA0035.3.Gata1	chr10	117665804	117665814	-	0.000	0.000	Merged-chr10-117665862-11
NR1178--MA1104.1.GATA6	chr11	114883353	114883365	+	0.000	0.000	Merged-chr11-114883420-19
NR5629--MA0482.1.Gata4	chr9	80318150	80318160	+	0.000	0.000	Merged-chr9-80318250-48
NR2848--MA0035.3.Gata1	chr18	65319004	65319014	-	0.000	0.000	Merged-chr18-65319104-54
NR2691--MA0766.1.GATA5	chr17	80174406	80174413	-	0.000	0.000	Merged-chr17-80174428-10
NR2779--MA0037.3.GATA3	chr18	49982268	49982275	-	0.000	0.000	Merged-chr18-49982392-61
NR2486--MA0766.1.GATA5	chr17	6659043	6659050	-	0.000	0.000	Merged-chr17-6658937-44
NR4985--MA0035.3.Gata1	chr7	45083050	45083060	+	0.000	0.000	Merged-chr7-45083107-80
NR5789--MA1104.1.GATA6	chrX	11664673	11664685	-	0.000	0.000	Merged-chrX-11664686-45
NR3172--MA1104.1.GATA6	chr2	44425756	44425768	-	0.000	0.000	Merged-chr2-44425815-56
