#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR4594--MA0591.1.Bach1::Mafk	chr16	24629406	24629420	+	0.000	0.000	Merged-chr16-24629525-45
NR9139--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR8522--MA0089.1.MAFG::NFE2L1	chr4	141419643	141419648	-	0.000	0.000	Merged-chr4-141419764-31
NR4593--MA0089.1.MAFG::NFE2L1	chr16	24238607	24238612	+	0.000	0.000	Merged-chr16-24238458-30
NR3766--MA0591.1.Bach1::Mafk	chr14	59553428	59553442	+	0.000	0.000	Merged-chr14-59553394-22
NR489--MA0501.1.MAF::NFE2	chr1	106268523	106268537	+	0.000	0.000	Merged-chr1-106268464-31
NR1415--MA0089.1.MAFG::NFE2L1	chr10	85829481	85829486	-	0.000	0.000	Merged-chr10-85829298-76
NR5910--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR4314--MA0591.1.Bach1::Mafk	chr15	76671569	76671583	+	0.000	0.000	Merged-chr15-76671670-56
NR3764--MA0089.1.MAFG::NFE2L1	chr14	59397160	59397165	-	0.000	0.000	Merged-chr14-59397210-50
NR934--MA0591.1.Bach1::Mafk	chr1	185231315	185231329	-	0.000	0.000	Merged-chr1-185231299-16
NR2556--MA0495.2.MAFF	chr12	76385221	76385241	+	0.000	0.000	Merged-chr12-76385327-16
NR11423--MA0591.1.Bach1::Mafk	chr8	115826708	115826722	-	0.000	0.000	Merged-chr8-115826691-38
NR10167--MA0591.1.Bach1::Mafk	chr6	141059389	141059403	-	0.000	0.000	Merged-chr6-141059319-2
NR1791--MA0591.1.Bach1::Mafk	chr11	32486757	32486771	-	0.000	0.000	Merged-chr11-32486832-15
NR10023--MA0117.2.Mafb	chr6	120932824	120932835	+	0.000	0.000	Merged-chr6-120932885-30
NR1011--MA0089.1.MAFG::NFE2L1	chr1	190899914	190899919	+	0.000	0.000	Merged-chr1-190900039-25
NR8247--MA0591.1.Bach1::Mafk	chr4	85802087	85802101	+	0.000	0.000	Merged-chr4-85801965-31
NR4416--MA0089.1.MAFG::NFE2L1	chr15	93913274	93913279	-	0.000	0.000	Merged-chr15-93913216-2
NR1103--MA0496.2.MAFK	chr10	21239589	21239607	-	0.000	0.000	Merged-chr10-21239598-1
NR4019--MA0496.2.MAFK	chr14	121903486	121903504	-	0.000	0.000	Merged-chr14-121903586-22
NR1911--MA0117.2.Mafb	chr11	57644464	57644475	-	0.000	0.000	Merged-chr11-57644449-7
NR9511--MA0659.1.MAFG	chr6	17851542	17851562	+	0.000	0.000	Merged-chr6-17851443-16
NR7537--MA0117.2.Mafb	chr3	93506451	93506462	-	0.000	0.000	Merged-chr3-93506465-61
NR167--MA0089.1.MAFG::NFE2L1	chr1	43562476	43562481	+	0.000	0.000	Merged-chr1-43562449-72
NR2574--MA0495.2.MAFF	chr12	80035253	80035273	+	0.000	0.000	Merged-chr12-80035221-6
NR18--MA0501.1.MAF::NFE2	chr1	13052312	13052326	+	0.000	0.000	Merged-chr1-13052356-32
NR3286--MA0089.1.MAFG::NFE2L1	chr13	93593449	93593454	+	0.000	0.000	Merged-chr13-93593412-57
NR7302--MA0496.2.MAFK	chr3	36841096	36841114	+	0.000	0.000	Merged-chr3-36841123-23
NR254--MA0089.1.MAFG::NFE2L1	chr1	69680698	69680703	-	0.000	0.000	Merged-chr1-69680981-51
NR7492--MA0089.1.MAFG::NFE2L1	chr3	88440711	88440716	+	0.000	0.000	Merged-chr3-88440748-20
NR9532--MA0501.1.MAF::NFE2	chr6	28385242	28385256	+	0.000	0.000	Merged-chr6-28385371-21
NR2576--MA0659.1.MAFG	chr12	80035253	80035273	+	0.000	0.000	Merged-chr12-80035221-6
NR5243--MA0089.1.MAFG::NFE2L1	chr17	69401323	69401328	-	0.000	0.000	Merged-chr17-69401476-24
NR5058--MA0591.1.Bach1::Mafk	chr17	27027477	27027491	+	0.000	0.000	Merged-chr17-27027661-33
NR4529--MA0089.1.MAFG::NFE2L1	chr16	11501222	11501227	+	0.000	0.000	Merged-chr16-11501282-30
NR9805--MA0591.1.Bach1::Mafk	chr6	83479021	83479035	+	0.000	0.000	Merged-chr6-83478852-15
NR4196--MA0117.2.Mafb	chr15	58872974	58872985	+	0.000	0.000	Merged-chr15-58872770-52
NR7819--MA0089.1.MAFG::NFE2L1	chr3	138746828	138746833	-	0.000	0.000	Merged-chr3-138746730-15
NR4937--MA0496.2.MAFK	chr16	96358153	96358171	+	0.000	0.000	Merged-chr16-96358039-35
NR9288--MA0089.1.MAFG::NFE2L1	chr5	130088240	130088245	-	0.000	0.000	Merged-chr5-130088239-22
NR2982--MA0501.1.MAF::NFE2	chr13	29805502	29805516	+	0.000	0.000	Merged-chr13-29805422-4
NR9664--MA0089.1.MAFG::NFE2L1	chr6	54216696	54216701	+	0.000	0.000	Merged-chr6-54216714-19
NR8078--MA0591.1.Bach1::Mafk	chr4	40285609	40285623	-	0.000	0.000	Merged-chr4-40285687-24
NR5841--MA0117.2.Mafb	chr19	5850313	5850324	+	0.000	0.000	Merged-chr19-5850230-41
NR10027--MA0501.1.MAF::NFE2	chr6	122291984	122291998	-	0.000	0.000	Merged-chr6-122292043-61
NR9617--MA0495.2.MAFF	chr6	49128468	49128488	-	0.000	0.000	Merged-chr6-49128471-29
NR11818--MA0501.1.MAF::NFE2	chr9	75209435	75209449	-	0.000	0.000	Merged-chr9-75209368-16
NR485--MA0495.2.MAFF	chr1	106268517	106268537	+	0.000	0.000	Merged-chr1-106268464-31
NR10466--MA0089.1.MAFG::NFE2L1	chr7	68250585	68250590	-	0.000	0.000	Merged-chr7-68250535-42
NR4212--MA0089.1.MAFG::NFE2L1	chr15	59641272	59641277	+	0.000	0.000	Merged-chr15-59641442-25
NR6185--MA0089.1.MAFG::NFE2L1	chr2	31043062	31043067	-	0.000	0.000	Merged-chr2-31043017-22
NR1386--MA0495.2.MAFF	chr10	82778148	82778168	-	0.000	0.000	Merged-chr10-82778212-17
NR5071--MA0117.2.Mafb	chr17	28701337	28701348	-	0.000	0.000	Merged-chr17-28701389-22
NR6561--MA0089.1.MAFG::NFE2L1	chr2	93454550	93454555	+	0.000	0.000	Merged-chr2-93454506-54
NR2083--MA0501.1.MAF::NFE2	chr11	94275926	94275940	+	0.000	0.000	Merged-chr11-94275707-70
