#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR23356--MA0599.1.KLF5	chr18	76222434	76222443	+	0.000	0.000	Merged-chr18-76222464-24
NR12473--MA0599.1.KLF5	chr13	48546760	48546769	+	0.000	0.000	Merged-chr13-48546690-1
NR12649--MA0742.1.Klf12	chr13	55339504	55339518	+	0.000	0.000	Merged-chr13-55339554-36
NR31653--MA1107.1.KLF9	chr3	135579481	135579493	-	0.000	0.000	Merged-chr3-135579457-44
NR26141--MA0741.1.KLF16	chr2	34139871	34139881	-	0.000	0.000	Merged-chr2-34139840-30
NR41492--MA0599.1.KLF5	chr6	143167188	143167197	+	0.000	0.000	Merged-chr6-143167023-76
NR31628--MA0741.1.KLF16	chr3	135307624	135307634	+	0.000	0.000	Merged-chr3-135307763-66
NR44941--MA0741.1.KLF16	chr7	141172836	141172846	-	0.000	0.000	Merged-chr7-141172782-68
NR28107--MA0599.1.KLF5	chr2	150608681	150608690	+	0.000	0.000	Merged-chr2-150608735-106
NR34734--MA0741.1.KLF16	chr4	139192892	139192902	-	0.000	0.000	Merged-chr4-139192859-89
NR42089--MA0493.1.Klf1	chr7	19269950	19269960	-	0.000	0.000	Merged-chr7-19270064-6
NR33041--MA0493.1.Klf1	chr4	59331749	59331759	+	0.000	0.000	Merged-chr4-59331656-79
NR47603--MA0741.1.KLF16	chr8	122443554	122443564	+	0.000	0.000	Merged-chr8-122443717-73
NR41134--MA0599.1.KLF5	chr6	128424676	128424685	+	0.000	0.000	Merged-chr6-128424700-55
NR37955--MA1107.1.KLF9	chr5	129190327	129190339	+	0.000	0.000	Merged-chr5-129190300-30
NR19604--MA1107.1.KLF9	chr16	95820103	95820115	-	0.000	0.000	Merged-chr16-95820235-13
NR39542--MA0742.1.Klf12	chr6	49218011	49218025	-	0.000	0.000	Merged-chr6-49217985-45
NR21624--MA0599.1.KLF5	chr17	70886827	70886836	-	0.000	0.000	Merged-chr17-70886838-34
NR9517--MA0599.1.KLF5	chr11	116138904	116138913	+	0.000	0.000	Merged-chr11-116138884-66
NR14222--MA0740.1.KLF14	chr14	41050721	41050734	-	0.000	0.000	Merged-chr14-41050635-35
NR33923--MA0493.1.Klf1	chr4	119947768	119947778	-	0.000	0.000	Merged-chr4-119947761-47
NR22576--MA0741.1.KLF16	chr18	35662267	35662277	+	0.000	0.000	Merged-chr18-35662073-58
NR38952--MA0599.1.KLF5	chr5	149526302	149526311	-	0.000	0.000	Merged-chr5-149526152-1
NR5138--MA0039.3.KLF4	chr10	91138513	91138523	+	0.000	0.000	Merged-chr10-91138476-30
NR14191--MA0493.1.Klf1	chr14	34768543	34768553	+	0.000	0.000	Merged-chr14-34768619-7
NR5372--MA0742.1.Klf12	chr10	99221638	99221652	-	0.000	0.000	Merged-chr10-99221651-27
NR33494--MA0741.1.KLF16	chr4	105109916	105109926	-	0.000	0.000	Merged-chr4-105109952-51
NR2358--MA0599.1.KLF5	chr1	165174214	165174223	-	0.000	0.000	Merged-chr1-165174283-37
NR38551--MA0741.1.KLF16	chr5	140915501	140915511	+	0.000	0.000	Merged-chr5-140915429-24
NR49740--MA0741.1.KLF16	chr9	96765506	96765516	-	0.000	0.000	Merged-chr9-96765649-47
NR40062--MA0599.1.KLF5	chr6	83762979	83762988	+	0.000	0.000	Merged-chr6-83763123-27
NR26935--MA0741.1.KLF16	chr2	77280651	77280661	-	0.000	0.000	Merged-chr2-77280729-98
NR48763--MA0599.1.KLF5	chr9	54699708	54699717	+	0.000	0.000	Merged-chr9-54699684-60
NR18874--MA0742.1.Klf12	chr16	48994179	48994193	-	0.000	0.000	Merged-chr16-48994090-67
NR37807--MA0039.3.KLF4	chr5	123907117	123907127	+	0.000	0.000	Merged-chr5-123907214-53
NR20758--MA0599.1.KLF5	chr17	34589764	34589773	-	0.000	0.000	Merged-chr17-34589864-16
NR17210--MA0493.1.Klf1	chr15	86087581	86087591	-	0.000	0.000	Merged-chr15-86087524-4
NR47408--MA1107.1.KLF9	chr8	119787154	119787166	+	0.000	0.000	Merged-chr8-119787219-34
NR47780--MA0493.1.Klf1	chr8	124751869	124751879	+	0.000	0.000	Merged-chr8-124751868-63
NR27594--MA0493.1.Klf1	chr2	121294351	121294361	-	0.000	0.000	Merged-chr2-121294452-16
NR10051--MA0493.1.Klf1	chr12	12580877	12580887	+	0.000	0.000	Merged-chr12-12580881-28
NR23592--MA1107.1.KLF9	chr18	84889091	84889103	-	0.000	0.000	Merged-chr18-84889023-40
NR17883--MA0741.1.KLF16	chr15	102296153	102296163	+	0.000	0.000	Merged-chr15-102296189-42
NR15007--MA0039.3.KLF4	chr14	70618074	70618084	-	0.000	0.000	Merged-chr14-70618190-41
NR29858--MA0742.1.Klf12	chr3	55744073	55744087	-	0.000	0.000	Merged-chr3-55744037-44
NR32076--MA1107.1.KLF9	chr3	153276305	153276317	+	0.000	0.000	Merged-chr3-153276398-51
NR26845--MA0599.1.KLF5	chr2	74825775	74825784	-	0.000	0.000	Merged-chr2-74825973-68
NR12963--MA0742.1.Klf12	chr13	69821333	69821347	+	0.000	0.000	Merged-chr13-69821460-47
NR10853--MA0599.1.KLF5	chr12	81781227	81781236	+	0.000	0.000	Merged-chr12-81781243-65
NR31195--MA0741.1.KLF16	chr3	116434980	116434990	-	0.000	0.000	Merged-chr3-116434903-21
NR33883--MA0742.1.Klf12	chr4	119232875	119232889	-	0.000	0.000	Merged-chr4-119232903-70
NR41913--MA0599.1.KLF5	chr7	13054456	13054465	+	0.000	0.000	Merged-chr7-13054551-104
NR39380--MA0742.1.Klf12	chr6	47454963	47454977	-	0.000	0.000	Merged-chr6-47455141-5
NR31627--MA0493.1.Klf1	chr3	135307613	135307623	+	0.000	0.000	Merged-chr3-135307763-66
NR29546--MA0740.1.KLF14	chr3	31145840	31145853	+	0.000	0.000	Merged-chr3-31145985-42
NR5980--MA1107.1.KLF9	chr10	126979596	126979608	+	0.000	0.000	Merged-chr10-126979747-1
NR21708--MA1107.1.KLF9	chr17	73952843	73952855	+	0.000	0.000	Merged-chr17-73953043-1
NR3591--MA0599.1.KLF5	chr10	25296910	25296919	-	0.000	0.000	Merged-chr10-25296937-67
NR47973--MA0742.1.Klf12	chr9	4376374	4376388	-	0.000	0.000	Merged-chr9-4376401-57
NR5481--MA0742.1.Klf12	chr10	110920108	110920122	-	0.000	0.000	Merged-chr10-110920143-70
NR36431--MA1107.1.KLF9	chr5	73647759	73647771	+	0.000	0.000	Merged-chr5-73647714-62
NR35078--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR765--MA0741.1.KLF16	chr1	64737811	64737821	+	0.000	0.000	Merged-chr1-64737763-173
NR12749--MA0741.1.KLF16	chr13	58113428	58113438	+	0.000	0.000	Merged-chr13-58113406-71
