#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1800--MA0731.1.BCL6B	chr9	123519554	123519570	-	0.000	0.000	Merged-chr9-123519487-45
NR1720--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR1685--MA0731.1.BCL6B	chr8	118829754	118829770	+	0.000	0.000	Merged-chr8-118829881-3
NR170--MA0463.1.Bcl6	chr10	42862426	42862439	+	0.000	0.000	Merged-chr10-42862533-53
NR282--MA0463.1.Bcl6	chr11	21371022	21371035	+	0.000	0.000	Merged-chr11-21370964-119
NR1295--MA0463.1.Bcl6	chr5	67260766	67260779	+	0.000	0.000	Merged-chr5-67260794-69
NR1032--MA0731.1.BCL6B	chr2	169088831	169088847	-	0.000	0.000	Merged-chr2-169088766-2
NR1826--MA0731.1.BCL6B	chrX	159021780	159021796	+	0.000	0.000	Merged-chrX-159021727-36
NR1725--MA0463.1.Bcl6	chr9	44873982	44873995	-	0.000	0.000	Merged-chr9-44873882-32
NR269--MA0463.1.Bcl6	chr11	3145832	3145845	-	0.000	0.000	Merged-chr11-3145875-104
NR936--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1734--MA0463.1.Bcl6	chr9	50728109	50728122	-	0.000	0.000	Merged-chr9-50728136-17
NR1640--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR399--MA0463.1.Bcl6	chr12	80113278	80113291	+	0.000	0.000	Merged-chr12-80113137-75
NR1085--MA0463.1.Bcl6	chr3	95722632	95722645	-	0.000	0.000	Merged-chr3-95722546-39
NR726--MA0463.1.Bcl6	chr16	97272489	97272502	+	0.000	0.000	Merged-chr16-97272459-57
NR1627--MA0463.1.Bcl6	chr8	26953123	26953136	-	0.000	0.000	Merged-chr8-26953337-32
NR1276--MA0731.1.BCL6B	chr5	22360894	22360910	-	0.000	0.000	Merged-chr5-22360842-38
NR641--MA0463.1.Bcl6	chr15	67398242	67398255	-	0.000	0.000	Merged-chr15-67398131-20
NR762--MA0463.1.Bcl6	chr17	63460248	63460261	-	0.000	0.000	Merged-chr17-63460148-16
NR1775--MA0463.1.Bcl6	chr9	105643038	105643051	+	0.000	0.000	Merged-chr9-105643016-54
NR986--MA0463.1.Bcl6	chr2	126466841	126466854	-	0.000	0.000	Merged-chr2-126466708-16
NR1398--MA0731.1.BCL6B	chr6	38789669	38789685	-	0.000	0.000	Merged-chr6-38789563-52
NR38--MA0463.1.Bcl6	chr1	79684420	79684433	-	0.000	0.000	Merged-chr1-79684355-13
NR1778--MA0731.1.BCL6B	chr9	107675869	107675885	+	0.000	0.000	Merged-chr9-107676090-54
NR854--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR1330--MA0731.1.BCL6B	chr5	110653362	110653378	-	0.000	0.000	Merged-chr5-110653386-72
NR692--MA0731.1.BCL6B	chr16	50555015	50555031	+	0.000	0.000	Merged-chr16-50555141-20
NR1104--MA0463.1.Bcl6	chr3	107849329	107849342	+	0.000	0.000	Merged-chr3-107849189-2
NR1337--MA0463.1.Bcl6	chr5	121173027	121173040	-	0.000	0.000	Merged-chr5-121173124-16
