#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1126--MA0508.2.PRDM1	chr4	63899186	63899195	+	0.000	0.000	Merged-chr4-63899190-80
NR693--MA0508.2.PRDM1	chr17	27027579	27027588	+	0.000	0.000	Merged-chr17-27027661-33
NR1378--MA0508.2.PRDM1	chr6	125493130	125493139	+	0.000	0.000	Merged-chr6-125493098-13
NR821--MA0508.2.PRDM1	chr19	23141120	23141129	-	0.000	0.000	Merged-chr19-23141154-104
NR1235--MA0508.2.PRDM1	chr5	74348732	74348741	+	0.000	0.000	Merged-chr5-74348625-55
NR202--MA0508.2.PRDM1	chr10	75531414	75531423	+	0.000	0.000	Merged-chr10-75531721-48
NR1487--MA0508.2.PRDM1	chr7	116484473	116484482	-	0.000	0.000	Merged-chr7-116484434-42
NR930--MA0508.2.PRDM1	chr2	119742213	119742222	-	0.000	0.000	Merged-chr2-119742331-93
NR725--MA0508.2.PRDM1	chr17	69401401	69401410	-	0.000	0.000	Merged-chr17-69401476-24
NR1139--MA0508.2.PRDM1	chr4	95100286	95100295	-	0.000	0.000	Merged-chr4-95100514-9
NR311--MA0508.2.PRDM1	chr11	108213764	108213773	-	0.000	0.000	Merged-chr11-108213901-5
NR977--MA0508.2.PRDM1	chr2	169779044	169779053	+	0.000	0.000	Merged-chr2-169779005-37
NR28--MA0508.2.PRDM1	chr1	58311354	58311363	-	0.000	0.000	Merged-chr1-58311498-34
NR292--MA0508.2.PRDM1	chr11	83118250	83118259	-	0.000	0.000	Merged-chr11-83118266-24
NR1248--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR1105--MA0508.2.PRDM1	chr4	6844147	6844156	+	0.000	0.000	Merged-chr4-6844197-28
NR1009--MA0508.2.PRDM1	chr3	64205380	64205389	+	0.000	0.000	Merged-chr3-64205377-25
NR162--MA0508.2.PRDM1	chr10	19009376	19009385	+	0.000	0.000	Merged-chr10-19009477-32
NR1323--MA0508.2.PRDM1	chr6	61263634	61263643	+	0.000	0.000	Merged-chr6-61263601-18
NR1118--MA0508.2.PRDM1	chr4	46404182	46404191	+	0.000	0.000	Merged-chr4-46404308-42
NR84--MA0508.2.PRDM1	chr1	143749793	143749802	-	0.000	0.000	Merged-chr1-143749938-18
NR685--MA0508.2.PRDM1	chr17	17294547	17294556	-	0.000	0.000	Merged-chr17-17294341-61
NR1575--MA0508.2.PRDM1	chr8	128530683	128530692	+	0.000	0.000	Merged-chr8-128530780-6
NR271--MA0508.2.PRDM1	chr11	54151081	54151090	-	0.000	0.000	Merged-chr11-54151267-37
NR813--MA0508.2.PRDM1	chr19	14305953	14305962	-	0.000	0.000	Merged-chr19-14305924-12
NR1065--MA0508.2.PRDM1	chr3	129421918	129421927	-	0.000	0.000	Merged-chr3-129421994-33
NR1336--MA0508.2.PRDM1	chr6	83504952	83504961	+	0.000	0.000	Merged-chr6-83505014-9
NR303--MA0508.2.PRDM1	chr11	100931778	100931787	+	0.000	0.000	Merged-chr11-100931794-39
NR969--MA0508.2.PRDM1	chr2	157006813	157006822	-	0.000	0.000	Merged-chr2-157006933-70
NR760--MA0508.2.PRDM1	chr18	35599048	35599057	+	0.000	0.000	Merged-chr18-35599245-2
NR1174--MA0508.2.PRDM1	chr4	139616926	139616935	+	0.000	0.000	Merged-chr4-139616773-45
NR1697--MA0508.2.PRDM1	chrX	107088583	107088592	-	0.000	0.000	Merged-chrX-107088422-23
NR1078--MA0508.2.PRDM1	chr3	142243504	142243513	+	0.000	0.000	Merged-chr3-142243538-27
NR1349--MA0508.2.PRDM1	chr6	94661320	94661329	+	0.000	0.000	Merged-chr6-94661455-67
NR4--MA0508.2.PRDM1	chr1	20260006	20260015	+	0.000	0.000	Merged-chr1-20260109-34
NR521--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR1206--MA0508.2.PRDM1	chr5	22747530	22747539	+	0.000	0.000	Merged-chr5-22747535-33
NR1458--MA0508.2.PRDM1	chr7	96818644	96818653	-	0.000	0.000	Merged-chr7-96818578-56
NR630--MA0508.2.PRDM1	chr16	37094555	37094564	-	0.000	0.000	Merged-chr16-37094405-73
NR154--MA0508.2.PRDM1	chr1	193556851	193556860	-	0.000	0.000	Merged-chr1-193556979-11
NR1044--MA0508.2.PRDM1	chr3	103130641	103130650	-	0.000	0.000	Merged-chr3-103130521-29
