#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1259--MA0463.1.Bcl6	chr5	122219005	122219018	+	0.000	0.000	Merged-chr5-122219045-36
NR1162--MA0731.1.BCL6B	chr4	139319746	139319762	-	0.000	0.000	Merged-chr4-139319909-27
NR1271--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR1398--MA0463.1.Bcl6	chr7	16201363	16201376	+	0.000	0.000	Merged-chr7-16201318-27
NR806--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR1284--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR936--MA0463.1.Bcl6	chr2	147013882	147013895	-	0.000	0.000	Merged-chr2-147013782-1
NR842--MA0463.1.Bcl6	chr2	24748162	24748175	-	0.000	0.000	Merged-chr2-24748146-35
NR1179--MA0463.1.Bcl6	chr4	149889170	149889183	-	0.000	0.000	Merged-chr4-149889246-22
NR1425--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
NR1085--MA0463.1.Bcl6	chr4	32424836	32424849	-	0.000	0.000	Merged-chr4-32424580-38
NR1263--MA0731.1.BCL6B	chr5	125106445	125106461	+	0.000	0.000	Merged-chr5-125106359-47
NR1197--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR1643--MA0731.1.BCL6B	chr9	99560371	99560387	+	0.000	0.000	Merged-chr9-99560579-23
NR1430--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR628--MA0463.1.Bcl6	chr16	29977891	29977904	-	0.000	0.000	Merged-chr16-29977874-22
NR1529--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR1426--MA0463.1.Bcl6	chr7	67355770	67355783	-	0.000	0.000	Merged-chr7-67355950-12
NR56--MA0463.1.Bcl6	chr1	91278811	91278824	+	0.000	0.000	Merged-chr1-91278817-42
NR1462--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR14--MA0731.1.BCL6B	chr1	37478656	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR27--MA0731.1.BCL6B	chr1	54854494	54854510	-	0.000	0.000	Merged-chr1-54854501-39
NR291--MA0731.1.BCL6B	chr11	69766431	69766447	-	0.000	0.000	Merged-chr11-69766217-75
NR671--MA0731.1.BCL6B	chr16	93683207	93683223	+	0.000	0.000	Merged-chr16-93683048-46
NR678--MA0463.1.Bcl6	chr16	96127077	96127090	-	0.000	0.000	Merged-chr16-96126914-2
NR846--MA0731.1.BCL6B	chr2	31143524	31143540	+	0.000	0.000	Merged-chr2-31143440-34
NR696--MA0463.1.Bcl6	chr17	27189895	27189908	+	0.000	0.000	Merged-chr17-27190008-22
NR684--MA0731.1.BCL6B	chr17	8251848	8251864	-	0.000	0.000	Merged-chr17-8251885-20
NR123--MA0463.1.Bcl6	chr1	180988027	180988040	+	0.000	0.000	Merged-chr1-180987901-35
NR1597--MA0463.1.Bcl6	chr9	32915849	32915862	+	0.000	0.000	Merged-chr9-32915809-45
NR1369--MA0731.1.BCL6B	chr6	127617401	127617417	-	0.000	0.000	Merged-chr6-127617353-34
NR911--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR1136--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR356--MA0463.1.Bcl6	chr12	26187549	26187562	+	0.000	0.000	Merged-chr12-26187652-24
NR921--MA0731.1.BCL6B	chr2	132035688	132035704	+	0.000	0.000	Merged-chr2-132035691-29
NR716--MA0731.1.BCL6B	chr17	65870407	65870423	-	0.000	0.000	Merged-chr17-65870335-22
NR1042--MA0463.1.Bcl6	chr3	133544249	133544262	-	0.000	0.000	Merged-chr3-133544434-91
NR1154--MA0463.1.Bcl6	chr4	134923874	134923887	+	0.000	0.000	Merged-chr4-134923798-69
NR825--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR1619--MA0731.1.BCL6B	chr9	62733139	62733155	-	0.000	0.000	Merged-chr9-62733060-12
NR3--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR1186--MA0731.1.BCL6B	chr5	3508574	3508590	+	0.000	0.000	Merged-chr5-3508647-19
NR1457--MA0731.1.BCL6B	chr7	108934377	108934393	-	0.000	0.000	Merged-chr7-108934410-57
NR424--MA0731.1.BCL6B	chr13	12521860	12521876	-	0.000	0.000	Merged-chr13-12521905-15
NR1043--MA0731.1.BCL6B	chr3	133544249	133544265	+	0.000	0.000	Merged-chr3-133544434-91
NR943--MA0463.1.Bcl6	chr2	153336213	153336226	-	0.000	0.000	Merged-chr2-153336329-40
NR13--MA0463.1.Bcl6	chr1	37478659	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR715--MA0463.1.Bcl6	chr17	65870410	65870423	+	0.000	0.000	Merged-chr17-65870335-22
