#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR2004--MA0037.3.GATA3	chr15	66789507	66789514	-	0.000	0.000	Merged-chr15-66789335-49
NR2648--MA0766.1.GATA5	chr18	56714570	56714577	-	0.000	0.000	Merged-chr18-56714625-64
NR3088--MA0766.1.GATA5	chr2	91944497	91944504	-	0.000	0.000	Merged-chr2-91944545-46
NR779--MA0036.3.GATA2	chr10	128990354	128990364	+	0.000	0.000	Merged-chr10-128990510-111
NR2801--MA0035.3.Gata1	chr19	29367424	29367434	-	0.000	0.000	Merged-chr19-29367376-49
NR195--MA0035.3.Gata1	chr1	104986203	104986213	-	0.000	0.000	Merged-chr1-104986299-37
NR4581--MA0482.1.Gata4	chr6	129997694	129997704	+	0.000	0.000	Merged-chr6-129997694-33
NR3206--MA0036.3.GATA2	chr2	150667355	150667365	-	0.000	0.000	Merged-chr2-150667676-130
NR5173--MA0035.3.Gata1	chr8	120563936	120563946	-	0.000	0.000	Merged-chr8-120564046-29
NR2757--MA0766.1.GATA5	chr18	89206490	89206497	+	0.000	0.000	Merged-chr18-89206335-76
NR93--MA0482.1.Gata4	chr1	69513758	69513768	-	0.000	0.000	Merged-chr1-69513618-39
NR3605--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR5215--MA0482.1.Gata4	chr8	128606703	128606713	+	0.000	0.000	Merged-chr8-128606814-16
NR1221--MA0140.2.GATA1::TAL1	chr12	86860228	86860245	+	0.000	0.000	Merged-chr12-86860262-64
NR4571--MA0035.3.Gata1	chr6	128888969	128888979	-	0.000	0.000	Merged-chr6-128889092-57
NR1240--MA0037.3.GATA3	chr12	91746103	91746110	+	0.000	0.000	Merged-chr12-91745848-45
NR3787--MA0482.1.Gata4	chr4	89044206	89044216	+	0.000	0.000	Merged-chr4-89044155-38
NR4470--MA0036.3.GATA2	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR2814--MA0035.3.Gata1	chr19	32465411	32465421	+	0.000	0.000	Merged-chr19-32465460-36
