#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR23356--MA0599.1.KLF5	chr17	23592680	23592689	+	0.000	0.000	Merged-chr17-23592787-37
NR56129--MA1107.1.KLF9	chr8	116628624	116628636	+	0.000	0.000	Merged-chr8-116628459-54
NR39010--MA0741.1.KLF16	chr4	109280621	109280631	+	0.000	0.000	Merged-chr4-109280702-95
NR9408--MA0741.1.KLF16	chr11	79132292	79132302	-	0.000	0.000	Merged-chr11-79132078-52
NR35575--MA0599.1.KLF5	chr3	116424064	116424073	+	0.000	0.000	Merged-chr3-116424067-206
NR41204--MA0039.3.KLF4	chr5	3383619	3383629	-	0.000	0.000	Merged-chr5-3383814-54
NR26813--MA0493.1.Klf1	chr18	74962350	74962360	+	0.000	0.000	Merged-chr18-74962329-69
NR39373--MA0740.1.KLF14	chr4	120854784	120854797	+	0.000	0.000	Merged-chr4-120854918-43
NR34734--MA0741.1.KLF16	chr3	89349517	89349527	+	0.000	0.000	Merged-chr3-89349384-1
NR37616--MA0599.1.KLF5	chr4	47251199	47251208	-	0.000	0.000	Merged-chr4-47251279-48
NR4661--MA0742.1.Klf12	chr10	40883450	40883464	+	0.000	0.000	Merged-chr10-40883582-128
NR7476--MA0599.1.KLF5	chr10	128923467	128923476	+	0.000	0.000	Merged-chr10-128923419-71
NR45381--MA0741.1.KLF16	chr5	144190117	144190127	+	0.000	0.000	Merged-chr5-144190229-35
NR15850--MA0599.1.KLF5	chr13	107645825	107645834	+	0.000	0.000	Merged-chr13-107645790-84
NR58462--MA0599.1.KLF5	chr9	79759889	79759898	+	0.000	0.000	Merged-chr9-79759901-55
NR35174--MA0741.1.KLF16	chr3	100969700	100969710	+	0.000	0.000	Merged-chr3-100969599-56
NR33167--MA0599.1.KLF5	chr2	173349677	173349686	+	0.000	0.000	Merged-chr2-173349812-58
NR56339--MA0039.3.KLF4	chr8	120276576	120276586	-	0.000	0.000	Merged-chr8-120276586-37
NR3226--MA0741.1.KLF16	chr1	171916125	171916135	+	0.000	0.000	Merged-chr1-171916002-44
NR17998--MA0493.1.Klf1	chr14	76177400	76177410	+	0.000	0.000	Merged-chr14-76177407-12
NR13996--MA1107.1.KLF9	chr13	30693098	30693110	+	0.000	0.000	Merged-chr13-30693070-31
NR56269--MA0599.1.KLF5	chr8	119437080	119437089	+	0.000	0.000	Merged-chr8-119437136-21
NR44850--MA1107.1.KLF9	chr5	136706904	136706916	+	0.000	0.000	Merged-chr5-136706981-22
NR45386--MA0599.1.KLF5	chr5	144254646	144254655	+	0.000	0.000	Merged-chr5-144254762-7
NR28666--MA0493.1.Klf1	chr19	56756564	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR6332--MA0741.1.KLF16	chr10	93083476	93083486	+	0.000	0.000	Merged-chr10-93083560-38
NR40132--MA0039.3.KLF4	chr4	136178075	136178085	-	0.000	0.000	Merged-chr4-136177885-58
NR6484--MA0493.1.Klf1	chr10	95605269	95605279	-	0.000	0.000	Merged-chr10-95605167-17
NR48096--MA0599.1.KLF5	chr6	122486172	122486181	-	0.000	0.000	Merged-chr6-122486268-46
NR4381--MA0741.1.KLF16	chr10	20952522	20952532	-	0.000	0.000	Merged-chr10-20952486-81
NR28451--MA0493.1.Klf1	chr19	47537110	47537120	+	0.000	0.000	Merged-chr19-47537261-82
NR52566--MA0039.3.KLF4	chr7	127091399	127091409	+	0.000	0.000	Merged-chr7-127091307-65
NR31214--MA0741.1.KLF16	chr2	116900131	116900141	-	0.000	0.000	Merged-chr2-116900141-29
NR43939--MA0039.3.KLF4	chr5	122209818	122209828	+	0.000	0.000	Merged-chr5-122209892-38
