#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1126--MA0508.2.PRDM1	chr3	142620157	142620166	+	0.000	0.000	Merged-chr3-142620396-203
NR1583--MA0508.2.PRDM1	chr8	14997065	14997074	-	0.000	0.000	Merged-chr8-14996995-10
NR1506--MA0508.2.PRDM1	chr7	75650168	75650177	-	0.000	0.000	Merged-chr7-75650126-47
NR1487--MA0508.2.PRDM1	chr7	44344854	44344863	+	0.000	0.000	Merged-chr7-44344765-20
NR1073--MA0508.2.PRDM1	chr3	87515886	87515895	+	0.000	0.000	Merged-chr3-87515850-49
NR28--MA0508.2.PRDM1	chr1	58857112	58857121	-	0.000	0.000	Merged-chr1-58857046-16
NR292--MA0508.2.PRDM1	chr11	86544930	86544939	-	0.000	0.000	Merged-chr11-86544801-80
NR563--MA0508.2.PRDM1	chr14	66258008	66258017	+	0.000	0.000	Merged-chr14-66257843-39,Merged-chr14-66258202-1
NR834--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR1519--MA0508.2.PRDM1	chr7	83655505	83655514	-	0.000	0.000	Merged-chr7-83655455-47
NR704--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR271--MA0508.2.PRDM1	chr11	69838281	69838290	-	0.000	0.000	Merged-chr11-69838250-77
NR1479--MA0508.2.PRDM1	chr7	31028776	31028785	+	0.000	0.000	Merged-chr7-31028766-21
NR1607--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR303--MA0508.2.PRDM1	chr11	97703273	97703282	+	0.000	0.000	Merged-chr11-97703111-88
NR969--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR760--MA0508.2.PRDM1	chr17	36836988	36836997	+	0.000	0.000	Merged-chr17-36836894-102
NR555--MA0508.2.PRDM1	chr14	60542004	60542013	-	0.000	0.000	Merged-chr14-60541882-16
NR141--MA0508.2.PRDM1	chr1	194880004	194880013	+	0.000	0.000	Merged-chr1-194879815-64
NR1697--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR1283--MA0508.2.PRDM1	chr5	64765966	64765975	-	0.000	0.000	Merged-chr5-64765991-19
NR1349--MA0508.2.PRDM1	chr6	8408342	8408351	-	0.000	0.000	Merged-chr6-8408474-17
NR4--MA0508.2.PRDM1	chr1	13293643	13293652	-	0.000	0.000	Merged-chr1-13293593-50
NR521--MA0508.2.PRDM1	chr14	7989512	7989521	+	0.000	0.000	Merged-chr14-7989613-33
NR1206--MA0508.2.PRDM1	chr4	117835276	117835285	+	0.000	0.000	Merged-chr4-117835233-2
NR1315--MA0508.2.PRDM1	chr5	113837117	113837126	+	0.000	0.000	Merged-chr5-113837178-5
