#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR170--MA0463.1.Bcl6	chr10	10224646	10224659	+	0.000	0.000	Merged-chr10-10224805-34
NR208--MA0731.1.BCL6B	chr10	67623465	67623481	+	0.000	0.000	Merged-chr10-67623487-11
NR1794--MA0731.1.BCL6B	chr8	57592869	57592885	-	0.000	0.000	Merged-chr8-57592904-21
NR806--MA0463.1.Bcl6	chr17	24414487	24414500	-	0.000	0.000	Merged-chr17-24414569-93
NR1850--MA0463.1.Bcl6	chr8	126582671	126582684	-	0.000	0.000	Merged-chr8-126582785-35
NR1922--MA0731.1.BCL6B	chr9	94668747	94668763	+	0.000	0.000	Merged-chr9-94668774-42
NR918--MA0463.1.Bcl6	chr18	80496099	80496112	+	0.000	0.000	Merged-chr18-80495918-16
NR1969--MA0731.1.BCL6B	chrX	74429738	74429754	+	0.000	0.000	Merged-chrX-74429698-2
NR824--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR1284--MA0731.1.BCL6B	chr4	43045926	43045942	+	0.000	0.000	Merged-chr4-43046068-69
NR1555--MA0731.1.BCL6B	chr6	48725709	48725725	+	0.000	0.000	Merged-chr6-48725705-47
NR1826--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR1141--MA0731.1.BCL6B	chr3	14641577	14641593	-	0.000	0.000	Merged-chr3-14641669-50
NR842--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR1967--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR24--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR511--MA0463.1.Bcl6	chr13	41373043	41373056	-	0.000	0.000	Merged-chr13-41373067-52
NR1627--MA0463.1.Bcl6	chr6	134035717	134035730	-	0.000	0.000	Merged-chr6-134035696-155
NR1891--MA0463.1.Bcl6	chr9	58247240	58247253	-	0.000	0.000	Merged-chr9-58247218-31
NR862--MA0731.1.BCL6B	chr17	86850956	86850972	-	0.000	0.000	Merged-chr17-86850931-27
NR1481--MA0731.1.BCL6B	chr5	114194315	114194331	-	0.000	0.000	Merged-chr5-114194325-12
NR60--MA0463.1.Bcl6	chr1	127653547	127653560	+	0.000	0.000	Merged-chr1-127653505-23
NR22--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR968--MA0463.1.Bcl6	chr2	18046848	18046861	+	0.000	0.000	Merged-chr2-18046867-13
NR516--MA0463.1.Bcl6	chr13	48929716	48929729	+	0.000	0.000	Merged-chr13-48929819-47
NR1202--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR780--MA0463.1.Bcl6	chr16	93977791	93977804	-	0.000	0.000	Merged-chr16-93977807-10
NR1887--MA0463.1.Bcl6	chr9	53346439	53346452	+	0.000	0.000	Merged-chr9-53346409-3
NR1426--MA0463.1.Bcl6	chr5	34637166	34637179	+	0.000	0.000	Merged-chr5-34637135-1
NR1547--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR1093--MA0731.1.BCL6B	chr2	144173833	144173849	-	0.000	0.000	Merged-chr2-144174021-12
NR1473--MA0731.1.BCL6B	chr5	112278229	112278245	-	0.000	0.000	Merged-chr5-112278382-13
NR561--MA0463.1.Bcl6	chr13	98803210	98803223	-	0.000	0.000	Merged-chr13-98803124-4
NR1677--MA0463.1.Bcl6	chr7	25780165	25780178	+	0.000	0.000	Merged-chr7-25780138-19
NR820--MA0731.1.BCL6B	chr17	34206145	34206161	+	0.000	0.000	Merged-chr17-34206017-23
NR1789--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR1695--MA0463.1.Bcl6	chr7	49272654	49272667	+	0.000	0.000	Merged-chr7-49272707-39
NR1480--MA0463.1.Bcl6	chr5	114194316	114194329	-	0.000	0.000	Merged-chr5-114194325-12
NR1337--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1138--MA0731.1.BCL6B	chr2	181381998	181382014	+	0.000	0.000	Merged-chr2-181382145-6
NR310--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR1449--MA0463.1.Bcl6	chr5	77167447	77167460	-	0.000	0.000	Merged-chr5-77167373-14
NR1181--MA0731.1.BCL6B	chr3	93547856	93547872	-	0.000	0.000	Merged-chr3-93547849-109
NR1346--MA0463.1.Bcl6	chr4	123287928	123287941	-	0.000	0.000	Merged-chr4-123287942-8
NR105--MA0463.1.Bcl6	chr1	161707222	161707235	+	0.000	0.000	Merged-chr1-161707270-12
NR1465--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
NR584--MA0463.1.Bcl6	chr14	16256347	16256360	+	0.000	0.000	Merged-chr14-16256161-59
NR83--MA0731.1.BCL6B	chr1	151344197	151344213	-	0.000	0.000	Merged-chr1-151344132-5
NR911--MA0463.1.Bcl6	chr18	73548730	73548743	+	0.000	0.000	Merged-chr18-73548790-35
NR1136--MA0463.1.Bcl6	chr2	181377375	181377388	+	0.000	0.000	Merged-chr2-181377481-47
NR356--MA0463.1.Bcl6	chr11	94989930	94989943	+	0.000	0.000	Merged-chr11-94989887-29
NR650--MA0731.1.BCL6B	chr15	8569980	8569996	-	0.000	0.000	Merged-chr15-8569914-5
NR96--MA0731.1.BCL6B	chr1	156464625	156464641	-	0.000	0.000	Merged-chr1-156464548-8
NR1060--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR140--MA0731.1.BCL6B	chr1	179512042	179512058	-	0.000	0.000	Merged-chr1-179512087-19
NR128--MA0463.1.Bcl6	chr1	172376806	172376819	-	0.000	0.000	Merged-chr1-172376760-99
NR520--MA0731.1.BCL6B	chr13	54590129	54590145	-	0.000	0.000	Merged-chr13-54590326-80
NR1457--MA0731.1.BCL6B	chr5	92964846	92964862	+	0.000	0.000	Merged-chr5-92964665-18
NR813--MA0463.1.Bcl6	chr17	30335836	30335849	+	0.000	0.000	Merged-chr17-30335946-15
NR1837--MA0731.1.BCL6B	chr8	115496170	115496186	+	0.000	0.000	Merged-chr8-115496222-29
NR1611--MA0463.1.Bcl6	chr6	124493057	124493070	-	0.000	0.000	Merged-chr6-124493051-20
NR990--MA0731.1.BCL6B	chr2	38536485	38536501	+	0.000	0.000	Merged-chr2-38536477-82
NR41--MA0731.1.BCL6B	chr1	82787693	82787709	+	0.000	0.000	Merged-chr1-82787603-20
NR708--MA0731.1.BCL6B	chr15	96285779	96285795	+	0.000	0.000	Merged-chr15-96285638-75
NR751--MA0731.1.BCL6B	chr16	45197058	45197074	-	0.000	0.000	Merged-chr16-45197037-17
NR403--MA0731.1.BCL6B	chr12	16170327	16170343	+	0.000	0.000	Merged-chr12-16170449-47
NR1022--MA0731.1.BCL6B	chr2	69862572	69862588	-	0.000	0.000	Merged-chr2-69862499-13
NR13--MA0463.1.Bcl6	chr1	37000525	37000538	-	0.000	0.000	Merged-chr1-37000533-36
NR1092--MA0463.1.Bcl6	chr2	144173836	144173849	+	0.000	0.000	Merged-chr2-144174021-12
NR500--MA0463.1.Bcl6	chr13	21919360	21919373	+	0.000	0.000	Merged-chr13-21919198-19
NR1880--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
NR493--MA0731.1.BCL6B	chr13	13520335	13520351	-	0.000	0.000	Merged-chr13-13520497-22
NR67--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR1079--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR1652--MA0463.1.Bcl6	chr6	144670840	144670853	-	0.000	0.000	Merged-chr6-144670724-72
NR1667--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR634--MA0731.1.BCL6B	chr14	103719069	103719085	-	0.000	0.000	Merged-chr14-103719095-60
NR905--MA0731.1.BCL6B	chr18	66442078	66442094	+	0.000	0.000	Merged-chr18-66442128-39
NR729--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR1424--MA0463.1.Bcl6	chr5	33657985	33657998	-	0.000	0.000	Merged-chr5-33658141-114
NR420--MA0463.1.Bcl6	chr12	55079845	55079858	+	0.000	0.000	Merged-chr12-55079958-2
NR1894--MA0463.1.Bcl6	chr9	61681177	61681190	-	0.000	0.000	Merged-chr9-61681164-50
NR45--MA0463.1.Bcl6	chr1	88248936	88248949	+	0.000	0.000	Merged-chr1-88248928-3
NR541--MA0463.1.Bcl6	chr13	73740708	73740721	-	0.000	0.000	Merged-chr13-73740559-35
NR1442--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR408--MA0731.1.BCL6B	chr12	33158487	33158503	-	0.000	0.000	Merged-chr12-33158359-51
NR865--MA0731.1.BCL6B	chr17	87459657	87459673	+	0.000	0.000	Merged-chr17-87459671-41
NR313--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR519--MA0463.1.Bcl6	chr13	51951895	51951908	+	0.000	0.000	Merged-chr13-51951802-36
NR1438--MA0463.1.Bcl6	chr5	65653938	65653951	-	0.000	0.000	Merged-chr5-65654078-14
NR987--MA0731.1.BCL6B	chr2	35233016	35233032	+	0.000	0.000	Merged-chr2-35233017-25
NR1529--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR1456--MA0463.1.Bcl6	chr5	92964846	92964859	-	0.000	0.000	Merged-chr5-92964665-18
NR461--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR309--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR327--MA0463.1.Bcl6	chr11	68451467	68451480	+	0.000	0.000	Merged-chr11-68451501-45
NR172--MA0731.1.BCL6B	chr10	13553006	13553022	+	0.000	0.000	Merged-chr10-13553137-58
