#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1235--MA0508.2.PRDM1	chr4	145099950	145099959	-	0.000	0.000	Merged-chr4-145100023-41
NR1506--MA0508.2.PRDM1	chr7	75650168	75650177	-	0.000	0.000	Merged-chr7-75650126-47
NR202--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR1487--MA0508.2.PRDM1	chr7	44344854	44344863	+	0.000	0.000	Merged-chr7-44344765-20
NR1073--MA0508.2.PRDM1	chr3	87515886	87515895	+	0.000	0.000	Merged-chr3-87515850-49
NR1615--MA0508.2.PRDM1	chr8	94413698	94413707	+	0.000	0.000	Merged-chr8-94413719-53
NR28--MA0508.2.PRDM1	chr1	58857112	58857121	-	0.000	0.000	Merged-chr1-58857046-16
NR563--MA0508.2.PRDM1	chr14	66258008	66258017	+	0.000	0.000	Merged-chr14-66257843-39,Merged-chr14-66258202-1
NR834--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR1248--MA0508.2.PRDM1	chr4	152138699	152138708	+	0.000	0.000	Merged-chr4-152138737-60
NR1519--MA0508.2.PRDM1	chr7	83655505	83655514	-	0.000	0.000	Merged-chr7-83655455-47
NR1009--MA0508.2.PRDM1	chr2	146606417	146606426	+	0.000	0.000	Merged-chr2-146606447-27
NR781--MA0508.2.PRDM1	chr17	73009124	73009133	+	0.000	0.000	Merged-chr17-73009034-36
NR704--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1575--MA0508.2.PRDM1	chr8	3631199	3631208	-	0.000	0.000	Merged-chr8-3631064-68
NR1479--MA0508.2.PRDM1	chr7	31028776	31028785	+	0.000	0.000	Merged-chr7-31028766-21
NR922--MA0508.2.PRDM1	chr2	29054331	29054340	-	0.000	0.000	Merged-chr2-29054435-74
NR303--MA0508.2.PRDM1	chr11	97703273	97703282	+	0.000	0.000	Merged-chr11-97703111-88
NR969--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR760--MA0508.2.PRDM1	chr17	36836988	36836997	+	0.000	0.000	Merged-chr17-36836894-102
NR826--MA0508.2.PRDM1	chr18	61479915	61479924	+	0.000	0.000	Merged-chr18-61480035-15
NR393--MA0508.2.PRDM1	chr12	101958130	101958139	+	0.000	0.000	Merged-chr12-101958185-60
NR1283--MA0508.2.PRDM1	chr5	64765966	64765975	-	0.000	0.000	Merged-chr5-64765991-19
NR1349--MA0508.2.PRDM1	chr6	8408342	8408351	-	0.000	0.000	Merged-chr6-8408474-17
NR4--MA0508.2.PRDM1	chr1	13293643	13293652	-	0.000	0.000	Merged-chr1-13293593-50
NR521--MA0508.2.PRDM1	chr14	7989512	7989521	+	0.000	0.000	Merged-chr14-7989613-33
NR1206--MA0508.2.PRDM1	chr4	117835276	117835285	+	0.000	0.000	Merged-chr4-117835233-2
NR839--MA0508.2.PRDM1	chr18	80734828	80734837	+	0.000	0.000	Merged-chr18-80734835-39
NR154--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR1315--MA0508.2.PRDM1	chr5	113837117	113837126	+	0.000	0.000	Merged-chr5-113837178-5
NR76--MA0508.2.PRDM1	chr1	136898369	136898378	-	0.000	0.000	Merged-chr1-136898317-25
NR677--MA0508.2.PRDM1	chr16	33073294	33073303	-	0.000	0.000	Merged-chr16-33073178-28
NR263--MA0508.2.PRDM1	chr11	53128858	53128867	+	0.000	0.000	Merged-chr11-53128879-36
NR1153--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR991--MA0508.2.PRDM1	chr2	119742213	119742222	-	0.000	0.000	Merged-chr2-119742331-93
NR643--MA0508.2.PRDM1	chr15	85828932	85828941	+	0.000	0.000	Merged-chr15-85828905-13
NR799--MA0508.2.PRDM1	chr18	9394063	9394072	+	0.000	0.000	Merged-chr18-9394163-42
NR1689--MA0508.2.PRDM1	chr9	69072415	69072424	+	0.000	0.000	Merged-chr9-69072353-12
NR861--MA0508.2.PRDM1	chr19	12472072	12472081	+	0.000	0.000	Merged-chr19-12472166-33
NR513--MA0508.2.PRDM1	chr13	112424799	112424808	-	0.000	0.000	Merged-chr13-112424975-114
NR494--MA0508.2.PRDM1	chr13	101664441	101664450	-	0.000	0.000	Merged-chr13-101664276-40
NR765--MA0508.2.PRDM1	chr17	44557476	44557485	+	0.000	0.000	Merged-chr17-44557338-45
NR1179--MA0508.2.PRDM1	chr4	63859949	63859958	+	0.000	0.000	Merged-chr4-63860082-78
NR622--MA0508.2.PRDM1	chr15	59525608	59525617	-	0.000	0.000	Merged-chr15-59525783-18
NR1307--MA0508.2.PRDM1	chr5	105609879	105609888	+	0.000	0.000	Merged-chr5-105609798-27
